Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Приютненская 																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	699	216	162	47	33	33	74	11	93	30					
		11.26%	13.99%	9.01%	12.94%	10.18%	6.22%	20.32%	5.78%	13.96%	7.00%					
																
41	Против всех	173	37	27	27	20	16	5	3	17	21					
		2.78%	2.39%	1.50%	7.43%	6.17%	3.01%	1.37%	1.57%	2.55%	4.90%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
