Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Красносулинская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1107	30	25	25	25	20	20	20	20	25	10	27	30	20	15	20	30	20	25	20	20	20	20	25	10	15	15	10	10	15	20	25	10	10	10	10	30	30	10	10	10	10	10	10	10	10	5	20	25	10	30	10	10	10	10	10	10	25	10	10	10	10	10	20	15	25	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	639	13	25	25	19	4	20	19	11	15	2	19	30	7	15	20	30	20	25	18	10	12	18	25	0	3	10	0	1	5	17	9	3	4	2	10	19	30	2	9	2	1	3	0	0	3	0	8	15	2	18	3	2	1	3	5	8	9	1	0	0	6	4	2	9	8	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	309	17	17	5	9	12	6	12	20	4	5	6	8	7	4	20	13	14	9	7	5	9	2	9	0	1	1	0	1	5	0	4	4	8	1	7	2	2	3	2	0	0	0	0	1	4	3	9	1	6	2	5	2	1	0	2	0	1	1	1	0	0	1	0	3	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	468	17	0	0	6	16	0	1	9	10	8	8	0	13	0	0	0	0	0	2	10	8	2	0	10	12	5	10	9	10	3	16	7	6	8	0	11	0	8	1	8	9	7	10	10	7	5	12	10	8	12	7	8	9	7	5	2	16	9	10	10	4	6	18	6	17	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	107	5	2	7	6	4	4	2	2	4	0	5	2	1	1	1	8	4	6	2	3	3	5	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	4	4	0	2	1	0	0	7	1	0	1	0	0	0	0	0	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	305	17	9	4	15	2	2	7	6	6	4	10	17	8	4	13	6	16	5	2	4	5	8	5	0	4	9	0	2	2	0	12	1	3	8	0	1	0	2	0	1	0	3	0	1	0	0	8	5	4	12	5	1	4	6	0	1	2	1	4	0	13	1	0	1	13	0									
		0.98%	1.53%	0.95%	0.49%	2.61%	0.53%	0.66%	1.17%	1.43%	0.94%	1.70%	1.62%	1.52%	1.25%	0.81%	1.85%	0.87%	2.13%	0.65%	0.27%	1.04%	1.94%	1.56%	1.01%	0.00%	0.62%	0.96%	0.00%	0.39%	0.36%	0.00%	0.99%	0.40%	1.45%	2.81%	0.00%	0.26%	0.00%	1.32%	0.00%	0.23%	0.00%	1.16%	0.00%	1.04%	0.00%	0.00%	0.91%	0.88%	1.60%	1.38%	1.15%	0.51%	1.76%	0.75%	0.00%	0.48%	0.29%	0.41%	2.42%	0.00%	1.91%	0.61%	0.00%	0.20%	1.36%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	667	27	25	27	10	9	6	3	18	15	8	24	30	14	5	18	20	19	14	3	12	8	28	11	0	6	18	4	4	10	7	17	6	4	20	0	5	9	3	0	8	4	5	0	0	6	1	13	8	10	35	6	3	2	13	4	3	17	6	9	1	6	2	12	7	17	2									
		2.15%	2.43%	2.65%	3.28%	1.74%	2.38%	1.99%	0.50%	4.30%	2.35%	3.40%	3.89%	2.69%	2.18%	1.01%	2.56%	2.90%	2.53%	1.83%	0.40%	3.13%	3.10%	5.45%	2.21%	0.00%	0.92%	1.92%	3.92%	0.78%	1.80%	3.13%	1.41%	2.43%	1.93%	7.02%	0.00%	1.31%	2.54%	1.99%	0.00%	1.86%	2.01%	1.93%	0.00%	0.00%	2.18%	2.27%	1.48%	1.40%	4.00%	4.01%	1.38%	1.54%	0.88%	1.63%	1.32%	1.43%	2.43%	2.45%	5.45%	0.81%	0.88%	1.23%	2.05%	1.42%	1.78%	2.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	507	16	12	15	2	7	5	8	10	8	6	16	11	11	0	18	17	81	7	2	4	7	12	8	2	3	20	0	1	4	3	7	11	5	1	0	2	5	6	3	3	3	3	0	0	2	0	11	2	4	19	10	27	0	9	2	5	2	0	2	0	21	1	8	6	9	2									
		1.63%	1.44%	1.27%	1.82%	0.35%	1.85%	1.66%	1.34%	2.39%	1.25%	2.55%	2.59%	0.99%	1.72%	0.00%	2.56%	2.46%	10.77%	0.91%	0.27%	1.04%	2.71%	2.33%	1.61%	0.67%	0.46%	2.13%	0.00%	0.20%	0.72%	1.34%	0.58%	4.45%	2.42%	0.35%	0.00%	0.52%	1.41%	3.97%	1.95%	0.70%	1.51%	1.16%	0.00%	0.00%	0.73%	0.00%	1.25%	0.35%	1.60%	2.18%	2.30%	13.85%	0.00%	1.13%	0.66%	2.38%	0.29%	0.00%	1.21%	0.00%	3.09%	0.61%	1.37%	1.22%	0.94%	2.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18978	632	634	448	351	164	149	450	204	330	117	265	677	365	327	349	294	365	374	527	166	103	227	245	290	467	638	96	393	365	147	691	121	116	146	155	305	278	81	113	289	161	182	128	71	158	18	602	355	115	429	281	118	172	600	162	146	406	176	86	91	563	122	402	386	527	67									
		61.07%	56.94%	67.16%	54.37%	61.04%	43.39%	49.34%	75.38%	48.69%	51.72%	49.79%	42.95%	60.66%	56.94%	66.33%	49.57%	42.61%	48.54%	48.76%	69.99%	43.34%	39.92%	44.16%	49.30%	97.32%	71.96%	68.02%	94.12%	76.76%	65.77%	65.63%	57.44%	48.99%	56.04%	51.23%	85.16%	79.63%	78.31%	53.64%	73.38%	67.05%	80.90%	70.27%	70.33%	73.96%	57.45%	40.91%	68.49%	62.28%	46.00%	49.20%	64.60%	60.51%	75.77%	75.38%	53.47%	69.52%	58.08%	71.84%	52.12%	73.39%	82.92%	74.85%	68.72%	78.30%	55.13%	72.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	103	4	3	1	1	3	1	2	6	3	0	5	4	1	0	7	1	4	5	0	1	4	4	1	0	1	1	0	0	2	0	1	2	1	0	1	1	0	0	1	3	0	0	0	0	1	0	0	0	2	4	2	1	0	2	0	1	1	0	0	0	6	0	1	0	7	0									
		0.33%	0.36%	0.32%	0.12%	0.17%	0.79%	0.33%	0.34%	1.43%	0.47%	0.00%	0.81%	0.36%	0.16%	0.00%	0.99%	0.14%	0.53%	0.65%	0.00%	0.26%	1.55%	0.78%	0.20%	0.00%	0.15%	0.11%	0.00%	0.00%	0.36%	0.00%	0.08%	0.81%	0.48%	0.00%	0.55%	0.26%	0.00%	0.00%	0.65%	0.70%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.80%	0.46%	0.46%	0.51%	0.00%	0.25%	0.00%	0.48%	0.14%	0.00%	0.00%	0.00%	0.88%	0.00%	0.17%	0.00%	0.73%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	46	0	0	4	1	1	1	1	0	4	1	2	2	0	0	1	0	1	1	0	0	1	1	0	0	2	0	0	2	2	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	6	0	0	0	2	0									
		0.15%	0.00%	0.00%	0.49%	0.17%	0.26%	0.33%	0.17%	0.00%	0.63%	0.43%	0.32%	0.18%	0.00%	0.00%	0.14%	0.00%	0.13%	0.13%	0.00%	0.00%	0.39%	0.19%	0.00%	0.00%	0.31%	0.00%	0.00%	0.39%	0.36%	0.00%	0.17%	0.40%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.40%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.41%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.21%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4573	161	112	130	93	99	61	72	85	143	46	121	150	119	62	120	130	88	145	35	95	52	80	129	0	100	131	2	60	100	24	291	45	46	45	8	28	28	31	25	71	22	14	28	6	70	10	102	42	40	147	53	19	23	74	36	26	113	23	26	18	31	25	78	46	128	10									
		14.72%	14.50%	11.86%	15.78%	16.17%	26.19%	20.20%	12.06%	20.29%	22.41%	19.57%	19.61%	13.44%	18.56%	12.58%	17.05%	18.84%	11.70%	18.90%	4.65%	24.80%	20.16%	15.56%	25.96%	0.00%	15.41%	13.97%	1.96%	11.72%	18.02%	10.71%	24.19%	18.22%	22.22%	15.79%	4.40%	7.31%	7.89%	20.53%	16.23%	16.47%	11.06%	5.41%	15.38%	6.25%	25.45%	22.73%	11.60%	7.37%	16.00%	16.86%	12.18%	9.74%	10.13%	9.30%	11.88%	12.38%	16.17%	9.39%	15.76%	14.52%	4.57%	15.34%	13.33%	9.33%	13.39%	10.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	105	3	2	0	1	0	0	3	2	2	1	6	2	5	0	7	3	8	5	1	2	4	3	1	0	1	5	0	2	3	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	1	1	3	2	1	3	0	0	2	0	4	0	0	2	0	0	0	4									
		0.34%	0.27%	0.21%	0.00%	0.17%	0.00%	0.00%	0.50%	0.48%	0.31%	0.43%	0.97%	0.18%	0.78%	0.00%	0.99%	0.43%	1.06%	0.65%	0.13%	0.52%	1.55%	0.58%	0.20%	0.00%	0.15%	0.53%	0.00%	0.39%	0.54%	0.00%	0.17%	0.81%	0.00%	0.35%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.34%	0.00%	0.40%	0.11%	0.69%	1.03%	0.44%	0.38%	0.00%	0.00%	0.29%	0.00%	2.42%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	4.30%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	147	7	6	4	1	0	1	1	1	7	1	3	7	6	0	4	5	2	7	0	7	5	6	3	0	1	7	0	1	1	0	4	2	2	1	0	0	1	1	1	2	0	0	0	0	9	1	1	1	0	2	2	0	0	0	0	0	15	0	1	0	0	2	2	0	3	0									
		0.47%	0.63%	0.64%	0.49%	0.17%	0.00%	0.33%	0.17%	0.24%	1.10%	0.43%	0.49%	0.63%	0.94%	0.00%	0.57%	0.72%	0.27%	0.91%	0.00%	1.83%	1.94%	1.17%	0.60%	0.00%	0.15%	0.75%	0.00%	0.20%	0.18%	0.00%	0.33%	0.81%	0.97%	0.35%	0.00%	0.00%	0.28%	0.66%	0.65%	0.46%	0.00%	0.00%	0.00%	0.00%	3.27%	2.27%	0.11%	0.18%	0.00%	0.23%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	2.15%	0.00%	0.61%	0.00%	0.00%	1.23%	0.34%	0.00%	0.31%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	1	1	2	0	0	0	1	1	3	0	1	0	0	0	0	1	0	3	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0									
		0.08%	0.09%	0.11%	0.24%	0.00%	0.00%	0.00%	0.17%	0.24%	0.47%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.39%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.20%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	156	8	4	6	2	6	1	1	4	0	1	8	4	3	0	7	7	13	6	1	5	6	6	10	0	2	3	0	0	0	0	2	0	0	2	0	1	2	0	0	2	0	1	0	0	0	0	0	2	0	3	4	3	1	3	0	0	2	0	0	0	0	0	3	0	11	0									
		0.50%	0.72%	0.42%	0.73%	0.35%	1.59%	0.33%	0.17%	0.95%	0.00%	0.43%	1.30%	0.36%	0.47%	0.00%	0.99%	1.01%	1.73%	0.78%	0.13%	1.31%	2.33%	1.17%	2.01%	0.00%	0.31%	0.32%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.70%	0.00%	0.26%	0.56%	0.00%	0.00%	0.46%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.34%	0.92%	1.54%	0.44%	0.38%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	1.15%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4244	137	99	125	81	65	52	38	71	92	42	117	138	94	84	120	157	102	176	176	75	55	100	61	6	48	78	0	32	58	43	143	45	16	50	15	30	28	24	10	35	7	47	21	12	17	12	125	124	56	162	55	15	22	75	19	23	93	34	28	13	25	6	60	39	228	8									
		13.66%	12.34%	10.49%	15.17%	14.09%	17.20%	17.22%	6.37%	16.95%	14.42%	17.87%	18.96%	12.37%	14.66%	17.04%	17.05%	22.75%	13.56%	22.95%	23.37%	19.58%	21.32%	19.46%	12.27%	2.01%	7.40%	8.32%	0.00%	6.25%	10.45%	19.20%	11.89%	18.22%	7.73%	17.54%	8.24%	7.83%	7.89%	15.89%	6.49%	8.12%	3.52%	18.15%	11.54%	12.50%	6.18%	27.27%	14.22%	21.75%	22.40%	18.58%	12.64%	7.69%	9.69%	9.42%	6.27%	10.95%	13.30%	13.88%	16.97%	10.48%	3.68%	3.68%	10.26%	7.91%	23.85%	8.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	76	0	3	1	1	2	0	2	1	1	0	1	5	1	2	1	5	4	2	0	2	0	2	1	0	2	1	0	4	1	0	0	1	3	1	0	1	0	0	1	0	0	0	0	0	1	0	7	1	0	3	2	2	1	0	0	0	0	1	0	0	6	0	0	0	0	0									
		0.24%	0.00%	0.32%	0.12%	0.17%	0.53%	0.00%	0.34%	0.24%	0.16%	0.00%	0.16%	0.45%	0.16%	0.41%	0.14%	0.72%	0.53%	0.26%	0.00%	0.52%	0.00%	0.39%	0.20%	0.00%	0.31%	0.11%	0.00%	0.78%	0.18%	0.00%	0.00%	0.40%	1.45%	0.35%	0.00%	0.26%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.80%	0.18%	0.00%	0.34%	0.46%	1.03%	0.44%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	625	57	14	41	4	8	9	8	7	18	6	16	28	5	1	25	27	46	6	2	8	6	28	14	0	8	14	0	5	1	0	19	4	7	8	1	4	3	2	0	9	1	4	3	6	6	1	0	10	3	28	5	1	1	7	40	4	11	2	1	1	2	2	11	6	0	0									
		2.01%	5.14%	1.48%	4.98%	0.70%	2.12%	2.98%	1.34%	1.67%	2.82%	2.55%	2.59%	2.51%	0.78%	0.20%	3.55%	3.91%	6.12%	0.78%	0.27%	2.09%	2.33%	5.45%	2.82%	0.00%	1.23%	1.49%	0.00%	0.98%	0.18%	0.00%	1.58%	1.62%	3.38%	2.81%	0.55%	1.04%	0.85%	1.32%	0.00%	2.09%	0.50%	1.54%	1.65%	6.25%	2.18%	2.27%	0.00%	1.75%	1.20%	3.21%	1.15%	0.51%	0.44%	0.88%	13.20%	1.90%	1.57%	0.82%	0.61%	0.81%	0.29%	1.23%	1.88%	1.22%	0.00%	0.00%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
