Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																								
Дата голосования: 02.12.2007																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Азовская районная																																																																																								
																																																																																								
Сводная таблица результатов выборов																																																																																								
																																																																																								
		Сумма	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2514	УИК №2585	УИК №2613					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1482	20	10	10	10	5	5	5	10	20	10	10	10	25	15	10	10	10	20	20	20	20	26	24	30	25	10	20	20	25	20	20	10	10	10	40	40	30	30	40	30	30	20	10	10	20	10	20	10	10	15	20	20	20	30	30	30	20	10	30	20	20	20	20	20	20	10	10	10	17	10	10	10	10	10	20	20	20	20	50	30	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	612	2	4	3	8	1	0	0	4	12	1	5	0	17	1	4	1	0	10	3	11	13	26	13	9	10	0	4	4	25	18	11	0	1	7	19	21	13	10	6	11	7	14	0	0	15	7	16	3	4	15	5	0	9	14	18	14	5	0	1	3	3	5	11	13	12	10	7	1	17	2	4	1	3	1	1	0	0	1	31	30	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1026	4	4	1	2	0	0	0	8	8	3	1	1	21	3	3	4	2	23	1	5	2	10	41	98	6	1	45	7	56	18	3	0	1	1	9	16	47	4	1	9	14	9	3	1	20	8	133	8	18	29	5	1	4	50	10	8	2	3	16	12	11	37	4	11	3	5	0	5	14	8	4	0	0	4	0	2	1	1	34	57	2					
14	Число погашенных неиспользованных открепительных удостоверений	870	18	6	7	2	4	5	5	6	8	9	5	10	8	14	6	9	10	10	17	9	7	0	11	21	15	10	16	16	0	2	9	10	9	3	21	19	17	20	34	19	23	6	10	10	5	3	4	7	6	0	15	20	11	16	12	16	15	10	29	17	17	15	9	7	8	0	3	9	0	8	6	9	7	9	19	20	20	19	19	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																								
18	1.Политическая партия «Аграрная партия России»	455	0	0	0	0	0	1	0	2	3	5	3	0	15	4	0	0	3	5	2	4	12	0	9	5	0	0	0	11	24	7	12	7	1	6	14	4	13	10	4	15	7	1	0	1	17	2	47	0	2	0	32	25	2	7	5	5	0	0	7	0	1	3	27	6	2	6	4	7	5	1	0	0	3	2	0	2	1	10	10	4	0					
		0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.66%	0.35%	1.21%	0.79%	0.00%	1.18%	1.87%	0.00%	0.00%	0.78%	0.55%	0.31%	0.43%	1.71%	0.00%	1.34%	0.53%	0.00%	0.00%	0.00%	1.87%	1.67%	0.75%	1.26%	2.45%	0.72%	2.46%	1.14%	0.25%	0.94%	1.40%	1.03%	1.15%	0.46%	0.19%	0.00%	0.89%	1.76%	0.63%	5.27%	0.00%	0.68%	0.00%	5.54%	12.89%	0.28%	0.84%	0.62%	0.50%	0.00%	0.00%	0.86%	0.00%	0.09%	0.28%	2.01%	0.37%	0.14%	0.92%	0.77%	0.85%	0.48%	0.63%	0.00%	0.00%	1.16%	1.18%	0.00%	1.23%	0.78%	4.83%	0.63%	0.28%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	68	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	4	4	0	0	0	0	2	3	4	3	0	0	3	0	0	0	2	0	3	0	0	0	0	0	0	7	1	0	0	2	0	0	1	3	1	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	7	3	0					
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.43%	0.00%	0.00%	0.00%	0.00%	0.16%	0.19%	0.29%	0.42%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.21%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.12%	0.00%	0.00%	1.25%	0.00%	0.00%	0.09%	0.28%	0.07%	0.00%	0.14%	0.00%	0.58%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.21%	0.00%					
20	3.Политическая партия «Демократическая партия России»	19	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.19%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.07%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1779	91	13	29	4	0	1	7	17	24	9	16	1	29	6	2	3	11	7	10	8	8	25	59	29	39	5	10	4	74	28	19	6	0	1	149	57	107	69	10	25	32	17	8	1	16	13	145	2	13	11	6	5	1	14	12	13	9	0	18	2	20	18	20	133	54	11	5	4	14	2	4	1	5	3	3	1	0	2	109	16	4					
		3.36%	8.39%	1.80%	11.65%	0.91%	0.00%	0.37%	7.29%	5.65%	2.77%	2.18%	4.23%	0.91%	2.27%	2.80%	0.52%	0.96%	2.85%	0.78%	1.53%	0.87%	1.14%	2.41%	8.75%	3.05%	4.13%	5.43%	1.22%	0.68%	5.16%	2.99%	2.00%	2.10%	0.00%	0.41%	12.15%	3.61%	7.71%	9.68%	2.58%	1.91%	2.10%	3.27%	3.36%	0.89%	1.66%	4.11%	16.27%	0.44%	4.42%	1.77%	1.04%	2.58%	0.14%	1.68%	1.48%	1.29%	4.97%	0.00%	2.21%	0.25%	1.74%	1.68%	1.49%	8.21%	3.90%	1.68%	0.96%	0.49%	1.34%	1.25%	1.84%	0.75%	1.94%	1.76%	1.57%	0.62%	0.00%	0.97%	6.85%	1.11%	1.83%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	69	0	0	0	0	0	0	0	0	1	1	2	0	2	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	3	2	0	0	0	1	5	6	4	7	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	1	3	2	0	0	0	0	0	0	0	0	1	0	8	1	0					
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.24%	0.53%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.10%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.21%	0.00%	0.00%	0.00%	0.41%	0.41%	0.38%	0.29%	0.98%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.21%	0.00%	0.11%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.12%	0.00%	0.15%	0.58%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.50%	0.07%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	31	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	3	1	0	0	1	1	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.22%	0.14%	0.00%	0.00%	0.07%	0.19%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.07%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	747	30	0	0	0	0	0	0	6	13	8	6	0	27	1	0	1	3	8	9	9	10	17	10	7	12	2	8	1	40	16	12	2	0	3	23	34	50	29	16	7	19	14	4	1	16	2	18	2	16	5	2	4	1	13	8	8	14	2	6	1	8	8	10	30	25	2	0	8	3	1	4	1	3	3	1	2	2	0	40	14	6					
		1.41%	2.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.99%	1.50%	1.94%	1.59%	0.00%	2.12%	0.47%	0.00%	0.32%	0.78%	0.89%	1.38%	0.98%	1.42%	1.64%	1.48%	0.74%	1.27%	2.17%	0.97%	0.17%	2.79%	1.71%	1.26%	0.70%	0.00%	1.23%	1.88%	2.16%	3.60%	4.07%	4.13%	0.53%	1.25%	2.69%	1.68%	0.89%	1.66%	0.63%	2.02%	0.44%	5.44%	0.80%	0.35%	2.06%	0.14%	1.56%	0.98%	0.79%	7.73%	1.25%	0.74%	0.12%	0.69%	0.75%	0.75%	1.85%	1.81%	0.31%	0.00%	0.97%	0.29%	0.63%	1.84%	0.75%	1.16%	1.76%	0.52%	1.23%	1.56%	0.00%	2.51%	0.97%	2.74%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	834	0	1	15	0	0	0	0	3	11	5	3	1	8	3	2	17	7	9	12	14	9	18	38	27	10	0	7	1	61	11	7	0	0	1	33	53	14	14	4	83	7	1	2	1	15	2	26	0	13	12	0	2	1	11	15	13	8	2	4	2	2	18	0	26	70	0	3	8	12	3	6	1	3	1	2	3	0	0	18	14	5					
		1.57%	0.00%	0.14%	6.02%	0.00%	0.00%	0.00%	0.00%	0.99%	1.27%	1.21%	0.79%	0.91%	0.63%	1.40%	0.52%	5.43%	1.81%	0.99%	1.84%	1.52%	1.28%	1.74%	5.64%	2.84%	1.06%	0.00%	0.85%	0.17%	4.26%	1.17%	0.74%	0.00%	0.00%	0.41%	2.69%	3.36%	1.01%	1.96%	1.03%	6.34%	0.46%	0.19%	0.84%	0.89%	1.55%	0.63%	2.92%	0.00%	4.42%	1.93%	0.00%	1.03%	0.14%	1.32%	1.85%	1.29%	4.42%	1.25%	0.49%	0.25%	0.17%	1.68%	0.00%	1.60%	5.06%	0.00%	0.58%	0.97%	1.15%	1.88%	2.76%	0.75%	1.16%	0.59%	1.05%	1.85%	0.00%	0.00%	1.13%	0.97%	2.28%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	110	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	5	3	0	1	2	3	0	4	1	0	1	2	7	0	0	0	0	4	4	3	2	0	0	2	4	1	1	5	0	2	0	4	0	0	0	0	4	6	0	1	0	1	0	1	6	8	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0	10	0	0					
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.55%	0.46%	0.00%	0.14%	0.19%	0.45%	0.00%	0.42%	1.09%	0.00%	0.17%	0.14%	0.75%	0.00%	0.00%	0.00%	0.00%	0.33%	0.25%	0.22%	0.28%	0.00%	0.00%	0.13%	0.77%	0.42%	0.89%	0.52%	0.00%	0.22%	0.00%	1.36%	0.00%	0.00%	0.00%	0.00%	0.48%	0.74%	0.00%	0.55%	0.00%	0.12%	0.00%	0.09%	0.56%	0.60%	0.06%	0.07%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	48562	963	708	202	434	87	270	89	273	805	381	341	108	1180	198	378	273	360	857	605	885	655	964	536	876	878	84	798	570	1197	855	897	271	138	232	975	1397	1176	567	350	1179	1448	479	222	107	884	297	632	455	245	592	532	158	715	763	758	968	148	154	779	801	1118	1004	1260	1414	1218	635	502	779	1008	151	203	130	243	160	185	154	124	195	1369	1379	202					
		91.63%	88.84%	98.06%	81.12%	99.09%	10.00%	98.90%	92.71%	90.70%	93.06%	92.25%	90.21%	98.18%	92.48%	92.52%	98.95%	87.22%	93.26%	95.01%	92.65%	96.20%	93.30%	93.05%	79.53%	92.21%	92.91%	91.30%	96.96%	96.94%	83.53%	91.25%	94.52%	94.76%	99.28%	95.08%	79.53%	88.59%	84.73%	79.52%	90.44%	90.07%	95.01%	92.12%	93.28%	95.54%	91.51%	93.99%	70.93%	99.13%	83.33%	95.02%	92.04%	81.44%	99.31%	91.60%	93.23%	96.13%	81.77%	96.25%	95.58%	99.38%	97.05%	93.92%	93.96%	87.28%	88.07%	96.95%	96.54%	94.88%	96.55%	94.38%	93.55%	97.74%	94.19%	94.12%	96.86%	95.06%	96.88%	94.20%	85.99%	95.30%	92.24%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	138	0	0	0	0	0	0	0	0	3	0	2	0	1	2	0	0	0	5	4	0	4	3	9	2	0	0	0	0	3	2	2	0	0	0	5	11	7	4	3	0	3	2	1	0	5	0	10	0	0	1	1	0	0	5	2	0	0	0	0	0	0	4	5	3	3	0	0	4	0	1	0	0	0	0	0	0	0	0	9	5	2					
		0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.53%	0.00%	0.08%	0.93%	0.00%	0.00%	0.00%	0.55%	0.61%	0.00%	0.57%	0.29%	1.34%	0.21%	0.00%	0.00%	0.00%	0.00%	0.21%	0.21%	0.21%	0.00%	0.00%	0.00%	0.41%	0.70%	0.50%	0.56%	0.78%	0.00%	0.20%	0.38%	0.42%	0.00%	0.52%	0.00%	1.12%	0.00%	0.00%	0.16%	0.17%	0.00%	0.00%	0.60%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.37%	0.19%	0.22%	0.00%	0.00%	0.49%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.35%	0.91%					
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
