Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																		
Дата голосования: 04.12.2011																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Самара, Кировская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2459	20	30	20	20	20	25	20	20	25	25	25	20	25	20	30	15	23	35	20	30	35	30	30	30	35	20	25	20	30	15	30	30	28	20	25	25	35	0	45	35	15	10	10	25	10	38	35	25	15	15	25	15	25	45	20	15	35	30	25	30	0	15	36	15	25	25	26	20	20	35	35	31	35	31	26	30	50	50	50	50	30	20	0	30	50	50	30	50	50	35	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2256	19	30	20	20	19	25	19	20	25	25	25	20	23	20	29	14	23	34	19	27	35	30	30	30	35	18	25	20	30	15	30	29	28	19	24	23	35	0	45	34	8	5	7	23	7	38	31	17	15	14	24	5	23	44	17	12	35	30	25	29	0	13	36	15	24	25	26	18	20	31	35	29	35	31	26	29	31	29	42	45	28	20	0	29	36	33	29	38	34	35	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1374	81	25	2	14	1	11	31	4	2	27	7	3	10	3	3	6	9	7	19	16	12	6	65	56	30	48	58	5	7	6	3	6	15	6	6	28	59	12	16	8	6	19	3	18	60	12	8	15	24	11	11	28	7	9	8	15	11	9	7	10	2	35	8	18	11	11	9	11	8	17	14	4	16	3	23	10	12	7	3	20	18	2	7	14	4	6	9	14	4	20	10					
14	Число погашенных неиспользованных открепительных удостоверений	202	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	2	0	0	0	1	7	5	3	2	3	0	4	8	0	1	1	10	2	1	3	3	0	0	0	1	0	2	0	0	1	0	0	2	0	4	0	2	0	0	0	1	19	21	8	5	2	0	0	1	14	17	1	12	16	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	435	3	7	9	1	4	6	2	5	2	6	3	7	4	9	6	6	7	2	3	3	3	8	4	11	4	6	11	8	4	3	1	11	2	1	6	3	6	0	6	1	1	5	1	6	0	1	3	3	3	1	4	4	6	4	2	1	6	5	2	7	0	4	6	6	6	4	5	9	8	6	7	6	8	1	4	5	11	6	4	3	5	4	0	6	8	11	6	3	11	9	4					
16	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9205	121	44	54	109	34	68	108	155	154	43	131	174	31	28	152	112	156	152	31	28	187	29	124	140	186	150	139	62	48	53	29	29	130	73	183	33	31	15	154	170	61	28	34	80	61	136	90	86	47	68	66	53	88	94	78	59	127	112	138	83	10	28	140	57	150	129	116	174	134	133	77	121	180	159	143	133	144	130	95	150	119	145	10	190	83	104	144	204	144	144	76					
		10.78%	11.98%	4.10%	4.39%	14.12%	4.26%	9.65%	14.36%	16.03%	16.67%	4.37%	13.77%	16.11%	3.55%	4.24%	14.79%	14.38%	14.54%	14.37%	2.98%	2.50%	16.11%	2.68%	11.65%	13.21%	15.88%	12.98%	11.16%	6.25%	6.52%	6.97%	2.78%	2.65%	13.36%	6.45%	15.12%	3.21%	2.91%	15.79%	13.20%	14.59%	15.48%	18.30%	12.78%	11.30%	13.35%	11.48%	13.22%	12.78%	9.83%	10.95%	13.15%	9.15%	13.44%	8.43%	11.49%	10.10%	11.30%	10.45%	11.69%	8.00%	6.54%	7.63%	11.61%	8.36%	11.08%	12.43%	11.69%	13.79%	13.09%	14.16%	10.56%	12.06%	13.39%	12.28%	12.14%	11.57%	11.46%	12.48%	8.86%	11.46%	10.02%	13.54%	12.99%	12.29%	9.40%	10.29%	11.77%	15.00%	11.01%	12.12%	10.78%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	15509	230	192	164	174	98	164	169	170	198	94	168	196	98	109	194	163	189	208	161	163	213	183	220	197	250	254	266	94	64	92	209	183	210	94	225	104	191	14	231	233	78	24	49	140	87	154	130	91	77	129	79	103	99	202	112	110	226	233	206	190	36	78	217	94	226	206	213	236	196	187	156	187	273	289	189	225	238	205	204	203	229	197	19	289	213	192	251	231	271	230	181					
		18.16%	22.77%	17.88%	13.34%	22.54%	12.27%	23.26%	22.47%	17.58%	21.43%	9.54%	17.67%	18.15%	11.23%	16.52%	18.87%	20.92%	17.61%	19.66%	15.48%	14.53%	18.35%	16.90%	20.68%	18.58%	21.35%	21.97%	21.35%	9.48%	8.70%	12.11%	20.06%	16.71%	21.58%	8.31%	18.60%	10.13%	17.90%	14.74%	19.79%	20.00%	19.80%	15.69%	18.42%	19.77%	19.04%	12.99%	19.09%	13.52%	16.11%	20.77%	15.74%	17.79%	15.11%	18.12%	16.49%	18.84%	20.11%	21.74%	17.44%	18.32%	23.53%	21.25%	17.99%	13.78%	16.69%	19.85%	21.47%	18.70%	19.14%	19.91%	21.40%	18.64%	20.31%	22.32%	16.04%	19.57%	18.95%	19.67%	19.03%	15.51%	19.28%	18.39%	24.68%	18.69%	24.12%	18.99%	20.52%	16.99%	20.72%	19.36%	25.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1134	19	14	12	13	9	13	12	17	11	9	9	19	8	12	7	10	28	23	11	15	12	18	12	10	14	9	16	27	3	3	14	20	15	14	10	13	11	2	12	18	8	1	7	11	5	15	8	10	4	9	8	6	5	13	10	4	13	7	10	18	1	3	18	10	21	16	12	21	14	13	13	16	20	9	19	17	7	10	20	20	19	12	2	25	15	7	18	12	18	15	15					
		1.33%	1.88%	1.30%	0.98%	1.68%	1.13%	1.84%	1.60%	1.76%	1.19%	0.91%	0.95%	1.76%	0.92%	1.82%	0.68%	1.28%	2.61%	2.17%	1.06%	1.34%	1.03%	1.66%	1.13%	0.94%	1.20%	0.78%	1.28%	2.72%	0.41%	0.39%	1.34%	1.83%	1.54%	1.24%	0.83%	1.27%	1.03%	2.11%	1.03%	1.55%	2.03%	0.65%	2.63%	1.55%	1.09%	1.27%	1.17%	1.49%	0.84%	1.45%	1.59%	1.04%	0.76%	1.17%	1.47%	0.68%	1.16%	0.65%	0.85%	1.74%	0.65%	0.82%	1.49%	1.47%	1.55%	1.54%	1.21%	1.66%	1.37%	1.38%	1.78%	1.60%	1.49%	0.69%	1.61%	1.48%	0.56%	0.96%	1.87%	1.53%	1.60%	1.12%	2.60%	1.62%	1.70%	0.69%	1.47%	0.88%	1.38%	1.26%	2.13%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	18802	268	53	64	227	39	198	204	292	217	54	317	329	44	79	309	227	310	298	48	39	374	19	339	310	330	321	387	78	41	59	47	30	281	93	376	61	29	20	372	367	82	32	83	188	113	141	145	141	104	119	125	95	155	263	124	164	275	277	260	250	16	111	322	129	424	301	251	375	284	255	179	238	306	310	316	287	266	202	244	308	280	280	9	428	182	259	355	381	364	324	130					
		22.02%	26.53%	4.93%	5.21%	29.40%	4.88%	28.09%	27.13%	30.20%	23.48%	5.48%	33.33%	30.46%	5.04%	11.97%	30.06%	29.14%	28.89%	28.17%	4.62%	3.48%	32.21%	1.75%	31.86%	29.25%	28.18%	27.77%	31.06%	7.86%	5.57%	7.76%	4.51%	2.74%	28.88%	8.22%	31.07%	5.94%	2.72%	21.05%	31.88%	31.50%	20.81%	20.92%	31.20%	26.55%	24.73%	11.90%	21.29%	20.95%	21.76%	19.16%	24.90%	16.41%	23.66%	23.59%	18.26%	28.08%	24.47%	25.84%	22.02%	24.11%	10.46%	30.25%	26.70%	18.91%	31.31%	28.99%	25.30%	29.71%	27.73%	27.16%	24.55%	23.73%	22.77%	23.94%	26.83%	24.96%	21.18%	19.39%	22.76%	23.53%	23.57%	26.14%	11.69%	27.68%	20.61%	25.62%	29.03%	28.01%	27.83%	27.27%	18.44%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4237	76	21	82	40	32	41	45	59	54	63	57	73	38	28	59	40	69	85	42	48	77	60	43	55	47	72	67	18	36	43	25	60	47	55	58	58	24	3	67	78	25	26	18	37	10	48	27	18	16	24	23	24	35	26	21	16	45	30	42	43	0	18	81	23	72	57	56	52	37	40	32	59	61	71	67	57	44	50	49	53	77	52	0	93	56	63	65	63	75	82	33					
		4.96%	7.52%	1.96%	6.67%	5.18%	4.01%	5.82%	5.98%	6.10%	5.84%	6.40%	5.99%	6.76%	4.35%	4.24%	5.74%	5.13%	6.43%	8.03%	4.04%	4.28%	6.63%	5.54%	4.04%	5.19%	4.01%	6.23%	5.38%	1.81%	4.89%	5.66%	2.40%	5.48%	4.83%	4.86%	4.79%	5.65%	2.25%	3.16%	5.74%	6.70%	6.35%	16.99%	6.77%	5.23%	2.19%	4.05%	3.96%	2.67%	3.35%	3.86%	4.58%	4.15%	5.34%	2.33%	3.09%	2.74%	4.00%	2.80%	3.56%	4.15%	0.00%	4.90%	6.72%	3.37%	5.32%	5.49%	5.65%	4.12%	3.61%	4.26%	4.39%	5.88%	4.54%	5.48%	5.69%	4.96%	3.50%	4.80%	4.57%	4.05%	6.48%	4.86%	0.00%	6.02%	6.34%	6.23%	5.31%	4.63%	5.73%	6.90%	4.68%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	34218	275	719	792	183	572	200	203	249	256	709	241	261	626	389	287	205	293	274	729	804	277	747	300	324	317	321	338	683	539	485	691	744	266	784	331	733	752	41	303	276	132	38	66	212	169	656	260	304	223	257	185	285	261	483	323	219	410	397	473	405	80	123	394	346	421	293	312	370	320	283	256	359	464	417	405	397	511	414	423	544	425	361	34	491	310	354	359	428	414	375	258					
		40.08%	27.23%	66.95%	64.44%	23.70%	71.59%	28.37%	26.99%	25.75%	27.71%	71.98%	25.34%	24.17%	71.71%	58.94%	27.92%	26.32%	27.31%	25.90%	70.10%	71.66%	23.86%	68.98%	28.20%	30.57%	27.07%	27.77%	27.13%	68.85%	73.23%	63.82%	66.31%	67.95%	27.34%	69.32%	27.36%	71.37%	70.48%	43.16%	25.96%	23.69%	33.50%	24.84%	24.81%	29.94%	36.98%	55.36%	38.18%	45.17%	46.65%	41.38%	36.85%	49.22%	39.85%	43.32%	47.57%	37.50%	36.48%	37.03%	40.05%	39.05%	52.29%	33.51%	32.67%	50.73%	31.09%	28.23%	31.45%	29.32%	31.25%	30.14%	35.12%	35.79%	34.52%	32.20%	34.38%	34.52%	40.68%	39.73%	39.46%	41.56%	35.77%	33.71%	44.16%	31.76%	35.11%	35.01%	29.35%	31.47%	31.65%	31.57%	36.60%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	409	6	3	0	6	5	5	5	8	4	1	3	6	7	5	3	1	2	8	3	3	8	10	7	10	2	8	7	3	1	2	6	5	1	4	3	2	4	0	7	6	5	3	3	5	3	4	5	2	2	1	3	6	0	3	2	1	4	3	6	7	1	2	3	5	4	11	6	4	5	6	1	5	9	5	8	4	8	3	6	8	11	3	0	5	2	9	9	8	4	5	1					
		0.48%	0.59%	0.28%	0.00%	0.78%	0.63%	0.71%	0.66%	0.83%	0.43%	0.10%	0.32%	0.56%	0.80%	0.76%	0.29%	0.13%	0.19%	0.76%	0.29%	0.27%	0.69%	0.92%	0.66%	0.94%	0.17%	0.69%	0.56%	0.30%	0.14%	0.26%	0.58%	0.46%	0.10%	0.35%	0.25%	0.19%	0.37%	0.00%	0.60%	0.52%	1.27%	1.96%	1.13%	0.71%	0.66%	0.34%	0.73%	0.30%	0.42%	0.16%	0.60%	1.04%	0.00%	0.27%	0.29%	0.17%	0.36%	0.28%	0.51%	0.68%	0.65%	0.54%	0.25%	0.73%	0.30%	1.06%	0.60%	0.32%	0.49%	0.64%	0.14%	0.50%	0.67%	0.39%	0.68%	0.35%	0.64%	0.29%	0.56%	0.61%	0.93%	0.28%	0.00%	0.32%	0.23%	0.89%	0.74%	0.59%	0.31%	0.42%	0.14%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
