Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																												
Дата голосования: 04.12.2011																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Сыктывкарская городская																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №666	УИК №667	УИК №668					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3830	10	10	10	15	10	15	40	30	15	10	40	50	15	35	40	45	15	80	52	20	25	25	85	90	90	60	60	30	70	90	50	93	45	60	50	100	40	80	50	50	20	50	20	20	50	50	100	50	25	50	35	50	70	70	50	35	85	80	60	80	50	50	20	40	35	10	20	15	80	80	80	60	55	60	50	80	80	15	50	50	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3181	10	10	7	15	1	15	30	25	13	4	31	45	10	35	40	41	12	77	44	12	19	17	81	90	90	58	58	26	68	90	45	90	40	58	47	45	36	67	33	35	20	50	13	17	38	36	97	49	19	33	31	29	43	51	35	35	85	42	44	75	39	42	14	40	33	6	18	15	59	48	68	58	53	60	42	37	65	10	35	27	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3781	23	21	9	10	3	15	16	9	13	13	25	19	25	22	15	21	7	40	88	36	43	33	40	39	73	27	29	52	41	57	23	21	42	19	29	48	37	57	38	26	30	35	22	29	17	39	35	99	48	24	14	19	25	53	19	58	39	82	39	62	61	52	45	61	8	35	18	20	74	52	41	77	72	54	51	79	21	14	48	27	22	55	42	519	241					
14	Число погашенных неиспользованных открепительных удостоверений	649	0	0	3	0	9	0	10	5	2	6	9	5	5	0	0	4	3	3	8	8	6	8	4	0	0	2	2	4	2	0	5	3	5	2	3	55	4	13	17	15	0	0	7	3	12	14	3	1	6	17	4	21	27	19	15	0	0	38	16	5	11	8	6	0	2	4	2	0	21	32	12	2	2	0	8	43	15	5	15	23	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	226	0	0	0	1	0	0	2	1	0	1	2	0	1	2	1	5	2	2	3	1	1	1	2	11	10	4	3	1	3	11	6	10	3	2	11	4	10	11	10	1	3	4	0	0	0	1	0	0	0	0	4	0	5	1	4	4	4	5	0	2	0	0	1	6	2	2	0	0	2	6	2	4	3	6	2	5	3	1	3	2	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	14915	161	181	84	181	34	153	182	178	141	132	153	160	183	276	160	151	100	255	155	98	191	248	265	263	207	228	211	210	202	266	214	201	175	154	246	179	110	180	150	174	157	160	116	116	150	158	293	133	178	147	162	161	185	150	180	259	233	362	247	220	171	222	200	367	99	47	114	116	242	190	224	201	198	220	167	252	247	154	170	168	30	78	70	3	6					
		12.15%	12.42%	12.95%	18.58%	13.03%	17.00%	11.88%	12.20%	12.72%	11.90%	10.35%	12.77%	13.37%	12.22%	12.02%	12.36%	10.09%	14.03%	11.12%	15.18%	13.01%	14.00%	16.52%	11.53%	11.44%	11.51%	12.08%	12.44%	13.99%	11.25%	11.58%	12.60%	11.84%	12.53%	9.77%	13.67%	11.20%	9.88%	11.02%	14.18%	12.45%	9.86%	12.88%	15.80%	13.81%	12.78%	13.31%	15.80%	7.01%	12.77%	11.34%	17.72%	12.38%	12.36%	9.87%	10.60%	11.27%	11.68%	13.51%	13.56%	10.67%	11.62%	11.73%	12.52%	15.96%	16.31%	14.87%	16.52%	14.20%	12.12%	11.93%	11.80%	11.84%	11.72%	12.24%	11.47%	11.47%	10.31%	8.12%	11.08%	11.80%	20.00%	15.03%	14.00%	0.58%	2.49%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	14218	127	156	23	159	44	133	166	158	114	137	125	130	168	242	138	161	61	306	163	97	165	189	286	266	229	227	202	191	216	280	194	190	154	135	225	186	100	164	116	152	191	139	113	166	120	128	247	123	151	149	150	130	170	111	207	279	238	376	224	234	155	222	187	235	81	44	88	115	247	179	225	198	192	218	153	268	294	332	160	124	23	77	79	0	1					
		11.58%	9.80%	11.16%	5.09%	11.45%	22.00%	10.33%	11.13%	11.29%	9.62%	10.75%	10.43%	10.86%	11.21%	10.54%	10.66%	10.75%	8.56%	13.34%	15.96%	12.88%	12.10%	12.59%	12.45%	11.58%	12.74%	12.03%	11.91%	12.72%	12.03%	12.19%	11.43%	11.19%	11.02%	8.57%	12.50%	11.64%	8.98%	10.04%	10.96%	10.87%	11.99%	11.19%	15.40%	19.76%	10.22%	10.78%	13.32%	6.48%	10.83%	11.50%	16.41%	10.00%	11.36%	7.30%	12.19%	12.14%	11.93%	14.04%	12.30%	11.35%	10.53%	11.73%	11.70%	10.22%	13.34%	13.92%	12.75%	14.08%	12.37%	11.24%	11.85%	11.66%	11.37%	12.13%	10.51%	12.20%	12.27%	17.51%	10.43%	8.71%	15.33%	14.84%	15.80%	0.00%	0.41%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	695	4	2	1	2	3	12	2	1	12	15	1	14	1	4	3	2	4	3	27	20	31	31	1	2	2	2	1	46	2	27	5	2	4	19	4	1	5	11	4	2	1	15	17	21	5	2	39	2	3	2	26	2	2	5	1	1	2	6	50	4	2	5	1	5	12	5	18	23	1	2	1	1	3	2	7	3	5	2	4	28	3	12	8	0	1					
		0.57%	0.31%	0.14%	0.22%	0.14%	1.50%	0.93%	0.13%	0.07%	1.01%	1.18%	0.08%	1.17%	0.07%	0.17%	0.23%	0.13%	0.56%	0.13%	2.64%	2.66%	2.27%	2.07%	0.04%	0.09%	0.11%	0.11%	0.06%	3.06%	0.11%	1.18%	0.29%	0.12%	0.29%	1.21%	0.22%	0.06%	0.45%	0.67%	0.38%	0.14%	0.06%	1.21%	2.32%	2.50%	0.43%	0.17%	2.10%	0.11%	0.22%	0.15%	2.84%	0.15%	0.13%	0.33%	0.06%	0.04%	0.10%	0.22%	2.75%	0.19%	0.14%	0.26%	0.06%	0.22%	1.98%	1.58%	2.61%	2.82%	0.05%	0.13%	0.05%	0.06%	0.18%	0.11%	0.48%	0.14%	0.21%	0.11%	0.26%	1.97%	2.00%	2.31%	1.60%	0.00%	0.41%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14640	147	168	54	175	17	149	175	169	129	120	140	146	177	284	161	37	87	302	182	170	271	257	285	28	45	229	208	302	266	275	325	28	157	180	22	182	110	192	104	164	198	157	170	180	136	144	240	136	160	164	119	160	190	196	27	292	240	421	439	228	154	234	195	279	99	50	187	175	246	221	237	200	203	223	161	270	294	90	170	125	27	77	90	6	11					
		11.93%	11.34%	12.02%	11.95%	12.60%	8.50%	11.57%	11.73%	12.08%	10.89%	9.41%	11.69%	12.20%	11.82%	12.36%	12.43%	2.47%	12.20%	13.16%	17.83%	22.58%	19.87%	17.12%	12.40%	1.22%	2.50%	12.14%	12.26%	20.12%	14.82%	11.97%	19.14%	1.65%	11.24%	11.42%	1.22%	11.39%	9.88%	11.76%	9.83%	11.73%	12.44%	12.64%	23.16%	21.43%	11.58%	12.13%	12.94%	7.17%	11.48%	12.65%	13.02%	12.31%	12.69%	12.89%	1.59%	12.71%	12.03%	15.71%	24.11%	11.06%	10.46%	12.36%	12.20%	12.14%	16.31%	15.82%	27.10%	21.42%	12.32%	13.88%	12.49%	11.78%	12.02%	12.41%	11.06%	12.29%	12.27%	4.75%	11.08%	8.78%	18.00%	14.84%	18.00%	1.16%	4.56%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1495	6	5	1	4	7	9	4	2	14	12	3	16	3	8	5	1	5	8	83	51	125	108	3	2	1	5	1	84	5	25	7	2	3	17	7	1	30	5	4	5	4	11	68	70	7	4	27	3	5	3	58	10	1	10	2	2	4	8	211	15	10	8	1	6	42	8	31	63	2	3	1	2	6	1	5	5	6	3	5	30	2	19	19	1	6					
		1.22%	0.46%	0.36%	0.22%	0.29%	3.50%	0.70%	0.27%	0.14%	1.18%	0.94%	0.25%	1.34%	0.20%	0.35%	0.39%	0.07%	0.70%	0.35%	8.13%	6.77%	9.16%	7.20%	0.13%	0.09%	0.06%	0.26%	0.06%	5.60%	0.28%	1.09%	0.41%	0.12%	0.21%	1.08%	0.39%	0.06%	2.70%	0.31%	0.38%	0.36%	0.25%	0.89%	9.26%	8.33%	0.60%	0.34%	1.46%	0.16%	0.36%	0.23%	6.35%	0.77%	0.07%	0.66%	0.12%	0.09%	0.20%	0.30%	11.59%	0.73%	0.68%	0.42%	0.06%	0.26%	6.92%	2.53%	4.49%	7.71%	0.10%	0.19%	0.05%	0.12%	0.36%	0.06%	0.34%	0.23%	0.25%	0.16%	0.33%	2.11%	1.33%	3.66%	3.80%	0.19%	2.49%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	75313	841	880	277	862	90	811	955	888	766	817	771	715	961	1480	821	1141	446	1410	340	276	533	602	1454	1733	1309	1189	1069	619	1096	1415	941	1272	897	1040	1290	1047	720	1042	658	896	1011	737	221	237	745	746	974	1497	893	827	356	825	946	1007	1277	1463	1272	1495	584	1310	946	1193	1012	1401	251	147	233	284	1255	989	1207	1089	1065	1130	933	1390	1542	1306	989	920	60	237	221	507	213					
		61.36%	64.89%	62.95%	61.28%	62.06%	45.00%	62.97%	64.01%	63.47%	64.64%	64.08%	64.36%	59.73%	64.15%	64.43%	63.40%	76.22%	62.55%	61.46%	33.30%	36.65%	39.08%	40.11%	63.27%	75.41%	72.80%	63.01%	63.03%	41.24%	61.06%	61.60%	55.42%	74.91%	64.21%	65.99%	71.67%	65.52%	64.69%	63.81%	62.19%	64.09%	63.51%	59.34%	30.11%	28.21%	63.46%	62.85%	52.51%	78.91%	64.06%	63.81%	38.95%	63.46%	63.19%	66.25%	75.21%	63.66%	63.76%	55.80%	32.07%	63.56%	64.27%	63.02%	63.33%	60.94%	41.35%	46.52%	33.77%	34.76%	62.84%	62.12%	63.59%	64.13%	63.06%	62.88%	64.08%	63.27%	64.36%	68.88%	64.47%	64.61%	40.00%	45.66%	44.20%	97.69%	88.38%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	502	5	4	1	3	3	3	5	2	2	17	4	15	2	1	3	2	2	4	24	12	14	26	3	1	2	3	1	17	4	4	4	1	5	5	4	1	25	6	2	4	4	9	12	14	3	2	15	2	2	1	19	3	1	8	2	1	3	7	35	8	10	4	1	4	9	6	10	11	2	6	2	4	2	2	3	4	3	4	2	5	1	7	2	0	1					
		0.41%	0.39%	0.29%	0.22%	0.22%	1.50%	0.23%	0.34%	0.14%	0.17%	1.33%	0.33%	1.25%	0.13%	0.04%	0.23%	0.13%	0.28%	0.17%	2.35%	1.59%	1.03%	1.73%	0.13%	0.04%	0.11%	0.16%	0.06%	1.13%	0.22%	0.17%	0.24%	0.06%	0.36%	0.32%	0.22%	0.06%	2.25%	0.37%	0.19%	0.29%	0.25%	0.72%	1.63%	1.67%	0.26%	0.17%	0.81%	0.11%	0.14%	0.08%	2.08%	0.23%	0.07%	0.53%	0.12%	0.04%	0.15%	0.26%	1.92%	0.39%	0.68%	0.21%	0.06%	0.17%	1.48%	1.90%	1.45%	1.35%	0.10%	0.38%	0.11%	0.24%	0.12%	0.11%	0.21%	0.18%	0.13%	0.21%	0.13%	0.35%	0.67%	1.35%	0.40%	0.00%	0.41%					
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
