Выборы Президента Российской Федерации																																																																					
																																																																					
"Наименование Избирательной комиссии:    Сочи, Центральная"																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659	УИК №4660	УИК №4661	УИК №4662					
12	Число выданных открепительных удостоверений	467	4	8	2	6	15	7	6	5	4	4	2	8	5	7	3	12	2	8	4	4	5	6	2	5	9	15	11	8	11	9	7	10	5	5	6	8	5	4	5	4	7	7	6	4	6	5	70	15	11	5	5	5	5	14	4	9	7	2	4	6	10	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	767	8	5	32	0	73	12	4	83	64	36	6	9	0	6	8	10	8	3	10	7	8	2	4	2	8	3	5	3	6	5	8	12	6	4	2	4	2	1	10	1	4	1	4	6	3	52	3	5	11	1	9	40	11	12	8	4	9	57	3	21	7	16					
14	Число неиспользованных открепительных удостоверений	833	16	12	18	14	5	13	14	15	16	16	18	12	15	13	17	8	18	12	16	16	15	14	18	15	11	5	9	12	9	11	13	10	15	15	14	12	15	16	15	16	13	13	14	16	14	15	10	5	9	15	15	15	15	6	16	11	13	18	16	14	10	16					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	2938	39	43	23	16	52	48	19	65	41	34	17	30	22	42	84	62	61	64	23	115	45	54	40	32	36	53	62	70	80	47	55	7	53	83	37	48	32	27	60	36	45	42	50	43	30	24	76	68	81	25	53	55	51	68	58	49	48	27	62	59	37	30					
		4.76%	4.35%	5.19%	5.12%	1.61%	4.45%	4.50%	2.75%	5.80%	4.11%	6.37%	4.52%	5.70%	3.29%	5.10%	6.56%	5.48%	4.60%	7.13%	4.01%	7.35%	4.62%	4.72%	4.01%	4.68%	3.99%	4.24%	4.56%	5.81%	3.65%	4.92%	4.37%	1.62%	4.57%	4.20%	4.05%	5.06%	4.62%	4.67%	3.82%	4.90%	5.12%	6.15%	4.83%	4.00%	2.96%	4.27%	4.79%	5.20%	4.48%	3.25%	6.00%	5.14%	5.87%	6.16%	5.45%	7.56%	5.25%	4.58%	4.86%	4.93%	4.52%	4.26%					
19	. Малышкин Олег Александрович	581	7	1	5	5	9	9	8	12	7	3	2	4	3	8	8	10	9	7	4	20	9	11	13	11	14	10	12	16	19	10	26	6	12	26	8	7	17	6	8	0	10	3	18	6	10	4	8	12	17	10	10	12	11	6	5	4	5	7	8	13	16	4					
		0.94%	0.78%	0.12%	1.11%	0.50%	0.77%	0.84%	1.16%	1.07%	0.70%	0.56%	0.53%	0.76%	0.45%	0.97%	0.62%	0.88%	0.68%	0.78%	0.70%	1.28%	0.92%	0.96%	1.30%	1.61%	1.55%	0.80%	0.88%	1.33%	0.87%	1.05%	2.07%	1.39%	1.03%	1.32%	0.88%	0.74%	2.46%	1.04%	0.51%	0.00%	1.14%	0.44%	1.74%	0.56%	0.99%	0.71%	0.50%	0.92%	0.94%	1.30%	1.13%	1.12%	1.27%	0.54%	0.47%	0.62%	0.55%	1.19%	0.63%	1.09%	1.96%	0.57%					
20	. Миронов Сергей Михайлович	274	5	4	2	3	7	7	1	4	2	2	1	0	4	4	5	5	7	4	2	10	8	2	5	3	4	1	6	1	5	6	19	6	4	34	2	3	2	2	5	2	4	2	4	0	8	2	7	5	8	0	2	3	3	3	5	0	3	4	1	4	5	2					
		0.44%	0.56%	0.48%	0.45%	0.30%	0.60%	0.66%	0.14%	0.36%	0.20%	0.37%	0.27%	0.00%	0.60%	0.49%	0.39%	0.44%	0.53%	0.45%	0.35%	0.64%	0.82%	0.17%	0.50%	0.44%	0.44%	0.08%	0.44%	0.08%	0.23%	0.63%	1.51%	1.39%	0.34%	1.72%	0.22%	0.32%	0.29%	0.35%	0.32%	0.27%	0.46%	0.29%	0.39%	0.00%	0.79%	0.36%	0.44%	0.38%	0.44%	0.00%	0.23%	0.28%	0.35%	0.27%	0.47%	0.00%	0.33%	0.68%	0.08%	0.33%	0.61%	0.28%					
21	. Путин Владимир Владимирович	47633	728	657	322	870	873	836	543	840	828	392	261	386	496	617	955	849	1089	660	423	1166	762	936	815	557	708	973	1089	910	1878	729	946	338	884	1594	733	778	514	447	1275	598	669	513	806	817	750	424	1174	973	1431	617	661	825	613	813	763	448	658	442	932	891	627	531					
		77.19%	81.16%	79.25%	71.71%	87.44%	74.74%	78.42%	78.58%	74.93%	82.97%	73.41%	69.41%	73.38%	74.25%	74.97%	74.55%	75.00%	82.19%	73.50%	73.69%	74.55%	78.23%	81.75%	81.66%	81.43%	78.49%	77.78%	80.07%	75.52%	85.64%	76.34%	75.14%	78.06%	76.14%	80.67%	80.28%	81.98%	74.28%	77.34%	81.21%	81.36%	76.11%	75.11%	77.87%	76.07%	74.11%	75.44%	74.02%	74.39%	79.06%	80.23%	74.77%	77.10%	70.54%	73.64%	71.64%	69.14%	71.91%	75.04%	73.10%	74.44%	76.65%	75.32%					
22	. Хакамада Ирина Муцуовна	3057	30	55	35	34	73	54	49	71	31	34	17	33	48	43	77	68	42	58	20	57	49	39	28	23	39	64	44	59	59	32	76	23	54	63	44	32	40	25	70	30	49	27	39	61	68	36	105	72	68	37	48	47	45	93	60	46	73	37	69	76	43	36					
		4.95%	3.34%	6.63%	7.80%	3.42%	6.25%	5.07%	7.09%	6.33%	3.11%	6.37%	4.52%	6.27%	7.19%	5.22%	6.01%	6.01%	3.17%	6.46%	3.48%	3.64%	5.03%	3.41%	2.81%	3.36%	4.32%	5.12%	3.24%	4.90%	2.69%	3.35%	6.04%	5.31%	4.65%	3.19%	4.82%	3.37%	5.78%	4.33%	4.46%	4.08%	5.57%	3.95%	3.77%	5.68%	6.72%	6.41%	6.62%	5.50%	3.76%	4.81%	5.43%	4.39%	5.18%	8.42%	5.63%	7.10%	7.98%	6.28%	5.41%	6.35%	5.26%	5.11%					
23	. Харитонов Николай Михайлович	4698	49	56	49	46	97	76	36	85	65	45	53	48	73	66	106	99	78	73	69	123	62	67	58	34	62	93	85	99	91	89	81	29	101	111	63	46	52	47	96	51	73	65	69	100	89	44	151	111	137	51	82	88	99	81	102	69	80	37	141	102	54	64					
		7.61%	5.46%	6.76%	10.91%	4.62%	8.30%	7.13%	5.21%	7.58%	6.51%	8.43%	14.10%	9.13%	10.93%	8.02%	8.27%	8.75%	5.89%	8.13%	12.02%	7.86%	6.37%	5.85%	5.81%	4.97%	6.87%	7.43%	6.25%	8.22%	4.15%	9.32%	6.43%	6.70%	8.70%	5.62%	6.90%	4.85%	7.51%	8.13%	6.11%	6.94%	8.30%	9.52%	6.67%	9.31%	8.79%	7.83%	9.52%	8.49%	7.57%	6.63%	9.28%	8.22%	11.39%	7.34%	9.58%	10.65%	8.74%	6.28%	11.06%	8.52%	6.60%	9.08%					
																																																																					
24	Против всех	2134	30	9	11	18	57	34	26	37	24	21	23	21	22	40	42	32	35	26	24	60	28	28	27	22	33	42	51	42	58	39	56	21	42	39	22	34	30	20	47	17	25	29	36	44	44	23	55	57	49	25	25	35	46	38	66	30	37	31	50	43	26	30					
		3.46%	3.34%	1.09%	2.45%	1.81%	4.88%	3.19%	3.76%	3.30%	2.40%	3.93%	6.12%	3.99%	3.29%	4.86%	3.28%	2.83%	2.64%	2.90%	4.18%	3.84%	2.87%	2.45%	2.71%	3.22%	3.66%	3.36%	3.75%	3.49%	2.64%	4.08%	4.45%	4.85%	3.62%	1.97%	2.41%	3.58%	4.34%	3.46%	2.99%	2.31%	2.84%	4.25%	3.48%	4.10%	4.35%	4.09%	3.47%	4.36%	2.71%	3.25%	2.83%	3.27%	5.29%	3.44%	6.20%	4.63%	4.04%	5.26%	3.92%	3.59%	3.18%	4.26%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
