Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																		
Дата голосования: 18.09.2016																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Неклиновская																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																		
																																																																																																		
		Сумма	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №2381	УИК №2620	УИК №8345									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1420	10	10	10	10	30	15	5	15	30	30	30	15	10	10	5	5	10	10	25	10	10	10	10	5	5	10	30	30	30	20	10	30	30	10	10	10	10	15	5	5	5	5	10	10	10	10	50	50	50	50	30	30	40	20	20	20	25	25	15	10	10	10	10	5	15	15	40	40	10	10	20	5	5	5	5	5	20	20	20	5	20	5	15	5	0	5	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	333	0	1	6	4	8	2	1	2	7	8	3	5	0	2	0	0	0	2	12	1	3	2	2	0	0	5	2	4	13	3	6	8	7	1	9	0	4	2	5	0	1	0	1	0	0	2	15	32	13	24	6	2	1	0	1	3	15	4	5	1	2	1	6	0	4	3	15	10	0	0	3	0	0	0	2	2	6	4	6	0	0	0	2	0	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	263	1	0	2	2	1	1	1	1	2	1	3	1	1	2	3	1	1	2	1	0	3	2	16	2	1	46	4	6	1	2	1	1	3	0	0	0	3	2	4	4	2	1	5	2	2	0	19	11	3	7	0	7	4	4	3	2	2	3	3	10	3	4	1	1	2	3	0	2	1	0	1	4	1	0	0	1	3	3	4	1	1	2	2	3	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	1087	10	9	4	6	22	13	4	13	23	22	27	10	10	8	5	5	10	8	13	9	7	8	8	5	5	5	28	26	17	17	4	22	23	9	1	10	6	13	0	5	4	5	9	10	10	8	35	18	37	26	24	28	39	20	19	17	10	21	10	9	8	9	4	5	11	12	25	30	10	10	17	5	5	5	3	3	14	16	14	5	20	5	13	5	0	4	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	2	5	3	2	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	473	0	0	9	3	0	0	0	2	8	12	14	4	1	2	0	1	0	1	6	0	2	2	12	1	0	15	6	5	20	7	6	10	25	3	6	5	5	5	0	9	0	1	6	5	7	5	23	0	13	8	14	4	11	1	8	5	9	7	10	0	3	7	1	0	1	3	6	11	1	2	7	1	0	0	2	2	14	15	6	2	0	0	5	0	0	1	39									
		1.54%	0.00%	0.00%	1.80%	0.84%	0.00%	0.00%	0.00%	0.60%	2.08%	2.14%	2.93%	1.18%	1.04%	1.20%	0.00%	1.11%	0.00%	0.48%	0.80%	0.00%	0.46%	1.08%	1.96%	1.23%	0.00%	3.82%	1.45%	1.57%	3.42%	2.28%	1.54%	1.16%	2.49%	1.01%	2.79%	4.31%	1.89%	2.13%	0.00%	6.72%	0.00%	0.57%	1.98%	3.65%	2.27%	1.33%	2.56%	0.00%	1.14%	0.62%	2.46%	2.23%	1.48%	0.58%	1.42%	2.54%	1.32%	1.44%	2.14%	0.00%	1.67%	2.01%	0.40%	0.00%	0.50%	0.64%	1.72%	2.68%	0.81%	1.63%	1.65%	0.84%	0.00%	0.00%	1.57%	0.71%	2.18%	3.16%	0.87%	4.55%	0.00%	0.00%	2.65%	0.00%	0.00%	1.30%	7.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	841	1	3	12	14	8	6	1	9	15	28	16	8	4	3	2	0	0	4	21	5	6	4	20	1	8	12	7	12	12	13	14	23	42	10	5	3	6	4	2	9	5	9	11	4	11	9	23	0	33	21	26	9	11	9	10	5	24	26	5	6	4	6	14	2	13	8	23	26	4	1	8	3	0	1	5	3	25	12	26	0	4	1	7	0	2	0	13									
		2.73%	0.73%	0.91%	2.40%	3.90%	1.78%	1.64%	0.82%	2.70%	3.90%	4.98%	3.35%	2.35%	4.17%	1.81%	5.26%	0.00%	0.00%	1.90%	2.80%	4.59%	1.38%	2.15%	3.27%	1.23%	6.25%	3.05%	1.69%	3.76%	2.05%	4.23%	3.59%	2.67%	4.19%	3.38%	2.33%	2.59%	2.27%	1.70%	0.62%	6.72%	2.58%	5.17%	3.63%	2.92%	3.57%	2.39%	2.56%	0.00%	2.90%	1.62%	4.56%	5.03%	1.48%	5.20%	1.77%	2.54%	3.51%	5.36%	1.07%	3.70%	2.22%	1.72%	5.58%	2.78%	6.53%	1.69%	6.61%	6.34%	3.23%	0.81%	1.88%	2.52%	0.00%	1.11%	3.94%	1.07%	3.89%	2.53%	3.78%	0.00%	4.40%	1.69%	3.70%	0.00%	2.30%	0.00%	2.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	453	2	3	6	4	2	5	2	4	13	15	10	6	2	3	1	1	3	2	7	2	7	3	17	0	1	3	1	5	15	7	3	15	24	3	6	2	8	7	0	1	5	1	3	0	4	0	21	0	12	17	13	6	10	5	4	0	5	17	9	5	0	8	5	2	6	5	9	9	3	0	3	1	0	2	2	3	12	5	2	3	0	1	7	1	1	0	5									
		1.47%	1.46%	0.91%	1.20%	1.11%	0.44%	1.37%	1.64%	1.20%	3.38%	2.67%	2.09%	1.76%	2.08%	1.81%	2.63%	1.11%	1.66%	0.95%	0.93%	1.83%	1.61%	1.61%	2.78%	0.00%	0.78%	0.76%	0.24%	1.57%	2.57%	2.28%	0.77%	1.74%	2.39%	1.01%	2.79%	1.72%	3.03%	2.98%	0.00%	0.75%	2.58%	0.57%	0.99%	0.00%	1.30%	0.00%	2.34%	0.00%	1.06%	1.31%	2.28%	3.35%	1.35%	2.89%	0.71%	0.00%	0.73%	3.51%	1.93%	3.09%	0.00%	2.29%	1.99%	2.78%	3.02%	1.06%	2.59%	2.20%	2.42%	0.00%	0.71%	0.84%	0.00%	2.22%	1.57%	1.07%	1.87%	1.05%	0.29%	6.82%	0.00%	1.69%	3.70%	2.08%	1.15%	0.00%	0.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17528	96	215	295	221	309	251	90	195	162	230	258	242	74	112	7	75	131	132	454	50	235	109	351	58	83	204	230	137	250	157	226	452	410	165	100	61	135	105	243	79	130	110	214	97	173	210	513	1119	654	859	285	85	365	84	376	125	376	227	319	91	109	199	129	41	97	297	159	183	60	108	272	99	71	52	81	187	303	294	333	22	62	41	59	32	76	37	324									
		56.93%	70.07%	65.15%	59.12%	61.56%	68.67%	68.58%	73.77%	58.56%	42.08%	40.93%	53.97%	71.18%	77.08%	67.47%	18.42%	83.33%	72.38%	62.86%	60.61%	45.87%	54.02%	58.60%	57.45%	71.60%	64.84%	51.91%	55.56%	42.95%	42.81%	51.14%	57.95%	52.44%	40.88%	55.74%	46.51%	52.59%	51.14%	44.68%	75.00%	58.96%	67.01%	63.22%	70.63%	70.80%	56.17%	55.70%	57.19%	61.62%	57.52%	66.33%	50.00%	47.49%	49.13%	48.55%	66.55%	63.45%	54.97%	46.80%	68.31%	56.17%	60.56%	57.02%	51.39%	56.94%	48.74%	62.92%	45.69%	44.63%	48.39%	87.80%	64.00%	83.19%	50.35%	57.78%	63.78%	66.55%	47.20%	62.03%	48.40%	50.00%	68.13%	69.49%	31.22%	66.67%	87.36%	48.05%	62.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	159	1	0	4	5	1	3	0	3	5	4	4	0	0	0	0	1	1	1	0	0	9	1	3	0	2	1	2	0	7	1	3	9	9	1	3	1	1	0	0	0	0	0	2	1	2	2	6	0	5	2	2	3	0	1	0	0	10	1	1	2	3	1	0	0	5	3	2	1	2	0	1	0	0	0	0	1	4	0	6	0	0	1	2	0	0	0	1									
		0.52%	0.73%	0.00%	0.80%	1.39%	0.22%	0.82%	0.00%	0.90%	1.30%	0.71%	0.84%	0.00%	0.00%	0.00%	0.00%	1.11%	0.55%	0.48%	0.00%	0.00%	2.07%	0.54%	0.49%	0.00%	1.56%	0.25%	0.48%	0.00%	1.20%	0.33%	0.77%	1.04%	0.90%	0.34%	1.40%	0.86%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.73%	0.65%	0.53%	0.67%	0.00%	0.44%	0.15%	0.35%	1.68%	0.00%	0.58%	0.00%	0.00%	1.46%	0.21%	0.21%	1.23%	1.67%	0.29%	0.00%	0.00%	2.51%	0.64%	0.57%	0.24%	1.61%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.36%	0.62%	0.00%	0.87%	0.00%	0.00%	1.69%	1.06%	0.00%	0.00%	0.00%	0.19%									
24	"6. Политическая партия ""Гражданская Платформа"""	54	0	0	1	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	1	0	2	3	1	0	0	2	0	0	0	0	1	2	0	0	2	1	2	2	0	0	1	0	1	0	1	1	1	0	0	1	4	0	0	1	1	1	0	1	0	1	0	0	0	0	1	3	0	3	0	0	0	0	0	0	0	1									
		0.18%	0.00%	0.00%	0.20%	0.00%	0.22%	0.55%	0.00%	0.00%	0.52%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.25%	0.24%	0.00%	0.00%	0.33%	0.00%	0.23%	0.30%	0.34%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.57%	0.66%	0.00%	0.00%	0.53%	0.11%	0.11%	0.18%	0.00%	0.00%	0.56%	0.00%	0.58%	0.00%	0.51%	0.15%	0.21%	0.00%	0.00%	0.56%	1.15%	0.00%	0.00%	0.50%	0.21%	0.29%	0.00%	0.81%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.36%	0.47%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4410	14	43	74	57	76	51	22	50	56	118	67	35	9	27	28	9	22	24	63	21	51	30	86	11	18	46	81	58	96	53	54	140	191	55	38	19	49	30	36	18	39	14	30	16	47	58	150	276	167	112	89	21	59	23	68	26	95	88	45	25	26	48	34	19	20	53	62	55	20	3	55	6	5	3	13	29	104	57	166	9	14	8	62	12	3	24	26									
		14.32%	10.22%	13.03%	14.83%	15.88%	16.89%	13.93%	18.03%	15.02%	14.55%	20.99%	14.02%	10.29%	9.38%	16.27%	73.68%	10.00%	12.15%	11.43%	8.41%	19.27%	11.72%	16.13%	14.08%	13.58%	14.06%	11.70%	19.57%	18.18%	16.44%	17.26%	13.85%	16.24%	19.04%	18.58%	17.67%	16.38%	18.56%	12.77%	11.11%	13.43%	20.10%	8.05%	9.90%	11.68%	15.26%	15.38%	16.72%	15.20%	14.69%	8.65%	15.61%	11.73%	7.94%	13.29%	12.04%	13.20%	13.89%	18.14%	9.64%	15.43%	14.44%	13.75%	13.55%	26.39%	10.05%	11.23%	17.82%	13.41%	16.13%	2.44%	12.94%	5.04%	3.55%	3.33%	10.24%	10.32%	16.20%	12.03%	24.13%	20.45%	15.38%	13.56%	32.80%	25.00%	3.45%	31.17%	5.03%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	103	0	0	2	3	0	1	0	0	3	2	3	0	0	0	0	0	0	0	2	1	1	1	0	0	0	1	1	0	2	2	1	3	8	1	2	0	2	0	0	0	0	0	0	0	0	2	6	0	6	0	3	3	0	0	0	0	4	2	0	1	1	1	2	0	0	0	3	0	2	4	0	0	0	0	4	0	7	2	0	0	0	0	1	0	1	0	6									
		0.33%	0.00%	0.00%	0.40%	0.84%	0.00%	0.27%	0.00%	0.00%	0.78%	0.36%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.92%	0.23%	0.54%	0.00%	0.00%	0.00%	0.25%	0.24%	0.00%	0.34%	0.65%	0.26%	0.35%	0.80%	0.34%	0.93%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.67%	0.00%	0.53%	0.00%	0.53%	1.68%	0.00%	0.00%	0.00%	0.00%	0.58%	0.41%	0.00%	0.62%	0.56%	0.29%	0.80%	0.00%	0.00%	0.00%	0.86%	0.00%	1.61%	3.25%	0.00%	0.00%	0.00%	0.00%	3.15%	0.00%	1.09%	0.42%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	1.15%	0.00%	1.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	171	0	1	4	2	4	2	0	3	3	2	7	2	0	0	0	0	0	0	2	0	5	0	3	0	0	5	3	3	5	3	1	0	9	2	5	0	3	0	0	0	0	0	2	0	4	2	3	10	6	3	4	2	5	2	1	0	6	1	0	1	1	3	1	1	2	3	1	5	3	1	0	0	0	0	1	0	7	1	2	0	0	0	1	0	0	1	6									
		0.56%	0.00%	0.30%	0.80%	0.56%	0.89%	0.55%	0.00%	0.90%	0.78%	0.36%	1.46%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	1.15%	0.00%	0.49%	0.00%	0.00%	1.27%	0.72%	0.94%	0.86%	0.98%	0.26%	0.00%	0.90%	0.68%	2.33%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	1.30%	0.53%	0.33%	0.55%	0.53%	0.23%	0.70%	1.12%	0.67%	1.16%	0.18%	0.00%	0.88%	0.21%	0.00%	0.62%	0.56%	0.86%	0.40%	1.39%	1.01%	0.64%	0.29%	1.22%	2.42%	0.81%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	1.09%	0.21%	0.29%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	1.30%	1.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.20%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.26%	0.00%	0.10%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.08%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.44%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	194	0	0	3	4	1	0	1	2	0	8	7	2	0	0	0	0	0	2	0	1	3	1	0	0	0	7	2	3	4	0	3	7	9	2	0	2	3	0	0	0	0	4	0	1	0	2	0	8	6	3	8	2	3	0	2	1	11	5	4	2	1	3	6	0	0	2	5	2	2	0	3	0	4	0	0	1	7	2	1	1	0	0	0	0	2	0	13									
		0.63%	0.00%	0.00%	0.60%	1.11%	0.22%	0.00%	0.82%	0.60%	0.00%	1.42%	1.46%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.92%	0.69%	0.54%	0.00%	0.00%	0.00%	1.78%	0.48%	0.94%	0.68%	0.00%	0.77%	0.81%	0.90%	0.68%	0.00%	1.72%	1.14%	0.00%	0.00%	0.00%	0.00%	2.30%	0.00%	0.73%	0.00%	0.53%	0.00%	0.44%	0.53%	0.23%	1.40%	1.12%	0.40%	0.00%	0.35%	0.51%	1.61%	1.03%	0.86%	1.23%	0.56%	0.86%	2.39%	0.00%	0.00%	0.42%	1.44%	0.49%	1.61%	0.00%	0.71%	0.00%	2.84%	0.00%	0.00%	0.36%	1.09%	0.42%	0.15%	2.27%	0.00%	0.00%	0.00%	0.00%	2.30%	0.00%	2.51%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4120	15	36	60	38	41	30	4	36	105	113	68	30	3	12	0	1	21	19	73	26	54	29	83	8	14	80	57	45	76	41	54	153	200	39	28	15	36	73	42	13	8	32	22	9	44	63	109	253	163	47	93	25	87	26	75	22	94	73	54	21	20	62	43	3	33	60	62	91	16	4	40	8	10	1	16	34	128	61	115	5	8	6	30	3	0	5	65									
		13.38%	10.95%	10.91%	12.02%	10.58%	9.11%	8.20%	3.28%	10.81%	27.27%	20.11%	14.23%	8.82%	3.13%	7.23%	0.00%	1.11%	11.60%	9.05%	9.75%	23.85%	12.41%	15.59%	13.58%	9.88%	10.94%	20.36%	13.77%	14.11%	13.01%	13.36%	13.85%	17.75%	19.94%	13.18%	13.02%	12.93%	13.64%	31.06%	12.96%	9.70%	4.12%	18.39%	7.26%	6.57%	14.29%	16.71%	12.15%	13.93%	14.34%	3.63%	16.32%	13.97%	11.71%	15.03%	13.27%	11.17%	13.74%	15.05%	11.56%	12.96%	11.11%	17.77%	17.13%	4.17%	16.58%	12.71%	17.82%	22.20%	12.90%	3.25%	9.41%	6.72%	7.09%	1.11%	12.60%	12.10%	19.94%	12.87%	16.72%	11.36%	8.79%	10.17%	15.87%	6.25%	0.00%	6.49%	12.57%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	92	1	2	1	1	2	2	0	0	3	1	0	1	0	1	0	0	0	1	2	0	1	1	1	0	1	0	1	0	2	1	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	6	5	0	4	8	1	3	1	2	0	1	0	1	1	0	2	2	1	0	4	0	0	0	0	0	0	0	3	1	2	2	0	0	1	1	0	0	1	1									
		0.30%	0.73%	0.61%	0.20%	0.28%	0.44%	0.55%	0.00%	0.00%	0.78%	0.18%	0.00%	0.29%	0.00%	0.60%	0.00%	0.00%	0.00%	0.48%	0.27%	0.00%	0.23%	0.54%	0.16%	0.00%	0.78%	0.00%	0.24%	0.00%	0.34%	0.33%	0.00%	0.23%	0.50%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.22%	0.00%	0.53%	0.39%	0.00%	2.23%	1.08%	0.58%	0.53%	0.51%	0.29%	0.00%	0.21%	0.00%	0.56%	0.29%	0.00%	2.78%	1.01%	0.21%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.16%	0.42%	0.29%	0.00%	0.00%	1.69%	0.53%	0.00%	0.00%	1.30%	0.19%									
