Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Половинская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  1154					
23	. Харитонов Николай Михайлович	2000	57	213	42	46	79	43	40	42	67	25	102	48	158	145	121	69	4	21	28	77	13	90	25	20	22	67	12	118	35	27	21	52	27	16	28					
		22.43%	15.70%	39.30%	16.54%	18.04%	22.19%	27.22%	62.50%	27.63%	25.57%	19.23%	40.32%	39.02%	22.77%	18.38%	16.78%	16.39%	4.08%	20.19%	19.58%	31.30%	17.11%	16.64%	19.69%	11.17%	36.67%	17.05%	13.48%	29.95%	11.18%	28.12%	25.30%	20.16%	40.30%	28.57%	48.28%					
																																										
24	Против всех	189	12	14	8	4	4	6	0	4	3	1	6	2	23	21	11	13	1	0	4	0	2	6	1	4	1	5	0	10	8	2	1	9	1	2	0					
		2.12%	3.31%	2.58%	3.15%	1.57%	1.12%	3.80%	0.00%	2.63%	1.15%	0.77%	2.37%	1.63%	3.31%	2.66%	1.53%	3.09%	1.02%	0.00%	2.80%	0.00%	2.63%	1.11%	0.79%	2.23%	1.67%	1.27%	0.00%	2.54%	2.56%	2.08%	1.20%	3.49%	1.49%	3.57%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
