Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Аргунская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №419	УИК №427					
25	"8. ""Народно-республиканская партия России"""	14	0	1	8	0	0	0	0	0	5					
		0.10%	0.0%	0.05%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	0	0	10	0	0	0	0	2	3					
		0.11%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.22%	0.21%					
27	"10. ""Аграрная партия России"""	41	0	8	1	1	4	10	2	1	14					
		0.30%	0.0%	0.41%	0.05%	0.05%	0.4%	1.11%	0.13%	0.11%	1.01%					
28	"11. ""Истинные патриоты России"""	36	0	5	10	4	0	10	0	5	2					
		0.27%	0.0%	0.25%	0.50%	0.22%	0.0%	1.11%	0.0%	0.57%	0.14%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1627	212	393	335	60	60	58	322	182	5					
		12.25%	10.87%	20.16%	17.03%	3.33%	6.0%	6.45%	22.05%	20.84%	0.36%					
30	"13. ""Демократическая партия России"""	19	0	0	8	3	0	1	2	0	5					
		0.14%	0.0%	0.0%	0.40%	0.16%	0.0%	0.11%	0.13%	0.0%	0.36%					
31	"14. ""Великая Россия - Евразийский Союз"""	42	0	8	6	14	0	3	1	5	5					
		0.31%	0.0%	0.41%	0.30%	0.77%	0.0%	0.33%	0.06%	0.57%	0.36%					
32	"15. ""Партия СЛОН"""	9	0	2	2	2	0	0	0	1	2					
		0.06%	0.0%	0.10%	0.10%	0.11%	0.0%	0.0%	0.0%	0.11%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	147	0	7	37	51	0	2	12	17	21					
		1.10%	0.0%	0.35%	1.88%	2.83%	0.0%	0.22%	0.82%	1.94%	1.52%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	71	0	3	10	2	13	19	3	4	17					
		0.53%	0.0%	0.15%	0.50%	0.11%	1.3%	2.11%	0.20%	0.45%	1.23%					
35	"18. ""ЛДПР"""	588	0	0	121	17	9	22	5	7	407					
		4.42%	0.0%	0.0%	6.15%	0.94%	0.9%	2.44%	0.34%	0.80%	29.51%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	27	0	9	1	2	0	2	0	0	13					
		0.20%	0.0%	0.46%	0.05%	0.11%	0.0%	0.22%	0.0%	0.0%	0.94%					
37	"20. ""Политическая партия ""Единая Россия"""	8817	1499	1209	1078	1461	850	647	949	464	660					
		66.41%	76.87%	62.03%	54.83%	81.16%	85.0%	72.04%	65.0%	53.15%	47.86%					
38	"21. ""Российская Конституционно-демократическая партия"""	35	0	16	2	3	1	0	2	0	11					
		0.26%	0.0%	0.82%	0.10%	0.16%	0.1%	0.0%	0.13%	0.0%	0.79%					
39	"22. ""Развитие предпринимательства"""	12	0	3	7	0	0	0	0	0	2					
		0.09%	0.0%	0.15%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	202	0	50	27	22	15	15	21	13	39					
		1.52%	0.0%	2.56%	1.37%	1.22%	1.5%	1.67%	1.43%	1.48%	2.82%					
																
41	Против всех	154	4	9	17	7	0	23	6	9	79					
		1.16%	0.20%	0.46%	0.86%	0.38%	0.0%	2.56%	0.41%	1.03%	5.72%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
