Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
"Наименование Избирательной комиссии:    Саратов, Волжская"																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №1884									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	478	7	12	6	4	12	13	6	7	8	8	3	10	39	7	31	8	32	4	9	33	8	11	20	23	2	6	0	3	8	11	0	5	7	5	6	19	19	4	7	4	9	18	0	2	22									
		1.21%	2.03%	1.85%	1.73%	0.60%	1.10%	1.91%	0.97%	1.42%	1.67%	0.80%	0.33%	1.94%	2.01%	0.51%	2.03%	0.50%	4.15%	0.54%	0.78%	2.10%	0.90%	1.29%	1.81%	1.54%	0.41%	0.99%	0.00%	0.96%	1.50%	0.91%	0.00%	0.67%	0.79%	0.99%	1.45%	1.99%	1.93%	0.41%	0.72%	0.41%	0.86%	1.36%	0.00%	1.67%	1.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	511	6	8	4	10	4	5	8	8	7	0	8	11	58	0	19	7	11	14	7	49	4	8	26	39	3	16	0	4	6	10	0	9	7	1	4	28	16	9	17	22	14	17	1	0	6									
		1.30%	1.74%	1.23%	1.16%	1.51%	0.37%	0.74%	1.29%	1.62%	1.46%	0.00%	0.88%	2.14%	2.99%	0.00%	1.24%	0.44%	1.43%	1.88%	0.61%	3.11%	0.45%	0.94%	2.35%	2.62%	0.61%	2.63%	0.00%	1.29%	1.13%	0.83%	0.00%	1.21%	0.79%	0.20%	0.97%	2.94%	1.63%	0.92%	1.75%	2.24%	1.34%	1.28%	0.75%	0.00%	0.31%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	316	7	10	9	2	15	1	10	11	11	0	5	7	1	1	28	5	11	3	10	6	10	10	3	5	6	6	0	3	6	6	0	8	7	8	1	2	13	19	14	17	8	6	0	2	3									
		0.80%	2.03%	1.54%	2.60%	0.30%	1.37%	0.15%	1.62%	2.23%	2.30%	0.00%	0.55%	1.36%	0.05%	0.07%	1.83%	0.31%	1.43%	0.40%	0.87%	0.38%	1.12%	1.17%	0.27%	0.34%	1.22%	0.99%	0.00%	0.96%	1.13%	0.50%	0.00%	1.08%	0.79%	1.59%	0.24%	0.21%	1.32%	1.93%	1.44%	1.73%	0.76%	0.45%	0.00%	1.67%	0.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24601	174	322	179	439	704	488	218	194	194	831	574	242	1223	970	971	991	305	541	737	977	627	598	689	928	328	306	796	163	256	649	267	481	629	203	221	598	561	611	571	633	689	855	127	86	1455									
		62.46%	50.43%	49.61%	51.73%	66.21%	64.47%	71.76%	35.28%	39.27%	40.59%	83.27%	63.01%	46.99%	63.01%	71.11%	63.59%	62.17%	39.56%	72.81%	63.75%	62.07%	70.21%	70.02%	62.35%	62.32%	66.94%	50.25%	67.98%	52.41%	48.12%	53.59%	100.00%	64.74%	70.67%	40.28%	53.51%	62.75%	57.07%	62.22%	58.81%	64.39%	65.74%	64.48%	94.78%	71.67%	74.85%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	309	10	3	2	5	0	1	16	12	9	0	2	6	27	6	7	5	7	3	6	12	9	12	4	10	6	10	0	4	7	10	0	3	6	11	4	6	8	7	10	8	10	13	0	2	10									
		0.78%	2.90%	0.46%	0.58%	0.75%	0.00%	0.15%	2.59%	2.43%	1.88%	0.00%	0.22%	1.17%	1.39%	0.44%	0.46%	0.31%	0.91%	0.40%	0.52%	0.76%	1.01%	1.41%	0.36%	0.67%	1.22%	1.64%	0.00%	1.29%	1.32%	0.83%	0.00%	0.40%	0.67%	2.18%	0.97%	0.63%	0.81%	0.71%	1.03%	0.81%	0.95%	0.98%	0.00%	1.67%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	0	0	1	0	0	0	0	2	0	0	0	4	1	0	2	3	0	2	1	4	1	0	2	3	1	3	0	1	0	0	0	2	0	1	3	2	2	7	0	1	0	0	0	0	2									
		0.13%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.78%	0.05%	0.00%	0.13%	0.19%	0.00%	0.27%	0.09%	0.25%	0.11%	0.00%	0.18%	0.20%	0.20%	0.49%	0.00%	0.32%	0.00%	0.00%	0.00%	0.27%	0.00%	0.20%	0.73%	0.21%	0.20%	0.71%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.10%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3494	33	62	29	49	71	53	65	63	48	64	83	50	175	87	156	135	102	47	57	143	71	52	65	108	56	51	129	45	65	143	0	70	79	75	86	83	105	91	105	78	84	146	1	9	125									
		8.87%	9.57%	9.55%	8.38%	7.39%	6.50%	7.79%	10.52%	12.75%	10.04%	6.41%	9.11%	9.71%	9.02%	6.38%	10.22%	8.47%	13.23%	6.33%	4.93%	9.09%	7.95%	6.09%	5.88%	7.25%	11.43%	8.37%	11.02%	14.47%	12.22%	11.81%	0.00%	9.42%	8.88%	14.88%	20.82%	8.71%	10.68%	9.27%	10.81%	7.93%	8.02%	11.01%	0.75%	7.50%	6.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	386	3	24	8	16	10	2	27	22	18	0	12	7	2	3	3	2	11	7	7	2	17	11	9	1	5	22	0	2	4	25	0	10	5	10	6	7	10	5	18	13	11	0	0	1	8									
		0.98%	0.87%	3.70%	2.31%	2.41%	0.92%	0.29%	4.37%	4.45%	3.77%	0.00%	1.32%	1.36%	0.10%	0.22%	0.20%	0.13%	1.43%	0.94%	0.61%	0.13%	1.90%	1.29%	0.81%	0.07%	1.02%	3.61%	0.00%	0.64%	0.75%	2.06%	0.00%	1.35%	0.56%	1.98%	1.45%	0.73%	1.02%	0.51%	1.85%	1.32%	1.05%	0.00%	0.00%	0.83%	0.41%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	464	5	12	9	11	32	6	15	16	11	4	10	6	25	4	12	3	31	15	9	15	9	16	8	13	7	23	0	3	15	10	0	7	3	8	3	10	15	2	14	8	16	13	0	0	10									
		1.18%	1.45%	1.85%	2.60%	1.66%	2.93%	0.88%	2.43%	3.24%	2.30%	0.40%	1.10%	1.17%	1.29%	0.29%	0.79%	0.19%	4.02%	2.02%	0.78%	0.95%	1.01%	1.87%	0.72%	0.87%	1.43%	3.78%	0.00%	0.96%	2.82%	0.83%	0.00%	0.94%	0.34%	1.59%	0.73%	1.05%	1.53%	0.20%	1.44%	0.81%	1.53%	0.98%	0.00%	0.00%	0.51%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	48	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	9	0	0	6	7	2	1	0	0	0	0	0	1	0	0	1	6	0	3	1	0	2	1	0	1	1									
		0.12%	0.29%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.54%	0.47%	0.41%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.24%	0.63%	0.00%	0.31%	0.10%	0.00%	0.19%	0.08%	0.00%	0.83%	0.05%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1601	13	72	38	34	72	23	72	37	42	30	49	37	19	13	32	58	48	31	131	17	32	35	41	15	15	32	22	17	41	61	0	4	13	39	6	10	40	9	25	29	24	38	1	1	183									
		4.06%	3.77%	11.09%	10.98%	5.13%	6.59%	3.38%	11.65%	7.49%	8.79%	3.01%	5.38%	7.18%	0.98%	0.95%	2.10%	3.64%	6.23%	4.17%	11.33%	1.08%	3.58%	4.10%	3.71%	1.01%	3.06%	5.25%	1.88%	5.47%	7.71%	5.04%	0.00%	0.54%	1.46%	7.74%	1.45%	1.05%	4.07%	0.92%	2.57%	2.95%	2.29%	2.87%	0.75%	0.83%	9.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4360	45	76	35	55	91	69	84	70	62	36	108	45	225	242	171	286	120	53	130	189	60	67	177	226	38	75	153	43	85	174	0	91	71	63	41	113	104	116	107	103	105	127	3	12	14									
		11.07%	13.04%	11.71%	10.12%	8.30%	8.33%	10.15%	13.59%	14.17%	12.97%	3.61%	11.86%	8.74%	11.59%	17.74%	11.20%	17.94%	15.56%	7.13%	11.25%	12.01%	6.72%	7.85%	16.02%	15.18%	7.76%	12.32%	13.07%	13.83%	15.98%	14.37%	0.00%	12.25%	7.98%	12.50%	9.93%	11.86%	10.58%	11.81%	11.02%	10.48%	10.02%	9.58%	2.24%	10.00%	0.72%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	254	6	2	1	3	1	2	6	2	4	0	3	2	29	1	22	2	3	2	1	24	2	0	17	22	1	1	0	2	3	2	0	3	1	2	1	11	3	37	3	5	3	6	0	0	13									
		0.64%	1.74%	0.31%	0.29%	0.45%	0.09%	0.29%	0.97%	0.40%	0.84%	0.00%	0.33%	0.39%	1.49%	0.07%	1.44%	0.13%	0.39%	0.27%	0.09%	1.52%	0.22%	0.00%	1.54%	1.48%	0.20%	0.16%	0.00%	0.64%	0.56%	0.17%	0.00%	0.40%	0.11%	0.40%	0.24%	1.15%	0.31%	3.77%	0.31%	0.51%	0.29%	0.45%	0.00%	0.00%	0.67%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2154	30	42	20	27	64	13	74	37	56	23	40	23	116	30	71	87	71	16	51	94	38	29	38	89	16	45	71	16	25	99	0	47	53	67	23	58	64	59	60	51	68	73	1	4	75									
		5.47%	8.70%	6.47%	5.78%	4.07%	5.86%	1.91%	11.97%	7.49%	11.72%	2.30%	4.39%	4.47%	5.98%	2.20%	4.65%	5.46%	9.21%	2.15%	4.41%	5.97%	4.26%	3.40%	3.44%	5.98%	3.27%	7.39%	6.06%	5.14%	4.70%	8.18%	0.00%	6.33%	5.96%	13.29%	5.57%	6.09%	6.51%	6.01%	6.18%	5.19%	6.49%	5.51%	0.75%	3.33%	3.86%									
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
