Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																										
Дата голосования: 04.12.2011																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Лискинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1364	15	20	35	20	25	23	25	30	30	15	30	27	12	20	15	10	28	20	5	23	30	10	45	13	35	20	31	30	25	15	42	30	25	20	10	13	25	20	10	5	10	12	15	10	8	10	5	10	13	10	10	5	10	15	20	5	5	5	30	9	10	10	10	26	30	30	20	15	23	25	11	5	5	5	7	5	8	5	5	5	5	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1202	13	16	32	20	20	23	22	23	27	13	30	26	12	20	15	8	24	20	0	21	28	9	40	12	32	20	30	26	25	15	39	26	23	20	9	13	21	16	10	5	6	12	15	8	5	8	3	10	13	9	9	2	10	10	16	0	0	3	21	9	10	10	5	26	26	28	20	13	23	19	10	2	1	4	5	4	8	5	2	3	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1075	14	2	19	32	9	28	30	11	22	10	12	13	7	13	21	11	16	21	8	17	19	22	27	15	34	7	6	15	20	10	29	34	12	22	19	6	5	6	5	4	7	6	5	14	15	9	5	4	6	7	4	5	11	6	7	105	4	4	7	8	15	3	3	11	10	6	5	15	14	10	3	7	4	6	8	4	4	5	5	7	4	39	15					
14	Число погашенных неиспользованных открепительных удостоверений	162	2	4	3	0	5	0	3	7	3	2	0	1	0	0	0	2	4	0	5	2	2	1	5	1	3	0	1	4	0	0	3	4	2	0	1	0	4	4	0	0	4	0	0	2	3	2	2	0	0	1	1	3	0	5	4	5	5	2	9	0	0	0	5	0	4	2	0	2	0	6	1	3	4	1	2	1	0	0	3	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	107	7	3	3	2	4	6	6	6	7	1	2	1	1	2	2	3	0	1	0	5	5	0	3	3	2	0	3	2	2	3	4	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6809	82	93	153	130	71	35	111	131	134	54	115	106	52	169	172	107	121	117	25	151	125	158	62	102	113	69	102	115	174	87	159	59	126	104	19	25	24	70	52	13	199	52	39	16	42	44	10	128	44	47	40	17	153	145	143	78	21	53	160	41	51	41	43	143	138	112	83	54	67	96	80	42	6	36	33	20	89	56	97	71	68	15	9					
		10.27%	9.65%	9.11%	11.97%	14.05%	8.79%	3.15%	15.23%	11.80%	10.32%	8.14%	13.59%	9.20%	7.33%	19.65%	13.55%	10.36%	9.76%	12.99%	11.42%	16.25%	10.74%	15.99%	4.92%	14.33%	13.11%	8.20%	10.26%	11.15%	17.14%	8.45%	14.03%	6.70%	16.15%	10.53%	2.35%	4.11%	2.42%	6.28%	8.87%	7.51%	14.28%	12.35%	13.18%	11.43%	4.68%	6.61%	8.26%	14.73%	5.13%	6.84%	4.25%	3.72%	14.46%	14.65%	20.61%	12.68%	5.00%	6.47%	10.83%	8.65%	4.76%	5.91%	5.95%	12.42%	12.44%	14.55%	8.59%	10.63%	7.10%	12.09%	14.26%	10.97%	5.83%	8.74%	6.92%	7.27%	12.71%	8.85%	12.03%	8.56%	7.90%	9.38%	4.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4083	27	54	52	93	70	22	112	94	47	87	137	25	78	103	94	11	32	94	34	101	32	44	55	90	113	31	15	28	125	64	42	14	25	98	30	21	37	19	64	25	112	46	24	5	27	34	13	75	45	39	10	7	118	100	84	59	17	11	139	8	21	27	4	123	1	56	3	51	10	29	53	29	7	41	46	20	61	49	42	29	60	0	9					
		6.16%	3.18%	5.29%	4.07%	10.05%	8.66%	1.98%	15.36%	8.47%	3.62%	13.12%	16.19%	2.17%	11.00%	11.98%	7.41%	1.06%	2.58%	10.43%	15.53%	10.87%	2.75%	4.45%	4.37%	12.64%	13.11%	3.69%	1.51%	2.72%	12.32%	6.21%	3.71%	1.59%	3.21%	9.92%	3.70%	3.45%	3.73%	1.71%	10.92%	14.45%	8.03%	10.93%	8.11%	3.57%	3.01%	5.11%	10.74%	8.63%	5.24%	5.68%	1.06%	1.53%	11.15%	10.10%	12.10%	9.59%	4.05%	1.34%	9.41%	1.69%	1.96%	3.89%	0.55%	10.69%	0.09%	7.27%	0.31%	10.04%	1.06%	3.65%	9.45%	7.57%	6.80%	9.95%	9.64%	7.27%	8.71%	7.74%	5.21%	3.50%	6.97%	0.00%	4.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	303	2	4	0	4	5	0	9	0	10	3	7	7	9	6	6	1	3	2	2	10	3	3	8	10	6	2	9	3	7	3	14	10	7	10	0	3	5	3	0	1	0	1	4	0	1	3	0	8	5	2	4	0	4	6	5	4	3	0	7	0	3	5	0	10	1	0	0	2	0	0	4	2	0	2	0	0	3	5	2	5	4	0	1					
		0.46%	0.24%	0.39%	0.00%	0.43%	0.62%	0.00%	1.23%	0.00%	0.77%	0.45%	0.83%	0.61%	1.27%	0.70%	0.47%	0.10%	0.24%	0.22%	0.91%	1.08%	0.26%	0.30%	0.63%	1.40%	0.70%	0.24%	0.91%	0.29%	0.69%	0.29%	1.24%	1.14%	0.90%	1.01%	0.00%	0.49%	0.50%	0.27%	0.00%	0.58%	0.00%	0.24%	1.35%	0.00%	0.11%	0.45%	0.00%	0.92%	0.58%	0.29%	0.43%	0.00%	0.38%	0.61%	0.72%	0.65%	0.71%	0.00%	0.47%	0.00%	0.28%	0.72%	0.00%	0.87%	0.09%	0.00%	0.00%	0.39%	0.00%	0.00%	0.71%	0.52%	0.00%	0.49%	0.00%	0.00%	0.43%	0.79%	0.25%	0.60%	0.46%	0.00%	0.52%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7836	141	75	101	189	134	75	147	202	256	88	166	136	144	128	209	79	169	132	36	195	232	46	222	161	196	141	92	101	140	108	226	98	170	164	116	51	12	14	68	24	143	45	35	15	73	60	11	104	35	23	17	9	140	124	92	108	16	9	163	12	21	32	15	106	161	129	10	95	185	69	65	27	12	48	77	34	60	14	80	23	124	13	18					
		11.81%	16.59%	7.35%	7.90%	20.43%	16.58%	6.75%	20.16%	18.20%	19.72%	13.27%	19.62%	11.81%	20.31%	14.88%	16.47%	7.65%	13.63%	14.65%	16.44%	20.99%	19.93%	4.66%	17.62%	22.61%	22.74%	16.77%	9.26%	9.80%	13.79%	10.49%	19.95%	11.12%	21.79%	16.60%	14.32%	8.37%	1.21%	1.26%	11.60%	13.87%	10.26%	10.69%	11.82%	10.71%	8.13%	9.01%	9.09%	11.97%	4.08%	3.35%	1.81%	1.97%	13.23%	12.53%	13.26%	17.56%	3.81%	1.10%	11.04%	2.53%	1.96%	4.61%	2.07%	9.21%	14.52%	16.75%	1.04%	18.70%	19.62%	8.69%	11.59%	7.05%	11.65%	11.65%	16.14%	12.36%	8.57%	2.21%	9.93%	2.77%	14.40%	8.13%	9.38%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	547	2	17	6	20	14	5	11	33	13	6	10	7	3	18	6	4	3	9	8	28	2	7	16	13	15	4	4	5	14	9	15	12	10	16	6	1	1	1	7	0	6	4	4	1	0	4	0	9	7	3	4	0	8	9	5	14	3	0	14	2	4	4	3	14	1	9	0	3	0	1	4	8	0	0	1	0	4	3	0	8	1	1	0					
		0.82%	0.24%	1.67%	0.47%	2.16%	1.73%	0.45%	1.51%	2.97%	1.00%	0.90%	1.18%	0.61%	0.42%	2.09%	0.47%	0.39%	0.24%	0.99%	3.65%	3.01%	0.17%	0.71%	1.27%	1.83%	1.74%	0.48%	0.40%	0.48%	1.38%	0.87%	1.32%	1.36%	1.28%	1.62%	0.74%	0.16%	0.10%	0.09%	1.19%	0.00%	0.43%	0.95%	1.35%	0.71%	0.00%	0.60%	0.00%	1.04%	0.82%	0.44%	0.43%	0.00%	0.76%	0.91%	0.72%	2.28%	0.71%	0.00%	0.95%	0.42%	0.37%	0.58%	0.41%	1.22%	0.09%	1.17%	0.00%	0.59%	0.00%	0.13%	0.71%	2.09%	0.00%	0.00%	0.21%	0.00%	0.57%	0.47%	0.00%	0.97%	0.12%	0.63%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	45890	591	765	958	475	506	964	319	616	806	415	391	803	415	424	756	827	908	529	113	434	763	721	878	318	405	588	759	769	542	759	667	669	421	586	635	497	911	1006	369	107	907	270	186	103	721	465	83	536	719	565	865	422	612	589	358	349	357	739	974	404	967	582	654	744	806	453	870	294	679	597	351	271	77	283	318	200	479	499	582	690	599	131	155					
		69.18%	69.53%	74.93%	74.96%	51.35%	62.62%	86.77%	43.76%	55.50%	62.10%	62.59%	46.22%	69.70%	58.53%	49.30%	59.57%	80.06%	73.23%	58.71%	51.60%	46.72%	65.55%	72.98%	69.68%	44.66%	46.98%	69.92%	76.36%	74.59%	53.40%	73.69%	58.87%	75.94%	53.97%	59.31%	78.40%	81.61%	91.74%	90.31%	62.97%	61.85%	65.06%	64.13%	62.84%	73.57%	80.29%	69.82%	68.60%	61.68%	83.80%	82.24%	91.92%	92.34%	57.84%	59.49%	51.59%	56.75%	85.00%	90.23%	65.94%	85.23%	90.29%	83.86%	90.46%	64.64%	72.68%	58.83%	90.06%	57.87%	72.00%	75.19%	62.57%	70.76%	74.76%	68.69%	66.67%	72.73%	68.43%	78.83%	72.21%	83.23%	69.57%	81.88%	80.73%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	171	3	3	0	10	1	1	5	11	11	3	2	3	1	0	5	4	2	4	0	4	3	2	5	7	1	1	5	5	6	0	4	4	3	2	1	0	2	1	0	0	3	0	1	0	1	0	0	3	0	1	1	0	2	2	3	3	2	0	1	0	0	0	0	2	1	5	0	4	0	2	1	1	0	0	1	0	3	2	1	0	0	0	0					
		0.26%	0.35%	0.29%	0.00%	1.08%	0.12%	0.09%	0.69%	0.99%	0.85%	0.45%	0.24%	0.26%	0.14%	0.00%	0.39%	0.39%	0.16%	0.44%	0.00%	0.43%	0.26%	0.20%	0.40%	0.98%	0.12%	0.12%	0.50%	0.48%	0.59%	0.00%	0.35%	0.45%	0.38%	0.20%	0.12%	0.00%	0.20%	0.09%	0.00%	0.00%	0.22%	0.00%	0.34%	0.00%	0.11%	0.00%	0.00%	0.35%	0.00%	0.15%	0.11%	0.00%	0.19%	0.20%	0.43%	0.49%	0.48%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.17%	0.09%	0.65%	0.00%	0.79%	0.00%	0.25%	0.18%	0.26%	0.00%	0.00%	0.21%	0.00%	0.43%	0.32%	0.12%	0.00%	0.00%	0.00%	0.00%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
