Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																									
Дата голосования: 02.12.2007																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Лискинская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1583	26	17	30	31	26	35	23	33	36	32	18	25	23	17	29	18	20	17	2	33	20	17	29	18	23	17	25	15	19	13	25	25	65	6	1	2	20	20	39	25	19	15	5	8	8	10	5	8	5	0	26	5	25	30	20	15	5	60	38	25	33	26	20	16	23	25	18	10	16	75	10	5	3	5	8	3	13	17	10	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1565	24	16	30	31	26	34	23	32	35	32	18	25	23	17	29	18	20	17	2	33	20	17	27	18	23	17	25	15	19	13	25	25	65	6	1	2	20	20	39	25	19	15	5	8	8	10	5	8	5	0	26	5	25	30	20	15	3	58	38	25	29	26	20	16	23	25	18	10	16	75	10	5	3	4	7	3	13	17	10	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1588	40	32	22	37	29	24	114	18	42	93	96	19	13	18	148	22	21	45	3	27	20	19	23	33	17	6	20	19	76	11	25	13	17	1	6	5	7	4	12	5	9	4	9	4	7	8	4	5	4	2	6	6	7	8	6	95	5	9	4	5	10	11	7	7	5	28	0	3	5	5	7	8	5	6	1	3	12	7	4	16	24	5					
14	Число погашенных неиспользованных открепительных удостоверений	18	2	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	317	3	2	4	3	7	5	9	3	13	14	10	8	6	6	14	25	8	4	1	7	10	7	6	9	6	6	17	9	7	10	7	4	11	0	1	1	0	0	0	1	3	0	0	1	1	1	2	0	0	0	4	5	0	2	0	1	0	5	8	4	3	4	2	2	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																									
18	1.Политическая партия «Аграрная партия России»	1000	25	19	18	25	18	8	19	24	13	17	11	8	11	23	19	22	7	9	1	30	19	0	22	15	21	13	32	13	17	13	19	16	14	10	10	21	7	15	9	0	18	7	6	2	13	17	4	8	6	0	14	9	14	22	13	6	10	18	22	7	15	13	17	18	10	13	2	4	3	19	8	3	0	3	7	3	6	7	14	1	3	2					
		1.41%	2.40%	1.80%	1.63%	1.96%	1.56%	0.62%	1.71%	1.80%	0.85%	1.03%	1.03%	0.59%	1.15%	2.20%	1.48%	1.25%	0.52%	1.00%	0.44%	2.08%	1.30%	0.00%	1.79%	1.53%	1.78%	1.42%	2.63%	1.14%	1.56%	1.33%	1.71%	1.92%	0.93%	1.19%	1.28%	2.46%	0.81%	1.44%	1.51%	0.00%	1.28%	1.41%	1.83%	1.38%	1.56%	2.69%	3.25%	1.87%	3.28%	0.00%	1.52%	2.74%	1.48%	1.61%	1.49%	0.81%	2.44%	2.03%	1.66%	1.87%	1.51%	1.91%	2.66%	1.76%	0.85%	1.14%	0.22%	0.69%	0.29%	2.26%	1.50%	0.76%	0.00%	0.81%	1.26%	0.95%	0.97%	0.97%	1.65%	0.43%	1.90%	2.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	303	4	9	8	9	10	9	11	6	10	5	3	4	4	4	9	10	8	7	1	18	11	1	8	6	10	6	10	2	4	9	13	5	2	1	0	3	0	0	1	1	5	1	2	0	1	1	0	1	1	0	2	0	4	6	3	3	2	0	4	2	1	0	4	2	3	4	0	0	0	1	0	3	0	0	0	1	1	2	0	1	0	0					
		0.43%	0.38%	0.85%	0.72%	0.70%	0.87%	0.70%	0.99%	0.45%	0.66%	0.30%	0.28%	0.30%	0.42%	0.38%	0.70%	0.57%	0.59%	0.78%	0.44%	1.25%	0.75%	0.08%	0.65%	0.61%	0.85%	0.66%	0.82%	0.17%	0.37%	0.92%	1.17%	0.60%	0.13%	0.12%	0.00%	0.35%	0.00%	0.00%	0.17%	0.51%	0.36%	0.20%	0.61%	0.00%	0.12%	0.16%	0.00%	0.23%	0.55%	0.00%	0.22%	0.00%	0.42%	0.44%	0.34%	0.41%	0.49%	0.00%	0.30%	0.53%	0.10%	0.00%	0.63%	0.20%	0.26%	0.35%	0.00%	0.00%	0.00%	0.12%	0.00%	0.76%	0.00%	0.00%	0.00%	0.32%	0.16%	0.28%	0.00%	0.43%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	55	2	0	0	2	2	0	0	1	3	0	4	1	2	1	0	1	2	0	0	2	0	1	2	0	1	0	1	1	3	0	0	0	2	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0					
		0.08%	0.19%	0.00%	0.00%	0.16%	0.17%	0.00%	0.00%	0.08%	0.20%	0.00%	0.37%	0.07%	0.21%	0.10%	0.00%	0.06%	0.15%	0.00%	0.00%	0.14%	0.00%	0.08%	0.16%	0.00%	0.08%	0.00%	0.08%	0.09%	0.27%	0.00%	0.00%	0.00%	0.13%	0.12%	0.13%	0.00%	0.12%	0.10%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.22%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.26%	0.00%	0.00%	0.10%	0.12%	0.19%	0.25%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6910	105	100	119	142	191	110	134	207	236	213	105	94	93	116	159	163	118	107	22	202	146	89	184	130	195	109	143	133	121	106	147	127	123	59	35	81	64	69	46	23	84	35	25	13	74	20	10	35	25	6	68	22	79	108	46	83	27	75	141	34	78	64	35	79	105	49	42	50	69	73	26	19	19	30	38	25	57	46	81	22	13	14					
		9.76%	10.10%	9.49%	10.75%	11.12%	16.54%	8.52%	12.05%	15.53%	15.50%	12.96%	9.79%	6.98%	9.70%	11.09%	12.42%	9.30%	8.70%	11.94%	9.73%	13.99%	9.99%	7.32%	14.97%	13.24%	16.50%	11.93%	11.75%	11.64%	11.08%	10.88%	13.23%	15.25%	8.17%	7.05%	4.48%	9.48%	7.43%	6.64%	7.69%	11.73%	5.97%	7.04%	7.62%	8.97%	8.86%	3.16%	8.13%	8.18%	13.66%	5.94%	7.38%	6.69%	8.33%	7.92%	5.27%	11.22%	6.60%	8.47%	10.67%	9.09%	7.85%	9.38%	5.48%	7.73%	8.93%	4.28%	4.67%	8.62%	6.69%	8.67%	4.87%	4.83%	15.83%	8.11%	6.86%	7.89%	9.19%	6.35%	9.55%	9.48%	8.23%	15.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	142	6	4	6	4	5	3	2	4	5	5	3	2	2	4	2	7	5	4	0	5	6	4	5	3	6	2	4	3	2	2	1	1	0	0	0	0	0	2	1	0	1	1	1	0	1	0	1	1	0	0	2	0	3	0	0	1	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1					
		0.20%	0.58%	0.38%	0.54%	0.31%	0.43%	0.23%	0.18%	0.30%	0.33%	0.30%	0.28%	0.15%	0.21%	0.38%	0.16%	0.40%	0.37%	0.45%	0.00%	0.35%	0.41%	0.33%	0.41%	0.31%	0.51%	0.22%	0.33%	0.26%	0.18%	0.21%	0.09%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.17%	0.00%	0.07%	0.20%	0.30%	0.00%	0.12%	0.00%	0.81%	0.23%	0.00%	0.00%	0.22%	0.00%	0.32%	0.00%	0.00%	0.14%	0.00%	0.00%	0.23%	0.00%	0.10%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.12%	0.43%	0.63%	1.11%					
23	6.Политическая партия «Партия социальной справедливости»	150	1	2	1	2	3	9	2	5	6	4	2	0	3	1	2	2	5	0	2	4	5	4	5	2	4	1	3	8	4	2	7	3	3	0	3	0	0	0	1	0	13	0	0	1	0	4	0	0	0	0	0	0	0	2	2	0	0	1	2	0	2	1	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	1					
		0.21%	0.10%	0.19%	0.09%	0.16%	0.26%	0.70%	0.18%	0.38%	0.39%	0.24%	0.19%	0.00%	0.31%	0.10%	0.16%	0.11%	0.37%	0.00%	0.88%	0.28%	0.34%	0.33%	0.41%	0.20%	0.34%	0.11%	0.25%	0.70%	0.37%	0.21%	0.63%	0.36%	0.20%	0.00%	0.38%	0.00%	0.00%	0.00%	0.17%	0.00%	0.92%	0.00%	0.00%	0.69%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.23%	0.00%	0.00%	0.11%	0.15%	0.00%	0.20%	0.15%	0.16%	0.29%	0.00%	0.09%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.12%	0.00%	1.27%	1.11%					
24	7.Политическая партия «Либерально-демократическая партия России»	6914	121	117	124	118	130	170	149	142	202	211	153	125	117	141	148	206	86	98	26	156	189	85	102	126	146	106	159	102	136	124	146	99	73	79	47	63	39	92	53	11	135	48	29	10	60	1	6	26	6	1	95	35	77	121	74	20	29	78	172	52	148	67	44	103	88	44	51	30	61	69	59	30	4	28	25	31	53	66	77	29	8	7					
		9.77%	11.63%	11.10%	11.20%	9.24%	11.26%	13.17%	13.40%	10.65%	13.26%	12.83%	14.26%	9.29%	12.20%	13.48%	11.56%	11.75%	6.34%	10.94%	11.50%	10.80%	12.93%	6.99%	8.30%	12.83%	12.35%	11.60%	13.06%	8.92%	12.45%	12.73%	13.14%	11.88%	4.85%	9.44%	6.01%	7.38%	4.53%	8.85%	8.86%	5.61%	9.59%	9.66%	8.84%	6.90%	7.19%	0.16%	4.88%	6.07%	3.28%	0.99%	10.30%	10.64%	8.12%	8.87%	8.48%	2.70%	7.09%	8.81%	13.01%	13.90%	14.89%	9.82%	6.89%	10.08%	7.48%	3.84%	5.67%	5.17%	5.91%	8.19%	11.05%	7.63%	3.33%	7.57%	4.51%	9.78%	8.55%	9.12%	9.08%	12.50%	5.06%	7.78%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6494	100	92	110	156	184	153	117	118	145	208	112	127	104	116	178	152	119	142	20	172	185	150	180	74	145	114	182	145	152	90	130	98	127	49	63	52	77	84	30	20	63	33	46	7	45	29	6	29	15	0	57	30	45	92	57	47	29	78	114	29	83	61	51	93	19	60	41	20	63	64	30	17	0	17	35	20	41	51	56	35	11	3					
		9.18%	9.62%	8.73%	9.94%	12.22%	15.93%	11.85%	10.52%	8.85%	9.52%	12.65%	10.44%	9.44%	10.84%	11.09%	13.91%	8.67%	8.77%	15.85%	8.85%	11.91%	12.65%	12.34%	14.65%	7.54%	12.27%	12.47%	14.95%	12.69%	13.92%	9.24%	11.70%	11.76%	8.43%	5.85%	8.06%	6.09%	8.94%	8.08%	5.02%	10.20%	4.47%	6.64%	14.02%	4.83%	5.39%	4.58%	4.88%	6.78%	8.20%	0.00%	6.18%	9.12%	4.75%	6.74%	6.53%	6.35%	7.09%	8.81%	8.62%	7.75%	8.35%	8.94%	7.98%	9.10%	1.62%	5.24%	4.56%	3.45%	6.10%	7.60%	5.62%	4.33%	0.00%	4.59%	6.32%	6.31%	6.61%	7.04%	6.60%	15.09%	6.96%	3.33%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	426	7	3	12	16	14	7	6	14	11	18	6	6	5	9	12	14	2	5	4	11	9	10	10	6	13	1	12	6	7	8	5	2	15	5	1	1	2	1	2	0	9	2	2	2	3	2	2	3	1	0	1	0	5	8	2	2	0	3	10	3	2	10	4	3	5	7	0	5	6	8	2	0	0	4	1	1	0	0	8	1	0	1					
		0.60%	0.67%	0.28%	1.08%	1.25%	1.21%	0.54%	0.54%	1.05%	0.72%	1.09%	0.56%	0.45%	0.52%	0.86%	0.94%	0.80%	0.15%	0.56%	1.77%	0.76%	0.62%	0.82%	0.81%	0.61%	1.10%	0.11%	0.99%	0.52%	0.64%	0.82%	0.45%	0.24%	0.99%	0.60%	0.13%	0.12%	0.23%	0.10%	0.33%	0.00%	0.64%	0.40%	0.61%	1.38%	0.36%	0.32%	1.63%	0.70%	0.55%	0.00%	0.11%	0.00%	0.53%	0.59%	0.23%	0.27%	0.00%	0.34%	0.76%	0.80%	0.20%	1.47%	0.63%	0.29%	0.43%	0.61%	0.00%	0.86%	0.58%	0.95%	0.37%	0.00%	0.00%	1.08%	0.18%	0.32%	0.00%	0.00%	0.94%	0.43%	0.00%	1.11%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	46708	625	645	677	781	567	799	651	778	853	922	655	955	604	606	709	1137	993	509	145	804	864	856	688	590	612	548	654	674	614	608	610	449	1057	623	616	615	592	761	449	139	1077	359	214	110	633	482	93	317	129	94	676	210	709	989	661	573	306	619	832	231	661	457	468	705	935	866	718	453	821	600	405	316	97	287	426	235	447	547	604	137	118	57					
		66.01%	60.10%	61.20%	61.16%	61.16%	49.09%	61.89%	58.54%	58.36%	56.01%	56.08%	61.04%	70.95%	62.98%	57.93%	55.39%	64.86%	73.18%	56.81%	64.16%	55.68%	59.10%	70.39%	55.98%	60.08%	51.78%	59.96%	53.74%	58.97%	56.23%	62.42%	54.91%	53.90%	70.19%	74.43%	78.77%	72.01%	68.76%	73.24%	75.08%	70.92%	76.49%	72.23%	65.24%	75.86%	75.81%	76.15%	75.61%	74.07%	70.49%	93.07%	73.32%	63.83%	74.79%	72.51%	75.72%	77.43%	74.82%	69.94%	62.93%	61.76%	66.50%	67.01%	73.24%	68.98%	79.51%	75.63%	79.78%	78.10%	79.55%	71.26%	75.84%	80.41%	80.83%	77.57%	76.90%	74.13%	72.10%	75.55%	71.23%	59.05%	74.68%	63.33%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	420	5	5	15	10	13	16	7	19	21	19	5	3	6	10	7	6	9	5	3	11	9	2	11	19	10	3	6	7	10	5	13	10	5	3	3	0	1	10	3	0	3	2	1	0	2	1	0	2	0	0	5	1	6	7	4	5	5	1	5	2	1	5	4	4	2	6	3	0	0	4	2	1	0	1	1	1	2	2	0	2	1	1					
		0.59%	0.48%	0.47%	1.36%	0.78%	1.13%	1.24%	0.63%	1.43%	1.38%	1.16%	0.47%	0.22%	0.63%	0.96%	0.55%	0.34%	0.66%	0.56%	1.33%	0.76%	0.62%	0.16%	0.90%	1.93%	0.85%	0.33%	0.49%	0.61%	0.92%	0.51%	1.17%	1.20%	0.33%	0.36%	0.38%	0.00%	0.12%	0.96%	0.50%	0.00%	0.21%	0.40%	0.30%	0.00%	0.24%	0.16%	0.00%	0.47%	0.00%	0.00%	0.54%	0.30%	0.63%	0.51%	0.46%	0.68%	1.22%	0.11%	0.38%	0.53%	0.10%	0.73%	0.63%	0.39%	0.17%	0.52%	0.33%	0.00%	0.00%	0.48%	0.37%	0.25%	0.00%	0.27%	0.18%	0.32%	0.32%	0.28%	0.00%	0.86%	0.63%	1.11%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
