Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Краснинская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517					
		0.42%	1.54%	0.42%	0.75%	0.0%	0.0%	0.84%	0.37%	0.38%	0.89%	0.48%	0.82%	0.22%	0.0%	0.0%	0.0%	0.57%	0.61%	0.0%	0.64%	0.43%	0.82%	0.0%	0.25%	0.0%	0.0%	1.21%	0.51%	1.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	0	0	0	1	0	2	0	1	2	3	0	3	4	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0					
		0.28%	0.0%	0.0%	0.0%	0.58%	0.0%	0.56%	0.0%	0.12%	0.89%	1.46%	0.0%	0.22%	0.58%	0.0%	2.40%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	1.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	35	0	0	0	0	0	1	3	7	6	0	0	9	0	0	0	0	2	0	0	3	1	0	2	0	0	0	1	0					
		0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	1.11%	0.89%	2.67%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	1.29%	0.41%	0.0%	0.50%	0.0%	0.0%	0.0%	0.51%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0					
		0.15%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.14%	0.0%	0.0%	1.15%	0.30%	0.0%	0.0%	0.43%	0.0%	1.13%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	1	0	0	0	1	1	1	0	1	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	2	0	0	1					
		0.18%	0.51%	0.0%	0.0%	0.0%	0.87%	0.28%	0.37%	0.0%	0.44%	0.0%	1.65%	0.0%	0.14%	0.71%	0.0%	0.57%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.43%					
27	"10. ""Аграрная партия России"""	405	20	15	5	19	11	5	12	14	5	6	9	58	48	5	26	11	12	2	3	18	22	5	24	6	15	4	18	7					
		5.26%	10.30%	6.41%	3.75%	11.11%	9.64%	1.41%	4.44%	1.79%	2.23%	2.92%	7.43%	4.34%	7.01%	3.57%	15.66%	6.35%	3.68%	3.03%	1.92%	7.75%	9.05%	5.68%	6.10%	4.61%	8.47%	2.43%	9.27%	3.01%					
28	"11. ""Истинные патриоты России"""	11	0	0	0	0	1	0	2	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.74%	0.0%	0.89%	0.48%	0.0%	0.07%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	1.03%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	83	0	3	1	0	0	4	1	18	2	5	2	10	4	1	1	4	0	0	1	2	4	4	6	1	0	3	5	1					
		1.07%	0.0%	1.28%	0.75%	0.0%	0.0%	1.13%	0.37%	2.31%	0.89%	2.43%	1.65%	0.74%	0.58%	0.71%	0.60%	2.31%	0.0%	0.0%	0.64%	0.86%	1.64%	4.54%	1.52%	0.76%	0.0%	1.82%	2.57%	0.43%					
30	"13. ""Демократическая партия России"""	17	0	0	0	2	0	1	0	0	0	2	1	0	0	2	0	0	1	0	0	1	0	3	0	2	0	1	0	1					
		0.22%	0.0%	0.0%	0.0%	1.16%	0.0%	0.28%	0.0%	0.0%	0.0%	0.97%	0.82%	0.0%	0.0%	1.42%	0.0%	0.0%	0.30%	0.0%	0.0%	0.43%	0.0%	3.40%	0.0%	1.53%	0.0%	0.60%	0.0%	0.43%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	2	3	1	0	0	2	1	2	1	3	0	2	1	1	0	0	1	1	0	1	0	1	1	0	0	3	1	0					
		0.36%	1.03%	1.28%	0.75%	0.0%	0.0%	0.56%	0.37%	0.25%	0.44%	1.46%	0.0%	0.14%	0.14%	0.71%	0.0%	0.0%	0.30%	1.51%	0.0%	0.43%	0.0%	1.13%	0.25%	0.0%	0.0%	1.82%	0.51%	0.0%					
32	"15. ""Партия СЛОН"""	15	1	0	0	0	0	1	0	1	0	4	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2					
		0.19%	0.51%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.12%	0.0%	1.95%	0.82%	0.14%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%					
33	"16. ""Родина"" (народно-патриотический союз)"""	310	2	6	6	7	2	19	9	58	5	4	1	58	32	1	4	8	19	1	3	2	8	5	14	5	7	7	5	12					
		4.02%	1.03%	2.56%	4.51%	4.09%	1.75%	5.38%	3.33%	7.45%	2.23%	1.95%	0.82%	4.34%	4.67%	0.71%	2.40%	4.62%	5.82%	1.51%	1.92%	0.86%	3.29%	5.68%	3.56%	3.84%	3.95%	4.26%	2.57%	5.17%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	0	3	0	1	1	3	2	1	0	2	0	3	1	0	0	2	2	1	0	2	2	1	3	0	1	0	3	1					
		0.45%	0.0%	1.28%	0.0%	0.58%	0.87%	0.84%	0.74%	0.12%	0.0%	0.97%	0.0%	0.22%	0.14%	0.0%	0.0%	1.15%	0.61%	1.51%	0.0%	0.86%	0.82%	1.13%	0.76%	0.0%	0.56%	0.0%	1.54%	0.43%					
35	"18. ""ЛДПР"""	1076	21	11	12	18	13	58	38	151	49	14	10	224	111	15	12	21	53	5	12	13	43	13	55	7	16	22	24	35					
		13.98%	10.82%	4.70%	9.02%	10.52%	11.40%	16.43%	14.07%	19.40%	21.87%	6.82%	8.26%	16.79%	16.22%	10.71%	7.22%	12.13%	16.25%	7.57%	7.69%	5.60%	17.69%	14.77%	13.99%	5.38%	9.03%	13.41%	12.37%	15.08%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	141	7	7	8	8	1	7	3	14	1	1	1	24	9	4	6	2	5	0	1	3	7	1	10	0	5	2	1	3					
		1.83%	3.60%	2.99%	6.01%	4.67%	0.87%	1.98%	1.11%	1.79%	0.44%	0.48%	0.82%	1.79%	1.31%	2.85%	3.61%	1.15%	1.53%	0.0%	0.64%	1.29%	2.88%	1.13%	2.54%	0.0%	2.82%	1.21%	0.51%	1.29%					
37	"20. ""Политическая партия ""Единая Россия"""	3084	71	94	53	64	19	130	117	324	84	96	42	512	231	65	65	64	158	10	63	130	93	25	196	72	41	76	84	105					
		40.07%	36.59%	40.17%	39.84%	37.42%	16.66%	36.82%	43.33%	41.64%	37.49%	46.82%	34.71%	38.38%	33.77%	46.42%	39.15%	36.99%	48.46%	15.15%	40.38%	56.03%	38.27%	28.40%	49.87%	55.38%	23.16%	46.34%	43.29%	45.25%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	0	1	0	1	0	0	1	1	2	2	1	1	1	0	0	5	1	0	1	0	1	1	2	0	0	0	1	1					
		0.31%	0.0%	0.42%	0.0%	0.58%	0.0%	0.0%	0.37%	0.12%	0.89%	0.97%	0.82%	0.07%	0.14%	0.0%	0.0%	2.89%	0.30%	0.0%	0.64%	0.0%	0.41%	1.13%	0.50%	0.0%	0.0%	0.0%	0.51%	0.43%					
39	"22. ""Развитие предпринимательства"""	22	0	1	3	0	0	1	0	3	3	1	0	4	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0					
		0.28%	0.0%	0.42%	2.25%	0.0%	0.0%	0.28%	0.0%	0.38%	1.33%	0.48%	0.0%	0.29%	0.14%	0.71%	0.0%	0.0%	0.0%	0.0%	1.92%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1127	22	51	26	29	55	49	41	92	12	30	20	192	104	18	28	33	34	33	41	22	39	20	21	11	44	28	13	19					
		14.64%	11.34%	21.79%	19.54%	16.95%	48.24%	13.88%	15.18%	11.82%	5.35%	14.63%	16.52%	14.39%	15.20%	12.85%	16.86%	19.07%	10.42%	50.0%	26.28%	9.48%	16.04%	22.72%	5.34%	8.46%	24.85%	17.07%	6.70%	8.18%					
																																			
41	Против всех	261	15	5	4	3	2	21	5	23	15	4	3	66	22	5	5	2	9	2	2	2	8	2	10	5	6	4	2	9					
		3.39%	7.73%	2.13%	3.00%	1.75%	1.75%	5.94%	1.85%	2.95%	6.69%	1.95%	2.47%	4.94%	3.21%	3.57%	3.01%	1.15%	2.76%	3.03%	1.28%	0.86%	3.29%	2.27%	2.54%	3.84%	3.38%	2.43%	1.03%	3.87%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
