Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Вурнарская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	458	18	6	8	10	0	5	11	8	5	8	3	8	8	5	6	12	3	6	8	23	11	8	5	6	8	3	16	8	8	8	3	8	8	7	8	10	8	10	7	4	8	0	6	7	7	8	7	8	5	13	8	5	8	7	8	8	7	10	8	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	458	18	6	8	10	0	5	11	8	5	8	3	8	8	5	6	12	3	6	8	23	11	8	5	6	8	3	16	8	8	8	3	8	8	7	8	10	8	10	7	4	8	0	6	7	7	8	7	8	5	13	8	5	8	7	8	8	7	10	8	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	121	8	6	3	2	0	2	2	3	1	0	2	0	2	1	1	3	0	0	1	2	1	0	3	1	3	4	2	1	2	0	0	2	5	1	2	3	2	3	6	2	0	1	1	2	3	0	1	0	3	3	3	2	3	2	4	2	5	2	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	241	14	7	1	8	1	7	4	1	1	1	1	6	2	0	3	1	1	3	1	5	1	1	16	8	20	9	4	3	8	3	0	1	1	2	5	13	2	15	10	0	1	1	0	2	0	1	3	3	9	5	1	6	3	2	7	1	1	3	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	119	5	2	5	7	2	3	5	1	1	1	1	2	4	5	2	4	1	1	3	2	3	1	0	0	2	0	3	1	2	1	1	2	0	1	1	5	0	5	0	1	1	4	1	2	0	0	1	3	2	0	0	3	3	2	1	4	1	1	2	2									
		0.75%	0.48%	0.36%	1.42%	1.21%	2.67%	0.60%	0.70%	0.38%	0.47%	0.38%	0.98%	0.76%	1.57%	1.95%	0.61%	2.30%	0.71%	0.87%	1.11%	0.75%	2.29%	0.78%	0.00%	0.00%	0.44%	0.00%	0.92%	0.36%	0.79%	0.26%	0.81%	0.64%	0.00%	1.08%	0.47%	0.78%	0.00%	1.76%	0.00%	0.62%	0.46%	2.86%	0.69%	1.15%	0.00%	0.00%	0.27%	1.42%	0.35%	0.00%	0.00%	1.15%	1.16%	1.98%	0.38%	2.03%	0.76%	0.30%	0.71%	1.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	268	14	6	8	8	1	7	13	3	7	2	0	7	6	7	1	2	4	2	4	6	3	1	1	0	5	0	6	7	6	10	3	10	1	4	3	8	4	7	8	6	4	5	1	0	6	3	7	2	9	3	1	4	7	2	2	2	2	3	3	1									
		1.69%	1.35%	1.07%	2.27%	1.38%	1.33%	1.40%	1.81%	1.15%	3.27%	0.76%	0.00%	2.67%	2.35%	2.72%	0.30%	1.15%	2.86%	1.74%	1.48%	2.26%	2.29%	0.78%	1.33%	0.00%	1.10%	0.00%	1.83%	2.52%	2.37%	2.59%	2.42%	3.18%	0.93%	4.30%	1.41%	1.24%	1.96%	2.46%	2.92%	3.70%	1.85%	3.57%	0.69%	0.00%	2.80%	2.40%	1.88%	0.95%	1.60%	0.90%	0.69%	1.53%	2.71%	1.98%	0.76%	1.02%	1.53%	0.91%	1.06%	0.88%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	357	23	22	6	10	2	19	26	3	6	8	0	7	2	10	9	6	6	1	5	4	3	2	3	3	5	1	7	2	6	9	3	2	3	0	5	13	2	6	8	6	1	4	7	7	12	1	6	6	8	2	0	2	11	1	3	2	4	7	6	3									
		2.25%	2.22%	3.92%	1.70%	1.72%	2.67%	3.80%	3.62%	1.15%	2.80%	3.05%	0.00%	2.67%	0.78%	3.89%	2.74%	3.45%	4.29%	0.87%	1.85%	1.50%	2.29%	1.56%	4.00%	5.36%	1.10%	2.86%	2.14%	0.72%	2.37%	2.33%	2.42%	0.64%	2.80%	0.00%	2.35%	2.02%	0.98%	2.11%	2.92%	3.70%	0.46%	2.86%	4.83%	4.02%	5.61%	0.80%	1.61%	2.84%	1.42%	0.60%	0.00%	0.76%	4.26%	0.99%	1.14%	1.02%	3.05%	2.13%	2.13%	2.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8991	433	210	160	248	27	244	309	141	101	159	87	155	176	132	260	84	78	78	169	166	76	68	37	31	283	24	210	190	152	220	60	154	68	59	107	394	141	161	159	102	125	99	72	103	135	84	240	153	320	256	125	176	136	65	189	147	95	177	129	52									
		56.72%	41.76%	37.43%	45.45%	42.76%	36.00%	48.80%	43.04%	54.02%	47.20%	60.69%	85.29%	59.16%	69.02%	51.36%	79.03%	48.28%	55.71%	67.83%	62.36%	62.41%	58.02%	53.13%	49.33%	55.36%	62.33%	68.57%	64.22%	68.35%	60.08%	56.99%	48.39%	49.04%	63.55%	63.44%	50.23%	61.18%	69.12%	56.69%	58.03%	62.96%	57.87%	70.71%	49.66%	59.20%	63.08%	67.20%	64.52%	72.51%	56.74%	76.42%	86.81%	67.18%	52.71%	64.36%	71.59%	74.62%	72.52%	53.80%	45.74%	45.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	87	8	2	0	2	1	1	2	1	4	3	0	0	2	1	2	5	1	1	2	1	2	1	0	0	2	0	3	2	3	0	1	4	0	0	1	1	4	1	0	0	0	1	0	2	0	0	2	0	5	1	1	2	2	0	0	0	1	1	3	2									
		0.55%	0.77%	0.36%	0.00%	0.34%	1.33%	0.20%	0.28%	0.38%	1.87%	1.15%	0.00%	0.00%	0.78%	0.39%	0.61%	2.87%	0.71%	0.87%	0.74%	0.38%	1.53%	0.78%	0.00%	0.00%	0.44%	0.00%	0.92%	0.72%	1.19%	0.00%	0.81%	1.27%	0.00%	0.00%	0.47%	0.16%	1.96%	0.35%	0.00%	0.00%	0.00%	0.71%	0.00%	1.15%	0.00%	0.00%	0.54%	0.00%	0.89%	0.30%	0.69%	0.76%	0.78%	0.00%	0.00%	0.00%	0.76%	0.30%	1.06%	1.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	41	2	1	1	0	0	0	0	1	1	1	0	0	1	2	0	2	1	0	0	1	0	0	0	0	1	0	1	2	1	2	0	3	0	0	2	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	2	4									
		0.26%	0.19%	0.18%	0.28%	0.00%	0.00%	0.00%	0.00%	0.38%	0.47%	0.38%	0.00%	0.00%	0.39%	0.78%	0.00%	1.15%	0.71%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.31%	0.72%	0.40%	0.52%	0.00%	0.96%	0.00%	0.00%	0.94%	0.31%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.18%	0.00%	0.00%	0.38%	0.00%	0.99%	0.00%	0.51%	0.00%	0.30%	0.71%	3.51%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1670	161	93	59	77	9	61	95	22	25	25	5	24	13	25	5	26	9	8	27	35	10	25	5	11	51	3	20	16	17	33	8	36	9	10	31	62	16	46	25	12	30	14	20	15	17	6	40	16	52	19	5	21	21	7	12	15	5	54	40	11									
		10.54%	15.53%	16.58%	16.76%	13.28%	12.00%	12.20%	13.23%	8.43%	11.68%	9.54%	4.90%	9.16%	5.10%	9.73%	1.52%	14.94%	6.43%	6.96%	9.96%	13.16%	7.63%	19.53%	6.67%	19.64%	11.23%	8.57%	6.12%	5.76%	6.72%	8.55%	6.45%	11.46%	8.41%	10.75%	14.55%	9.63%	7.84%	16.20%	9.12%	7.41%	13.89%	10.00%	13.79%	8.62%	7.94%	4.80%	10.75%	7.58%	9.22%	5.67%	3.47%	8.02%	8.14%	6.93%	4.55%	7.61%	3.82%	16.41%	14.18%	9.65%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	60	2	2	0	1	0	1	4	0	2	0	0	0	1	0	0	2	1	0	1	1	1	0	1	1	2	1	2	1	1	0	0	1	0	0	1	5	2	0	4	1	0	1	0	1	0	0	1	1	3	1	0	1	2	0	0	0	1	3	2	1									
		0.38%	0.19%	0.36%	0.00%	0.17%	0.00%	0.20%	0.56%	0.00%	0.93%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	1.15%	0.71%	0.00%	0.37%	0.38%	0.76%	0.00%	1.33%	1.79%	0.44%	2.86%	0.61%	0.36%	0.40%	0.00%	0.00%	0.32%	0.00%	0.00%	0.47%	0.78%	0.98%	0.00%	1.46%	0.62%	0.00%	0.71%	0.00%	0.57%	0.00%	0.00%	0.27%	0.47%	0.53%	0.30%	0.00%	0.38%	0.78%	0.00%	0.00%	0.00%	0.76%	0.91%	0.71%	0.88%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	93	14	9	3	8	1	7	6	3	1	1	0	1	1	3	1	2	0	0	1	0	0	0	1	0	1	0	1	1	0	2	0	5	0	0	0	6	0	0	0	1	1	0	1	0	0	0	0	0	3	0	0	0	1	0	0	2	0	0	3	2									
		0.59%	1.35%	1.60%	0.85%	1.38%	1.33%	1.40%	0.84%	1.15%	0.47%	0.38%	0.00%	0.38%	0.39%	1.17%	0.30%	1.15%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	1.33%	0.00%	0.22%	0.00%	0.31%	0.36%	0.00%	0.52%	0.00%	1.59%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.62%	0.46%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	1.02%	0.00%	0.00%	1.06%	1.75%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	37	1	0	0	2	1	0	3	0	3	0	1	1	0	0	0	2	1	1	3	2	0	0	0	0	0	0	0	1	1	1	2	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	2	0									
		0.23%	0.10%	0.00%	0.00%	0.34%	1.33%	0.00%	0.42%	0.00%	1.40%	0.00%	0.98%	0.38%	0.00%	0.00%	0.00%	1.15%	0.71%	0.87%	1.11%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.40%	0.26%	1.61%	0.32%	0.00%	2.15%	0.00%	0.16%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.30%	0.00%	0.38%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	89	9	3	2	8	1	5	6	1	1	1	0	4	0	0	1	1	4	0	2	0	1	1	2	0	1	0	1	3	0	0	1	5	1	0	1	2	0	1	0	0	0	0	1	3	0	1	1	0	5	0	0	0	2	0	0	0	2	1	3	1									
		0.56%	0.87%	0.53%	0.57%	1.38%	1.33%	1.00%	0.84%	0.38%	0.47%	0.38%	0.00%	1.53%	0.00%	0.00%	0.30%	0.57%	2.86%	0.00%	0.74%	0.00%	0.76%	0.78%	2.67%	0.00%	0.22%	0.00%	0.31%	1.08%	0.00%	0.00%	0.81%	1.59%	0.93%	0.00%	0.47%	0.31%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.69%	1.72%	0.00%	0.80%	0.27%	0.00%	0.89%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	1.53%	0.30%	1.06%	0.88%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1717	144	67	51	73	8	67	110	36	37	29	2	35	26	28	17	13	13	13	19	21	15	13	9	1	43	1	31	25	28	64	22	38	12	7	13	80	23	14	32	18	26	4	14	9	15	21	31	19	45	32	6	20	43	7	27	13	6	27	37	17									
		10.83%	13.89%	11.94%	14.49%	12.59%	10.67%	13.40%	15.32%	13.79%	17.29%	11.07%	1.96%	13.36%	10.20%	10.89%	5.17%	7.47%	9.29%	11.30%	7.01%	7.89%	11.45%	10.16%	12.00%	1.79%	9.47%	2.86%	9.48%	8.99%	11.07%	16.58%	17.74%	12.10%	11.21%	7.53%	6.10%	12.42%	11.27%	4.93%	11.68%	11.11%	12.04%	2.86%	9.66%	5.17%	7.01%	16.80%	8.33%	9.00%	7.98%	9.55%	4.17%	7.63%	16.67%	6.93%	10.23%	6.60%	4.58%	8.21%	13.12%	14.91%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	111	7	4	5	2	0	2	6	0	3	4	0	1	0	5	2	1	0	2	4	1	2	0	3	0	6	0	3	1	1	2	0	1	1	0	0	8	1	2	2	0	3	2	1	0	0	1	0	0	4	3	1	3	2	0	2	1	1	1	4	0									
		0.70%	0.68%	0.71%	1.42%	0.34%	0.00%	0.40%	0.84%	0.00%	1.40%	1.53%	0.00%	0.38%	0.00%	1.95%	0.61%	0.57%	0.00%	1.74%	1.48%	0.38%	1.53%	0.00%	4.00%	0.00%	1.32%	0.00%	0.92%	0.36%	0.40%	0.52%	0.00%	0.32%	0.93%	0.00%	0.00%	1.24%	0.49%	0.70%	0.73%	0.00%	1.39%	1.43%	0.69%	0.00%	0.00%	0.80%	0.00%	0.00%	0.71%	0.90%	0.69%	1.15%	0.78%	0.00%	0.76%	0.51%	0.76%	0.30%	1.42%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1605	167	116	39	106	21	65	111	38	12	28	2	16	8	21	26	18	7	7	27	21	12	8	7	6	33	3	23	19	29	38	14	35	7	5	36	41	8	21	28	12	14	6	18	20	15	6	29	8	52	13	2	19	19	13	21	10	11	44	35	9									
		10.13%	16.10%	20.68%	11.08%	18.28%	28.00%	13.00%	15.46%	14.56%	5.61%	10.69%	1.96%	6.11%	3.14%	8.17%	7.90%	10.34%	5.00%	6.09%	9.96%	7.89%	9.16%	6.25%	9.33%	10.71%	7.27%	8.57%	7.03%	6.83%	11.46%	9.84%	11.29%	11.15%	6.54%	5.38%	16.90%	6.37%	3.92%	7.39%	10.22%	7.41%	6.48%	4.29%	12.41%	11.49%	7.01%	4.80%	7.80%	3.79%	9.22%	3.88%	1.39%	7.25%	7.36%	12.87%	7.95%	5.08%	8.40%	13.37%	12.41%	7.89%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
