Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Шумихинская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  1024	УИК  1025	УИК  1026	УИК  1027	УИК  1028	УИК  1029	УИК  1030	УИК  1031	УИК  1032	УИК  1033	УИК  1034	УИК  1035	УИК  1036	УИК  1037	УИК  1038	УИК  1039	УИК  1040	УИК  1041	УИК  1042	УИК  1043	УИК  1044	УИК  1045	УИК  1046	УИК  1047	УИК  1048	УИК  1049	УИК  1050	УИК  1051	УИК  1052	УИК  1053	УИК  1054	УИК  1055	УИК  1056	УИК  1057	УИК  1058	УИК  1059	УИК  1060	УИК  1061	УИК  1062	УИК  1063	УИК  1064	УИК  1065					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	3	3	1	1	2	2	3	1	2	4	0	0	1	3	16	1	1	0	1	3	0	2	2	1	0	0	1	0	0	1	5	1	1	0	0	6	4	1	2	1	1	0					
14	Число погашенных открепительных удостоверений	245	2	0	6	4	8	9	3	5	8	4	5	3	3	7	0	6	6	5	6	3	4	5	9	7	8	5	9	3	5	6	9	8	8	4	10	8	8	7	4	8	9	8					
15	Число открепительных удостоверений выданных ТИК	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	"1. ""ЕДИНЕНИЕ"""	153	3	2	5	3	5	4	4	3	2	5	3	3	3	8	0	3	9	7	4	6	0	6	7	2	2	1	8	3	2	2	2	4	5	3	5	3	1	2	6	1	4	2					
		1.00%	0.53%	0.38%	1.31%	0.73%	0.72%	0.64%	0.50%	0.48%	0.38%	0.72%	0.51%	0.62%	0.53%	1.30%	0.0%	1.62%	1.99%	7.07%	0.72%	2.38%	0.0%	1.10%	1.67%	0.71%	0.84%	1.21%	1.73%	2.4%	1.75%	1.58%	0.73%	2.15%	1.62%	1.06%	1.81%	1.35%	0.25%	1.0%	1.85%	0.57%	1.24%	0.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	184	9	5	2	4	9	11	14	5	9	11	6	9	6	15	0	0	6	1	7	2	1	6	2	5	4	1	5	0	0	0	4	7	1	2	1	3	5	1	2	1	1	1					
		1.20%	1.61%	0.95%	0.52%	0.98%	1.29%	1.76%	1.76%	0.81%	1.73%	1.60%	1.02%	1.87%	1.07%	2.43%	0.0%	0.0%	1.33%	1.01%	1.27%	0.79%	1.69%	1.10%	0.47%	1.79%	1.69%	1.21%	1.08%	0.0%	0.0%	0.0%	1.46%	3.76%	0.32%	0.70%	0.36%	1.35%	1.25%	0.5%	0.61%	0.57%	0.31%	0.43%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	450	14	20	13	13	23	20	25	17	23	17	29	14	17	12	2	4	10	3	15	6	2	12	9	9	2	4	11	3	6	5	10	9	9	5	9	6	17	2	7	3	11	2					
		2.94%	2.51%	3.83%	3.42%	3.19%	3.31%	3.21%	3.16%	2.75%	4.42%	2.48%	4.95%	2.92%	3.03%	1.95%	4.0%	2.16%	2.21%	3.03%	2.73%	2.38%	3.38%	2.20%	2.15%	3.22%	0.84%	4.87%	2.38%	2.4%	5.26%	3.96%	3.66%	4.83%	2.93%	1.77%	3.27%	2.70%	4.27%	1.0%	2.16%	1.72%	3.41%	0.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	335	21	12	21	14	18	16	25	16	18	14	10	17	21	6	1	0	8	0	4	2	1	6	1	7	2	1	14	2	1	4	4	4	11	3	6	3	6	4	3	0	7	1					
		2.19%	3.77%	2.29%	5.52%	3.43%	2.59%	2.57%	3.16%	2.59%	3.46%	2.04%	1.70%	3.54%	3.74%	0.97%	2.0%	0.0%	1.77%	0.0%	0.72%	0.79%	1.69%	1.10%	0.23%	2.50%	0.84%	1.21%	3.03%	1.6%	0.87%	3.17%	1.46%	2.15%	3.58%	1.06%	2.18%	1.35%	1.50%	2.0%	0.92%	0.0%	2.17%	0.43%					
22	"5. ""За Русь Святую"""	35	1	0	1	0	0	0	1	3	0	0	0	1	4	0	0	2	1	0	3	3	1	1	1	0	1	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	2	3					
		0.22%	0.17%	0.0%	0.26%	0.0%	0.0%	0.0%	0.12%	0.48%	0.0%	0.0%	0.0%	0.20%	0.71%	0.0%	0.0%	1.08%	0.22%	0.0%	0.54%	1.19%	1.69%	0.18%	0.23%	0.0%	0.42%	0.0%	0.43%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	1.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	39	2	1	2	1	3	2	1	1	1	1	1	2	3	1	0	0	0	3	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	3	1	1	0	1	0	1	0					
		0.25%	0.35%	0.19%	0.52%	0.24%	0.43%	0.32%	0.12%	0.16%	0.19%	0.14%	0.17%	0.41%	0.53%	0.16%	0.0%	0.0%	0.0%	3.03%	0.18%	0.39%	1.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.79%	0.36%	0.0%	0.0%	0.35%	1.09%	0.45%	0.25%	0.0%	0.30%	0.0%	0.31%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	63	4	4	2	1	5	2	3	2	3	5	3	4	6	3	0	0	2	0	3	0	0	0	3	0	1	0	0	0	1	0	1	0	1	0	0	0	2	2	0	0	0	0					
		0.41%	0.71%	0.76%	0.52%	0.24%	0.72%	0.32%	0.37%	0.32%	0.57%	0.72%	0.51%	0.83%	1.07%	0.48%	0.0%	0.0%	0.44%	0.0%	0.54%	0.0%	0.0%	0.0%	0.71%	0.0%	0.42%	0.0%	0.0%	0.0%	0.87%	0.0%	0.36%	0.0%	0.32%	0.0%	0.0%	0.0%	0.50%	1.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	29	3	0	1	2	0	3	1	0	0	1	1	0	0	0	0	0	0	0	4	1	0	1	1	0	0	1	1	0	0	0	2	0	0	1	1	1	2	0	0	0	0	1					
		0.19%	0.53%	0.0%	0.26%	0.49%	0.0%	0.48%	0.12%	0.0%	0.0%	0.14%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.39%	0.0%	0.18%	0.23%	0.0%	0.0%	1.21%	0.21%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.35%	0.36%	0.45%	0.50%	0.0%	0.0%	0.0%	0.0%	0.43%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	1	2	1	2	0	0	1	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1					
		0.12%	0.17%	0.38%	0.26%	0.49%	0.0%	0.0%	0.12%	0.16%	0.19%	0.43%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%					
27	"10. ""Аграрная партия России"""	857	7	17	11	10	16	14	37	31	9	14	12	10	10	16	1	15	40	12	78	41	4	35	36	10	27	18	38	10	6	8	33	6	24	26	12	26	34	15	14	25	37	12					
		5.61%	1.25%	3.25%	2.89%	2.45%	2.30%	2.25%	4.67%	5.02%	1.73%	2.04%	2.05%	2.08%	1.78%	2.60%	2.0%	8.10%	8.86%	12.12%	14.20%	16.26%	6.77%	6.44%	8.63%	3.58%	11.44%	21.95%	8.24%	8.0%	5.26%	6.34%	12.08%	3.22%	7.81%	9.21%	4.36%	11.71%	8.54%	7.5%	4.32%	14.36%	11.49%	5.19%					
28	"11. ""Истинные патриоты России"""	21	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0					
		0.13%	0.17%	0.19%	0.0%	0.0%	0.0%	0.32%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	2.02%	0.18%	0.39%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	1.14%	0.31%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	305	15	17	7	12	34	13	21	5	5	10	10	10	11	12	2	2	3	1	8	1	2	7	19	8	4	0	12	4	1	0	5	5	5	10	3	5	8	2	5	0	1	0					
		1.99%	2.69%	3.25%	1.84%	2.94%	4.90%	2.09%	2.65%	0.81%	0.96%	1.45%	1.70%	2.08%	1.96%	1.95%	4.0%	1.08%	0.66%	1.01%	1.45%	0.39%	3.38%	1.28%	4.55%	2.86%	1.69%	0.0%	2.60%	3.2%	0.87%	0.0%	1.83%	2.68%	1.62%	3.54%	1.09%	2.25%	2.01%	1.0%	1.54%	0.0%	0.31%	0.0%					
30	"13. ""Демократическая партия России"""	39	7	5	1	5	1	1	0	2	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	1	1	0	0	1	0	0	2	0	0	1	0	0					
		0.25%	1.25%	0.95%	0.26%	1.22%	0.14%	0.16%	0.0%	0.32%	0.19%	0.14%	0.0%	0.20%	0.17%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	1.27%	0.0%	0.43%	0.0%	0.0%	0.79%	0.36%	0.0%	0.0%	0.35%	0.0%	0.0%	0.50%	0.0%	0.0%	0.57%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	31	1	0	1	5	3	3	2	1	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	2	0	1	0	0	0	0	0					
		0.20%	0.17%	0.0%	0.26%	1.22%	0.43%	0.48%	0.25%	0.16%	0.38%	0.14%	0.17%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.21%	0.0%	0.0%	0.0%	0.36%	0.53%	0.65%	0.0%	0.72%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	22	1	0	1	1	2	0	0	0	3	1	1	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0					
		0.14%	0.17%	0.0%	0.26%	0.24%	0.28%	0.0%	0.0%	0.0%	0.57%	0.14%	0.17%	0.20%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.35%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.35%	0.36%	0.45%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	977	54	60	14	24	32	51	55	56	44	58	36	27	50	40	2	8	23	5	29	15	1	25	14	17	12	2	40	7	1	4	9	4	31	13	19	7	25	11	18	17	5	12					
		6.40%	9.69%	11.49%	3.68%	5.89%	4.61%	8.19%	6.95%	9.07%	8.46%	8.46%	6.15%	5.63%	8.92%	6.50%	4.0%	4.32%	5.09%	5.05%	5.28%	5.95%	1.69%	4.60%	3.35%	6.09%	5.08%	2.43%	8.67%	5.6%	0.87%	3.17%	3.29%	2.15%	10.09%	4.60%	6.90%	3.15%	6.28%	5.5%	5.55%	9.77%	1.55%	5.19%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	41	2	0	0	1	1	3	4	1	4	0	2	1	1	1	0	0	1	0	2	1	0	0	0	1	3	0	0	2	1	0	1	2	1	0	0	3	0	0	1	0	0	1					
		0.26%	0.35%	0.0%	0.0%	0.24%	0.14%	0.48%	0.50%	0.16%	0.76%	0.0%	0.34%	0.20%	0.17%	0.16%	0.0%	0.0%	0.22%	0.0%	0.36%	0.39%	0.0%	0.0%	0.0%	0.35%	1.27%	0.0%	0.0%	1.6%	0.87%	0.0%	0.36%	1.07%	0.32%	0.0%	0.0%	1.35%	0.0%	0.0%	0.30%	0.0%	0.0%	0.43%					
35	"18. ""ЛДПР"""	2722	72	78	53	81	134	105	122	127	110	124	100	60	92	96	13	36	96	10	116	54	5	123	73	105	42	5	85	23	15	26	50	23	56	39	35	56	66	52	56	31	36	41					
		17.84%	12.92%	14.94%	13.94%	19.90%	19.33%	16.88%	15.42%	20.58%	21.15%	18.10%	17.09%	12.52%	16.42%	15.60%	26.0%	19.45%	21.28%	10.10%	21.12%	21.42%	8.47%	22.65%	17.50%	37.63%	17.79%	6.09%	18.43%	18.4%	13.15%	20.63%	18.31%	12.36%	18.24%	13.82%	12.72%	25.22%	16.58%	26.0%	17.28%	17.81%	11.18%	17.74%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	281	7	6	8	4	11	13	18	4	8	13	10	11	15	15	1	2	11	3	16	2	2	8	8	2	4	0	7	2	2	0	5	6	4	3	3	4	17	4	3	7	6	6					
		1.84%	1.25%	1.14%	2.10%	0.98%	1.58%	2.09%	2.27%	0.64%	1.53%	1.89%	1.70%	2.29%	2.67%	2.43%	2.0%	1.08%	2.43%	3.03%	2.91%	0.79%	3.38%	1.47%	1.91%	0.71%	1.69%	0.0%	1.51%	1.6%	1.75%	0.0%	1.83%	3.22%	1.30%	1.06%	1.09%	1.80%	4.27%	2.0%	0.92%	4.02%	1.86%	2.59%					
37	"20. ""Политическая партия ""Единая Россия"""	5421	171	170	128	130	259	223	301	200	181	251	201	184	200	232	22	66	187	40	142	69	25	198	149	70	73	30	164	59	68	63	88	70	105	93	115	74	136	49	156	47	134	98					
		35.53%	30.70%	32.56%	33.68%	31.94%	37.37%	35.85%	38.05%	32.41%	34.80%	36.64%	34.35%	38.41%	35.71%	37.72%	44.0%	35.67%	41.46%	40.40%	25.86%	27.38%	42.37%	36.46%	35.73%	25.08%	30.93%	36.58%	35.57%	47.2%	59.64%	50.0%	32.23%	37.63%	34.20%	32.97%	41.81%	33.33%	34.17%	24.5%	48.14%	27.01%	41.61%	42.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	44	0	2	2	2	3	3	1	0	0	3	2	1	1	1	0	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	3	2	2	0	2	0	2	1	0	0	5	0					
		0.28%	0.0%	0.38%	0.52%	0.49%	0.43%	0.48%	0.12%	0.0%	0.0%	0.43%	0.34%	0.20%	0.17%	0.16%	0.0%	0.0%	0.44%	1.01%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	1.09%	1.07%	0.65%	0.0%	0.72%	0.0%	0.50%	0.5%	0.0%	0.0%	1.55%	0.0%					
39	"22. ""Развитие предпринимательства"""	27	1	1	2	0	3	0	3	3	1	1	1	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0					
		0.17%	0.17%	0.19%	0.52%	0.0%	0.43%	0.0%	0.37%	0.48%	0.19%	0.14%	0.17%	0.0%	0.17%	0.32%	2.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.30%	0.0%	0.31%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2370	122	92	85	79	87	100	103	104	62	118	128	96	96	82	3	33	27	7	94	30	8	94	64	24	34	14	55	7	4	8	38	25	38	69	37	20	55	49	36	35	62	46					
		15.53%	21.90%	17.62%	22.36%	19.41%	12.55%	16.07%	13.02%	16.85%	11.92%	17.22%	21.88%	20.04%	17.14%	13.33%	6.0%	17.83%	5.98%	7.07%	17.12%	11.90%	13.55%	17.31%	15.34%	8.60%	14.40%	17.07%	11.93%	5.6%	3.50%	6.34%	13.91%	13.44%	12.37%	24.46%	13.45%	9.00%	13.81%	24.5%	11.11%	20.11%	19.25%	19.91%					
																																																	
41	Против всех	582	31	19	12	10	33	28	36	26	30	26	17	23	14	62	1	5	10	2	16	13	3	10	19	14	16	3	6	3	1	1	8	9	6	7	12	8	14	5	12	2	6	3					
		3.81%	5.56%	3.63%	3.15%	2.45%	4.76%	4.50%	4.55%	4.21%	5.76%	3.79%	2.90%	4.80%	2.49%	10.08%	2.0%	2.70%	2.21%	2.02%	2.91%	5.15%	5.08%	1.84%	4.55%	5.01%	6.77%	3.65%	1.30%	2.4%	0.87%	0.79%	2.93%	4.83%	1.95%	2.48%	4.36%	3.60%	3.51%	2.5%	3.70%	1.14%	1.86%	1.29%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
