Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Заволжская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457					
		2.20%	2.45%	1.67%	2.60%	3.09%	2.27%	1.02%	2.16%	2.18%	0.00%	0.99%	0.00%	3.42%	1.71%	4.24%	4.03%	2.15%	4.44%	2.88%	0.00%	0.58%	0.00%	1.57%	0.00%	2.58%	0.00%	1.39%	2.25%	3.78%					
23	. Харитонов Николай Михайлович	2276	261	273	298	218	127	119	96	38	21	17	31	32	46	20	20	46	29	83	19	101	21	35	38	108	0	27	98	54					
		22.66%	26.61%	30.37%	27.64%	19.80%	26.19%	20.17%	20.69%	13.82%	23.33%	16.83%	20.95%	27.35%	9.85%	16.95%	13.42%	24.73%	21.48%	18.40%	28.79%	29.28%	17.95%	18.32%	45.78%	25.35%	0.00%	37.50%	15.73%	22.69%					
																																			
24	Против всех	314	27	36	41	53	24	14	10	6	3	4	5	1	9	1	2	3	0	13	4	10	8	4	0	12	3	0	15	6					
		3.13%	2.75%	4.00%	3.80%	4.81%	4.95%	2.37%	2.16%	2.18%	3.33%	3.96%	3.38%	0.85%	1.93%	0.85%	1.34%	1.61%	0.00%	2.88%	6.06%	2.90%	6.84%	2.09%	0.00%	2.82%	6.00%	0.00%	2.41%	2.52%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
