Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Савеловский район																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №3649	УИК №3650									
		3.84%	4.51%	4.98%	2.63%	4.39%	4.86%	2.45%	3.18%	3.09%	5.64%	3.37%	3.29%	2.99%	4.21%	4.36%	3.82%	2.63%	5.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	229	15	8	9	15	7	14	16	19	13	14	28	23	13	14	17	1	3									
		1.75%	1.69%	1.21%	1.39%	1.57%	1.03%	1.91%	1.89%	2.66%	1.74%	1.57%	2.00%	2.38%	1.61%	1.57%	1.71%	2.63%	1.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	343	20	18	12	28	26	16	26	10	12	30	23	28	29	33	23	1	8									
		2.63%	2.26%	2.71%	1.86%	2.93%	3.83%	2.18%	3.07%	1.40%	1.61%	3.37%	1.65%	2.89%	3.59%	3.69%	2.31%	2.63%	4.21%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4250	253	220	212	304	193	230	277	226	252	292	596	297	254	277	278	19	70									
		32.56%	28.56%	33.18%	32.82%	31.77%	28.42%	31.34%	32.67%	31.70%	33.83%	32.81%	42.63%	30.68%	31.44%	30.98%	27.97%	50.00%	36.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	241	13	13	9	14	20	8	17	10	10	17	39	27	10	12	19	1	2									
		1.85%	1.47%	1.96%	1.39%	1.46%	2.95%	1.09%	2.00%	1.40%	1.34%	1.91%	2.79%	2.79%	1.24%	1.34%	1.91%	2.63%	1.05%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	3	1	1	3	1	3	6	6	1	3	2	4	2	3	3	0	1									
		0.33%	0.34%	0.15%	0.15%	0.31%	0.15%	0.41%	0.71%	0.84%	0.13%	0.34%	0.14%	0.41%	0.25%	0.34%	0.30%	0.00%	0.53%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1570	101	49	68	95	81	108	124	102	85	101	223	96	84	101	122	5	25									
		12.03%	11.40%	7.39%	10.53%	9.93%	11.93%	14.71%	14.62%	14.31%	11.41%	11.35%	15.95%	9.92%	10.40%	11.30%	12.27%	13.16%	13.16%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	353	30	17	28	26	8	11	30	23	13	23	35	22	23	24	35	0	5									
		2.70%	3.39%	2.56%	4.33%	2.72%	1.18%	1.50%	3.54%	3.23%	1.74%	2.58%	2.50%	2.27%	2.85%	2.68%	3.52%	0.00%	2.63%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	576	49	43	31	56	38	26	28	25	43	41	27	38	35	36	54	1	5									
		4.41%	5.53%	6.49%	4.80%	5.85%	5.60%	3.54%	3.30%	3.51%	5.77%	4.61%	1.93%	3.93%	4.33%	4.03%	5.43%	2.63%	2.63%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	38	2	0	1	1	3	4	3	4	2	6	4	1	3	3	1	0	0									
		0.29%	0.23%	0.00%	0.15%	0.10%	0.44%	0.54%	0.35%	0.56%	0.27%	0.67%	0.29%	0.10%	0.37%	0.34%	0.10%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1629	133	109	76	154	80	88	89	91	92	113	85	128	108	118	148	7	10									
		12.48%	15.01%	16.44%	11.76%	16.09%	11.78%	11.99%	10.50%	12.76%	12.35%	12.70%	6.08%	13.22%	13.37%	13.20%	14.89%	18.42%	5.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1722	115	75	100	120	107	96	136	101	102	115	139	126	101	122	142	0	25									
		13.19%	12.98%	11.31%	15.48%	12.54%	15.76%	13.08%	16.04%	14.17%	13.69%	12.92%	9.94%	13.02%	12.50%	13.65%	14.29%	0.00%	13.16%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	71	5	5	3	1	2	5	4	1	8	6	14	4	4	2	6	0	1									
		0.54%	0.56%	0.75%	0.46%	0.10%	0.29%	0.68%	0.47%	0.14%	1.07%	0.67%	1.00%	0.41%	0.50%	0.22%	0.60%	0.00%	0.53%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1244	94	55	61	84	65	99	54	61	60	88	102	131	95	89	86	2	18									
		9.53%	10.61%	8.30%	9.44%	8.78%	9.57%	13.49%	6.37%	8.56%	8.05%	9.89%	7.30%	13.53%	11.76%	9.96%	8.65%	5.26%	9.47%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
