Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																															
																																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																															
																																																																																																															
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	840	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	15	15	25	15	15	15	15	25	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	20	15	15	15	15	25	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	406	11	5	10	10	5	3	6	6	6	7	6	10	8	8	9	10	17	6	9	11	6	14	6	7	20	11	7	6	3	3	12	6	8	9	6	10	6	8	0	9	2	8	8	8	13	11	15	5	0	2	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	491	13	4	14	5	7	10	12	5	4	6	3	10	7	9	10	12	10	8	8	20	14	17	8	5	9	9	11	6	9	3	9	6	5	3	6	8	8	7	7	9	3	8	4	4	1	6	9	4	32	55	19	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	422	4	10	5	5	10	12	9	9	9	8	9	5	7	7	6	5	8	9	6	14	9	1	9	8	5	4	8	9	12	12	3	9	7	6	9	5	9	7	15	6	13	7	7	7	2	4	5	10	15	13	11	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	17	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																															
18	"1. ""ЕДИНЕНИЕ"""	383	7	2	7	11	1	7	5	4	13	7	5	3	11	10	4	4	10	7	2	9	2	1	3	5	7	10	7	9	1	9	10	13	7	11	12	16	7	10	3	13	3	6	3	7	10	8	8	4	6	6	5	10	12	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.78%	1.05%	0.42%	0.68%	1.26%	0.38%	1.42%	0.60%	0.94%	1.31%	0.83%	0.59%	0.31%	1.39%	1.03%	0.42%	0.44%	0.64%	1.13%	0.25%	0.94%	0.55%	0.09%	0.34%	0.52%	0.54%	0.86%	0.78%	0.98%	0.20%	0.74%	0.78%	1.18%	0.72%	0.88%	0.88%	1.19%	1.20%	0.93%	0.75%	1.27%	0.28%	0.53%	0.28%	0.64%	0.89%	0.58%	0.65%	0.34%	1.11%	1.30%	1.04%	0.96%	1.23%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	15.38%	6.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	30.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	7659	84	94	197	142	36	63	118	63	176	176	129	149	154	170	179	119	226	102	181	163	47	247	213	220	241	185	188	176	60	150	206	195	164	150	181	180	72	130	25	150	135	156	163	143	156	212	187	207	30	33	26	126	149	1	0	1	0	4	0	0	0	0	2	1	1	0	0	0	1	1	2	1	0	1	1	0	0	0	1	0	0	0	1	1	0	2	1	0	1	1	0	1	0	0	0	1	2	0	3	1	0	1	0	1					
		15.61%	12.63%	20.17%	19.18%	16.26%	13.89%	12.83%	14.35%	14.92%	17.81%	21.02%	15.28%	15.58%	19.59%	17.59%	18.84%	13.34%	14.50%	16.47%	23.44%	17.05%	13.05%	22.63%	24.53%	23.20%	18.59%	16.08%	21.09%	19.29%	12.39%	12.42%	16.20%	17.72%	16.94%	12.05%	13.34%	13.39%	12.39%	12.12%	6.25%	14.74%	12.64%	13.84%	15.46%	13.25%	14.01%	15.46%	15.41%	17.78%	5.59%	7.18%	5.41%	12.18%	15.39%	10.0%	0.0%	7.69%	0.0%	26.66%	0.0%	0.0%	0.0%	0.0%	15.38%	6.66%	8.33%	0.0%	0.0%	0.0%	8.33%	7.69%	13.33%	7.69%	0.0%	8.33%	7.14%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	7.69%	7.14%	0.0%	16.66%	7.14%	0.0%	7.14%	7.69%	0.0%	7.14%	0.0%	0.0%	0.0%	7.14%	14.28%	0.0%	21.42%	7.69%	0.0%	7.14%	0.0%	6.66%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1487	18	4	30	31	10	15	26	7	33	24	36	24	23	31	17	25	35	14	11	23	13	26	23	23	29	37	31	31	17	59	50	45	34	38	45	44	16	33	23	36	35	34	28	30	32	31	44	26	17	22	10	35	35	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0					
		3.03%	2.70%	0.85%	2.92%	3.55%	3.86%	3.05%	3.16%	1.65%	3.34%	2.86%	4.26%	2.51%	2.92%	3.20%	1.78%	2.80%	2.24%	2.26%	1.42%	2.40%	3.61%	2.38%	2.64%	2.42%	2.23%	3.21%	3.47%	3.39%	3.51%	4.88%	3.93%	4.09%	3.51%	3.05%	3.31%	3.27%	2.75%	3.07%	5.75%	3.53%	3.27%	3.01%	2.65%	2.78%	2.87%	2.26%	3.62%	2.23%	3.17%	4.79%	2.08%	3.38%	3.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	16.66%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	15.38%	0.0%	8.33%	14.28%	0.0%	0.0%	7.14%	0.0%	0.0%	38.46%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	14.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3069	23	34	82	62	23	31	51	20	72	60	76	58	47	53	71	74	96	44	54	67	31	85	77	88	93	78	67	60	27	61	86	94	52	71	64	67	28	50	19	54	74	51	64	69	78	77	67	67	6	13	12	68	54	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	1	2	0	1	1	0	0	1	0	0	0					
		6.25%	3.45%	7.29%	7.98%	7.10%	8.88%	6.31%	6.20%	4.73%	7.28%	7.16%	9.00%	6.06%	5.97%	5.48%	7.47%	8.29%	6.16%	7.10%	6.99%	7.00%	8.61%	7.79%	8.87%	9.28%	7.17%	6.78%	7.51%	6.57%	5.57%	5.05%	6.76%	8.54%	5.37%	5.70%	4.71%	4.98%	4.81%	4.66%	4.75%	5.30%	6.92%	4.52%	6.07%	6.39%	7.00%	5.61%	5.52%	5.75%	1.11%	2.83%	2.5%	6.57%	5.57%	10.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	9.09%	0.0%	6.66%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	14.28%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	14.28%	0.0%	7.14%	14.28%	0.0%	7.14%	7.14%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	229	6	2	3	4	0	1	6	1	7	7	4	8	1	10	4	4	5	7	3	1	1	2	5	1	7	5	6	5	1	5	2	6	3	9	3	14	4	8	1	5	3	5	2	7	7	6	3	3	5	2	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.46%	0.90%	0.42%	0.29%	0.45%	0.0%	0.20%	0.72%	0.23%	0.70%	0.83%	0.47%	0.83%	0.12%	1.03%	0.42%	0.44%	0.32%	1.13%	0.38%	0.10%	0.27%	0.18%	0.57%	0.10%	0.54%	0.43%	0.67%	0.54%	0.20%	0.41%	0.15%	0.54%	0.30%	0.72%	0.22%	1.04%	0.68%	0.74%	0.25%	0.49%	0.28%	0.44%	0.18%	0.64%	0.62%	0.43%	0.24%	0.25%	0.93%	0.43%	0.20%	0.38%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	89	1	0	0	4	0	1	3	0	1	1	3	0	0	2	4	2	3	0	1	0	1	2	2	1	2	4	0	2	1	4	1	0	6	1	2	4	0	1	0	2	2	1	0	2	4	5	1	1	2	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.18%	0.15%	0.0%	0.0%	0.45%	0.0%	0.20%	0.36%	0.0%	0.10%	0.11%	0.35%	0.0%	0.0%	0.20%	0.42%	0.22%	0.19%	0.0%	0.12%	0.0%	0.27%	0.18%	0.23%	0.10%	0.15%	0.34%	0.0%	0.21%	0.20%	0.33%	0.07%	0.0%	0.61%	0.08%	0.14%	0.29%	0.0%	0.09%	0.0%	0.19%	0.18%	0.08%	0.0%	0.18%	0.35%	0.36%	0.08%	0.08%	0.37%	0.65%	0.20%	0.19%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	431	11	6	9	5	0	4	13	4	12	3	5	15	12	13	3	4	11	2	2	9	3	7	8	7	9	6	3	4	6	7	11	13	4	19	12	23	7	14	4	5	13	8	9	5	9	11	12	6	2	3	6	10	10	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1					
		0.87%	1.65%	1.28%	0.87%	0.57%	0.0%	0.81%	1.58%	0.94%	1.21%	0.35%	0.59%	1.56%	1.52%	1.34%	0.31%	0.44%	0.70%	0.32%	0.25%	0.94%	0.83%	0.64%	0.92%	0.73%	0.69%	0.52%	0.33%	0.43%	1.23%	0.57%	0.86%	1.18%	0.41%	1.52%	0.88%	1.71%	1.20%	1.30%	1.0%	0.49%	1.21%	0.70%	0.85%	0.46%	0.80%	0.80%	0.98%	0.51%	0.37%	0.65%	1.25%	0.96%	1.03%	0.0%	0.0%	7.69%	0.0%	6.66%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	7.69%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	7.14%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%					
25	"8. ""Народно-республиканская партия России"""	44	1	0	2	1	1	0	3	1	2	2	0	0	2	0	1	0	2	0	0	0	0	1	2	0	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.08%	0.15%	0.0%	0.19%	0.11%	0.38%	0.0%	0.36%	0.23%	0.20%	0.23%	0.0%	0.0%	0.25%	0.0%	0.10%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.09%	0.23%	0.0%	0.07%	0.08%	0.0%	0.10%	0.0%	0.08%	0.0%	0.09%	0.10%	0.0%	0.07%	0.07%	0.0%	0.09%	0.25%	0.09%	0.09%	0.08%	0.09%	0.0%	0.08%	0.14%	0.0%	0.08%	0.37%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	297	7	3	6	7	1	7	2	1	1	8	7	3	7	3	4	10	8	5	2	8	2	3	7	6	5	6	8	4	6	7	8	4	4	11	11	9	4	4	2	4	6	10	11	2	2	4	4	1	3	4	6	9	10	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0					
		0.60%	1.05%	0.64%	0.58%	0.80%	0.38%	1.42%	0.24%	0.23%	0.10%	0.95%	0.82%	0.31%	0.89%	0.31%	0.42%	1.12%	0.51%	0.80%	0.25%	0.83%	0.55%	0.27%	0.80%	0.63%	0.38%	0.52%	0.89%	0.43%	1.23%	0.57%	0.62%	0.36%	0.41%	0.88%	0.81%	0.66%	0.68%	0.37%	0.5%	0.39%	0.56%	0.88%	1.04%	0.18%	0.17%	0.29%	0.32%	0.08%	0.55%	0.87%	1.25%	0.87%	1.03%	0.0%	0.0%	0.0%	9.09%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	6.66%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1104	10	4	26	11	11	17	20	14	22	23	16	13	11	22	18	15	38	13	11	18	6	13	10	22	25	26	22	21	9	29	29	25	23	46	43	32	15	28	20	23	29	23	15	19	22	22	26	13	50	20	12	22	21	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	2	0	0					
		2.25%	1.50%	0.85%	2.53%	1.26%	4.24%	3.46%	2.43%	3.31%	2.22%	2.74%	1.89%	1.35%	1.39%	2.27%	1.89%	1.68%	2.43%	2.10%	1.42%	1.88%	1.66%	1.19%	1.15%	2.32%	1.92%	2.26%	2.46%	2.30%	1.85%	2.40%	2.28%	2.27%	2.37%	3.69%	3.17%	2.38%	2.58%	2.61%	5.0%	2.26%	2.71%	2.04%	1.42%	1.76%	1.97%	1.60%	2.14%	1.11%	9.32%	4.35%	2.5%	2.12%	2.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	7.69%	7.14%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	14.28%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	48	2	0	0	0	2	0	3	0	1	3	1	0	0	0	3	0	1	0	1	0	0	2	0	0	0	4	1	1	0	0	0	0	1	2	2	2	0	1	1	0	1	2	0	0	1	1	3	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
