Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Ужурская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2147	УИК №2148	УИК №2149	УИК №2150									
14	Число погашенных неиспользованных открепительных удостоверений	351	17	10	12	16	9	13	13	9	7	14	7	7	5	14	0	0	0	8	8	7	8	8	6	8	7	7	7	8	6	8	9	8	4	6	8	8	7	8	11	0	5	12	2	0	6	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	4	3	0	3	2	2	0	2	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	95	11	0	6	2	5	4	2	6	4	0	1	4	0	3	3	1	1	1	1	0	1	2	1	12	0	2	0	6	0	0	1	0	2	0	1	0	2	1	2	1	0	6	0	0	0	0									
		1.05%	1.18%	0.00%	3.95%	0.60%	1.47%	0.74%	0.75%	2.03%	1.25%	0.00%	0.79%	2.17%	0.00%	0.97%	0.84%	1.10%	1.09%	0.82%	1.30%	0.00%	0.71%	1.92%	0.61%	2.08%	0.00%	5.13%	0.00%	2.08%	0.00%	0.00%	0.43%	0.00%	1.77%	0.00%	1.54%	0.00%	1.27%	0.70%	0.62%	1.10%	0.00%	2.03%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	368	45	14	6	14	23	25	16	10	5	18	7	7	2	14	9	2	4	5	2	2	3	5	6	16	5	3	1	10	3	5	11	6	5	6	1	1	8	3	15	2	1	15	0	3	3	1									
		4.05%	4.81%	3.98%	3.95%	4.22%	6.76%	4.60%	6.04%	3.39%	1.56%	5.41%	5.56%	3.80%	3.92%	4.55%	2.53%	2.20%	4.35%	4.10%	2.60%	3.17%	2.13%	4.81%	3.64%	2.78%	3.91%	7.69%	0.98%	3.46%	4.76%	6.10%	4.78%	9.52%	4.42%	2.70%	1.54%	1.47%	5.06%	2.11%	4.63%	2.20%	2.13%	5.08%	0.00%	4.69%	4.62%	3.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	224	30	10	3	9	8	13	7	10	9	8	6	6	1	8	7	2	0	1	1	2	5	4	1	17	2	0	1	11	0	4	5	1	0	7	1	1	3	1	5	5	0	7	0	1	1	0									
		2.47%	3.21%	2.84%	1.97%	2.71%	2.35%	2.39%	2.64%	3.39%	2.81%	2.40%	4.76%	3.26%	1.96%	2.60%	1.97%	2.20%	0.00%	0.82%	1.30%	3.17%	3.55%	3.85%	0.61%	2.95%	1.56%	0.00%	0.98%	3.81%	0.00%	4.88%	2.17%	1.59%	0.00%	3.15%	1.54%	1.47%	1.90%	0.70%	1.54%	5.49%	0.00%	2.37%	0.00%	1.56%	1.54%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4150	386	135	58	115	111	193	102	120	115	134	64	87	22	169	165	32	57	66	48	32	94	42	123	269	79	23	48	131	38	36	107	29	47	101	32	24	96	97	171	40	24	143	41	42	45	17									
		45.70%	41.24%	38.35%	38.16%	34.64%	32.65%	35.48%	38.49%	40.68%	35.94%	40.24%	50.79%	47.28%	43.14%	54.87%	46.35%	35.16%	61.96%	54.10%	62.34%	50.79%	66.67%	40.38%	74.55%	46.70%	61.72%	58.97%	47.06%	45.33%	60.32%	43.90%	46.52%	46.03%	41.59%	45.50%	49.23%	35.29%	60.76%	68.31%	52.78%	43.96%	51.06%	48.47%	56.16%	65.63%	69.23%	53.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	6	4	0	6	0	6	1	0	3	2	2	1	0	1	1	3	0	0	0	1	0	2	0	7	0	0	0	1	0	0	1	1	0	3	0	0	0	2	2	0	0	3	0	0	1	0									
		0.66%	0.64%	1.14%	0.00%	1.81%	0.00%	1.10%	0.38%	0.00%	0.94%	0.60%	1.59%	0.54%	0.00%	0.32%	0.28%	3.30%	0.00%	0.00%	0.00%	1.59%	0.00%	1.92%	0.00%	1.22%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.43%	1.59%	0.00%	1.35%	0.00%	0.00%	0.00%	1.41%	0.62%	0.00%	0.00%	1.02%	0.00%	0.00%	1.54%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	2	3	0	1	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	2	0	0	0	3	1	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0									
		0.28%	0.21%	0.85%	0.00%	0.30%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	5.49%	0.00%	0.00%	0.00%	3.17%	0.00%	0.00%	0.00%	0.52%	0.78%	0.00%	0.00%	0.00%	0.00%	3.66%	0.00%	0.00%	0.00%	0.45%	1.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2057	205	105	47	57	83	149	64	88	89	91	22	35	20	49	87	33	19	40	15	21	23	18	18	143	27	6	23	57	12	19	32	6	16	52	8	19	28	21	75	26	13	51	13	12	11	9									
		22.65%	21.90%	29.83%	30.92%	17.17%	24.41%	27.39%	24.15%	29.83%	27.81%	27.33%	17.46%	19.02%	39.22%	15.91%	24.44%	36.26%	20.65%	32.79%	19.48%	33.33%	16.31%	17.31%	10.91%	24.83%	21.09%	15.38%	22.55%	19.72%	19.05%	23.17%	13.91%	9.52%	14.16%	23.42%	12.31%	27.94%	17.72%	14.79%	23.15%	28.57%	27.66%	17.29%	17.81%	18.75%	16.92%	28.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	3	1	0	1	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0									
		0.19%	0.32%	0.28%	0.00%	0.30%	0.00%	0.18%	0.00%	0.00%	0.00%	0.30%	0.79%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.61%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.45%	0.00%	0.00%	0.00%	0.00%	0.31%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	28	3	2	0	1	5	0	0	1	1	2	1	1	0	0	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0									
		0.31%	0.32%	0.57%	0.00%	0.30%	1.47%	0.00%	0.00%	0.34%	0.31%	0.60%	0.79%	0.54%	0.00%	0.00%	0.28%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.35%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	34	0	1	1	1	1	0	1	0	0	0	1	0	0	0	2	1	0	1	0	0	1	0	3	8	0	1	1	1	1	0	0	0	0	1	0	2	0	1	2	2	0	0	0	0	0	0									
		0.37%	0.00%	0.28%	0.66%	0.30%	0.29%	0.00%	0.38%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.56%	1.10%	0.00%	0.82%	0.00%	0.00%	0.71%	0.00%	1.82%	1.39%	0.00%	2.56%	0.98%	0.35%	1.59%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	2.94%	0.00%	0.70%	0.62%	2.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	33	2	3	0	0	1	8	2	1	2	1	0	0	0	1	1	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0									
		0.36%	0.21%	0.85%	0.00%	0.00%	0.29%	1.47%	0.75%	0.34%	0.63%	0.30%	0.00%	0.00%	0.00%	0.32%	0.28%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.45%	3.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1493	195	60	18	85	78	113	57	47	69	60	18	35	3	45	61	9	9	8	9	2	9	18	6	48	5	4	27	59	7	11	58	20	35	36	15	9	13	13	35	9	7	47	10	4	2	5									
		16.44%	20.83%	17.05%	11.84%	25.60%	22.94%	20.77%	21.51%	15.93%	21.56%	18.02%	14.29%	19.02%	5.88%	14.61%	17.13%	9.89%	9.78%	6.56%	11.69%	3.17%	6.38%	17.31%	3.64%	8.33%	3.91%	10.26%	26.47%	20.42%	11.11%	13.41%	25.22%	31.75%	30.97%	16.22%	23.08%	13.24%	8.23%	9.15%	10.80%	9.89%	14.89%	15.93%	13.70%	6.25%	3.08%	15.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	108	9	5	0	9	6	7	1	2	3	3	0	0	0	5	6	1	0	0	0	0	2	2	1	12	2	0	0	4	0	0	1	0	0	6	1	0	1	1	4	4	0	10	0	0	0	0									
		1.19%	0.96%	1.42%	0.00%	2.71%	1.76%	1.29%	0.38%	0.68%	0.94%	0.90%	0.00%	0.00%	0.00%	1.62%	1.69%	1.10%	0.00%	0.00%	0.00%	0.00%	1.42%	1.92%	0.61%	2.08%	1.56%	0.00%	0.00%	1.38%	0.00%	0.00%	0.43%	0.00%	0.00%	2.70%	1.54%	0.00%	0.63%	0.70%	1.23%	4.40%	0.00%	3.39%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	204	20	4	9	15	12	17	5	4	10	5	3	4	1	4	10	1	0	0	1	0	0	7	2	14	1	0	1	1	1	3	4	0	3	3	1	11	2	2	9	0	0	5	7	2	0	0									
		2.25%	2.14%	1.14%	5.92%	4.52%	3.53%	3.13%	1.89%	1.36%	3.13%	1.50%	2.38%	2.17%	1.96%	1.30%	2.81%	1.10%	0.00%	0.00%	1.30%	0.00%	0.00%	6.73%	1.21%	2.43%	0.78%	0.00%	0.98%	0.35%	1.59%	3.66%	1.74%	0.00%	2.65%	1.35%	1.54%	16.18%	1.27%	1.41%	2.78%	0.00%	0.00%	1.69%	9.59%	3.13%	0.00%	0.00%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
