Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
Наименование Избирательной комиссии:    Тюкалинская																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100					
18	"1. ""ЕДИНЕНИЕ"""	286	12	10	7	18	9	3	7	10	4	4	2	0	1	1	9	0	1	1	3	8	3	1	4	1	2	2	2	1	8	3	2	6	4	0	1	3	0	7	1	0	4	10	2	2	1	7	1	2	16	0	0	1	9	4	1	4	4	12	14	2	12	1	2	2	0	0	3	5	0	0	0	2	2					
		1.99%	1.33%	1.32%	1.68%	2.02%	1.30%	1.29%	1.15%	2.05%	0.97%	6.45%	2.98%	0.0%	0.49%	1.40%	4.30%	0.0%	0.97%	3.70%	0.98%	3.98%	5.66%	0.65%	1.28%	1.26%	2.73%	2.38%	3.17%	2.63%	2.18%	2.25%	1.88%	1.61%	12.12%	0.0%	1.58%	6.52%	0.0%	2.08%	1.75%	0.0%	8.51%	8.47%	0.70%	2.53%	1.78%	3.07%	1.75%	2.02%	3.90%	0.0%	0.0%	1.75%	2.34%	5.06%	1.36%	3.70%	5.19%	1.96%	3.70%	2.46%	2.06%	1.11%	6.66%	0.75%	0.0%	0.0%	5.76%	1.66%	0.0%	0.0%	0.0%	1.45%	2.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	163	11	15	7	10	6	2	8	7	5	1	1	0	5	1	3	0	0	0	4	3	0	2	5	2	0	0	0	0	3	4	0	1	0	0	0	0	0	0	1	0	0	1	0	0	3	0	2	2	6	1	2	3	3	0	1	0	2	11	4	0	8	0	0	2	0	0	1	3	0	0	1	0	0					
		1.13%	1.22%	1.98%	1.68%	1.12%	0.87%	0.86%	1.31%	1.44%	1.21%	1.61%	1.49%	0.0%	2.48%	1.40%	1.43%	0.0%	0.0%	0.0%	1.31%	1.49%	0.0%	1.31%	1.60%	2.53%	0.0%	0.0%	0.0%	0.0%	0.81%	3.00%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.75%	0.0%	0.0%	0.84%	0.0%	0.0%	5.35%	0.0%	3.50%	2.02%	1.46%	1.58%	4.08%	5.26%	0.78%	0.0%	1.36%	0.0%	2.59%	1.80%	1.05%	0.0%	1.37%	0.0%	0.0%	0.75%	0.0%	0.0%	1.92%	0.99%	0.0%	0.0%	4.16%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	316	22	24	5	11	14	2	10	16	5	1	1	0	5	1	5	0	4	0	5	5	0	6	6	0	3	0	0	2	8	13	5	18	0	0	0	0	1	4	0	0	0	0	5	0	1	3	9	3	1	1	0	0	13	0	0	0	0	26	8	1	24	2	0	4	0	2	2	6	3	0	0	0	0					
		2.19%	2.45%	3.17%	1.20%	1.23%	2.03%	0.86%	1.64%	3.29%	1.21%	1.61%	1.49%	0.0%	2.48%	1.40%	2.39%	0.0%	3.88%	0.0%	1.64%	2.48%	0.0%	3.94%	1.92%	0.0%	4.10%	0.0%	0.0%	5.26%	2.18%	9.77%	4.71%	4.83%	0.0%	0.0%	0.0%	0.0%	1.29%	1.19%	0.0%	0.0%	0.0%	0.0%	1.76%	0.0%	1.78%	1.31%	15.78%	3.03%	0.24%	1.58%	0.0%	0.0%	3.39%	0.0%	0.0%	0.0%	0.0%	4.26%	2.11%	1.23%	4.12%	2.22%	0.0%	1.51%	0.0%	6.06%	3.84%	1.99%	7.89%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	184	17	16	11	18	21	5	6	6	3	0	2	3	0	0	2	0	0	0	2	0	0	7	0	0	0	0	0	0	5	3	0	6	0	0	0	0	0	0	0	0	1	0	2	6	1	3	0	0	1	0	0	1	2	0	0	0	0	6	9	0	4	0	0	5	0	0	2	6	0	0	1	1	0					
		1.28%	1.89%	2.11%	2.64%	2.02%	3.05%	2.16%	0.98%	1.23%	0.72%	0.0%	2.98%	4.47%	0.0%	0.0%	0.95%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	4.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	2.25%	0.0%	1.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.12%	0.0%	0.70%	7.59%	1.78%	1.31%	0.0%	0.0%	0.24%	0.0%	0.0%	1.75%	0.52%	0.0%	0.0%	0.0%	0.0%	0.98%	2.38%	0.0%	0.68%	0.0%	0.0%	1.89%	0.0%	0.0%	3.84%	1.99%	0.0%	0.0%	4.16%	0.72%	0.0%					
22	"5. ""За Русь Святую"""	41	1	1	1	0	2	0	0	0	1	2	1	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	1	2	1	0	1	2	0	0	0	0	2	0	0	2	2	0	0	0	0	0	2	0	0	1	0	1					
		0.28%	0.11%	0.13%	0.24%	0.0%	0.29%	0.0%	0.0%	0.0%	0.24%	3.22%	1.49%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.99%	0.0%	0.0%	0.32%	1.26%	0.0%	0.0%	0.0%	0.0%	0.81%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.70%	0.0%	0.0%	0.43%	3.50%	1.01%	0.48%	1.58%	0.0%	1.75%	0.52%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.34%	2.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	4.16%	0.0%	1.16%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	1	3	0	1	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.16%	0.11%	0.39%	0.0%	0.11%	0.29%	0.43%	0.0%	0.0%	0.0%	3.22%	1.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	1.26%	0.0%	2.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.32%	0.26%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	63	7	4	3	6	0	0	5	2	5	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	2	0	0	0	0	2	0	0	2	0	4	2	0	3	0	0	1	0	0	1	3	0	0	0	0	0					
		0.43%	0.78%	0.52%	0.72%	0.67%	0.0%	0.0%	0.82%	0.41%	1.21%	1.61%	0.0%	0.0%	0.49%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.70%	1.26%	0.0%	0.0%	0.0%	2.02%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	1.85%	0.0%	0.65%	0.52%	0.0%	0.51%	0.0%	0.0%	0.37%	0.0%	0.0%	1.92%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	29	3	2	1	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.20%	0.33%	0.26%	0.24%	0.11%	0.14%	0.0%	0.32%	0.0%	0.0%	0.0%	1.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	3.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	0	1	0	1	1	0	1	0	2	0	0	1	0	0	1	0	0	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.15%	0.0%	0.13%	0.0%	0.11%	0.14%	0.0%	0.16%	0.0%	0.48%	0.0%	0.0%	1.49%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.32%	0.49%	0.0%	1.31%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.29%	0.29%	1.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.32%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.63%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1339	36	52	22	49	51	18	43	32	67	7	6	2	47	8	24	9	10	3	37	17	2	3	31	4	4	8	25	7	41	18	12	40	0	3	2	0	10	27	0	1	0	14	27	6	2	58	29	8	30	6	4	0	34	6	6	24	7	71	49	22	47	5	3	37	1	3	1	33	4	3	3	7	11					
		9.31%	4.01%	6.87%	5.28%	5.50%	7.41%	7.79%	7.08%	6.58%	16.30%	11.29%	8.95%	2.98%	23.38%	11.26%	11.48%	17.64%	9.70%	11.11%	12.17%	8.45%	3.77%	1.97%	9.96%	5.06%	5.47%	9.52%	39.68%	18.42%	11.20%	13.53%	11.32%	10.75%	0.0%	5.88%	3.17%	0.0%	12.98%	8.05%	0.0%	4.34%	0.0%	11.86%	9.54%	7.59%	3.57%	25.43%	50.87%	8.08%	7.31%	9.52%	8.16%	0.0%	8.87%	7.59%	8.21%	22.22%	9.09%	11.63%	12.96%	27.16%	8.07%	5.55%	10.0%	14.01%	1.53%	9.09%	1.92%	10.96%	10.52%	4.22%	12.5%	5.10%	12.79%					
28	"11. ""Истинные патриоты России"""	34	0	3	0	1	3	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	2	0	0	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0					
		0.23%	0.0%	0.39%	0.0%	0.11%	0.43%	0.0%	0.16%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.0%	1.36%	0.0%	1.58%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	1.96%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	1.78%	0.87%	0.0%	0.0%	0.48%	1.58%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	128	10	6	3	8	4	0	6	2	3	0	1	1	1	0	2	0	0	1	3	3	0	1	5	2	1	0	0	0	2	1	0	3	0	0	0	1	0	3	0	0	0	1	3	0	0	5	1	0	14	0	3	0	5	0	0	0	1	8	0	0	5	0	0	2	1	0	0	3	0	1	0	0	2					
		0.89%	1.11%	0.79%	0.72%	0.89%	0.58%	0.0%	0.98%	0.41%	0.72%	0.0%	1.49%	1.49%	0.49%	0.0%	0.95%	0.0%	0.0%	3.70%	0.98%	1.49%	0.0%	0.65%	1.60%	2.53%	1.36%	0.0%	0.0%	0.0%	0.54%	0.75%	0.0%	0.80%	0.0%	0.0%	0.0%	2.17%	0.0%	0.89%	0.0%	0.0%	0.0%	0.84%	1.06%	0.0%	0.0%	2.19%	1.75%	0.0%	3.41%	0.0%	6.12%	0.0%	1.30%	0.0%	0.0%	0.0%	1.29%	1.31%	0.0%	0.0%	0.85%	0.0%	0.0%	0.75%	1.53%	0.0%	0.0%	0.99%	0.0%	1.40%	0.0%	0.0%	2.32%					
30	"13. ""Демократическая партия России"""	48	4	2	1	1	0	0	2	4	1	1	0	0	0	0	2	2	0	0	4	0	0	1	1	0	0	2	0	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	2	0	1	1	0	1	2	0	0	1	0	0	0	0	0	0	0	1					
		0.33%	0.44%	0.26%	0.24%	0.11%	0.0%	0.0%	0.32%	0.82%	0.24%	1.61%	0.0%	0.0%	0.0%	0.0%	0.95%	3.92%	0.0%	0.0%	1.31%	0.0%	0.0%	0.65%	0.32%	0.0%	0.0%	2.38%	0.0%	0.0%	0.54%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	2.17%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.35%	1.26%	0.0%	0.43%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.0%	0.16%	0.26%	0.0%	0.17%	2.22%	0.0%	0.0%	1.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	41	1	3	1	3	0	2	1	1	2	0	0	0	2	0	1	0	1	0	2	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	4	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	2					
		0.28%	0.11%	0.39%	0.24%	0.33%	0.0%	0.86%	0.16%	0.20%	0.48%	0.0%	0.0%	0.0%	0.99%	0.0%	0.47%	0.0%	0.97%	0.0%	0.65%	0.0%	0.0%	0.0%	0.32%	0.0%	1.36%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	2.12%	0.0%	1.41%	0.0%	1.78%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	2.32%					
32	"15. ""Партия СЛОН"""	17	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0					
		0.11%	0.22%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	1.96%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	1.78%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.17%	0.0%	0.0%	0.37%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	571	68	28	26	44	30	15	38	35	12	7	1	0	16	0	8	0	6	1	5	4	1	5	8	0	2	3	0	0	14	3	4	13	0	1	1	0	2	9	2	0	0	1	16	3	2	7	0	1	14	3	4	0	9	1	0	0	3	22	12	5	2	0	0	12	4	3	2	10	0	0	0	17	6					
		3.97%	7.58%	3.70%	6.25%	4.94%	4.36%	6.49%	6.26%	7.20%	2.91%	11.29%	1.49%	0.0%	7.96%	0.0%	3.82%	0.0%	5.82%	3.70%	1.64%	1.99%	1.88%	3.28%	2.57%	0.0%	2.73%	3.57%	0.0%	0.0%	3.82%	2.25%	3.77%	3.49%	0.0%	1.96%	1.58%	0.0%	2.59%	2.68%	3.50%	0.0%	0.0%	0.84%	5.65%	3.79%	3.57%	3.07%	0.0%	1.01%	3.41%	4.76%	8.16%	0.0%	2.34%	1.26%	0.0%	0.0%	3.89%	3.60%	3.17%	6.17%	0.34%	0.0%	0.0%	4.54%	6.15%	9.09%	3.84%	3.32%	0.0%	0.0%	0.0%	12.40%	6.97%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	52	6	1	1	3	1	0	0	5	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	0	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	1	0	0	0	2	2	1	1	0	0	0	0	4	0	0	1	0	2	0	2	0					
		0.36%	0.66%	0.13%	0.24%	0.33%	0.14%	0.0%	0.0%	1.02%	0.0%	0.0%	1.49%	0.0%	0.49%	1.40%	0.0%	0.0%	0.0%	0.0%	0.32%	0.49%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.53%	0.0%	0.0%	1.58%	2.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.87%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	2.59%	0.32%	0.26%	1.23%	0.0%	0.0%	0.0%	0.0%	6.15%	0.0%	0.0%	0.33%	0.0%	2.81%	0.0%	1.45%	0.0%					
35	"18. ""ЛДПР"""	2092	112	126	81	130	59	30	86	88	74	0	7	7	25	5	32	7	12	2	25	31	16	61	49	2	2	24	1	12	54	7	20	59	4	10	4	8	13	49	12	2	1	11	46	5	4	34	3	13	35	18	14	4	43	2	20	17	10	114	59	13	91	10	5	46	8	1	16	47	10	7	4	18	15					
