Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Абаканская городская																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1950	25	25	25	50	25	25	25	25	25	25	25	25	25	25	25	25	25	25	50	25	25	50	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	50	25	25	25	50	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1124	9	13	18	31	18	17	10	6	11	16	13	22	23	7	14	6	15	20	28	22	6	26	15	14	11	8	9	11	11	16	8	15	5	15	16	12	8	4	20	12	19	20	7	12	19	8	11	13	8	16	20	24	22	29	21	22	16	32	17	20	13	25	18	12	6	19	16	23	0	23	13	14	25	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1096	9	19	56	18	21	15	13	8	10	11	7	12	11	7	9	9	9	8	7	14	6	12	17	11	6	8	4	4	6	9	10	4	11	12	24	7	9	14	24	10	3	2	7	5	13	8	6	9	19	8	10	13	2	13	21	14	6	14	34	13	11	9	10	16	6	5	6	7	5	4	4	6	17	264	25									
14	Число погашенных неиспользованных открепительных удостоверений	826	16	12	7	19	7	8	15	19	14	9	12	3	2	18	11	19	10	5	22	3	19	24	10	11	14	17	16	14	14	9	17	10	20	10	9	13	17	21	5	13	6	5	18	13	6	17	14	12	17	9	5	1	3	21	4	3	9	18	8	5	12	0	7	13	19	6	9	2	25	2	12	11	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	140	5	3	2	3	0	1	0	0	2	3	2	2	1	2	0	0	1	1	4	2	0	3	1	0	1	2	1	2	2	2	0	0	1	4	1	1	0	0	3	5	4	1	1	0	2	1	4	3	2	1	1	0	2	2	5	1	1	4	3	4	6	3	7	1	1	4	1	2	0	6	1	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	714	10	6	12	14	12	11	12	5	8	13	13	21	11	7	8	4	11	15	15	15	4	18	5	13	6	6	2	5	5	8	8	7	16	6	8	10	6	5	15	9	15	9	6	11	12	2	5	11	5	4	17	5	9	7	12	12	8	5	19	13	15	16	16	8	6	12	17	13	1	15	3	4	13	1	2									
		1.60%	2.00%	1.42%	1.72%	2.18%	2.23%	2.07%	1.81%	1.03%	1.35%	2.39%	1.92%	2.76%	1.57%	1.50%	1.63%	1.25%	1.91%	1.76%	1.63%	1.90%	1.19%	1.35%	0.94%	2.30%	1.20%	1.43%	0.58%	1.03%	1.24%	1.54%	2.26%	1.47%	2.37%	0.94%	1.39%	2.33%	1.32%	1.16%	2.04%	1.13%	2.45%	1.45%	1.40%	2.53%	2.27%	0.48%	0.87%	1.75%	1.06%	1.14%	2.42%	0.84%	1.44%	0.90%	1.47%	1.93%	1.63%	0.59%	1.66%	1.87%	1.88%	1.85%	1.86%	1.80%	1.16%	1.89%	2.63%	1.74%	0.73%	1.45%	0.66%	0.74%	2.23%	0.17%	1.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1072	17	4	17	19	8	9	12	8	18	12	13	7	17	7	12	15	10	16	19	17	12	22	23	12	13	8	8	19	13	17	15	15	18	17	12	6	10	9	15	20	24	9	14	13	7	17	18	19	11	10	24	8	14	16	23	8	15	25	22	16	20	22	8	10	13	21	16	13	3	20	15	30	10	14	3									
		2.40%	3.41%	0.95%	2.44%	2.95%	1.48%	1.69%	1.81%	1.65%	3.04%	2.20%	1.92%	0.92%	2.43%	1.50%	2.45%	4.69%	1.73%	1.87%	2.07%	2.15%	3.56%	1.65%	4.32%	2.13%	2.61%	1.90%	2.31%	3.92%	3.23%	3.27%	4.24%	3.14%	2.67%	2.66%	2.08%	1.40%	2.20%	2.09%	2.04%	2.50%	3.92%	1.45%	3.27%	2.99%	1.32%	4.06%	3.14%	3.03%	2.34%	2.84%	3.41%	1.35%	2.25%	2.05%	2.82%	1.28%	3.06%	2.94%	1.92%	2.30%	2.51%	2.55%	0.93%	2.25%	2.52%	3.31%	2.47%	1.74%	2.19%	1.94%	3.31%	5.58%	1.72%	2.33%	1.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	948	10	13	30	17	16	7	18	19	15	13	22	17	23	11	11	8	13	20	11	6	3	17	15	14	15	10	3	17	4	16	5	12	8	18	15	4	9	15	12	17	11	14	6	11	16	5	8	17	12	10	13	20	13	21	16	10	19	11	10	8	18	14	11	5	9	8	12	22	0	23	15	9	10	6	6									
		2.12%	2.00%	3.07%	4.30%	2.64%	2.97%	1.32%	2.71%	3.91%	2.53%	2.39%	3.24%	2.24%	3.29%	2.35%	2.24%	2.50%	2.25%	2.34%	1.20%	0.76%	0.89%	1.27%	2.82%	2.48%	3.01%	2.38%	0.87%	3.51%	0.99%	3.08%	1.41%	2.52%	1.19%	2.82%	2.60%	0.93%	1.98%	3.48%	1.63%	2.13%	1.79%	2.25%	1.40%	2.53%	3.02%	1.19%	1.40%	2.71%	2.55%	2.84%	1.85%	3.38%	2.09%	2.69%	1.96%	1.61%	3.88%	1.30%	0.87%	1.15%	2.26%	1.62%	1.28%	1.13%	1.74%	1.26%	1.85%	2.94%	0.00%	2.23%	3.31%	1.67%	1.72%	1.00%	3.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15816	187	112	247	231	182	157	198	169	192	178	203	222	206	161	152	101	186	263	317	232	135	668	188	198	166	152	145	175	159	152	130	142	247	245	195	150	169	179	277	277	224	213	154	165	173	134	231	202	164	137	232	206	204	254	250	200	177	289	636	218	323	290	270	152	173	222	225	251	59	373	163	202	225	308	72									
		35.45%	37.47%	26.48%	35.44%	35.93%	33.77%	29.57%	29.86%	34.77%	32.43%	32.66%	29.94%	29.21%	29.43%	34.40%	31.02%	31.56%	32.24%	30.80%	34.46%	29.33%	40.06%	49.96%	35.34%	35.11%	33.33%	36.10%	41.91%	36.08%	39.45%	29.23%	36.72%	29.77%	36.59%	38.40%	33.85%	34.97%	37.14%	41.53%	37.64%	34.67%	36.54%	34.30%	35.98%	38.02%	32.70%	31.98%	40.31%	32.17%	34.82%	38.92%	33.00%	34.80%	32.74%	32.52%	30.60%	32.10%	36.12%	34.04%	55.59%	31.32%	40.48%	33.60%	31.40%	34.23%	33.53%	35.02%	34.78%	33.51%	43.07%	36.14%	35.98%	37.55%	38.66%	51.33%	37.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	732	7	6	17	18	12	13	16	12	17	8	8	14	11	7	9	7	17	12	18	17	4	14	7	7	3	4	7	6	1	8	5	7	14	8	5	6	5	7	7	9	12	12	5	9	10	8	10	15	11	6	6	10	9	17	18	13	4	16	13	12	7	24	19	5	5	8	9	12	4	18	2	5	12	4	2									
		1.64%	1.40%	1.42%	2.44%	2.80%	2.23%	2.45%	2.41%	2.47%	2.87%	1.47%	1.18%	1.84%	1.57%	1.50%	1.84%	2.19%	2.95%	1.41%	1.96%	2.15%	1.19%	1.05%	1.32%	1.24%	0.60%	0.95%	2.02%	1.24%	0.25%	1.54%	1.41%	1.47%	2.07%	1.25%	0.87%	1.40%	1.10%	1.62%	0.95%	1.13%	1.96%	1.93%	1.17%	2.07%	1.89%	1.91%	1.75%	2.39%	2.34%	1.70%	0.85%	1.69%	1.44%	2.18%	2.20%	2.09%	0.82%	1.88%	1.14%	1.72%	0.88%	2.78%	2.21%	1.13%	0.97%	1.26%	1.39%	1.60%	2.92%	1.74%	0.44%	0.93%	2.06%	0.67%	1.05%									
24	"6. Политическая партия ""Гражданская Платформа"""	91	2	2	1	1	2	4	2	1	2	1	2	2	0	0	1	0	4	1	2	0	0	5	0	1	0	0	1	1	1	1	1	0	3	0	1	1	2	1	2	0	0	1	0	0	2	3	2	2	1	0	0	1	0	1	0	0	1	0	5	2	7	1	2	0	3	0	1	0	0	1	3	0	0	1	0									
		0.20%	0.40%	0.47%	0.14%	0.16%	0.37%	0.75%	0.30%	0.21%	0.34%	0.18%	0.29%	0.26%	0.00%	0.00%	0.20%	0.00%	0.69%	0.12%	0.22%	0.00%	0.00%	0.37%	0.00%	0.18%	0.00%	0.00%	0.29%	0.21%	0.25%	0.19%	0.28%	0.00%	0.44%	0.00%	0.17%	0.23%	0.44%	0.23%	0.27%	0.00%	0.00%	0.16%	0.00%	0.00%	0.38%	0.72%	0.35%	0.32%	0.21%	0.00%	0.00%	0.17%	0.00%	0.13%	0.00%	0.00%	0.20%	0.00%	0.44%	0.29%	0.88%	0.12%	0.23%	0.00%	0.58%	0.00%	0.15%	0.00%	0.00%	0.10%	0.66%	0.00%	0.00%	0.17%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7525	85	78	83	100	87	71	96	62	88	63	116	124	97	107	74	63	93	175	183	134	69	208	110	134	115	86	77	94	79	107	56	71	86	98	107	82	88	75	138	121	89	114	80	92	80	88	102	97	72	43	88	96	92	139	128	93	75	167	122	96	130	128	135	79	84	118	116	94	40	169	96	99	118	156	30									
		16.87%	17.03%	18.44%	11.91%	15.55%	16.14%	13.37%	14.48%	12.76%	14.86%	11.56%	17.11%	16.32%	13.86%	22.86%	15.10%	19.69%	16.12%	20.49%	19.89%	16.94%	20.47%	15.56%	20.68%	23.76%	23.09%	20.43%	22.25%	19.38%	19.60%	20.58%	15.82%	14.88%	12.74%	15.36%	18.58%	19.11%	19.34%	17.40%	18.75%	15.14%	14.52%	18.36%	18.69%	21.20%	15.12%	21.00%	17.80%	15.45%	15.29%	12.22%	12.52%	16.22%	14.77%	17.80%	15.67%	14.93%	15.31%	19.67%	10.66%	13.79%	16.29%	14.83%	15.70%	17.79%	16.28%	18.61%	17.93%	12.55%	29.20%	16.38%	21.19%	18.40%	20.27%	26.00%	15.71%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	545	7	10	11	14	4	14	10	4	15	7	8	6	17	5	8	5	14	8	6	6	3	3	6	6	4	7	3	3	0	7	6	3	13	6	7	6	9	8	7	5	7	7	0	4	5	4	5	10	8	3	9	6	6	12	16	9	8	9	6	6	14	8	18	8	4	7	6	6	1	14	8	1	15	4	0									
		1.22%	1.40%	2.36%	1.58%	2.18%	0.74%	2.64%	1.51%	0.82%	2.53%	1.28%	1.18%	0.79%	2.43%	1.07%	1.63%	1.56%	2.43%	0.94%	0.65%	0.76%	0.89%	0.22%	1.13%	1.06%	0.80%	1.66%	0.87%	0.62%	0.00%	1.35%	1.69%	0.63%	1.93%	0.94%	1.22%	1.40%	1.98%	1.86%	0.95%	0.63%	1.14%	1.13%	0.00%	0.92%	0.95%	0.95%	0.87%	1.59%	1.70%	0.85%	1.28%	1.01%	0.96%	1.54%	1.96%	1.44%	1.63%	1.06%	0.52%	0.86%	1.75%	0.93%	2.09%	1.80%	0.78%	1.10%	0.93%	0.80%	0.73%	1.36%	1.77%	0.19%	2.58%	0.67%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	601	12	3	5	12	12	11	10	4	5	8	12	12	9	9	5	2	23	7	13	10	2	3	7	9	5	10	2	3	1	8	2	7	6	5	7	4	9	6	9	15	5	4	5	6	4	5	5	10	8	7	13	3	24	8	14	12	3	3	16	23	12	11	8	6	6	3	8	12	1	19	5	4	20	4	0									
		1.35%	2.40%	0.71%	0.72%	1.87%	2.23%	2.07%	1.51%	0.82%	0.84%	1.47%	1.77%	1.58%	1.29%	1.92%	1.02%	0.63%	3.99%	0.82%	1.41%	1.26%	0.59%	0.22%	1.32%	1.60%	1.00%	2.38%	0.58%	0.62%	0.25%	1.54%	0.56%	1.47%	0.89%	0.78%	1.22%	0.93%	1.98%	1.39%	1.22%	1.88%	0.82%	0.64%	1.17%	1.38%	0.76%	1.19%	0.87%	1.59%	1.70%	1.99%	1.85%	0.51%	3.85%	1.02%	1.71%	1.93%	0.61%	0.35%	1.40%	3.30%	1.50%	1.27%	0.93%	1.35%	1.16%	0.47%	1.24%	1.60%	0.73%	1.84%	1.10%	0.74%	3.44%	0.67%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	56	1	1	0	1	2	1	1	1	0	0	0	2	1	0	1	0	1	3	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	2	0	2	0	0	1	1	1	1	0	0	1	1	1	1	0	2	2	2	0	1	0	1	0	1	4	1	0	1	0	0	0	1	1	1	0	3	1	0	0	0	1									
		0.13%	0.20%	0.24%	0.00%	0.16%	0.37%	0.19%	0.15%	0.21%	0.00%	0.00%	0.00%	0.26%	0.14%	0.00%	0.20%	0.00%	0.17%	0.35%	0.00%	0.13%	0.00%	0.00%	0.19%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.15%	0.31%	0.00%	0.47%	0.00%	0.00%	0.14%	0.13%	0.16%	0.16%	0.00%	0.00%	0.19%	0.24%	0.17%	0.16%	0.00%	0.57%	0.28%	0.34%	0.00%	0.13%	0.00%	0.16%	0.00%	0.12%	0.35%	0.14%	0.00%	0.12%	0.00%	0.00%	0.00%	0.16%	0.15%	0.13%	0.00%	0.29%	0.22%	0.00%	0.00%	0.00%	0.52%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1207	16	21	25	12	14	26	34	19	16	19	26	20	17	8	6	11	18	16	28	15	6	30	13	12	8	9	7	6	6	10	12	9	18	25	31	4	11	7	19	21	20	11	7	10	20	9	15	17	17	9	16	12	13	18	29	16	17	13	29	26	23	29	37	19	19	10	22	17	0	26	9	14	13	14	0									
		2.71%	3.21%	4.96%	3.59%	1.87%	2.60%	4.90%	5.13%	3.91%	2.70%	3.49%	3.83%	2.63%	2.43%	1.71%	1.22%	3.44%	3.12%	1.87%	3.04%	1.90%	1.78%	2.24%	2.44%	2.13%	1.61%	2.14%	2.02%	1.24%	1.49%	1.92%	3.39%	1.89%	2.67%	3.92%	5.38%	0.93%	2.42%	1.62%	2.58%	2.63%	3.26%	1.77%	1.64%	2.30%	3.78%	2.15%	2.62%	2.71%	3.61%	2.56%	2.28%	2.03%	2.09%	2.30%	3.55%	2.57%	3.47%	1.53%	2.53%	3.74%	2.88%	3.36%	4.30%	4.28%	3.68%	1.58%	3.40%	2.27%	0.00%	2.52%	1.99%	2.60%	2.23%	2.33%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8772	79	92	146	111	112	107	163	104	124	101	146	179	142	77	95	61	106	175	168	193	59	175	97	98	120	95	52	104	91	98	64	96	155	105	116	103	89	80	134	173	140	122	106	84	128	104	105	117	89	64	160	112	138	154	184	152	84	165	154	155	159	168	181	75	93	98	117	141	16	240	91	111	84	41	55									
		19.66%	15.83%	21.75%	20.95%	17.26%	20.78%	20.15%	24.59%	21.40%	20.95%	18.53%	21.53%	23.55%	20.29%	16.45%	19.39%	19.06%	18.37%	20.49%	18.26%	24.40%	17.51%	13.09%	18.23%	17.38%	24.10%	22.57%	15.03%	21.44%	22.58%	18.85%	18.08%	20.13%	22.96%	16.46%	20.14%	24.01%	19.56%	18.56%	18.21%	21.65%	22.84%	19.65%	24.77%	19.35%	24.20%	24.82%	18.32%	18.63%	18.90%	18.18%	22.76%	18.92%	22.15%	19.72%	22.52%	24.40%	17.14%	19.43%	13.46%	22.27%	19.92%	19.47%	21.05%	16.89%	18.02%	15.46%	18.08%	18.83%	11.68%	23.26%	20.09%	20.63%	14.43%	6.83%	28.80%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	396	1	7	6	8	5	5	15	5	3	8	9	4	6	4	4	0	7	2	6	6	1	9	5	3	1	6	4	3	1	3	2	4	4	6	3	3	3	2	8	12	7	4	2	1	0	2	7	3	8	2	5	8	1	9	8	4	2	16	8	3	13	17	7	4	2	5	5	10	1	20	5	4	3	3	3									
		0.89%	0.20%	1.65%	0.86%	1.24%	0.93%	0.94%	2.26%	1.03%	0.51%	1.47%	1.33%	0.53%	0.86%	0.85%	0.82%	0.00%	1.21%	0.23%	0.65%	0.76%	0.30%	0.67%	0.94%	0.53%	0.20%	1.43%	1.16%	0.62%	0.25%	0.58%	0.56%	0.84%	0.59%	0.94%	0.52%	0.70%	0.66%	0.46%	1.09%	1.50%	1.14%	0.64%	0.47%	0.23%	0.00%	0.48%	1.22%	0.48%	1.70%	0.57%	0.71%	1.35%	0.16%	1.15%	0.98%	0.64%	0.41%	1.88%	0.70%	0.43%	1.63%	1.97%	0.81%	0.90%	0.39%	0.79%	0.77%	1.34%	0.73%	1.94%	1.10%	0.74%	0.52%	0.50%	1.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5184	55	59	78	73	61	86	66	59	83	110	88	120	132	53	92	34	64	124	119	120	29	116	36	45	36	24	18	38	39	69	39	91	68	78	57	42	25	30	83	103	39	88	39	25	56	28	50	91	59	46	106	88	87	112	102	83	58	100	56	103	45	122	129	68	93	104	81	146	9	75	26	42	53	18	15									
		11.62%	11.02%	13.95%	11.19%	11.35%	11.32%	16.20%	9.95%	12.14%	14.02%	20.18%	12.98%	15.79%	18.86%	11.32%	18.78%	10.63%	11.09%	14.52%	12.93%	15.17%	8.61%	8.68%	6.77%	7.98%	7.23%	5.70%	5.20%	7.84%	9.68%	13.27%	11.02%	19.08%	10.07%	12.23%	9.90%	9.79%	5.49%	6.96%	11.28%	12.89%	6.36%	14.17%	9.11%	5.76%	10.59%	6.68%	8.73%	14.49%	12.53%	13.07%	15.08%	14.86%	13.96%	14.34%	12.48%	13.32%	11.84%	11.78%	4.90%	14.80%	5.64%	14.14%	15.00%	15.32%	18.02%	16.40%	12.52%	19.49%	6.57%	7.27%	5.74%	7.81%	9.11%	3.00%	7.85%									
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
