Выборы Президента Российской Федерации																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																			
																																																																																																																			
Итоги голосования 																																																																																																																			
																																																																																																																			
		Сумма	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1232	УИК  1233	УИК  1234	УИК  1235	УИК  1236	УИК  1237	УИК  1238	УИК  1239	УИК  1240	УИК  1241	УИК  1242	УИК  1243	УИК  1244	УИК  1245	УИК  1246	УИК  1247	УИК  1248	УИК  1249	УИК  1250	УИК  1251	УИК  1252	УИК  1253	УИК  1254	УИК  1255	УИК  1256	УИК  1257	УИК  1258	УИК  1259	УИК  1260	УИК  1261	УИК  1262	УИК  1263	УИК  1264	УИК  1265	УИК  1266	УИК  1267	УИК  1268	УИК  1269	УИК  1270	УИК  1271	УИК  1272	УИК  1273	УИК  1274	УИК  1275	УИК  1276	УИК  1277	УИК  1278	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303					
11	Число полученных открепительных  удостоверений	2660	20	10	30	30	20	10	30	20	30	20	30	30	30	20	20	20	40	30	30	10	20	30	10	20	30	30	20	20	20	20	40	30	20	30	10	30	50	30	30	20	20	20	40	30	20	30	20	40	20	70	20	20	20	20	20	20	20	10	30	30	30	30	30	20	20	30	30	30	30	30	20	30	20	20	20	20	20	30	20	30	30	30	30	20	20	30	20	20	20	60	30	30	30	20	30	30	30	0	0	20	30	30	0	20	20	20	10	10					
12	Число выданных открепительных удостоверений	1080	11	7	11	9	3	0	8	17	8	7	5	15	11	4	3	4	30	12	15	2	12	6	3	6	7	12	5	5	6	3	28	6	2	7	3	2	41	6	2	2	4	8	25	5	10	13	8	31	5	70	20	12	12	13	8	4	6	4	9	17	10	3	17	12	11	13	7	13	5	14	9	10	8	9	6	7	6	13	12	4	4	10	7	13	15	4	3	5	6	60	12	11	6	10	9	21	10	0	0	13	15	11	0	5	4	6	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	402	0	1	5	0	1	0	0	0	1	0	0	0	2	4	2	4	0	1	3	4	1	2	0	4	6	2	3	0	6	3	7	17	11	6	1	5	1	20	25	1	1	2	4	4	0	0	0	5	6	9	0	2	1	0	2	1	0	4	3	4	4	2	0	1	0	2	2	4	0	6	4	0	0	2	23	0	3	0	7	13	1	4	14	4	4	3	2	4	3	2	44	4	2	2	5	1	1	0	15	2	4	3	0	5	1	1	1	0					
14	Число неиспользованных открепительных удостоверений	1580	9	3	19	21	17	10	22	3	22	13	25	15	19	16	17	16	10	18	15	8	8	24	7	14	23	18	15	15	14	17	12	24	18	23	7	28	9	24	28	18	16	12	15	25	10	17	12	9	15	0	0	8	8	7	12	16	14	6	21	13	20	27	13	8	9	17	23	17	25	16	11	20	12	11	14	13	14	17	8	26	26	20	23	7	5	26	17	15	14	0	18	19	24	10	21	9	20	0	0	7	15	19	0	15	16	14	9	10					
15	"Число открепительных удостоверений, выданных в ТИК"	24	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	3	1	2	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																			
18	. Глазьев Сергей Юрьевич	1218	3	13	33	3	7	1	6	3	21	18	28	42	16	7	5	6	8	7	10	6	1	53	2	12	26	30	11	13	18	5	1	19	13	8	4	3	30	26	8	7	9	7	15	26	16	13	12	17	3	14	20	11	0	10	11	30	5	2	24	0	18	8	19	3	5	4	8	12	8	29	3	12	3	21	33	1	5	7	7	11	11	15	4	5	3	16	5	1	4	9	9	19	13	12	13	0	8	0	0	22	14	21	0	2	0	8	7	2					
		0.72%	0.31%	1.57%	1.44%	0.11%	0.49%	0.17%	0.33%	0.24%	0.97%	1.54%	1.32%	1.85%	0.62%	0.52%	0.50%	0.42%	0.45%	0.38%	0.54%	0.93%	0.06%	2.29%	0.30%	0.90%	1.26%	1.29%	0.69%	0.90%	1.13%	0.36%	0.06%	0.80%	1.25%	0.35%	0.72%	0.15%	2.75%	1.04%	0.45%	0.73%	0.57%	0.42%	1.36%	1.35%	1.48%	0.59%	1.07%	1.06%	0.28%	0.64%	1.52%	0.70%	0.00%	0.61%	1.00%	2.42%	0.57%	0.24%	1.24%	0.00%	0.85%	0.39%	0.85%	0.21%	0.37%	0.23%	0.34%	0.73%	0.37%	1.20%	0.21%	0.59%	0.21%	1.47%	2.82%	0.09%	0.56%	0.30%	0.51%	0.63%	0.53%	0.66%	0.20%	0.47%	0.23%	0.88%	0.55%	0.10%	0.41%	0.45%	0.46%	0.83%	0.69%	1.09%	0.58%	0.00%	0.44%	0.00%	0.00%	1.38%	0.67%	0.82%	0.00%	0.18%	0.00%	0.58%	1.03%	0.72%					
19	. Малышкин Олег Александрович	628	2	10	2	2	0	1	1	5	2	9	23	18	9	5	1	7	2	6	8	10	4	11	4	7	22	7	6	7	10	7	3	9	5	10	3	3	15	6	12	3	6	7	8	2	2	10	4	5	1	5	10	6	0	10	12	3	9	4	18	0	10	2	17	3	3	8	3	8	3	2	1	8	1	6	11	1	3	2	3	3	10	5	0	7	0	13	6	0	2	9	5	8	7	8	15	0	3	0	0	3	2	11	0	6	3	1	5	2					
		0.37%	0.21%	1.21%	0.09%	0.07%	0.00%	0.17%	0.05%	0.40%	0.09%	0.77%	1.09%	0.79%	0.35%	0.37%	0.10%	0.49%	0.11%	0.33%	0.44%	1.55%	0.26%	0.48%	0.60%	0.53%	1.07%	0.30%	0.38%	0.48%	0.63%	0.50%	0.17%	0.38%	0.48%	0.44%	0.54%	0.15%	1.37%	0.24%	0.68%	0.31%	0.38%	0.42%	0.72%	0.10%	0.19%	0.46%	0.36%	0.31%	0.09%	0.23%	0.76%	0.38%	0.00%	0.61%	1.09%	0.24%	1.03%	0.48%	0.93%	0.00%	0.47%	0.10%	0.76%	0.21%	0.22%	0.45%	0.13%	0.49%	0.14%	0.08%	0.07%	0.39%	0.07%	0.42%	0.94%	0.09%	0.33%	0.09%	0.22%	0.17%	0.48%	0.22%	0.00%	0.66%	0.00%	0.71%	0.67%	0.00%	0.21%	0.45%	0.25%	0.35%	0.37%	0.72%	0.67%	0.00%	0.17%	0.00%	0.00%	0.19%	0.10%	0.43%	0.00%	0.55%	0.30%	0.07%	0.74%	0.72%					
20	. Миронов Сергей Михайлович	427	2	5	6	1	0	1	2	1	10	3	3	9	7	6	5	4	0	1	0	7	0	15	1	11	15	7	3	3	2	0	2	2	2	8	3	1	2	9	4	0	2	3	10	3	2	19	6	3	3	4	5	3	0	6	3	7	8	2	8	0	10	6	5	1	3	2	3	8	3	6	1	9	7	2	9	0	0	7	2	2	3	3	0	3	2	7	4	0	2	3	2	3	4	5	3	2	2	0	0	2	3	17	0	3	3	2	1	2					
		0.25%	0.21%	0.60%	0.26%	0.04%	0.00%	0.17%	0.11%	0.08%	0.46%	0.26%	0.14%	0.40%	0.27%	0.45%	0.50%	0.28%	0.00%	0.05%	0.00%	1.09%	0.00%	0.65%	0.15%	0.83%	0.73%	0.30%	0.19%	0.21%	0.13%	0.00%	0.11%	0.08%	0.19%	0.35%	0.54%	0.05%	0.18%	0.36%	0.23%	0.00%	0.13%	0.18%	0.90%	0.16%	0.19%	0.87%	0.53%	0.19%	0.28%	0.18%	0.38%	0.19%	0.00%	0.37%	0.27%	0.56%	0.92%	0.24%	0.41%	0.00%	0.47%	0.29%	0.22%	0.07%	0.22%	0.11%	0.13%	0.49%	0.14%	0.25%	0.07%	0.44%	0.50%	0.14%	0.77%	0.00%	0.00%	0.30%	0.15%	0.11%	0.14%	0.13%	0.00%	0.28%	0.15%	0.38%	0.44%	0.00%	0.21%	0.15%	0.10%	0.13%	0.21%	0.45%	0.13%	0.11%	0.11%	0.00%	0.00%	0.13%	0.14%	0.67%	0.00%	0.27%	0.30%	0.15%	0.15%	0.72%					
21	. Путин Владимир Владимирович	158697	933	784	2119	2544	1396	541	1768	1165	2043	1106	2004	2134	2422	1259	942	1365	1681	1787	1741	593	1434	2080	632	1250	1902	2146	1526	1367	1509	1364	1621	2232	969	2155	513	1878	937	2391	1658	902	1460	1610	1049	1765	992	1998	1054	1525	1008	2063	1240	1494	1368	1556	1047	1159	818	800	1795	1768	1992	1922	2109	1360	1325	1688	2203	1469	2034	2297	1333	1937	1326	1337	948	1093	859	2236	1308	1687	1967	2134	1853	992	1193	1702	859	996	918	1914	1912	2164	1778	1039	2140	1709	1698	50	779	1502	1962	2409	25	1040	927	1309	639	262					
		94.11%	95.89%	94.80%	92.33%	92.11%	97.01%	91.23%	96.51%	93.65%	94.02%	94.77%	94.71%	94.09%	94.54%	93.68%	93.92%	95.12%	94.86%	97.07%	94.67%	92.08%	91.98%	89.93%	94.05%	94.27%	92.24%	92.10%	95.43%	94.54%	94.79%	97.01%	91.79%	94.02%	93.35%	95.06%	92.10%	96.41%	85.81%	95.37%	94.04%	94.06%	92.58%	97.22%	94.93%	91.97%	92.02%	91.27%	93.94%	95.19%	94.03%	94.50%	93.94%	94.56%	94.02%	95.46%	95.01%	93.39%	93.59%	95.01%	92.43%	93.25%	94.59%	94.12%	94.03%	95.77%	96.79%	95.64%	94.27%	89.79%	93.43%	95.23%	95.01%	94.49%	94.04%	93.50%	80.96%	95.04%	95.66%	95.19%	95.40%	96.18%	94.07%	93.68%	94.59%	94.21%	91.35%	93.57%	95.23%	96.79%	95.03%	95.13%	96.86%	94.21%	94.22%	94.03%	94.98%	94.58%	94.02%	100.00%	99.87%	94.47%	94.15%	94.29%	100.00%	95.24%	94.21%	94.99%	94.25%	93.91%					
22	. Хакамада Ирина Муцуовна	1173	4	4	13	10	7	1	10	3	65	6	8	41	14	11	4	4	6	10	19	6	2	47	5	13	33	46	16	10	10	4	5	18	2	21	6	1	21	11	12	11	12	2	8	22	18	7	5	12	2	10	10	17	2	15	14	9	3	1	39	6	27	5	13	5	10	9	4	10	9	8	3	18	4	20	23	6	10	6	8	7	10	12	9	6	5	2	9	3	1	9	7	11	11	7	17	15	10	0	1	4	11	23	0	11	10	5	4	1					
		0.70%	0.41%	0.48%	0.57%	0.36%	0.49%	0.17%	0.55%	0.24%	2.99%	0.51%	0.38%	1.81%	0.55%	0.82%	0.40%	0.28%	0.34%	0.54%	1.03%	0.93%	0.13%	2.03%	0.74%	0.98%	1.60%	1.97%	1.00%	0.69%	0.63%	0.28%	0.28%	0.76%	0.19%	0.93%	1.08%	0.05%	1.92%	0.44%	0.68%	1.15%	0.76%	0.12%	0.72%	1.15%	1.67%	0.32%	0.45%	0.75%	0.19%	0.46%	0.76%	1.08%	0.14%	0.92%	1.27%	0.73%	0.34%	0.12%	2.01%	0.32%	1.28%	0.24%	0.58%	0.35%	0.73%	0.51%	0.17%	0.61%	0.41%	0.33%	0.21%	0.88%	0.28%	1.40%	1.96%	0.52%	1.11%	0.26%	0.58%	0.40%	0.48%	0.53%	0.46%	0.57%	0.38%	0.11%	1.00%	0.29%	0.10%	0.45%	0.35%	0.48%	0.58%	0.63%	0.75%	0.83%	0.55%	0.00%	0.13%	0.25%	0.53%	0.90%	0.00%	1.01%	1.02%	0.36%	0.59%	0.36%					
23	. Харитонов Николай Михайлович	5157	22	8	111	171	25	48	43	66	15	20	50	20	88	50	42	45	70	21	52	15	114	81	16	17	29	82	25	34	28	21	122	82	40	38	21	62	7	64	53	34	74	11	15	65	36	110	15	21	51	83	14	36	70	20	9	28	11	30	35	122	39	73	67	38	12	44	102	118	74	43	56	39	45	32	122	35	13	68	35	34	85	62	85	34	100	68	13	26	32	53	31	89	51	20	58	74	82	0	0	53	88	33	0	16	32	53	13	9					
		3.06%	2.26%	0.97%	4.84%	6.19%	1.74%	8.09%	2.35%	5.31%	0.69%	1.71%	2.36%	0.88%	3.43%	3.72%	4.19%	3.14%	3.95%	1.14%	2.83%	2.33%	7.31%	3.50%	2.38%	1.28%	1.41%	3.52%	1.56%	2.35%	1.76%	1.49%	6.91%	3.45%	3.85%	1.68%	3.77%	3.18%	0.64%	2.55%	3.01%	3.55%	4.69%	0.66%	1.36%	3.39%	3.34%	5.03%	1.34%	1.31%	4.76%	3.80%	1.06%	2.28%	4.81%	1.23%	0.82%	2.26%	1.26%	3.56%	1.80%	6.43%	1.85%	3.57%	2.99%	2.68%	0.88%	2.49%	4.36%	7.21%	3.40%	1.78%	3.99%	1.90%	3.19%	2.24%	10.42%	3.04%	1.45%	2.89%	2.55%	1.94%	4.07%	2.72%	4.34%	3.23%	7.66%	3.74%	1.44%	2.53%	3.31%	2.63%	1.57%	3.87%	2.70%	1.81%	2.57%	4.10%	4.54%	0.00%	0.00%	3.33%	4.22%	1.29%	0.00%	1.47%	3.25%	3.85%	1.92%	3.23%					
																																																																																																																			
24	Против всех	802	7	3	11	2	4	0	2	1	12	5	0	1	3	2	2	4	5	8	3	7	2	17	2	9	18	6	9	8	12	4	7	12	4	14	7	0	7	0	9	2	8	13	0	29	2	12	11	13	4	4	10	13	10	7	4	4	15	2	11	0	8	17	13	7	7	8	14	7	23	17	3	17	3	5	18	11	7	9	5	8	4	31	5	3	2	5	1	3	5	9	4	3	23	14	6	7	3	0	0	0	4	34	0	12	8	0	5	1					
		0.48%	0.72%	0.36%	0.48%	0.07%	0.28%	0.00%	0.11%	0.08%	0.55%	0.43%	0.00%	0.04%	0.12%	0.15%	0.20%	0.28%	0.28%	0.43%	0.16%	1.09%	0.13%	0.73%	0.30%	0.68%	0.87%	0.26%	0.56%	0.55%	0.75%	0.28%	0.40%	0.51%	0.39%	0.62%	1.26%	0.00%	0.64%	0.00%	0.51%	0.21%	0.51%	0.79%	0.00%	1.51%	0.19%	0.55%	0.98%	0.81%	0.37%	0.18%	0.76%	0.82%	0.69%	0.43%	0.36%	0.32%	1.72%	0.24%	0.57%	0.00%	0.38%	0.83%	0.58%	0.49%	0.51%	0.45%	0.60%	0.43%	1.06%	0.70%	0.21%	0.83%	0.21%	0.35%	1.54%	0.96%	0.78%	0.38%	0.36%	0.46%	0.19%	1.36%	0.26%	0.28%	0.15%	0.27%	0.11%	0.29%	0.52%	0.45%	0.20%	0.13%	1.22%	1.27%	0.27%	0.39%	0.17%	0.00%	0.00%	0.00%	0.19%	1.33%	0.00%	1.10%	0.81%	0.00%	0.74%	0.36%					
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
