Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
"Наименование Избирательной комиссии:    Ставрополь, Промышленная"																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1851	36	35	40	50	30	35	40	30	20	40	20	25	35	25	20	15	75	20	25	20	25	15	30	20	40	25	40	20	30	25	20	25	35	40	35	40	50	25	25	20	25	25	25	35	25	20	25	35	25	20	25	15	50	25	50	35	50	35	40	25	20	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1427	36	32	40	46	28	24	34	28	15	37	13	19	26	22	15	12	71	1	12	18	24	8	19	10	30	25	29	11	23	20	14	23	33	31	24	27	22	20	19	8	18	24	21	27	23	18	23	25	12	16	9	5	34	24	41	28	32	34	30	23	11	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1172	13	7	14	95	13	11	14	8	7	8	6	14	11	5	14	5	24	17	17	18	6	5	12	7	8	12	14	9	11	9	78	11	12	18	10	4	19	18	6	4	10	15	6	15	10	9	15	10	7	4	6	4	13	2	14	11	7	9	13	11	11	16	5	223	132					
14	Число погашенных открепительных удостоверений	433	0	3	0	4	2	11	6	2	5	3	7	6	9	3	6	3	4	19	13	2	1	7	11	10	10	12	11	10	7	5	6	2	2	9	11	13	28	5	6	12	7	1	4	8	2	2	2	10	13	4	16	5	16	1	9	7	18	1	10	2	9	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	70	0	2	1	1	5	2	0	3	0	0	0	0	0	1	0	0	3	0	0	2	1	0	5	1	2	0	2	0	0	2	0	1	1	3	2	3	1	1	0	1	0	1	4	1	0	1	1	3	2	0	0	1	2	0	2	2	0	0	1	1	2	0	0	0	0					
16	Число утраченных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	"1. ""ЕДИНЕНИЕ"""	788	27	21	8	18	13	10	19	12	9	12	9	6	16	12	5	5	10	29	12	3	1	12	6	9	23	15	13	12	8	13	16	11	16	9	11	9	15	12	20	10	23	14	16	15	15	8	9	15	15	5	20	2	11	15	10	13	17	14	12	21	5	0	7	5	4					
		1.05%	1.88%	1.53%	0.53%	1.27%	1.60%	1.07%	1.32%	0.86%	0.89%	0.83%	0.89%	0.45%	1.03%	0.79%	0.66%	1.02%	0.82%	3.07%	0.92%	0.34%	0.07%	2.12%	0.72%	1.25%	1.41%	0.98%	0.87%	1.92%	1.12%	0.87%	1.75%	0.88%	1.35%	0.71%	0.78%	0.64%	1.11%	0.92%	1.27%	1.64%	1.39%	0.86%	0.88%	0.99%	0.93%	0.86%	0.85%	1.26%	1.11%	0.89%	2.36%	0.50%	0.74%	1.26%	0.58%	0.88%	1.07%	0.99%	0.76%	1.43%	0.90%	0.0%	2.8%	2.02%	1.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3020	42	48	52	60	28	32	37	44	28	50	45	87	69	60	42	24	45	47	43	21	53	29	27	24	68	84	53	25	32	64	31	46	37	52	60	47	42	29	81	36	64	81	66	71	78	19	36	46	35	12	43	22	57	69	75	69	77	65	80	69	30	3	16	7	6					
		4.06%	2.93%	3.51%	3.48%	4.24%	3.44%	3.44%	2.57%	3.18%	2.78%	3.49%	4.47%	6.53%	4.46%	3.98%	5.58%	4.91%	3.73%	4.98%	3.32%	2.4%	4.21%	5.13%	3.25%	3.35%	4.17%	5.53%	3.57%	4.0%	4.48%	4.31%	3.39%	3.71%	3.12%	4.11%	4.26%	3.34%	3.12%	2.24%	5.15%	5.93%	3.86%	4.98%	3.67%	4.71%	4.86%	2.04%	3.42%	3.89%	2.59%	2.14%	5.07%	5.56%	3.87%	5.81%	4.38%	4.68%	4.87%	4.62%	5.11%	4.70%	5.42%	5.55%	6.4%	2.83%	2.77%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2994	55	42	42	52	22	28	58	60	31	47	50	37	68	62	36	18	53	25	76	30	46	30	38	25	63	78	56	33	29	75	25	58	48	53	72	78	64	50	68	27	93	60	86	81	62	43	36	47	68	17	15	23	50	41	67	46	36	42	69	36	24	4	28	6	6					
		4.02%	3.84%	3.07%	2.81%	3.67%	2.70%	3.01%	4.03%	4.34%	3.08%	3.28%	4.97%	2.77%	4.39%	4.11%	4.78%	3.68%	4.39%	2.65%	5.86%	3.42%	3.65%	5.30%	4.58%	3.49%	3.86%	5.14%	3.77%	5.28%	4.06%	5.05%	2.74%	4.68%	4.05%	4.19%	5.11%	5.55%	4.76%	3.86%	4.32%	4.44%	5.62%	3.69%	4.78%	5.38%	3.86%	4.63%	3.42%	3.97%	5.04%	3.03%	1.77%	5.82%	3.39%	3.45%	3.91%	3.12%	2.27%	2.98%	4.41%	2.45%	4.33%	7.40%	11.2%	2.42%	2.77%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3432	66	51	70	66	36	29	52	67	44	53	51	80	73	84	46	26	53	46	66	50	59	31	25	39	109	74	55	17	20	56	31	66	39	74	46	62	50	57	75	24	71	69	83	83	74	36	31	67	67	32	42	18	62	61	97	62	75	86	81	68	23	1	12	5	8					
		4.61%	4.61%	3.73%	4.69%	4.66%	4.43%	3.11%	3.61%	4.84%	4.37%	3.70%	5.07%	6.01%	4.71%	5.57%	6.11%	5.32%	4.39%	4.88%	5.09%	5.71%	4.69%	5.48%	3.01%	5.44%	6.68%	4.87%	3.70%	2.72%	2.80%	3.77%	3.39%	5.33%	3.29%	5.85%	3.26%	4.41%	3.72%	4.40%	4.77%	3.95%	4.29%	4.24%	4.61%	5.51%	4.61%	3.87%	2.94%	5.66%	4.97%	5.71%	4.95%	4.55%	4.21%	5.13%	5.67%	4.21%	4.74%	6.11%	5.18%	4.63%	4.15%	1.85%	4.8%	2.02%	3.70%					
22	"5. ""За Русь Святую"""	394	7	5	6	7	4	8	6	1	9	8	2	7	11	7	4	2	4	16	12	7	7	1	0	2	3	12	3	3	1	17	5	4	4	7	4	14	11	4	1	2	10	7	9	8	7	8	5	5	12	2	5	0	18	2	5	11	6	3	11	8	0	0	9	1	4					
		0.52%	0.48%	0.36%	0.40%	0.49%	0.49%	0.86%	0.41%	0.07%	0.89%	0.55%	0.19%	0.52%	0.71%	0.46%	0.53%	0.40%	0.33%	1.69%	0.92%	0.8%	0.55%	0.17%	0.0%	0.27%	0.18%	0.79%	0.20%	0.48%	0.14%	1.14%	0.54%	0.32%	0.33%	0.55%	0.28%	0.99%	0.81%	0.30%	0.06%	0.32%	0.60%	0.43%	0.50%	0.53%	0.43%	0.86%	0.47%	0.42%	0.89%	0.35%	0.59%	0.0%	1.22%	0.16%	0.29%	0.74%	0.37%	0.21%	0.70%	0.54%	0.0%	0.0%	3.6%	0.40%	1.85%					
23	"6. ""Объединенная Российская партия ""Русь"""	180	2	2	7	2	3	2	4	2	4	3	0	0	6	1	1	1	4	6	5	5	5	0	1	0	1	3	6	1	0	2	1	2	3	2	5	1	1	2	4	2	3	2	6	2	8	2	0	1	1	2	3	0	7	3	8	4	9	3	4	4	1	0	3	1	1					
		0.24%	0.13%	0.14%	0.46%	0.14%	0.36%	0.21%	0.27%	0.14%	0.39%	0.20%	0.0%	0.0%	0.38%	0.06%	0.13%	0.20%	0.33%	0.63%	0.38%	0.57%	0.39%	0.0%	0.12%	0.0%	0.06%	0.19%	0.40%	0.16%	0.0%	0.13%	0.10%	0.16%	0.25%	0.15%	0.35%	0.07%	0.07%	0.15%	0.25%	0.32%	0.18%	0.12%	0.33%	0.13%	0.49%	0.21%	0.0%	0.08%	0.07%	0.35%	0.35%	0.0%	0.47%	0.25%	0.46%	0.27%	0.56%	0.21%	0.25%	0.27%	0.18%	0.0%	1.2%	0.40%	0.46%					
24	"7. ""Новый курс - Автомобильная Россия"""	866	10	15	16	15	5	11	16	17	12	11	15	19	6	17	5	2	20	25	21	11	18	7	2	5	21	24	15	5	7	22	7	12	9	14	19	17	10	19	27	4	18	24	18	13	24	5	12	14	11	5	16	4	23	6	23	22	27	21	25	6	6	0	6	2	2					
		1.16%	0.69%	1.09%	1.07%	1.06%	0.61%	1.18%	1.11%	1.23%	1.19%	0.76%	1.49%	1.42%	0.38%	1.12%	0.66%	0.40%	1.65%	2.65%	1.62%	1.25%	1.43%	1.23%	0.24%	0.69%	1.28%	1.58%	1.01%	0.8%	0.98%	1.48%	0.76%	0.97%	0.76%	1.10%	1.35%	1.21%	0.74%	1.46%	1.71%	0.65%	1.08%	1.47%	1.00%	0.86%	1.49%	0.53%	1.14%	1.18%	0.81%	0.89%	1.88%	1.01%	1.56%	0.50%	1.34%	1.49%	1.70%	1.49%	1.59%	0.40%	1.08%	0.0%	2.4%	0.80%	0.92%					
25	"8. ""Народно-республиканская партия России"""	79	0	4	1	0	0	1	1	3	0	1	0	2	3	2	2	1	0	4	2	1	0	0	0	0	1	3	1	3	0	2	3	2	0	2	0	3	2	2	1	1	0	1	0	0	1	3	1	2	0	1	3	1	3	0	0	2	2	1	3	1	0	0	0	0	0					
		0.10%	0.0%	0.29%	0.06%	0.0%	0.0%	0.10%	0.06%	0.21%	0.0%	0.06%	0.0%	0.15%	0.19%	0.13%	0.26%	0.20%	0.0%	0.42%	0.15%	0.11%	0.0%	0.0%	0.0%	0.0%	0.06%	0.19%	0.06%	0.48%	0.0%	0.13%	0.32%	0.16%	0.0%	0.15%	0.0%	0.21%	0.14%	0.15%	0.06%	0.16%	0.0%	0.06%	0.0%	0.0%	0.06%	0.32%	0.09%	0.16%	0.0%	0.17%	0.35%	0.25%	0.20%	0.0%	0.0%	0.13%	0.12%	0.07%	0.19%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	388	4	11	4	5	2	3	7	7	8	9	3	6	13	4	4	1	3	25	2	4	4	4	3	2	6	4	14	5	3	3	2	9	11	6	5	5	5	7	9	1	7	4	7	8	7	7	6	5	6	3	15	1	7	8	11	7	13	13	6	7	4	0	1	1	1					
		0.52%	0.27%	0.80%	0.26%	0.35%	0.24%	0.32%	0.48%	0.50%	0.79%	0.62%	0.29%	0.45%	0.84%	0.26%	0.53%	0.20%	0.24%	2.65%	0.15%	0.45%	0.31%	0.70%	0.36%	0.27%	0.36%	0.26%	0.94%	0.8%	0.42%	0.20%	0.21%	0.72%	0.92%	0.47%	0.35%	0.35%	0.37%	0.54%	0.57%	0.16%	0.42%	0.24%	0.38%	0.53%	0.43%	0.75%	0.57%	0.42%	0.44%	0.53%	1.77%	0.25%	0.47%	0.67%	0.64%	0.47%	0.82%	0.92%	0.38%	0.47%	0.72%	0.0%	0.4%	0.40%	0.46%					
27	"10. ""Аграрная партия России"""	1976	32	25	35	30	31	27	38	32	17	46	35	41	45	52	16	13	45	13	45	44	33	13	23	16	45	54	32	10	27	42	18	33	43	35	38	43	32	28	35	6	58	41	48	38	44	25	24	38	36	13	17	12	34	29	51	36	35	18	39	31	15	4	4	15	3					
		2.65%	2.23%	1.83%	2.34%	2.12%	3.81%	2.90%	2.64%	2.31%	1.69%	3.21%	3.48%	3.08%	2.90%	3.45%	2.12%	2.66%	3.73%	1.38%	3.47%	5.02%	2.62%	2.30%	2.77%	2.23%	2.76%	3.55%	2.15%	1.6%	3.78%	2.83%	1.97%	2.66%	3.63%	2.76%	2.70%	3.06%	2.38%	2.16%	2.22%	0.98%	3.50%	2.52%	2.66%	2.52%	2.74%	2.69%	2.28%	3.21%	2.67%	2.32%	2.00%	3.03%	2.30%	2.44%	2.98%	2.44%	2.21%	1.28%	2.49%	2.11%	2.71%	7.40%	1.6%	6.07%	1.38%					
28	"11. ""Истинные патриоты России"""	109	0	5	0	8	1	2	2	1	3	6	3	0	4	0	0	0	3	4	0	1	0	0	1	1	0	0	2	0	1	1	1	2	1	0	0	0	1	4	3	2	2	1	7	9	0	1	2	3	1	1	2	2	0	2	1	1	2	2	2	1	1	0	3	0	0					
		0.14%	0.0%	0.36%	0.0%	0.56%	0.12%	0.21%	0.13%	0.07%	0.29%	0.41%	0.29%	0.0%	0.25%	0.0%	0.0%	0.0%	0.24%	0.42%	0.0%	0.11%	0.0%	0.0%	0.12%	0.13%	0.0%	0.0%	0.13%	0.0%	0.14%	0.06%	0.10%	0.16%	0.08%	0.0%	0.0%	0.0%	0.07%	0.30%	0.19%	0.32%	0.12%	0.06%	0.38%	0.59%	0.0%	0.10%	0.19%	0.25%	0.07%	0.17%	0.23%	0.50%	0.0%	0.16%	0.05%	0.06%	0.12%	0.14%	0.12%	0.06%	0.18%	0.0%	1.2%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	938	20	25	14	20	9	11	19	17	20	17	8	23	18	12	5	5	13	6	11	13	10	2	10	9	28	27	18	6	7	18	15	14	20	9	18	25	22	12	24	5	21	30	18	22	29	9	9	18	16	7	6	5	13	25	20	14	22	22	14	16	8	0	5	1	3					
		1.26%	1.39%	1.83%	0.93%	1.41%	1.10%	1.18%	1.32%	1.23%	1.99%	1.18%	0.79%	1.72%	1.16%	0.79%	0.66%	1.02%	1.07%	0.63%	0.84%	1.48%	0.79%	0.35%	1.20%	1.25%	1.71%	1.77%	1.21%	0.96%	0.98%	1.21%	1.64%	1.13%	1.68%	0.71%	1.27%	1.78%	1.63%	0.92%	1.52%	0.82%	1.26%	1.84%	1.00%	1.46%	1.80%	0.96%	0.85%	1.52%	1.18%	1.24%	0.70%	1.26%	0.88%	2.10%	1.16%	0.95%	1.39%	1.56%	0.89%	1.08%	1.44%	0.0%	2.0%	0.40%	1.38%					
30	"13. ""Демократическая партия России"""	135	7	4	6	2	2	5	5	3	4	1	0	1	2	2	0	0	1	3	1	0	0	0	1	0	2	1	4	1	0	2	1	1	3	4	6	0	3	4	2	3	1	3	5	6	2	1	1	3	0	1	2	0	1	1	3	3	2	3	4	0	1	0	1	3	1					
		0.18%	0.48%	0.29%	0.40%	0.14%	0.24%	0.53%	0.34%	0.21%	0.39%	0.06%	0.0%	0.07%	0.12%	0.13%	0.0%	0.0%	0.08%	0.31%	0.07%	0.0%	0.0%	0.0%	0.12%	0.0%	0.12%	0.06%	0.26%	0.16%	0.0%	0.13%	0.10%	0.08%	0.25%	0.31%	0.42%	0.0%	0.22%	0.30%	0.12%	0.49%	0.06%	0.18%	0.27%	0.39%	0.12%	0.10%	0.09%	0.25%	0.0%	0.17%	0.23%	0.0%	0.06%	0.08%	0.17%	0.20%	0.12%	0.21%	0.25%	0.0%	0.18%	0.0%	0.4%	1.21%	0.46%					
31	"14. ""Великая Россия - Евразийский Союз"""	102	2	2	4	0	0	2	1	1	0	3	4	1	5	1	0	0	2	5	3	0	1	2	1	2	1	3	1	2	3	4	3	1	4	1	2	0	0	2	1	3	2	1	1	1	3	3	0	0	0	0	0	1	1	0	2	4	2	0	1	3	0	0	3	1	0					
		0.13%	0.13%	0.14%	0.26%	0.0%	0.0%	0.21%	0.06%	0.07%	0.0%	0.20%	0.39%	0.07%	0.32%	0.06%	0.0%	0.0%	0.16%	0.53%	0.23%	0.0%	0.07%	0.35%	0.12%	0.27%	0.06%	0.19%	0.06%	0.32%	0.42%	0.26%	0.32%	0.08%	0.33%	0.07%	0.14%	0.0%	0.0%	0.15%	0.06%	0.49%	0.12%	0.06%	0.05%	0.06%	0.18%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.06%	0.0%	0.11%	0.27%	0.12%	0.0%	0.06%	0.20%	0.0%	0.0%	1.2%	0.40%	0.0%					
32	"15. ""Партия СЛОН"""	123	1	6	1	2	2	1	3	2	2	5	1	2	1	2	0	3	0	10	1	0	3	0	1	2	3	5	3	0	1	3	3	1	2	1	1	3	3	4	3	2	1	1	3	2	1	0	0	0	2	0	2	0	1	2	0	4	2	1	3	1	6	0	1	1	0					
		0.16%	0.06%	0.43%	0.06%	0.14%	0.24%	0.10%	0.20%	0.14%	0.19%	0.34%	0.09%	0.15%	0.06%	0.13%	0.0%	0.61%	0.0%	1.06%	0.07%	0.0%	0.23%	0.0%	0.12%	0.27%	0.18%	0.32%	0.20%	0.0%	0.14%	0.20%	0.32%	0.08%	0.16%	0.07%	0.07%	0.21%	0.22%	0.30%	0.19%	0.32%	0.06%	0.06%	0.16%	0.13%	0.06%	0.0%	0.0%	0.0%	0.14%	0.0%	0.23%	0.0%	0.06%	0.16%	0.0%	0.27%	0.12%	0.07%	0.19%	0.06%	1.08%	0.0%	0.4%	0.40%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	11092	190	204	182	208	136	99	190	196	143	204	153	246	280	226	120	57	172	45	177	124	201	71	138	109	254	207	215	94	85	207	101	165	198	202	197	224	179	231	230	98	262	256	260	206	268	181	163	186	191	86	83	64	232	199	250	248	211	264	250	304	100	5	13	26	26					
		14.91%	13.27%	14.95%	12.21%	14.71%	16.74%	10.64%	13.22%	14.18%	14.22%	14.27%	15.22%	18.48%	18.09%	15.00%	15.95%	11.68%	14.26%	4.77%	13.66%	14.17%	15.99%	12.56%	16.64%	15.22%	15.58%	13.64%	14.49%	15.04%	11.90%	13.94%	11.07%	13.33%	16.72%	15.98%	14.00%	15.96%	13.31%	17.86%	14.63%	16.14%	15.84%	15.75%	14.46%	13.68%	16.71%	19.50%	15.49%	15.73%	14.16%	15.35%	9.79%	16.20%	15.76%	16.76%	14.61%	16.84%	13.36%	18.77%	15.99%	20.70%	18.08%	9.25%	5.2%	10.52%	12.03%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	111	2	1	0	2	0	2	2	3	2	1	0	0	0	3	0	0	3	18	1	2	1	0	1	2	1	1	2	0	1	4	2	2	3	0	1	1	2	2	1	1	0	2	1	3	5	3	0	1	2	0	2	0	2	1	3	2	0	4	3	3	0	0	1	0	3					
		0.14%	0.13%	0.07%	0.0%	0.14%	0.0%	0.21%	0.13%	0.21%	0.19%	0.06%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.24%	1.91%	0.07%	0.22%	0.07%	0.0%	0.12%	0.27%	0.06%	0.06%	0.13%	0.0%	0.14%	0.26%	0.21%	0.16%	0.25%	0.0%	0.07%	0.07%	0.14%	0.15%	0.06%	0.16%	0.0%	0.12%	0.05%	0.19%	0.31%	0.32%	0.0%	0.08%	0.14%	0.0%	0.23%	0.0%	0.13%	0.08%	0.17%	0.13%	0.0%	0.28%	0.19%	0.20%	0.0%	0.0%	0.4%	0.0%	1.38%					
35	"18. ""ЛДПР"""	9680	244	247	263	210	127	125	203	209	177	245	120	107	154	149	67	57	114	163	147	106	147	58	95	95	165	152	228	68	85	201	119	163	145	130	178	147	182	163	202	88	163	202	251	219	188	125	132	135	192	62	180	57	196	149	261	214	221	159	211	182	61	3	25	25	22					
		13.01%	17.05%	18.10%	17.65%	14.85%	15.64%	13.44%	14.12%	15.12%	17.61%	17.14%	11.94%	8.03%	9.95%	9.89%	8.90%	11.68%	9.45%	17.30%	11.35%	12.11%	11.69%	10.26%	11.45%	13.26%	10.12%	10.01%	15.37%	10.88%	11.90%	13.54%	13.04%	13.17%	12.24%	10.28%	12.65%	10.47%	13.54%	12.60%	12.84%	14.49%	9.85%	12.43%	13.95%	14.55%	11.72%	13.46%	12.54%	11.42%	14.24%	11.07%	21.25%	14.43%	13.31%	12.55%	15.26%	14.53%	13.99%	11.30%	13.49%	12.39%	11.03%	5.55%	10.0%	10.12%	10.18%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1239	16	22	26	25	7	13	27	9	17	31	21	23	22	24	7	10	27	8	19	16	31	6	16	11	39	18	33	13	12	21	17	22	20	37	19	23	18	24	24	4	21	34	31	27	33	18	20	22	16	13	7	7	35	15	23	28	18	15	26	27	7	1	2	3	12					
		1.66%	1.11%	1.61%	1.74%	1.76%	0.86%	1.39%	1.87%	0.65%	1.69%	2.16%	2.08%	1.72%	1.42%	1.59%	0.93%	2.04%	2.23%	0.84%	1.46%	1.82%	2.46%	1.06%	1.93%	1.53%	2.39%	1.18%	2.22%	2.08%	1.68%	1.41%	1.86%	1.77%	1.68%	2.92%	1.35%	1.63%	1.33%	1.85%	1.52%	0.65%	1.26%	2.09%	1.72%	1.79%	2.05%	1.93%	1.90%	1.86%	1.18%	2.32%	0.82%	1.77%	2.37%	1.26%	1.34%	1.90%	1.13%	1.06%	1.66%	1.83%	1.26%	1.85%	0.8%	1.21%	5.55%					
37	"20. ""Политическая партия ""Единая Россия"""	23770	459	409	519	468	234	339	509	431	315	451	312	396	478	470	240	169	423	260	425	234	400	196	279	229	461	454	496	222	230	488	350	375	371	399	457	448	415	428	484	196	508	551	587	475	494	275	379	381	426	207	254	116	467	380	543	466	538	409	498	471	169	18	60	100	79					
		31.96%	32.07%	29.98%	34.83%	33.09%	28.81%	36.45%	35.42%	31.18%	31.34%	31.56%	31.04%	29.75%	30.89%	31.20%	31.91%	34.63%	35.07%	27.60%	32.81%	26.74%	31.82%	34.69%	33.65%	31.98%	28.28%	29.92%	33.44%	35.52%	32.21%	32.88%	38.37%	30.31%	31.33%	31.56%	32.48%	31.93%	30.87%	33.10%	30.78%	32.28%	30.71%	33.90%	32.64%	31.56%	30.81%	29.63%	36.02%	32.23%	31.60%	36.96%	29.98%	29.36%	31.72%	32.01%	31.75%	31.65%	34.07%	29.08%	31.86%	32.08%	30.56%	33.33%	24.0%	40.48%	36.57%					
