Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Вачская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472					
		0.48%	1.10%	0.59%	0.64%	0.0%	0.20%	0.0%	3.63%	0.0%	0.11%	0.32%	0.79%	1.01%	0.74%	0.53%	2.4%	1.33%	0.93%	0.50%	1.67%	0.0%	0.35%	0.69%	0.0%	0.28%	0.0%	0.43%	1.01%	0.0%	0.0%	0.26%	1.09%	0.0%	0.0%	0.33%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	69	2	0	0	0	2	2	2	5	12	3	0	1	0	1	0	3	0	2	0	0	2	7	1	2	0	5	2	0	0	5	2	0	3	4	1					
		0.62%	0.44%	0.0%	0.0%	0.0%	0.40%	0.49%	1.81%	0.45%	1.42%	0.32%	0.0%	0.50%	0.0%	0.53%	0.0%	2.0%	0.0%	0.33%	0.0%	0.0%	0.71%	1.21%	0.49%	0.56%	0.0%	0.72%	0.50%	0.0%	0.0%	1.33%	2.19%	0.0%	4.83%	1.32%	1.11%					
25	"8. ""Народно-республиканская партия России"""	45	1	2	0	0	2	3	0	1	4	4	0	3	1	0	1	1	1	2	1	2	3	1	0	1	1	1	3	1	2	1	1	0	1	0	0					
		0.40%	0.22%	1.18%	0.0%	0.0%	0.40%	0.73%	0.0%	0.09%	0.47%	0.43%	0.0%	1.52%	0.74%	0.0%	0.8%	0.66%	0.46%	0.33%	0.33%	1.78%	1.07%	0.17%	0.0%	0.28%	0.47%	0.14%	0.76%	0.79%	1.41%	0.26%	1.09%	0.0%	1.61%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	0	0	0	0	0	0	0	4	3	1	1	0	0	0	0	0	2	1	0	0	0	0	2	2	2	1	2	0	0	2	0	0	0	1	0					
		0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.35%	0.10%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.16%	0.0%	0.0%	0.0%	0.0%	0.98%	0.56%	0.95%	0.14%	0.50%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.33%	0.0%					
27	"10. ""Аграрная партия России"""	508	19	6	4	2	26	29	5	57	34	36	9	5	5	5	4	7	13	24	19	7	20	31	18	12	5	21	22	1	0	28	5	5	1	19	4					
		4.61%	4.19%	3.55%	2.56%	1.88%	5.21%	7.10%	4.54%	5.20%	4.02%	3.94%	3.57%	2.53%	3.70%	2.68%	3.2%	4.66%	6.10%	4.07%	6.37%	6.24%	7.19%	5.39%	8.82%	3.38%	2.38%	3.05%	5.59%	0.79%	0.0%	7.46%	5.49%	5.15%	1.61%	6.29%	4.44%					
28	"11. ""Истинные патриоты России"""	33	4	1	0	0	2	1	5	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	4	1	1	0	1	2	3	0	0	0	0	0	0					
		0.30%	0.88%	0.59%	0.0%	0.0%	0.40%	0.24%	4.54%	0.09%	0.0%	0.10%	0.0%	0.50%	0.0%	0.53%	0.8%	0.0%	0.0%	0.0%	0.33%	0.89%	0.35%	0.0%	1.96%	0.28%	0.47%	0.0%	0.25%	1.58%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	166	11	5	0	2	6	9	2	14	11	15	1	3	4	3	6	4	3	9	8	1	2	3	3	11	2	9	1	0	0	10	3	1	1	3	0					
		1.50%	2.42%	2.95%	0.0%	1.88%	1.20%	2.20%	1.81%	1.27%	1.30%	1.64%	0.39%	1.52%	2.96%	1.61%	4.8%	2.66%	1.40%	1.52%	2.68%	0.89%	0.71%	0.52%	1.47%	3.10%	0.95%	1.30%	0.25%	0.0%	0.0%	2.66%	3.29%	1.03%	1.61%	0.99%	0.0%					
30	"13. ""Демократическая партия России"""	44	2	1	0	0	2	2	1	4	5	2	3	0	0	2	0	2	0	3	4	0	5	0	0	3	0	0	0	2	0	0	1	0	0	0	0					
		0.40%	0.44%	0.59%	0.0%	0.0%	0.40%	0.49%	0.90%	0.36%	0.59%	0.21%	1.19%	0.0%	0.0%	1.07%	0.0%	1.33%	0.0%	0.50%	1.34%	0.0%	1.79%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	38	2	3	1	0	2	1	0	1	1	5	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	2	2	1	0	1	1	0	0	5	1					
		0.34%	0.44%	1.77%	0.64%	0.0%	0.40%	0.24%	0.0%	0.09%	0.11%	0.54%	0.0%	0.50%	0.74%	0.53%	0.0%	0.66%	0.46%	0.0%	0.0%	0.0%	0.35%	0.0%	0.49%	0.28%	0.47%	0.29%	0.50%	0.79%	0.0%	0.26%	1.09%	0.0%	0.0%	1.65%	1.11%					
32	"15. ""Партия СЛОН"""	27	1	0	0	0	1	1	1	1	3	3	0	1	0	1	1	0	0	1	1	0	3	0	1	1	0	2	1	0	0	0	0	0	0	3	0					
		0.24%	0.22%	0.0%	0.0%	0.0%	0.20%	0.24%	0.90%	0.09%	0.35%	0.32%	0.0%	0.50%	0.0%	0.53%	0.8%	0.0%	0.0%	0.16%	0.33%	0.0%	1.07%	0.0%	0.49%	0.28%	0.0%	0.29%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.99%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1179	45	11	13	3	43	48	9	110	110	86	28	16	12	40	14	14	13	59	26	4	51	78	15	31	12	84	36	28	28	51	8	7	11	19	16					
		10.72%	9.93%	6.50%	8.33%	2.83%	8.61%	11.76%	8.18%	10.03%	13.03%	9.41%	11.11%	8.12%	8.88%	21.50%	11.2%	9.33%	6.10%	10.01%	8.72%	3.57%	18.34%	13.56%	7.35%	8.75%	5.71%	12.20%	9.16%	22.22%	19.85%	13.6%	8.79%	7.21%	17.74%	6.29%	17.77%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	54	2	0	0	1	1	2	1	5	5	2	2	2	1	1	0	1	0	2	2	0	1	3	1	1	0	2	5	1	0	5	0	1	2	1	1					
		0.49%	0.44%	0.0%	0.0%	0.94%	0.20%	0.49%	0.90%	0.45%	0.59%	0.21%	0.79%	1.01%	0.74%	0.53%	0.0%	0.66%	0.0%	0.33%	0.67%	0.0%	0.35%	0.52%	0.49%	0.28%	0.0%	0.29%	1.27%	0.79%	0.0%	1.33%	0.0%	1.03%	3.22%	0.33%	1.11%					
35	"18. ""ЛДПР"""	1251	45	9	14	4	41	50	5	156	122	104	29	17	9	17	2	13	22	74	39	16	37	51	26	65	29	97	52	18	2	35	1	3	5	31	11					
		11.37%	9.93%	5.32%	8.97%	3.77%	8.21%	12.25%	4.54%	14.23%	14.45%	11.39%	11.50%	8.62%	6.66%	9.13%	1.6%	8.66%	10.32%	12.56%	13.08%	14.28%	13.30%	8.86%	12.74%	18.36%	13.80%	14.09%	13.23%	14.28%	1.41%	9.33%	1.09%	3.09%	8.06%	10.26%	12.22%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	285	8	10	2	2	20	6	4	34	25	18	6	0	3	10	0	8	11	14	8	2	6	12	3	8	3	23	10	4	6	11	1	1	2	4	0					
		2.59%	1.76%	5.91%	1.28%	1.88%	4.00%	1.47%	3.63%	3.10%	2.96%	1.97%	2.38%	0.0%	2.22%	5.37%	0.0%	5.33%	5.16%	2.37%	2.68%	1.78%	2.15%	2.08%	1.47%	2.25%	1.42%	3.34%	2.54%	3.17%	4.25%	2.93%	1.09%	1.03%	3.22%	1.32%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	3636	158	44	52	55	137	108	24	354	270	355	116	64	66	37	33	45	61	212	93	54	64	240	63	95	92	221	117	43	65	101	17	19	13	119	29					
		33.06%	34.87%	26.03%	33.33%	51.88%	27.45%	26.47%	21.81%	32.29%	31.99%	38.88%	46.03%	32.48%	48.88%	19.89%	26.4%	30.0%	28.63%	35.99%	31.20%	48.21%	23.02%	41.73%	30.88%	26.83%	43.80%	32.12%	29.77%	34.12%	46.09%	26.93%	18.68%	19.58%	20.96%	39.40%	32.22%					
38	"21. ""Российская Конституционно-демократическая партия"""	47	2	0	0	1	3	4	0	0	2	4	3	0	0	2	4	1	0	0	0	2	2	3	1	3	0	2	0	0	1	2	3	1	1	0	0					
		0.42%	0.44%	0.0%	0.0%	0.94%	0.60%	0.98%	0.0%	0.0%	0.23%	0.43%	1.19%	0.0%	0.0%	1.07%	3.2%	0.66%	0.0%	0.0%	0.0%	1.78%	0.71%	0.52%	0.49%	0.84%	0.0%	0.29%	0.0%	0.0%	0.70%	0.53%	3.29%	1.03%	1.61%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	27	1	0	0	0	2	2	0	4	5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	5	0	2	0	0	0	0	0	0	0					
		0.24%	0.22%	0.0%	0.0%	0.0%	0.40%	0.49%	0.0%	0.36%	0.59%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.56%	0.47%	0.72%	0.0%	1.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1630	64	42	31	17	85	57	27	159	101	125	16	30	17	41	24	14	44	83	38	7	29	67	37	64	27	118	65	4	19	57	22	36	10	43	10					
		14.82%	14.12%	24.85%	19.87%	16.03%	17.03%	13.97%	24.54%	14.50%	11.96%	13.69%	6.34%	15.22%	12.59%	22.04%	19.2%	9.33%	20.65%	14.09%	12.75%	6.24%	10.43%	11.65%	18.13%	18.07%	12.85%	17.15%	16.53%	3.17%	13.47%	15.2%	24.17%	37.11%	16.12%	14.23%	11.11%					
																																										
41	Против всех	394	22	6	5	0	20	20	8	47	32	38	5	12	3	1	5	3	4	16	11	1	10	8	3	12	4	22	19	6	0	19	11	1	3	7	10					
		3.58%	4.85%	3.55%	3.20%	0.0%	4.00%	4.90%	7.27%	4.28%	3.79%	4.16%	1.98%	6.09%	2.22%	0.53%	4.0%	2.0%	1.87%	2.71%	3.69%	0.89%	3.59%	1.39%	1.47%	3.38%	1.90%	3.19%	4.83%	4.76%	0.0%	5.06%	12.08%	1.03%	4.83%	2.31%	11.11%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
