Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																					
Дата голосования: 02.12.2007																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Губкинская																																																																																																					
																																																																																																					
Сводная таблица результатов выборов																																																																																																					
																																																																																																					
		Сумма	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	429	2	2	2	2	8	4	4	0	14	9	9	4	10	4	4	10	20	4	4	15	11	4	9	4	2	4	4	4	4	10	7	5	5	4	4	12	4	4	4	5	4	5	3	5	3	3	2	3	3	11	2	6	8	2	9	2	2	2	2	2	2	2	2	2	2	3	3	3	2	4	3	2	2	2	10	7	3	3	2	2	6	6	3	2	2	8	2	2	3	3	3	3	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	224	0	1	1	1	8	2	4	0	11	9	7	3	9	1	4	9	10	2	0	10	8	3	6	0	0	1	0	0	3	8	7	5	3	3	3	9	1	1	1	4	1	4	0	2	3	0	0	3	0	4	0	3	2	0	8	0	0	0	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	0	4	5	0	0	0	0	6	5	3	0	0	6	0	0	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	159	1	1	3	0	2	3	3	0	0	3	3	1	7	1	4	0	2	1	1	2	1	2	3	1	2	2	0	0	1	8	2	0	2	2	2	4	1	3	0	0	1	1	0	5	3	0	3	0	3	6	1	2	7	1	2	0	1	3	0	1	1	0	0	0	2	0	3	1	1	7	1	3	0	1	3	0	0	0	0	0	0	8	0	1	0	8	0	0	0	3	1	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	205	2	1	1	1	0	2	0	0	3	0	2	1	1	3	0	1	10	2	4	5	3	1	3	4	2	3	4	4	1	2	0	0	2	1	1	3	3	3	3	1	3	1	3	3	0	3	2	0	3	7	2	3	6	2	1	2	2	2	2	2	1	2	2	2	1	3	0	2	2	4	3	2	2	2	6	2	3	3	2	2	0	1	0	2	2	2	2	2	3	2	3	3	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																					
18	1.Политическая партия «Аграрная партия России»	886	4	1	11	1	22	14	5	6	17	6	21	11	16	14	15	32	10	19	13	6	14	10	7	10	1	10	12	18	15	21	4	22	27	11	3	26	9	8	6	17	9	28	8	4	3	5	0	4	10	29	7	11	11	3	14	2	5	15	3	2	2	6	2	2	4	9	10	9	8	12	1	2	1	7	1	16	11	5	0	1	11	19	10	2	4	21	3	1	8	10	2	3	2	13					
		1.37%	1.38%	0.13%	1.39%	0.15%	2.23%	1.65%	0.53%	2.29%	1.98%	0.72%	2.15%	1.65%	0.88%	1.95%	1.40%	1.90%	0.53%	1.84%	2.34%	0.36%	1.13%	1.85%	0.92%	1.16%	0.36%	1.22%	1.29%	1.86%	1.72%	1.33%	0.24%	1.33%	1.63%	1.14%	0.32%	1.34%	1.20%	1.37%	1.01%	1.29%	1.39%	1.46%	1.31%	0.34%	0.70%	0.90%	0.00%	1.13%	3.68%	1.80%	1.57%	1.14%	1.37%	1.07%	2.67%	1.44%	3.25%	4.24%	2.97%	1.21%	0.72%	2.04%	1.68%	1.89%	2.48%	1.47%	1.62%	2.34%	5.93%	1.52%	0.38%	0.97%	0.56%	3.24%	0.27%	2.31%	2.51%	0.70%	0.00%	0.50%	1.85%	1.57%	1.89%	0.92%	2.47%	4.21%	3.19%	0.79%	2.06%	1.41%	0.51%	0.56%	1.40%	4.06%					
19	2.Всероссийская политическая партия «Гражданская Сила»	344	4	1	8	2	5	6	2	2	3	0	11	8	13	7	6	9	6	6	4	2	12	6	6	5	3	9	5	5	6	12	5	22	18	10	7	28	4	2	4	4	2	16	1	2	6	1	0	0	0	3	2	2	1	0	0	0	0	0	0	1	5	3	0	0	1	2	2	1	0	0	0	0	0	1	0	2	0	2	0	0	4	1	2	0	0	0	0	0	0	0	1	1	0	1					
		0.53%	1.38%	0.13%	1.01%	0.31%	0.51%	0.71%	0.21%	0.76%	0.35%	0.00%	1.13%	1.20%	0.71%	0.97%	0.56%	0.53%	0.32%	0.58%	0.72%	0.12%	0.97%	1.11%	0.79%	0.58%	1.08%	1.09%	0.54%	0.52%	0.69%	0.76%	0.30%	1.33%	1.09%	1.04%	0.75%	1.44%	0.53%	0.34%	0.67%	0.30%	0.31%	0.84%	0.16%	0.17%	1.40%	0.18%	0.00%	0.00%	0.00%	0.19%	0.45%	0.21%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	1.79%	1.02%	0.00%	0.00%	0.62%	0.33%	0.32%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.29%	0.00%	0.28%	0.00%	0.00%	0.67%	0.08%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.19%	0.00%	0.31%					
20	3.Политическая партия «Демократическая партия России»	56	0	1	0	1	0	1	0	0	1	1	0	0	3	1	2	2	2	0	1	2	1	1	1	1	0	0	0	1	2	1	0	0	1	3	2	2	0	2	2	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1					
		0.09%	0.00%	0.13%	0.00%	0.15%	0.00%	0.12%	0.00%	0.00%	0.12%	0.12%	0.00%	0.00%	0.16%	0.14%	0.19%	0.12%	0.11%	0.00%	0.18%	0.12%	0.08%	0.18%	0.13%	0.12%	0.00%	0.00%	0.00%	0.10%	0.23%	0.06%	0.00%	0.00%	0.06%	0.31%	0.22%	0.10%	0.00%	0.34%	0.34%	0.08%	0.15%	0.00%	0.16%	0.09%	0.23%	0.00%	0.00%	0.28%	0.37%	0.06%	0.00%	0.10%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.74%	0.13%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.31%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	11654	57	170	219	102	200	134	162	53	194	163	285	170	425	163	292	368	502	194	109	388	277	91	136	163	68	191	191	207	217	261	327	319	306	186	121	329	115	99	130	256	123	374	112	258	85	52	21	54	44	254	23	150	184	33	41	7	21	71	8	21	32	47	14	5	28	93	91	55	21	120	16	12	14	10	21	51	52	72	19	15	48	175	73	7	27	43	6	9	28	40	42	32	14	46					
		17.99%	19.72%	22.82%	27.62%	15.74%	20.28%	15.75%	17.07%	20.23%	22.56%	19.69%	29.23%	25.49%	23.26%	22.67%	27.16%	21.81%	26.70%	18.74%	19.64%	23.49%	22.28%	16.79%	17.94%	18.87%	24.55%	23.21%	20.49%	21.38%	24.89%	16.54%	19.82%	19.30%	18.52%	19.31%	13.04%	16.97%	15.29%	16.89%	21.81%	19.41%	19.04%	19.55%	18.30%	21.98%	19.81%	9.34%	10.19%	15.25%	16.18%	15.79%	5.17%	15.56%	22.91%	11.79%	7.82%	5.04%	13.64%	20.06%	7.92%	12.73%	11.47%	15.99%	11.76%	4.72%	17.39%	15.22%	14.77%	14.29%	15.56%	15.17%	6.06%	5.80%	7.91%	4.63%	5.60%	7.35%	11.87%	10.04%	11.52%	7.54%	8.07%	14.47%	13.77%	3.21%	16.67%	8.62%	6.38%	7.09%	7.20%	5.63%	10.71%	5.98%	9.79%	14.38%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	190	0	4	8	2	6	6	1	1	3	4	3	3	5	5	0	4	5	1	0	7	5	2	1	3	3	1	2	7	5	4	9	3	4	2	5	6	1	0	2	6	1	1	1	1	0	0	0	1	0	8	0	1	5	0	0	0	0	0	0	0	0	2	0	0	1	1	1	1	1	1	1	0	0	1	1	1	9	2	2	0	0	0	3	0	1	0	0	0	0	0	0	2	1	0					
		0.29%	0.00%	0.54%	1.01%	0.31%	0.61%	0.71%	0.11%	0.38%	0.35%	0.48%	0.31%	0.45%	0.27%	0.70%	0.00%	0.24%	0.27%	0.10%	0.00%	0.42%	0.40%	0.37%	0.13%	0.35%	1.08%	0.12%	0.21%	0.72%	0.57%	0.25%	0.55%	0.18%	0.24%	0.21%	0.54%	0.31%	0.13%	0.00%	0.34%	0.45%	0.15%	0.05%	0.16%	0.09%	0.00%	0.00%	0.00%	0.28%	0.00%	0.50%	0.00%	0.10%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.62%	0.16%	0.16%	0.26%	0.74%	0.13%	0.38%	0.00%	0.00%	0.46%	0.27%	0.14%	2.05%	0.28%	1.21%	0.00%	0.00%	0.00%	0.57%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.70%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	115	0	2	3	1	1	1	2	0	3	1	4	2	5	1	2	0	3	5	1	0	0	2	3	1	2	1	1	3	3	3	2	5	2	0	8	5	1	0	2	5	0	5	1	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	2	0	1	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	2	0	1	0					
		0.18%	0.00%	0.27%	0.38%	0.15%	0.10%	0.12%	0.21%	0.00%	0.35%	0.12%	0.41%	0.30%	0.27%	0.14%	0.19%	0.00%	0.16%	0.48%	0.18%	0.00%	0.00%	0.37%	0.40%	0.12%	0.72%	0.12%	0.11%	0.31%	0.34%	0.19%	0.12%	0.30%	0.12%	0.00%	0.86%	0.26%	0.13%	0.00%	0.34%	0.38%	0.00%	0.26%	0.16%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.26%	0.00%	0.13%	0.38%	0.97%	0.00%	0.46%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.70%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	4447	32	62	39	53	82	72	51	21	51	45	49	38	162	74	76	116	112	91	34	125	102	70	71	67	20	60	66	64	57	141	164	128	148	93	94	135	64	52	49	105	40	116	61	11	26	33	4	34	11	86	15	36	37	16	43	6	7	12	6	1	18	9	1	4	8	49	43	29	5	55	13	9	8	9	13	52	10	28	4	2	47	77	46	2	6	33	6	4	21	32	22	15	6	25					
		6.87%	11.07%	8.32%	4.92%	8.18%	8.32%	8.46%	5.37%	8.02%	5.93%	5.43%	5.03%	5.70%	8.87%	10.29%	7.07%	6.88%	5.96%	8.79%	6.13%	7.57%	8.21%	12.92%	9.37%	7.75%	7.22%	7.29%	7.08%	6.61%	6.54%	8.94%	9.94%	7.74%	8.96%	9.66%	10.13%	6.96%	8.51%	8.87%	8.22%	7.96%	6.19%	6.06%	9.97%	0.94%	6.06%	5.92%	1.94%	9.60%	4.04%	5.34%	3.37%	3.73%	4.61%	5.71%	8.21%	4.32%	4.55%	3.39%	5.94%	0.61%	6.45%	3.06%	0.84%	3.77%	4.97%	8.02%	6.98%	7.53%	3.70%	6.95%	4.92%	4.35%	4.52%	4.17%	3.47%	7.49%	2.28%	3.91%	2.42%	1.01%	7.90%	6.37%	8.68%	0.92%	3.70%	6.61%	6.38%	3.15%	5.40%	4.50%	5.61%	2.80%	4.20%	7.81%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3623	13	8	83	14	79	60	88	14	58	61	76	43	119	58	75	128	51	74	24	37	88	47	71	84	26	52	57	85	56	99	135	132	114	73	29	147	51	32	37	66	35	112	44	17	37	27	4	22	14	65	5	38	31	9	17	6	4	7	3	15	11	9	5	3	5	23	18	22	5	39	8	7	6	6	6	36	9	19	2	6	29	47	27	5	8	25	2	4	17	23	10	12	3	10					
		5.60%	4.50%	1.07%	10.47%	2.16%	8.01%	7.05%	9.27%	5.34%	6.74%	7.37%	7.79%	6.45%	6.51%	8.07%	6.98%	7.59%	2.71%	7.15%	4.32%	2.24%	7.08%	8.67%	9.37%	9.72%	9.39%	6.32%	6.12%	8.78%	6.42%	6.27%	8.18%	7.99%	6.90%	7.58%	3.13%	7.58%	6.78%	5.46%	6.21%	5.00%	5.42%	5.85%	7.19%	1.45%	8.62%	4.85%	1.94%	6.21%	5.15%	4.04%	1.12%	3.94%	3.86%	3.21%	3.24%	4.32%	2.60%	1.98%	2.97%	9.09%	3.94%	3.06%	4.20%	2.83%	3.11%	3.76%	2.92%	5.71%	3.70%	4.93%	3.03%	3.38%	3.39%	2.78%	1.60%	5.19%	2.05%	2.65%	1.21%	3.02%	4.87%	3.89%	5.09%	2.29%	4.94%	5.01%	2.13%	3.15%	4.37%	3.23%	2.55%	2.24%	2.10%	3.13%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	402	1	1	6	1	8	5	0	1	8	4	4	15	7	8	8	9	9	10	6	2	9	7	6	6	1	4	8	10	4	17	3	15	18	11	3	18	6	0	7	8	9	16	5	2	2	2	0	2	2	10	2	7	5	0	3	1	1	1	2	1	2	1	2	1	0	4	4	2	2	4	0	1	0	0	0	2	0	2	0	1	1	8	3	0	0	0	0	0	4	3	4	1	0	3					
		0.62%	0.35%	0.13%	0.76%	0.15%	0.81%	0.59%	0.00%	0.38%	0.93%	0.48%	0.41%	2.25%	0.38%	1.11%	0.74%	0.53%	0.48%	0.97%	1.08%	0.12%	0.72%	1.29%	0.79%	0.69%	0.36%	0.49%	0.86%	1.03%	0.46%	1.08%	0.18%	0.91%	1.09%	1.14%	0.32%	0.93%	0.80%	0.00%	1.17%	0.61%	1.39%	0.84%	0.82%	0.17%	0.47%	0.36%	0.00%	0.56%	0.74%	0.62%	0.45%	0.73%	0.62%	0.00%	0.57%	0.72%	0.65%	0.28%	1.98%	0.61%	0.72%	0.34%	1.68%	0.94%	0.00%	0.65%	0.65%	0.52%	1.48%	0.51%	0.00%	0.48%	0.00%	0.00%	0.00%	0.29%	0.00%	0.28%	0.00%	0.50%	0.17%	0.66%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.42%	1.02%	0.19%	0.00%	0.94%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	41898	176	484	395	468	561	539	629	160	501	528	499	361	1044	379	573	991	1153	618	354	1068	716	292	444	507	145	472	572	548	497	988	974	972	974	562	635	1199	489	381	349	831	415	1215	371	867	258	433	176	233	188	1128	360	699	516	209	402	105	115	244	79	122	206	217	95	86	109	423	432	261	91	546	222	172	147	159	290	522	347	582	137	173	450	855	362	202	115	377	77	108	305	563	305	468	115	216					
		64.71%	60.90%	64.97%	49.81%	72.22%	56.90%	63.34%	66.28%	61.07%	58.26%	63.77%	51.18%	54.12%	57.14%	52.71%	53.30%	58.74%	61.33%	59.71%	63.78%	64.65%	57.60%	53.87%	58.58%	58.68%	52.35%	57.35%	61.37%	56.61%	56.99%	62.61%	59.03%	58.80%	58.96%	58.36%	68.43%	61.84%	65.03%	65.02%	58.56%	63.00%	64.24%	63.51%	60.62%	73.85%	60.14%	77.74%	85.44%	65.82%	69.12%	70.11%	80.90%	72.51%	64.26%	74.64%	76.72%	75.54%	74.68%	68.93%	78.22%	73.94%	73.84%	73.81%	79.83%	81.13%	67.70%	69.23%	70.13%	67.79%	67.41%	69.03%	84.09%	83.09%	83.05%	73.61%	77.33%	75.22%	79.22%	81.17%	83.03%	86.93%	75.63%	70.72%	68.30%	92.66%	70.99%	75.55%	81.91%	85.04%	78.41%	79.18%	77.81%	87.48%	80.42%	67.50%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	421	1	1	14	2	12	6	2	0	11	6	12	2	8	3	16	16	10	6	4	5	7	7	6	6	6	14	8	6	9	18	3	18	18	6	4	21	8	3	2	7	7	13	1	2	4	0	1	2	0	9	1	7	6	2	2	0	1	3	0	0	2	0	0	1	3	3	2	0	0	3	1	1	1	2	4	0	0	1	0	0	0	7	2	0	0	0	0	0	1	3	3	0	1	5					
		0.65%	0.35%	0.13%	1.77%	0.31%	1.22%	0.71%	0.21%	0.00%	1.28%	0.72%	1.23%	0.30%	0.44%	0.42%	1.49%	0.95%	0.53%	0.58%	0.72%	0.30%	0.56%	1.29%	0.79%	0.69%	2.17%	1.70%	0.86%	0.62%	1.03%	1.14%	0.18%	1.09%	1.09%	0.62%	0.43%	1.08%	1.06%	0.51%	0.34%	0.53%	1.08%	0.68%	0.16%	0.17%	0.93%	0.00%	0.49%	0.56%	0.00%	0.56%	0.22%	0.73%	0.75%	0.71%	0.38%	0.00%	0.65%	0.85%	0.00%	0.00%	0.72%	0.00%	0.00%	0.94%	1.86%	0.49%	0.32%	0.00%	0.00%	0.38%	0.38%	0.48%	0.56%	0.93%	1.07%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.58%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.42%	0.77%	0.00%	0.70%	1.56%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
