Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																					
Дата голосования: 04.12.2011																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Губкинская																																																																																																					
																																																																																																					
Сводная таблица результатов выборов																																																																																																					
																																																																																																					
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	376	0	5	4	0	4	9	5	0	6	3	8	3	9	5	5	9	11	3	11	5	0	6	4	10	3	3	3	10	7	9	2	9	7	12	5	3	3	3	6	3	6	0	3	5	3	6	3	2	4	6	0	0	0	3	4	3	3	3	2	2	2	2	2	2	3	3	3	3	3	4	3	3	3	3	3	3	2	2	4	5	4	3	5	5	4	3	2	4	2	4	2	4	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	269	0	3	4	0	4	7	5	0	5	2	8	3	8	4	4	9	11	3	10	4	0	5	4	10	3	3	3	10	7	7	2	8	7	12	3	0	1	1	6	3	5	0	2	3	0	6	1	1	4	6	0	0	0	1	1	0	2	1	0	0	2	0	0	0	0	0	3	1	0	4	0	0	0	0	0	3	0	2	4	5	4	0	3	5	4	0	0	2	0	4	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	210	0	4	2	2	18	2	1	2	0	2	4	5	4	2	0	3	2	1	2	9	0	3	0	6	3	0	3	9	3	4	1	2	6	5	1	3	1	1	0	2	1	2	3	0	4	1	12	0	3	2	1	0	1	1	2	0	2	3	1	2	4	0	0	2	1	0	5	0	4	4	0	1	0	2	0	0	2	0	1	0	0	0	2	3	3	3	0	3	1	4	1	2	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	107	0	2	0	0	0	2	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	2	3	2	2	0	0	1	0	1	2	3	0	2	1	0	0	0	0	0	2	3	3	1	2	2	2	0	2	2	2	3	3	0	2	3	0	3	3	3	3	3	0	2	0	0	0	0	3	2	0	0	3	2	2	2	0	2	4	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	0	1	1	1	0	2	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	1	3	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7068	43	125	49	75	140	89	131	19	96	112	150	65	185	85	134	188	257	113	206	201	73	99	110	139	122	59	18	201	183	215	84	178	212	229	75	116	83	74	162	58	87	94	46	129	172	98	115	32	32	63	61	15	39	18	50	7	10	10	9	7	19	29	8	8	10	49	48	49	16	47	23	12	9	27	21	74	10	33	24	64	5	17	62	66	54	25	5	36	1	66	38	12	7	47					
		11.55%	16.60%	16.09%	6.92%	13.99%	14.80%	11.41%	15.18%	6.93%	13.58%	15.18%	16.97%	10.71%	12.42%	13.78%	14.26%	13.35%	15.99%	12.54%	12.37%	15.78%	15.30%	15.40%	15.11%	14.46%	14.52%	5.04%	2.26%	14.02%	13.61%	14.62%	9.91%	12.72%	15.76%	13.12%	13.27%	11.95%	16.94%	12.33%	14.05%	12.34%	10.24%	13.41%	8.93%	11.22%	10.57%	13.39%	13.58%	12.21%	7.05%	12.21%	9.85%	7.69%	9.44%	6.43%	8.56%	4.86%	6.37%	2.66%	9.68%	4.19%	6.64%	9.97%	5.13%	8.16%	7.30%	7.03%	6.46%	10.56%	10.26%	6.71%	8.10%	5.97%	4.81%	12.27%	5.30%	11.56%	8.26%	8.82%	5.67%	9.25%	3.16%	8.10%	9.73%	5.04%	10.40%	12.76%	2.84%	6.77%	1.05%	10.77%	10.38%	2.18%	5.19%	14.73%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6106	18	82	35	61	110	59	82	26	68	65	72	48	197	91	81	157	138	122	158	167	89	92	82	109	109	39	33	172	171	215	120	213	194	221	71	97	57	80	130	56	107	63	73	130	142	55	71	29	23	74	59	19	50	20	59	10	13	9	6	2	8	38	8	13	3	61	31	54	10	74	16	10	10	16	29	33	11	36	30	30	5	13	66	23	33	12	6	57	3	58	28	38	8	34					
		9.98%	6.95%	10.55%	4.94%	11.38%	11.63%	7.56%	9.50%	9.49%	9.62%	8.81%	8.14%	7.91%	13.23%	14.75%	8.62%	11.15%	8.59%	13.54%	9.49%	13.11%	18.66%	14.31%	11.26%	11.34%	12.98%	3.33%	4.15%	11.99%	12.71%	14.62%	14.15%	15.23%	14.42%	12.66%	12.57%	9.99%	11.63%	13.33%	11.27%	11.91%	12.59%	8.99%	14.17%	11.30%	8.73%	7.51%	8.38%	11.07%	5.07%	14.34%	9.53%	9.74%	12.11%	7.14%	10.10%	6.94%	8.28%	2.39%	6.45%	1.20%	2.80%	13.06%	5.13%	13.27%	2.19%	8.75%	4.17%	11.64%	6.41%	10.57%	5.63%	4.98%	5.35%	7.27%	7.32%	5.16%	9.09%	9.63%	7.09%	4.34%	3.16%	6.19%	10.36%	1.76%	6.36%	6.12%	3.41%	10.71%	3.16%	9.46%	7.65%	6.91%	5.93%	10.66%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	561	1	5	5	8	8	7	5	3	12	6	6	6	14	11	7	19	13	7	17	19	5	15	10	7	9	6	3	18	17	24	9	11	11	27	9	7	6	5	17	6	9	6	0	10	11	4	10	0	3	8	2	5	4	4	1	1	3	1	1	1	1	1	0	1	1	7	5	4	1	6	2	1	0	3	4	7	0	5	1	2	0	1	4	3	1	1	0	2	0	4	3	0	2	3					
		0.92%	0.39%	0.64%	0.71%	1.49%	0.85%	0.90%	0.58%	1.09%	1.70%	0.81%	0.68%	0.99%	0.94%	1.78%	0.74%	1.35%	0.81%	0.78%	1.02%	1.49%	1.05%	2.33%	1.37%	0.73%	1.07%	0.51%	0.38%	1.26%	1.26%	1.63%	1.06%	0.79%	0.82%	1.55%	1.59%	0.72%	1.22%	0.83%	1.47%	1.28%	1.06%	0.86%	0.00%	0.87%	0.68%	0.55%	1.18%	0.00%	0.66%	1.55%	0.32%	2.56%	0.97%	1.43%	0.17%	0.69%	1.91%	0.27%	1.08%	0.60%	0.35%	0.34%	0.00%	1.02%	0.73%	1.00%	0.67%	0.86%	0.64%	0.86%	0.70%	0.50%	0.00%	1.36%	1.01%	1.09%	0.00%	1.34%	0.24%	0.29%	0.00%	0.48%	0.63%	0.23%	0.19%	0.51%	0.00%	0.38%	0.00%	0.65%	0.82%	0.00%	1.48%	0.94%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	16429	74	170	131	155	321	230	316	49	239	252	340	159	511	188	352	527	641	299	531	419	146	211	220	354	277	137	182	287	446	459	232	437	434	554	189	243	123	203	292	166	238	186	187	385	370	192	175	74	55	135	134	51	116	73	88	21	44	84	13	7	46	57	19	20	58	156	109	94	30	214	41	34	14	33	87	128	17	57	72	111	8	48	126	147	85	17	22	72	5	123	73	93	15	74					
		26.85%	28.57%	21.88%	18.50%	28.92%	33.93%	29.49%	36.62%	17.88%	33.80%	34.15%	38.46%	26.19%	34.32%	30.47%	37.45%	37.43%	39.89%	33.19%	31.89%	32.89%	30.61%	32.81%	30.22%	36.84%	32.98%	11.70%	22.86%	20.01%	33.16%	31.20%	27.36%	31.24%	32.27%	31.75%	33.45%	25.03%	25.10%	33.83%	25.33%	35.32%	28.00%	26.53%	36.31%	33.48%	22.74%	26.23%	20.66%	28.24%	12.11%	26.16%	21.65%	26.15%	28.09%	26.07%	15.07%	14.58%	28.03%	22.34%	13.98%	4.19%	16.08%	19.59%	12.18%	20.41%	42.34%	22.38%	14.67%	20.26%	19.23%	30.57%	14.44%	16.92%	7.49%	15.00%	21.97%	20.00%	14.05%	15.24%	17.02%	16.04%	5.06%	22.86%	19.78%	11.22%	16.38%	8.67%	12.50%	13.53%	5.26%	20.07%	19.95%	16.91%	11.11%	23.20%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	967	3	24	16	6	15	13	25	5	12	16	35	3	19	17	12	23	48	15	52	26	8	20	19	27	15	5	3	22	31	32	4	21	42	66	12	14	3	12	9	11	3	13	5	19	21	10	8	1	3	5	8	1	9	2	5	1	0	2	0	1	0	1	0	0	1	6	1	1	0	12	0	4	0	0	3	12	1	0	7	2	0	4	8	7	1	5	0	2	0	1	4	1	1	4					
		1.58%	1.16%	3.09%	2.26%	1.12%	1.59%	1.67%	2.90%	1.82%	1.70%	2.17%	3.96%	0.49%	1.28%	2.76%	1.28%	1.63%	2.99%	1.66%	3.12%	2.04%	1.68%	3.11%	2.61%	2.81%	1.79%	0.43%	0.38%	1.53%	2.30%	2.18%	0.47%	1.50%	3.12%	3.78%	2.12%	1.44%	0.61%	2.00%	0.78%	2.34%	0.35%	1.85%	0.97%	1.65%	1.29%	1.37%	0.94%	0.38%	0.66%	0.97%	1.29%	0.51%	2.18%	0.71%	0.86%	0.69%	0.00%	0.53%	0.00%	0.60%	0.00%	0.34%	0.00%	0.00%	0.73%	0.86%	0.13%	0.22%	0.00%	1.71%	0.00%	1.99%	0.00%	0.00%	0.76%	1.88%	0.83%	0.00%	1.65%	0.29%	0.00%	1.90%	1.26%	0.53%	0.19%	2.55%	0.00%	0.38%	0.00%	0.16%	1.09%	0.18%	0.74%	1.25%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28618	118	285	457	219	323	366	285	170	255	273	266	300	523	211	304	476	489	325	676	414	147	199	268	304	296	912	552	716	471	494	382	508	421	616	202	482	198	214	524	165	379	321	200	465	892	360	446	120	304	224	350	101	179	155	374	104	86	270	64	149	212	164	121	54	59	413	448	261	98	330	202	133	139	141	250	375	82	226	268	483	136	123	369	918	313	136	143	358	86	357	214	402	102	153					
		46.76%	45.56%	36.68%	64.55%	40.86%	34.14%	46.92%	33.02%	62.04%	36.07%	36.99%	30.09%	49.42%	35.12%	34.20%	32.34%	33.81%	30.43%	36.07%	40.60%	32.50%	30.82%	30.95%	36.81%	31.63%	35.24%	77.88%	69.35%	49.93%	35.02%	33.58%	45.05%	36.31%	31.30%	35.30%	35.75%	49.64%	40.41%	35.67%	45.45%	35.11%	44.59%	45.79%	38.83%	40.43%	54.82%	49.18%	52.66%	45.80%	66.96%	43.41%	56.54%	51.79%	43.34%	55.36%	64.04%	72.22%	54.78%	71.81%	68.82%	89.22%	74.13%	56.36%	77.56%	55.10%	43.07%	59.25%	60.30%	56.25%	62.82%	47.14%	71.13%	66.17%	74.33%	64.09%	63.13%	58.59%	67.77%	60.43%	63.36%	69.80%	86.08%	58.57%	57.93%	70.08%	60.31%	69.39%	81.25%	67.29%	90.53%	58.24%	58.47%	73.09%	75.56%	47.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	211	1	2	3	2	5	4	4	1	4	2	6	4	12	3	2	5	3	2	7	7	2	3	1	8	5	5	3	5	4	8	3	6	10	3	3	4	5	1	2	1	5	2	1	3	1	0	3	1	1	3	0	0	0	3	1	0	0	0	0	0	0	1	0	1	2	1	2	0	1	3	0	0	0	0	2	3	0	0	0	0	3	1	0	1	0	0	0	1	0	2	1	1	0	0					
		0.34%	0.39%	0.26%	0.42%	0.37%	0.53%	0.51%	0.46%	0.36%	0.57%	0.27%	0.68%	0.66%	0.81%	0.49%	0.21%	0.36%	0.19%	0.22%	0.42%	0.55%	0.42%	0.47%	0.14%	0.83%	0.60%	0.43%	0.38%	0.35%	0.30%	0.54%	0.35%	0.43%	0.74%	0.17%	0.53%	0.41%	1.02%	0.17%	0.17%	0.21%	0.59%	0.29%	0.19%	0.26%	0.06%	0.00%	0.35%	0.38%	0.22%	0.58%	0.00%	0.00%	0.00%	1.07%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	1.02%	1.46%	0.14%	0.27%	0.00%	0.64%	0.43%	0.00%	0.00%	0.00%	0.00%	0.51%	0.47%	0.00%	0.00%	0.00%	0.00%	1.90%	0.48%	0.00%	0.08%	0.00%	0.00%	0.00%	0.19%	0.00%	0.33%	0.27%	0.18%	0.00%	0.00%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
