Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Пермь, Мотовилихинская"																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2325	33	28	20	20	38	19	21	15	18	19	31	29	18	30	28	25	59	40	50	46	56	29	28	31	34	29	43	48	60	56	43	70	53	41	41	14	43	3	13	25	25	18	19	17	34	28	28	40	51	33	11	49	21	45	38	34	29	23	15	30	35	14	19	65	38	38	35	32	32	38	44	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1640	33	40	33	43	37	14	22	34	39	6	19	16	29	36	26	15	24	20	25	57	38	39	21	37	20	13	30	26	100	18	16	41	19	26	29	24	16	5	4	2	36	78	22	25	28	20	17	1	21	20	6	5	12	9	15	12	7	12	8	10	5	12	23	20	13	6	9	4	23	7	16	22	12	12					
14	Число погашенных неиспользованных открепительных удостоверений	444	7	2	2	10	2	6	4	15	7	11	9	9	12	10	2	5	1	10	0	14	9	3	2	2	1	3	7	2	0	4	12	10	12	4	4	6	7	7	7	5	15	12	1	3	6	7	12	10	1	7	19	1	9	5	2	6	1	17	5	0	5	6	6	5	12	2	5	8	8	2	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	2	3	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	2	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11095	171	144	116	113	205	103	93	145	84	79	148	152	152	153	154	119	232	233	201	246	234	148	165	161	191	169	239	226	256	253	195	251	217	227	227	113	157	14	41	105	138	93	61	73	181	123	228	171	231	169	92	96	38	143	183	199	81	81	84	134	144	72	29	203	257	193	203	195	199	191	127	26	10	15					
		17.09%	16.59%	14.85%	17.98%	14.87%	20.00%	17.11%	18.45%	17.32%	13.98%	15.16%	20.11%	19.07%	19.36%	14.97%	17.05%	19.19%	17.52%	21.07%	20.32%	17.97%	17.35%	15.61%	17.74%	16.48%	16.32%	18.84%	18.23%	18.12%	17.02%	19.05%	15.07%	17.65%	16.73%	20.18%	18.12%	17.82%	15.76%	6.09%	11.85%	13.74%	16.41%	14.16%	13.32%	15.63%	17.94%	17.01%	20.04%	18.27%	17.88%	18.15%	20.22%	17.08%	12.34%	14.43%	16.27%	17.88%	10.80%	12.94%	17.65%	14.63%	17.67%	14.91%	7.57%	16.15%	17.04%	17.45%	18.59%	19.40%	17.60%	18.44%	14.58%	18.06%	14.49%	17.65%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10794	167	152	77	123	122	129	84	130	94	99	81	136	120	171	140	53	176	141	136	196	173	154	131	137	175	132	202	195	198	182	187	235	230	151	195	111	122	23	83	163	134	118	104	87	215	124	172	187	236	170	82	118	72	215	192	194	149	146	85	196	142	109	50	260	271	219	227	216	204	191	153	24	13	13					
		16.62%	16.20%	15.67%	11.94%	16.18%	11.90%	21.43%	16.67%	15.53%	15.64%	19.00%	11.01%	17.06%	15.29%	16.73%	15.50%	8.55%	13.29%	12.75%	13.75%	14.32%	12.82%	16.24%	14.09%	14.02%	14.96%	14.72%	15.41%	15.64%	13.16%	13.70%	14.45%	16.53%	17.73%	13.42%	15.56%	17.51%	12.25%	10.00%	23.99%	21.34%	15.93%	17.96%	22.71%	18.63%	21.31%	17.15%	15.11%	19.98%	18.27%	18.26%	18.02%	20.99%	23.38%	21.70%	17.07%	17.43%	19.87%	23.32%	17.86%	21.40%	17.42%	22.57%	13.05%	20.68%	17.97%	19.80%	20.79%	21.49%	18.04%	18.44%	17.57%	16.67%	18.84%	15.29%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	743	15	10	4	7	16	10	7	11	5	5	8	9	9	9	13	6	10	19	16	17	13	7	6	12	11	14	11	6	15	18	19	20	15	9	21	3	10	1	2	9	10	10	5	10	10	10	15	8	23	13	2	6	2	8	22	19	5	8	4	12	7	4	3	21	13	9	5	14	14	9	11	1	1	1					
		1.14%	1.45%	1.03%	0.62%	0.92%	1.56%	1.66%	1.39%	1.31%	0.83%	0.96%	1.09%	1.13%	1.15%	0.88%	1.44%	0.97%	0.76%	1.72%	1.62%	1.24%	0.96%	0.74%	0.65%	1.23%	0.94%	1.56%	0.84%	0.48%	0.99%	1.36%	1.47%	1.41%	1.16%	0.80%	1.68%	0.47%	1.00%	0.43%	0.58%	1.18%	1.19%	1.52%	1.09%	2.14%	0.99%	1.38%	1.32%	0.85%	1.78%	1.40%	0.44%	1.07%	0.65%	0.81%	1.96%	1.71%	0.67%	1.28%	0.84%	1.31%	0.86%	0.83%	0.78%	1.67%	0.86%	0.81%	0.46%	1.39%	1.24%	0.87%	1.26%	0.69%	1.45%	1.18%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	16564	264	287	187	217	292	151	117	221	162	120	211	202	183	281	213	188	300	272	229	359	313	224	214	222	295	212	346	317	401	355	320	348	313	282	302	156	246	30	81	213	229	167	109	134	233	199	332	252	407	252	102	121	76	256	309	315	213	144	124	221	191	110	66	330	431	280	247	247	276	256	226	36	9	18					
		25.51%	25.61%	29.59%	28.99%	28.55%	28.49%	25.08%	23.21%	26.40%	26.96%	23.03%	28.67%	25.35%	23.31%	27.50%	23.59%	30.32%	22.66%	24.59%	23.15%	26.22%	23.20%	23.63%	23.01%	22.72%	25.21%	23.63%	26.39%	25.42%	26.66%	26.73%	24.73%	24.47%	24.13%	25.07%	24.10%	24.61%	24.70%	13.04%	23.41%	27.88%	27.23%	25.42%	23.80%	28.69%	23.09%	27.52%	29.17%	26.92%	31.50%	27.07%	22.42%	21.53%	24.68%	25.83%	27.47%	28.30%	28.40%	23.00%	26.05%	24.13%	23.44%	22.77%	17.23%	26.25%	28.58%	25.32%	22.62%	24.58%	24.40%	24.71%	25.95%	25.00%	13.04%	21.18%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4809	109	68	47	63	114	46	23	65	38	36	70	73	63	69	72	37	115	88	79	123	101	92	55	71	87	75	88	109	137	134	161	113	108	79	95	50	103	4	14	60	76	67	17	34	65	45	96	52	96	81	25	40	18	55	60	65	31	26	32	47	48	35	5	100	93	72	58	51	63	65	44	7	1	5					
		7.41%	10.57%	7.01%	7.29%	8.29%	11.12%	7.64%	4.56%	7.77%	6.32%	6.91%	9.51%	9.16%	8.03%	6.75%	7.97%	5.97%	8.69%	7.96%	7.99%	8.98%	7.49%	9.70%	5.91%	7.27%	7.44%	8.36%	6.71%	8.74%	9.11%	10.09%	12.44%	7.95%	8.33%	7.02%	7.58%	7.89%	10.34%	1.74%	4.05%	7.85%	9.04%	10.20%	3.71%	7.28%	6.44%	6.22%	8.44%	5.56%	7.43%	8.70%	5.49%	7.12%	5.84%	5.55%	5.33%	5.84%	4.13%	4.15%	6.72%	5.13%	5.89%	7.25%	1.31%	7.96%	6.17%	6.51%	5.31%	5.07%	5.57%	6.27%	5.05%	4.86%	1.45%	5.88%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18478	272	278	186	210	237	147	165	243	194	159	199	195	232	322	269	188	434	309	287	384	472	294	308	343	378	254	379	365	447	350	363	411	375	329	365	184	320	152	111	185	219	181	139	117	267	186	259	219	273	206	141	155	81	293	320	272	246	200	133	257	254	141	90	314	392	290	293	251	330	279	276	45	33	31					
		28.46%	26.38%	28.66%	28.84%	27.63%	23.12%	24.42%	32.74%	29.03%	32.28%	30.52%	27.04%	24.47%	29.55%	31.51%	29.79%	30.32%	32.78%	27.94%	29.02%	28.05%	34.99%	31.01%	33.12%	35.11%	32.31%	28.32%	28.91%	29.27%	29.72%	26.36%	28.05%	28.90%	28.91%	29.24%	29.13%	29.02%	32.13%	66.09%	32.08%	24.21%	26.04%	27.55%	30.35%	25.05%	26.46%	25.73%	22.76%	23.40%	21.13%	22.13%	30.99%	27.58%	26.30%	29.57%	28.44%	24.44%	32.80%	31.95%	27.94%	28.06%	31.17%	29.19%	23.50%	24.98%	25.99%	26.22%	26.83%	24.98%	29.18%	26.93%	31.69%	31.25%	47.83%	36.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	732	7	9	10	11	17	4	8	3	5	8	6	16	8	6	10	7	22	9	12	10	17	8	13	7	12	12	14	13	24	12	20	16	20	18	15	5	9	2	5	12	13	5	8	3	12	7	10	12	10	13	3	9	8	4	11	21	7	2	3	10	10	2	5	12	18	11	11	7	13	11	14	3	1	1					
		1.13%	0.68%	0.93%	1.55%	1.45%	1.66%	0.66%	1.59%	0.36%	0.83%	1.54%	0.82%	2.01%	1.02%	0.59%	1.11%	1.13%	1.66%	0.81%	1.21%	0.73%	1.26%	0.84%	1.40%	0.72%	1.03%	1.34%	1.07%	1.04%	1.60%	0.90%	1.55%	1.13%	1.54%	1.60%	1.20%	0.79%	0.90%	0.87%	1.45%	1.57%	1.55%	0.76%	1.75%	0.64%	1.19%	0.97%	0.88%	1.28%	0.77%	1.40%	0.66%	1.60%	2.60%	0.40%	0.98%	1.89%	0.93%	0.32%	0.63%	1.09%	1.23%	0.41%	1.31%	0.95%	1.19%	0.99%	1.01%	0.70%	1.15%	1.06%	1.61%	2.08%	1.45%	1.18%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
