Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Учалинская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479					
		79.28%	88.09%	80.95%	78.67%	67.91%	94.14%	70.86%	75.11%	91.25%	81.00%	86.55%	80.00%	85.15%	87.97%	91.79%	86.17%	78.71%	78.39%	80.49%	81.13%	69.65%	75.53%	77.45%	80.97%	85.34%	86.97%	73.20%	81.32%	72.25%	78.85%	87.89%	79.92%	86.70%	81.19%	82.94%	72.29%	75.30%	79.67%	88.41%	83.20%	71.83%	74.48%	85.53%	77.89%	73.61%	80.58%	80.66%	84.96%	77.64%	96.92%	72.85%	86.25%	88.36%	76.04%	80.94%	83.06%	81.60%	87.00%	74.44%	64.89%	73.38%	77.90%	82.35%	76.19%	75.19%	78.68%	79.53%	75.78%	77.38%	77.54%	77.81%	78.45%	76.49%	81.23%	74.46%	74.93%	77.34%					
22	. Хакамада Ирина Муцуовна	614	2	0	7	3	1	3	15	2	3	1	5	13	0	1	2	7	5	3	3	9	8	4	7	1	3	0	10	6	5	2	7	11	5	11	4	5	6	1	2	4	13	1	9	6	6	0	4	6	1	2	2	1	0	4	11	2	1	1	3	4	28	23	20	18	16	28	14	31	18	26	28	32	36	5	9	18					
		1.45%	0.72%	0.00%	1.94%	1.40%	0.18%	0.99%	1.33%	0.83%	0.93%	0.29%	0.95%	1.21%	0.00%	0.48%	1.06%	0.94%	2.51%	1.83%	1.89%	1.97%	1.90%	1.19%	1.55%	0.52%	1.26%	0.00%	0.59%	1.50%	1.15%	0.90%	1.42%	2.00%	1.49%	1.62%	1.73%	0.99%	0.98%	0.24%	0.52%	0.51%	1.60%	0.66%	1.55%	1.58%	1.17%	0.00%	1.06%	1.51%	0.26%	0.46%	0.83%	0.68%	0.00%	1.44%	2.27%	0.94%	1.00%	1.11%	3.19%	2.88%	1.83%	1.47%	1.59%	1.53%	1.49%	2.25%	1.25%	2.15%	1.39%	1.99%	2.43%	2.61%	2.38%	0.68%	2.35%	1.91%					
23	. Харитонов Николай Михайлович	6091	25	20	61	50	25	63	200	11	52	40	88	109	13	13	22	128	32	13	22	109	70	65	64	17	20	18	260	92	73	21	41	43	47	83	53	95	91	35	54	191	161	15	85	81	85	25	26	59	6	90	23	12	20	42	61	25	10	14	24	29	180	167	198	213	148	153	178	223	195	198	169	173	150	127	57	140					
		14.39%	9.03%	11.90%	16.90%	23.26%	4.44%	20.86%	17.71%	4.58%	16.20%	11.70%	16.76%	10.18%	8.23%	6.28%	11.70%	17.14%	16.08%	7.93%	13.84%	23.80%	16.63%	19.29%	14.16%	8.90%	8.40%	18.56%	15.42%	23.00%	16.78%	9.42%	8.32%	7.83%	14.03%	12.21%	22.94%	18.77%	14.92%	8.45%	14.17%	24.46%	19.85%	9.87%	14.68%	21.37%	16.50%	13.81%	6.86%	14.82%	1.54%	20.88%	9.58%	8.22%	20.83%	15.11%	12.60%	11.79%	10.00%	15.56%	25.53%	20.86%	11.73%	10.68%	15.71%	18.10%	13.78%	12.28%	15.85%	15.48%	15.10%	15.15%	14.68%	14.12%	9.91%	17.16%	14.88%	14.89%					
																																																																																			
24	Против всех	368	2	0	2	3	3	2	11	1	1	1	0	7	1	1	0	1	2	2	2	5	4	0	0	0	0	1	8	3	3	1	5	6	0	4	0	6	6	7	1	0	5	1	3	0	3	2	9	1	1	5	3	1	0	4	3	0	0	0	0	3	23	15	14	8	16	23	15	18	12	11	8	16	11	16	2	14					
		0.87%	0.72%	0.00%	0.55%	1.40%	0.53%	0.66%	0.97%	0.42%	0.31%	0.29%	0.00%	0.65%	0.63%	0.48%	0.00%	0.13%	1.01%	1.22%	1.26%	1.09%	0.95%	0.00%	0.00%	0.00%	0.00%	1.03%	0.47%	0.75%	0.69%	0.45%	1.01%	1.09%	0.00%	0.59%	0.00%	1.19%	0.98%	1.69%	0.26%	0.00%	0.62%	0.66%	0.52%	0.00%	0.58%	1.10%	2.37%	0.25%	0.26%	1.16%	1.25%	0.68%	0.00%	1.44%	0.62%	0.00%	0.00%	0.00%	0.00%	2.16%	1.50%	0.96%	1.11%	0.68%	1.49%	1.85%	1.34%	1.25%	0.93%	0.84%	0.70%	1.31%	0.73%	2.16%	0.52%	1.49%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
