Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    Любинская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1073	40	5	5	50	3	5	3	35	3	13	5	15	3	3	3	3	15	3	3	3	5	20	10	15	40	11	11	30	20	20	60	30	25	29	23	20	20	11	20	8	20	5	5	20	5	20	10	3	65	10	17	20	5	5	30	5	15	5	15	5	5	50	3	3	5	40	13	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	854	10	2	0	50	0	2	0	33	0	12	5	8	3	0	0	0	4	0	3	0	0	20	10	15	38	10	11	24	12	7	59	30	24	29	23	16	14	11	20	6	8	2	1	17	0	13	10	3	65	10	17	15	1	1	30	1	1	0	15	0	5	50	0	3	5	40	7	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	391	9	1	3	1	1	1	0	4	0	2	0	4	4	2	0	0	4	0	2	3	1	4	3	2	10	8	2	11	13	8	31	23	10	7	18	18	7	16	30	10	11	3	10	10	1	6	1	1	21	2	5	2	0	1	5	5	1	4	3	3	0	14	2	1	2	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	219	30	3	5	0	3	3	3	2	3	1	0	7	0	3	3	3	11	3	0	3	5	0	0	0	2	1	0	6	8	13	1	0	1	0	0	4	6	0	0	2	12	3	4	3	5	7	0	0	0	0	0	5	4	4	0	4	14	5	0	5	0	0	3	0	0	0	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	5	1	0	3	0	0	1	0	0	0	0	0	0	0	0	1	2	0	28	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	1.Политическая партия «Аграрная партия России»	516	30	6	0	17	0	3	0	9	2	3	0	10	3	1	3	0	5	3	5	3	2	12	4	17	19	3	8	35	22	17	34	15	13	12	18	21	4	2	8	7	14	3	1	24	0	5	7	2	6	0	1	8	7	3	24	1	2	0	4	2	0	8	1	2	7	8	0	0					
		2.03%	3.32%	3.43%	0.00%	4.52%	0.00%	2.42%	0.00%	1.58%	2.86%	2.52%	0.00%	2.98%	3.45%	1.11%	3.45%	0.00%	1.04%	2.29%	3.94%	2.34%	1.00%	2.38%	1.05%	6.49%	2.35%	1.40%	3.52%	2.55%	1.91%	1.40%	3.59%	1.45%	1.64%	1.67%	2.36%	2.89%	0.79%	0.50%	1.43%	3.15%	2.01%	1.44%	0.41%	2.92%	0.00%	1.10%	3.83%	1.74%	1.67%	0.00%	1.79%	2.66%	4.09%	1.54%	2.85%	0.52%	0.45%	0.00%	0.87%	1.29%	0.00%	1.14%	1.32%	1.67%	5.69%	3.05%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	92	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	7	2	0	8	15	2	10	8	4	0	2	4	0	1	0	1	3	1	0	2	1	1	0	0	0	0	0	2	0	1	1	0	2	1	0	0	1	2	0	0	0	1	0	0					
		0.36%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.76%	0.00%	0.78%	0.00%	0.20%	0.26%	0.38%	0.87%	0.93%	0.00%	0.58%	1.30%	0.16%	1.05%	0.77%	0.51%	0.00%	0.26%	0.55%	0.00%	0.25%	0.00%	0.45%	0.43%	0.48%	0.00%	0.24%	0.43%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.51%	0.12%	0.00%	0.45%	0.77%	0.00%	0.00%	0.62%	0.28%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	39	3	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	1	2	2	4	0	1	0	0	1	0	1	1	2	0	1	3	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1					
		0.15%	0.33%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.21%	0.76%	1.57%	1.56%	2.00%	0.00%	0.26%	0.00%	0.00%	0.47%	0.00%	0.07%	0.09%	0.16%	0.00%	0.10%	0.38%	0.14%	0.13%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.51%	0.00%	0.52%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2362	53	14	4	17	2	9	1	68	3	8	14	65	6	4	5	5	25	4	0	4	7	59	49	23	90	4	15	150	133	168	103	93	95	72	85	74	64	28	50	7	66	18	17	128	13	32	5	8	9	1	1	25	16	8	75	14	18	8	47	0	9	129	9	5	6	13	2	0					
		9.31%	5.86%	8.00%	1.33%	4.52%	2.82%	7.26%	1.61%	11.91%	4.29%	6.72%	43.75%	19.35%	6.90%	4.44%	5.75%	5.15%	5.22%	3.05%	0.00%	3.13%	3.50%	11.68%	12.89%	8.78%	11.15%	1.87%	6.61%	10.95%	11.54%	13.83%	10.86%	8.96%	11.99%	10.03%	11.15%	10.19%	12.67%	6.95%	8.96%	3.15%	9.50%	8.61%	6.97%	15.55%	5.65%	7.03%	2.73%	6.96%	2.51%	0.85%	1.79%	8.31%	9.36%	4.10%	8.91%	7.33%	4.08%	6.15%	10.24%	0.00%	5.56%	18.32%	11.84%	4.17%	4.88%	4.96%	3.64%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	161	4	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	4	1	0	0	0	11	10	0	1	3	0	8	6	7	14	7	1	14	6	1	6	7	4	2	3	0	0	3	0	0	4	1	0	0	0	0	0	0	9	0	1	2	2	3	5	2	0	0	1	2	0	0					
		0.63%	0.44%	0.00%	0.00%	0.80%	0.00%	0.00%	1.61%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.84%	0.76%	0.00%	0.00%	0.00%	2.18%	2.63%	0.00%	0.12%	1.40%	0.00%	0.58%	0.52%	0.58%	1.48%	0.67%	0.13%	1.95%	0.79%	0.14%	1.19%	1.74%	0.72%	0.90%	0.43%	0.00%	0.00%	0.36%	0.00%	0.00%	2.19%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.23%	1.54%	0.44%	1.94%	3.09%	0.28%	0.00%	0.00%	0.81%	0.76%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	1	0	0					
		0.08%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.08%	0.11%	0.19%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.18%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.71%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1918	67	7	11	37	4	7	9	27	7	8	0	20	0	4	3	1	51	6	23	7	8	55	26	18	56	14	19	128	74	107	89	86	88	71	78	65	42	29	31	15	42	11	3	30	27	24	26	1	11	7	1	24	13	14	113	7	19	11	23	5	10	47	4	3	15	15	1	13					
		7.56%	7.41%	4.00%	3.67%	9.84%	5.63%	5.65%	14.52%	4.73%	10.00%	6.72%	0.00%	5.95%	0.00%	4.44%	3.45%	1.03%	10.65%	4.58%	18.11%	5.47%	4.00%	10.89%	6.84%	6.87%	6.94%	6.54%	8.37%	9.34%	6.42%	8.81%	9.39%	8.29%	11.11%	9.89%	10.24%	8.95%	8.32%	7.20%	5.56%	6.76%	6.04%	5.26%	1.23%	3.65%	11.74%	5.27%	14.21%	0.87%	3.06%	5.98%	1.79%	7.97%	7.60%	7.18%	13.42%	3.66%	4.31%	8.46%	5.01%	3.23%	6.17%	6.68%	5.26%	2.50%	12.20%	5.73%	1.82%	9.77%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1067	37	1	4	28	6	1	3	39	1	1	0	7	4	2	1	0	14	5	2	5	4	22	6	13	51	14	9	62	50	45	40	43	46	38	38	47	15	20	31	23	40	2	10	29	9	22	11	0	9	2	0	10	10	6	48	2	6	9	16	1	4	23	0	2	3	11	0	4					
		4.20%	4.09%	0.57%	1.33%	7.45%	8.45%	0.81%	4.84%	6.83%	1.43%	0.84%	0.00%	2.08%	4.60%	2.22%	1.15%	0.00%	2.92%	3.82%	1.57%	3.91%	2.00%	4.36%	1.58%	4.96%	6.32%	6.54%	3.96%	4.53%	4.34%	3.70%	4.22%	4.14%	5.81%	5.29%	4.99%	6.47%	2.97%	4.96%	5.56%	10.36%	5.76%	0.96%	4.10%	3.52%	3.91%	4.84%	6.01%	0.00%	2.51%	1.71%	0.00%	3.32%	5.85%	3.08%	5.70%	1.05%	1.36%	6.92%	3.49%	0.65%	2.47%	3.27%	0.00%	1.67%	2.44%	4.20%	0.00%	3.01%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	137	5	0	1	1	0	0	0	3	0	0	0	2	0	0	0	0	5	0	0	0	2	1	2	0	3	2	0	13	3	5	4	3	10	7	4	12	8	1	7	2	3	2	0	1	1	1	0	0	1	0	0	3	2	2	2	0	4	1	1	1	0	1	1	0	2	1	0	1					
		0.54%	0.55%	0.00%	0.33%	0.27%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	1.00%	0.20%	0.53%	0.00%	0.37%	0.93%	0.00%	0.95%	0.26%	0.41%	0.42%	0.29%	1.26%	0.97%	0.52%	1.65%	1.58%	0.25%	1.25%	0.90%	0.43%	0.96%	0.00%	0.12%	0.43%	0.22%	0.00%	0.00%	0.28%	0.00%	0.00%	0.99%	1.17%	1.03%	0.24%	0.00%	0.91%	0.77%	0.22%	0.65%	0.00%	0.14%	1.32%	0.00%	1.63%	0.38%	0.00%	0.75%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	18602	693	147	279	259	59	100	47	403	57	99	18	229	71	79	74	91	364	108	91	106	173	336	275	184	560	169	169	946	829	851	625	766	528	486	514	485	360	306	420	160	509	170	210	596	177	363	126	102	321	105	52	223	122	160	526	163	370	98	356	136	130	474	61	107	88	178	51	112					
		73.30%	76.66%	84.00%	93.00%	68.88%	83.10%	80.65%	75.81%	70.58%	81.43%	83.19%	56.25%	68.15%	81.61%	87.78%	85.06%	93.81%	75.99%	82.44%	71.65%	82.81%	86.50%	66.53%	72.37%	70.23%	69.39%	78.97%	74.45%	69.05%	71.90%	70.04%	65.93%	73.80%	66.67%	67.69%	67.45%	66.80%	71.29%	75.93%	75.27%	72.07%	73.24%	81.34%	86.07%	72.42%	76.96%	79.78%	68.85%	88.70%	89.42%	89.74%	92.86%	74.09%	71.35%	82.05%	62.47%	85.34%	83.90%	75.38%	77.56%	87.74%	80.25%	67.33%	80.26%	89.17%	71.54%	67.94%	92.73%	84.21%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	106	3	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	1	3	0	3	1	0	7	7	2	12	8	4	10	5	7	1	0	3	3	4	1	2	0	1	0	0	0	0	0	0	0	0	0	6	0	2	0	0	1	0	2	0	0	0	0	1	0					
		0.42%	0.33%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	1.15%	0.00%	0.00%	0.00%	0.21%	1.53%	0.00%	0.00%	0.00%	0.20%	0.79%	0.00%	0.37%	0.47%	0.00%	0.51%	0.61%	0.16%	1.27%	0.77%	0.51%	1.39%	0.66%	0.96%	0.20%	0.00%	0.54%	1.35%	0.58%	0.48%	0.82%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.45%	0.00%	0.00%	0.65%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	1.82%	0.00%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
