Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Петрозаводская городская №1																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88					
11	Число полученных открепительных  удостоверений	2680	36	36	86	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	66	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	40	40					
12	Число выданных открепительных удостоверений	957	12	26	61	3	6	16	9	6	16	23	9	6	21	6	8	11	7	5	8	15	7	8	14	10	11	14	6	11	6	23	16	9	43	13	18	10	12	20	10	13	19	7	14	10	18	16	14	9	15	8	13	14	26	13	21	20	8	6	15	9	14	16	14	9	18	9	6	9	6	15	10	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	878	2	62	6	6	0	14	8	8	14	23	10	9	7	9	9	6	15	8	5	7	11	14	13	12	4	13	11	2	13	4	15	8	32	10	9	10	15	3	5	6	13	4	8	7	10	11	12	55	12	49	8	9	48	11	22	17	5	10	6	5	11	13	10	16	9	3	10	6	4	13	1	22					
14	Число неиспользованных открепительных удостоверений	1723	24	10	25	33	30	20	27	30	20	13	27	30	15	30	28	25	29	31	28	21	29	28	22	26	25	22	30	25	30	13	20	27	23	23	18	26	24	16	26	23	17	29	22	26	18	20	22	27	21	28	23	22	10	23	15	16	28	30	21	27	22	20	22	27	18	27	30	27	30	21	30	32					
15	"Число открепительных удостоверений, выданных в ТИК"	19	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	2509	13	10	31	14	18	51	23	23	30	41	34	38	23	40	14	37	35	46	31	27	22	42	18	18	39	38	26	33	35	40	20	30	15	41	38	40	31	20	24	31	37	61	55	36	36	47	55	40	57	62	43	38	33	29	55	15	45	45	44	31	39	48	41	37	34	41	31	36	38	31	45	44					
		3.49%	2.26%	2.62%	3.16%	3.00%	3.24%	3.65%	2.57%	3.17%	3.06%	2.79%	3.15%	4.42%	3.19%	4.02%	1.96%	3.50%	3.61%	4.96%	3.05%	2.57%	2.95%	3.53%	2.00%	1.95%	4.05%	3.53%	3.00%	3.81%	3.43%	4.01%	2.28%	2.74%	1.42%	4.16%	3.74%	4.79%	3.18%	2.27%	2.72%	3.04%	3.19%	5.73%	5.29%	3.93%	4.40%	4.22%	4.64%	3.38%	5.29%	4.88%	4.39%	3.51%	2.88%	3.28%	5.05%	1.42%	3.97%	3.73%	3.73%	3.00%	3.56%	4.24%	3.35%	3.46%	2.94%	3.56%	3.07%	3.49%	3.47%	2.93%	4.35%	3.68%					
19	. Малышкин Олег Александрович	1323	19	4	40	7	15	29	22	15	25	37	23	12	18	13	16	26	25	20	11	24	14	27	14	27	13	32	24	18	10	8	18	29	17	17	13	12	19	15	16	15	16	23	10	14	19	24	10	16	14	18	4	13	19	8	13	18	16	21	28	19	25	22	17	18	17	13	20	27	23	21	19	19					
		1.84%	3.30%	1.05%	4.08%	1.50%	2.70%	2.07%	2.46%	2.07%	2.55%	2.52%	2.13%	1.40%	2.49%	1.31%	2.23%	2.46%	2.58%	2.16%	1.08%	2.29%	1.87%	2.27%	1.56%	2.92%	1.35%	2.97%	2.77%	2.08%	0.98%	0.80%	2.05%	2.65%	1.61%	1.72%	1.28%	1.44%	1.95%	1.70%	1.82%	1.47%	1.38%	2.16%	0.96%	1.53%	2.32%	2.15%	0.84%	1.35%	1.30%	1.42%	0.41%	1.20%	1.66%	0.91%	1.19%	1.71%	1.41%	1.74%	2.37%	1.84%	2.28%	1.94%	1.39%	1.68%	1.47%	1.13%	1.98%	2.62%	2.10%	1.99%	1.84%	1.59%					
20	. Миронов Сергей Михайлович	983	4	8	9	7	9	25	10	12	6	10	18	19	7	12	14	15	18	17	16	18	12	21	9	11	15	15	11	17	10	8	8	19	11	14	14	8	11	8	8	15	21	23	17	16	13	12	14	9	14	17	10	9	27	17	14	5	16	17	14	8	24	14	19	11	18	14	17	17	12	15	16	14					
		1.37%	0.69%	2.09%	0.92%	1.50%	1.62%	1.79%	1.12%	1.65%	0.61%	0.68%	1.67%	2.21%	0.97%	1.21%	1.96%	1.42%	1.86%	1.83%	1.57%	1.71%	1.61%	1.76%	1.00%	1.19%	1.56%	1.39%	1.27%	1.96%	0.98%	0.80%	0.91%	1.74%	1.04%	1.42%	1.38%	0.96%	1.13%	0.91%	0.91%	1.47%	1.81%	2.16%	1.63%	1.74%	1.59%	1.08%	1.18%	0.76%	1.30%	1.34%	1.02%	0.83%	2.36%	1.93%	1.29%	0.47%	1.41%	1.41%	1.19%	0.77%	2.19%	1.24%	1.55%	1.03%	1.56%	1.22%	1.68%	1.65%	1.10%	1.42%	1.55%	1.17%					
21	. Путин Владимир Владимирович	50965	471	293	696	362	406	998	667	535	751	1125	727	564	543	724	522	712	727	642	752	770	542	786	700	732	648	741	645	628	733	662	642	799	854	693	755	607	716	657	645	707	815	738	700	638	562	781	712	781	664	812	645	787	791	589	708	825	789	822	856	742	757	784	836	748	811	828	716	738	794	773	694	850					
		70.92%	81.77%	76.70%	70.95%	77.68%	73.15%	71.39%	74.61%	73.69%	76.63%	76.69%	67.25%	65.58%	75.21%	72.84%	72.91%	67.36%	74.95%	69.18%	73.87%	73.33%	72.56%	66.05%	77.86%	79.14%	67.22%	68.87%	74.39%	72.52%	71.79%	66.40%	73.20%	72.97%	80.79%	70.28%	74.31%	72.69%	73.51%	74.66%	73.21%	69.31%	70.20%	69.36%	67.31%	69.57%	68.70%	70.11%	60.03%	65.91%	61.60%	63.89%	65.88%	72.67%	69.02%	66.70%	65.01%	78.27%	69.64%	68.22%	72.48%	71.83%	69.13%	69.26%	68.30%	69.91%	70.16%	71.94%	70.89%	71.51%	72.58%	73.13%	67.05%	71.01%					
22	. Хакамада Ирина Муцуовна	5860	12	15	45	34	36	101	53	45	54	87	87	79	37	86	70	143	51	68	84	86	53	133	48	30	75	86	62	60	80	74	64	83	77	64	74	64	86	56	71	91	108	63	91	76	67	74	138	147	133	141	96	76	107	80	92	98	101	107	101	63	75	90	155	99	95	109	92	78	94	74	122	114					
		8.15%	2.08%	3.93%	4.59%	7.30%	6.49%	7.22%	5.93%	6.20%	5.51%	5.93%	8.05%	9.19%	5.12%	8.65%	9.78%	13.53%	5.26%	7.33%	8.25%	8.19%	7.10%	11.18%	5.34%	3.24%	7.78%	7.99%	7.15%	6.93%	7.84%	7.42%	7.30%	7.58%	7.28%	6.49%	7.28%	7.66%	8.83%	6.36%	8.06%	8.92%	9.30%	5.92%	8.75%	8.29%	8.19%	6.64%	11.64%	12.41%	12.34%	11.09%	9.81%	7.02%	9.34%	9.06%	8.45%	9.30%	8.91%	8.88%	8.55%	6.10%	6.85%	7.95%	12.66%	9.25%	8.22%	9.47%	9.11%	7.56%	8.59%	7.00%	11.79%	9.52%					
23	. Харитонов Николай Михайлович	6697	29	41	73	21	50	123	68	68	56	101	149	101	57	81	37	52	70	83	72	65	75	107	77	76	117	113	70	71	113	154	81	84	36	115	87	70	69	82	89	126	109	109	118	111	91	129	201	122	152	162	129	103	102	115	145	51	105	114	85	119	121	107	86	87	110	88	80	92	77	94	81	93					
		9.32%	5.03%	10.73%	7.44%	4.51%	9.01%	8.80%	7.61%	9.37%	5.71%	6.88%	13.78%	11.74%	7.89%	8.15%	5.17%	4.92%	7.22%	8.94%	7.07%	6.19%	10.04%	8.99%	8.57%	8.22%	12.14%	10.50%	8.07%	8.20%	11.07%	15.45%	9.24%	7.67%	3.41%	11.66%	8.56%	8.38%	7.08%	9.32%	10.10%	12.35%	9.39%	10.24%	11.35%	12.10%	11.12%	11.58%	16.95%	10.30%	14.10%	12.75%	13.18%	9.51%	8.90%	13.02%	13.31%	4.84%	9.27%	9.46%	7.20%	11.52%	11.05%	9.45%	7.03%	8.13%	9.52%	7.65%	7.92%	8.91%	7.04%	8.89%	7.83%	7.77%					
																																																																															
24	Против всех	3204	22	9	81	19	20	58	40	28	52	60	34	42	32	34	40	66	38	46	49	54	22	71	28	25	55	42	27	36	34	43	39	45	46	39	34	30	40	36	26	32	51	43	40	24	28	43	52	63	42	56	48	52	65	40	55	41	60	72	51	46	51	59	64	63	64	53	47	42	54	45	56	60					
		4.46%	3.82%	2.36%	8.26%	4.08%	3.60%	4.15%	4.47%	3.86%	5.31%	4.09%	3.15%	4.88%	4.43%	3.42%	5.59%	6.24%	3.92%	4.96%	4.81%	5.14%	2.95%	5.97%	3.11%	2.70%	5.71%	3.90%	3.11%	4.16%	3.33%	4.31%	4.45%	4.11%	4.35%	3.96%	3.35%	3.59%	4.11%	4.09%	2.95%	3.14%	4.39%	4.04%	3.85%	2.62%	3.42%	3.86%	4.38%	5.32%	3.90%	4.41%	4.90%	4.80%	5.67%	4.53%	5.05%	3.89%	5.30%	5.98%	4.32%	4.45%	4.66%	5.21%	5.23%	5.89%	5.54%	4.60%	4.65%	4.07%	4.94%	4.26%	5.41%	5.01%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
