Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																											
Дата голосования: 04.12.2011																																																																																																																											
																																																																																																																											
Наименование Избирательной комиссии:    Костромская городская																																																																																																																											
																																																																																																																											
Сводная таблица результатов выборов																																																																																																																											
																																																																																																																											
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4472	0	66	25	30	40	25	20	25	35	50	45	40	30	20	20	25	25	20	50	40	45	50	40	40	45	20	20	30	20	35	25	20	25	20	50	40	30	55	20	40	30	45	50	50	55	195	235	180	15	25	15	60	40	80	35	20	35	35	30	25	30	45	35	40	35	45	50	70	15	55	45	55	40	40	35	30	20	30	20	35	30	80	80	30	20	35	50	30	25	25	45	60	20	15	20	70	35	45	20	30	30	35	35	30	32	25	20	40	30	40	20	15	29	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3276	0	55	23	27	33	21	20	19	27	39	42	33	29	19	19	24	19	7	45	28	36	30	27	29	41	17	17	27	14	34	22	10	17	9	16	21	28	46	13	26	25	38	45	41	46	56	35	52	7	19	8	56	31	69	30	19	29	31	24	21	21	31	24	40	29	35	41	61	1	54	35	47	28	34	31	21	16	22	17	31	24	78	76	24	13	35	43	23	17	24	37	54	18	0	9	67	27	37	12	28	24	28	29	22	32	25	20	34	26	31	16	10	23	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2391	13	30	21	9	53	26	17	22	11	10	31	28	15	23	18	10	16	7	15	13	18	23	17	6	20	27	22	21	10	17	20	53	24	12	22	16	27	26	21	7	12	29	20	22	37	15	19	13	8	17	24	45	17	26	32	31	37	15	26	12	24	18	26	45	44	19	15	27	7	22	12	27	24	24	12	15	8	22	22	23	17	37	31	48	14	20	22	18	29	18	20	21	9	3	18	26	19	31	17	17	34	13	18	14	5	15	22	27	15	13	12	15	14	15	14	20					
14	Число погашенных неиспользованных открепительных удостоверений	1196	0	11	2	3	7	4	0	6	8	11	3	7	1	1	1	1	6	13	5	12	9	20	13	11	4	3	3	3	6	1	3	10	8	11	34	19	2	9	7	14	5	7	5	9	9	139	200	128	8	6	7	4	9	11	5	1	6	4	6	4	9	14	11	0	6	10	9	9	14	1	10	8	12	6	4	9	4	8	3	4	6	2	4	6	7	0	7	7	8	1	8	6	2	15	11	3	8	8	8	2	6	7	6	8	0	0	0	6	4	9	4	5	6	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	0	0	2	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	3	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	1	1	2	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	24325	48	198	168	194	163	194	169	181	184	183	278	207	202	188	182	196	156	68	294	210	213	224	164	162	286	157	175	222	208	312	221	152	184	82	80	201	201	306	128	204	253	315	349	353	298	242	147	169	69	141	88	283	200	211	296	176	287	299	169	289	111	238	240	323	245	280	234	180	51	329	280	329	327	293	309	228	235	193	193	264	275	212	177	202	145	251	253	163	133	186	150	110	153	46	218	290	260	353	178	288	264	295	241	184	274	295	267	236	306	312	148	115	191	12	12	69					
		19.55%	20.51%	18.13%	20.95%	18.58%	17.32%	17.46%	17.81%	14.86%	19.13%	19.76%	19.00%	18.14%	19.15%	18.25%	21.46%	15.47%	15.37%	17.17%	18.89%	20.71%	17.35%	17.45%	18.02%	18.43%	19.09%	18.67%	17.97%	18.62%	21.42%	19.00%	20.35%	19.44%	16.93%	17.90%	14.11%	18.44%	20.62%	21.12%	20.48%	18.66%	24.76%	22.94%	22.60%	19.61%	17.64%	15.96%	8.31%	14.41%	22.62%	20.74%	18.68%	17.63%	18.94%	20.77%	19.17%	18.60%	23.76%	22.30%	21.34%	20.34%	21.26%	17.79%	21.54%	21.63%	20.76%	20.25%	20.19%	20.71%	12.75%	21.14%	18.48%	19.24%	19.88%	18.46%	19.34%	20.41%	19.22%	19.96%	20.38%	18.46%	23.03%	20.02%	17.82%	17.50%	25.53%	20.95%	19.49%	19.88%	20.24%	18.84%	17.24%	19.43%	20.56%	13.26%	24.74%	19.29%	18.28%	21.70%	20.23%	20.11%	22.60%	21.30%	19.07%	21.15%	23.64%	21.68%	23.46%	22.24%	25.04%	21.86%	28.41%	19.10%	23.96%	21.05%	12.00%	19.60%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	20986	41	231	160	167	155	189	161	207	157	185	227	236	181	188	142	276	171	80	264	134	217	229	164	168	235	174	124	239	166	290	179	119	196	78	95	169	164	188	119	184	144	238	210	284	236	279	495	238	46	106	82	323	195	181	284	170	210	242	114	234	86	272	161	228	185	254	174	139	42	217	238	224	285	233	205	170	227	168	141	214	186	204	170	212	105	180	210	75	89	166	172	137	133	54	121	328	237	274	153	270	211	240	219	138	154	235	143	169	160	237	107	120	89	10	5	50					
		16.87%	17.52%	21.15%	19.95%	15.99%	16.47%	17.01%	16.97%	16.99%	16.32%	19.98%	15.52%	20.68%	17.16%	18.25%	16.75%	21.78%	16.85%	20.20%	16.97%	13.21%	17.67%	17.83%	18.02%	19.11%	15.69%	20.69%	12.73%	20.05%	17.10%	17.66%	16.48%	15.22%	18.03%	17.03%	16.75%	15.50%	16.82%	12.97%	19.04%	16.83%	14.09%	17.33%	13.60%	15.78%	13.97%	18.40%	27.97%	20.29%	15.08%	15.59%	17.41%	20.12%	18.47%	17.81%	18.39%	17.97%	17.38%	18.05%	14.39%	16.47%	16.48%	20.33%	14.45%	15.27%	15.68%	18.37%	15.01%	15.99%	10.50%	13.95%	15.71%	13.10%	17.33%	14.68%	12.83%	15.22%	18.56%	17.37%	14.89%	14.97%	15.58%	19.26%	17.12%	18.37%	18.49%	15.03%	16.18%	9.15%	13.55%	16.82%	19.77%	24.20%	17.88%	15.56%	13.73%	21.82%	16.67%	16.84%	17.39%	18.85%	18.07%	17.33%	17.33%	15.86%	13.29%	17.27%	12.57%	15.93%	13.09%	16.61%	20.54%	19.93%	11.17%	17.54%	5.00%	14.20%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1595	1	10	17	7	16	10	8	10	19	11	17	14	13	7	11	24	12	3	19	14	13	7	12	13	11	10	13	16	3	20	23	14	12	5	8	15	13	16	5	21	12	28	28	31	38	16	23	17	2	8	9	25	15	11	15	10	13	17	6	10	6	16	18	24	19	18	16	12	5	23	14	18	28	10	24	11	13	17	11	17	18	8	20	18	9	9	12	12	19	8	9	5	5	4	10	25	19	20	3	22	13	19	20	11	25	16	17	12	11	19	5	12	9	1	0	3					
		1.28%	0.43%	0.92%	2.12%	0.67%	1.70%	0.90%	0.84%	0.82%	1.98%	1.19%	1.16%	1.23%	1.23%	0.68%	1.30%	1.89%	1.18%	0.76%	1.22%	1.38%	1.06%	0.55%	1.32%	1.48%	0.73%	1.19%	1.33%	1.34%	0.31%	1.22%	2.12%	1.79%	1.10%	1.09%	1.41%	1.38%	1.33%	1.10%	0.80%	1.92%	1.17%	2.04%	1.81%	1.72%	2.25%	1.06%	1.30%	1.45%	0.66%	1.18%	1.91%	1.56%	1.42%	1.08%	0.97%	1.06%	1.08%	1.27%	0.76%	0.70%	1.15%	1.20%	1.62%	1.61%	1.61%	1.30%	1.38%	1.38%	1.25%	1.48%	0.92%	1.05%	1.70%	0.63%	1.50%	0.98%	1.06%	1.76%	1.16%	1.19%	1.51%	0.76%	2.01%	1.56%	1.58%	0.75%	0.92%	1.46%	2.89%	0.81%	1.03%	0.88%	0.67%	1.15%	1.14%	1.66%	1.34%	1.23%	0.34%	1.54%	1.11%	1.37%	1.58%	1.26%	2.16%	1.18%	1.49%	1.13%	0.90%	1.33%	0.96%	1.99%	1.13%	1.75%	0.00%	0.85%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	37476	65	296	179	327	264	312	275	408	274	249	468	326	290	289	279	331	314	107	473	332	361	396	240	250	479	229	329	303	283	536	330	252	349	125	153	340	252	426	164	321	317	402	512	552	520	524	228	303	95	204	147	510	319	286	479	250	361	414	235	435	151	345	344	448	344	453	373	266	100	463	504	621	546	609	590	374	370	275	292	411	353	326	328	369	144	396	404	314	232	326	261	136	228	50	268	389	437	498	296	406	327	450	372	300	368	421	349	311	375	406	121	162	248	12	39	106					
		30.12%	27.78%	27.11%	22.32%	31.32%	28.06%	28.08%	28.98%	33.50%	28.48%	26.89%	31.99%	28.57%	27.49%	28.06%	32.90%	26.12%	30.94%	27.02%	30.40%	32.74%	29.40%	30.84%	26.37%	28.44%	31.98%	27.23%	33.78%	25.42%	29.15%	32.64%	30.39%	32.23%	32.11%	27.29%	26.98%	31.19%	25.85%	29.40%	26.24%	29.37%	31.02%	29.28%	33.16%	30.67%	30.79%	34.56%	12.88%	25.83%	31.15%	30.00%	31.21%	31.78%	30.21%	28.15%	31.02%	26.43%	29.88%	30.87%	29.67%	30.61%	28.93%	25.78%	30.88%	30.01%	29.15%	32.75%	32.18%	30.61%	25.00%	29.76%	33.27%	36.32%	33.19%	38.37%	36.92%	33.48%	30.25%	28.44%	30.83%	28.74%	29.56%	30.78%	33.03%	31.98%	25.35%	33.06%	31.12%	38.29%	35.31%	33.03%	30.00%	24.03%	30.65%	14.41%	30.42%	25.88%	30.73%	30.61%	33.64%	28.35%	27.99%	32.49%	29.43%	34.48%	31.75%	30.93%	30.67%	29.31%	30.69%	28.45%	23.22%	26.91%	31.12%	21.05%	39.00%	30.11%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6234	2	71	32	52	71	75	41	53	42	52	102	53	38	52	34	28	39	8	102	62	53	75	24	52	54	30	54	61	28	59	54	31	49	11	26	77	74	103	40	53	68	75	107	102	99	70	29	37	12	30	16	72	55	44	59	46	50	81	32	61	22	54	49	92	81	45	68	32	4	107	71	94	62	74	61	49	68	53	36	71	56	59	63	76	23	63	98	58	55	54	54	28	50	10	81	101	68	73	40	68	57	61	76	42	60	51	76	42	68	66	20	32	32	2	2	14					
		5.01%	0.85%	6.50%	3.99%	4.98%	7.55%	6.75%	4.32%	4.35%	4.37%	5.62%	6.97%	4.65%	3.60%	5.05%	4.01%	2.21%	3.84%	2.02%	6.56%	6.11%	4.32%	5.84%	2.64%	5.92%	3.60%	3.57%	5.54%	5.12%	2.88%	3.59%	4.97%	3.96%	4.51%	2.40%	4.59%	7.06%	7.59%	7.11%	6.40%	4.85%	6.65%	5.46%	6.93%	5.67%	5.86%	4.62%	1.64%	3.15%	3.93%	4.41%	3.40%	4.49%	5.21%	4.33%	3.82%	4.86%	4.14%	6.04%	4.04%	4.29%	4.21%	4.04%	4.40%	6.16%	6.86%	3.25%	5.87%	3.68%	1.00%	6.88%	4.69%	5.50%	3.77%	4.66%	3.82%	4.39%	5.56%	5.48%	3.80%	4.97%	4.69%	5.57%	6.34%	6.59%	4.05%	5.26%	7.55%	7.07%	8.37%	5.47%	6.21%	4.95%	6.72%	2.88%	9.19%	6.72%	4.78%	4.49%	4.55%	4.75%	4.88%	4.40%	6.01%	4.83%	5.18%	3.75%	6.68%	3.96%	5.56%	4.63%	3.84%	5.32%	4.02%	3.51%	2.00%	3.98%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31394	74	273	235	274	251	312	278	341	261	224	344	287	304	288	186	390	314	127	372	242	352	331	283	218	391	221	262	318	272	391	256	198	272	150	190	270	253	373	161	292	200	291	309	442	452	359	812	391	77	186	122	361	258	264	393	275	267	275	219	368	142	381	274	350	285	315	279	217	187	390	378	397	364	342	371	260	285	235	248	415	288	234	218	255	131	264	298	179	118	228	209	141	158	180	165	334	368	376	193	353	280	285	307	183	258	319	256	270	278	358	112	151	215	19	40	106					
		25.24%	31.62%	25.00%	29.30%	26.25%	26.67%	28.08%	29.29%	27.99%	27.13%	24.19%	23.51%	25.15%	28.82%	27.96%	21.93%	30.78%	30.94%	32.07%	23.91%	23.87%	28.66%	25.78%	31.10%	24.80%	26.10%	26.28%	26.90%	26.68%	28.01%	23.81%	23.57%	25.32%	25.02%	32.75%	33.51%	24.77%	25.95%	25.74%	25.76%	26.72%	19.57%	21.19%	20.01%	24.56%	26.76%	23.68%	45.88%	33.33%	25.25%	27.35%	25.90%	22.49%	24.43%	25.98%	25.45%	29.07%	22.10%	20.51%	27.65%	25.90%	27.20%	28.48%	24.60%	23.44%	24.15%	22.78%	24.07%	24.97%	46.75%	25.06%	24.95%	23.22%	22.13%	21.55%	23.22%	23.28%	23.30%	24.30%	26.19%	29.02%	24.12%	22.10%	21.95%	22.10%	23.06%	22.04%	22.96%	21.83%	17.96%	23.10%	24.02%	24.91%	21.24%	51.87%	18.73%	22.22%	25.88%	23.11%	21.93%	24.65%	23.97%	20.58%	24.29%	21.03%	22.26%	23.44%	22.50%	25.45%	22.75%	25.09%	21.50%	25.08%	26.98%	33.33%	40.00%	30.11%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	892	0	6	2	7	4	8	7	7	10	13	8	8	5	8	6	9	2	1	16	7	9	10	8	6	9	10	7	11	5	24	6	6	11	1	5	8	6	16	1	4	13	7	15	8	11	14	9	6	2	2	3	12	9	7	6	6	8	7	7	9	1	6	11	16	13	7	6	6	1	8	13	11	11	9	10	6	11	7	9	13	2	5	8	11	6	12	10	10	4	11	4	6	8	2	7	14	12	14	5	13	5	13	8	2	7	9	11	8	9	12	4	2	3	1	0	1					
		0.72%	0.00%	0.55%	0.25%	0.67%	0.43%	0.72%	0.74%	0.57%	1.04%	1.40%	0.55%	0.70%	0.47%	0.78%	0.71%	0.71%	0.20%	0.25%	1.03%	0.69%	0.73%	0.78%	0.88%	0.68%	0.60%	1.19%	0.72%	0.92%	0.51%	1.46%	0.55%	0.77%	1.01%	0.22%	0.88%	0.73%	0.62%	1.10%	0.16%	0.37%	1.27%	0.51%	0.97%	0.44%	0.65%	0.92%	0.51%	0.51%	0.66%	0.29%	0.64%	0.75%	0.85%	0.69%	0.39%	0.63%	0.66%	0.52%	0.88%	0.63%	0.19%	0.45%	0.99%	1.07%	1.10%	0.51%	0.52%	0.69%	0.25%	0.51%	0.86%	0.64%	0.67%	0.57%	0.63%	0.54%	0.90%	0.72%	0.95%	0.91%	0.17%	0.47%	0.81%	0.95%	1.06%	1.00%	0.77%	1.22%	0.61%	1.11%	0.46%	1.06%	1.08%	0.58%	0.79%	0.93%	0.84%	0.86%	0.57%	0.91%	0.43%	0.94%	0.63%	0.23%	0.60%	0.66%	0.97%	0.75%	0.74%	0.84%	0.77%	0.33%	0.38%	1.75%	0.00%	0.28%					
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
