Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Ишимбайская																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470									
		0.33%	0.00%	0.19%	0.00%	0.16%	0.00%	0.00%	0.00%	1.43%	0.65%	0.82%	0.00%	0.88%	0.00%	0.92%	1.56%	0.00%	0.00%	0.29%	0.13%	0.33%	0.35%	0.00%	0.00%	0.00%	0.00%	0.49%	1.73%	0.00%	0.00%	0.38%	0.63%	0.24%	0.00%	0.00%	0.88%	0.00%	0.00%	0.32%	0.00%	0.00%	0.90%	0.00%	0.42%	0.00%	1.32%	0.85%	0.99%	0.37%	0.32%	0.00%	0.00%	0.00%	0.38%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.22%	0.00%	0.00%	1.03%	0.18%	0.38%	0.93%	0.11%	0.00%	2.55%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	652	0	6	0	1	12	0	0	5	0	35	0	9	1	40	26	0	0	5	0	14	8	0	0	0	0	0	60	1	0	2	42	3	13	0	35	0	8	6	19	0	4	0	32	0	28	5	28	29	34	0	0	0	1	13	3	5	0	16	0	0	0	0	3	16	5	6	3	14	0	3	23	2	0	28	0									
		1.23%	0.00%	0.29%	0.00%	0.08%	9.92%	0.00%	0.00%	1.02%	0.00%	2.41%	0.00%	1.59%	0.11%	7.39%	2.39%	0.00%	0.00%	0.72%	0.00%	1.15%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	5.18%	0.10%	0.00%	0.25%	4.41%	0.73%	6.40%	0.00%	6.16%	0.00%	2.97%	0.96%	3.48%	0.00%	3.60%	0.00%	6.78%	0.00%	7.37%	2.13%	6.98%	5.31%	5.37%	0.00%	0.00%	0.00%	0.38%	4.33%	0.46%	1.76%	0.00%	10.13%	0.00%	0.00%	0.00%	0.00%	1.55%	2.85%	1.08%	1.95%	1.22%	2.89%	0.00%	0.58%	2.37%	0.23%	0.00%	5.94%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	395	0	23	0	3	0	0	0	11	18	30	0	6	1	33	15	0	0	4	1	13	3	0	52	0	0	11	21	1	0	2	19	3	5	0	8	0	2	3	0	0	3	0	4	0	6	0	10	9	14	0	0	1	0	5	1	0	0	4	0	0	0	0	2	4	3	0	0	17	0	4	15	3	0	2	0									
		0.74%	0.00%	1.09%	0.00%	0.25%	0.00%	0.00%	0.00%	2.24%	1.96%	2.06%	0.00%	1.06%	0.11%	6.10%	1.38%	0.00%	0.00%	0.57%	0.13%	1.07%	0.18%	0.00%	3.49%	0.00%	0.00%	1.08%	1.81%	0.10%	0.00%	0.25%	1.99%	0.73%	2.46%	0.00%	1.41%	0.00%	0.74%	0.48%	0.00%	0.00%	2.70%	0.00%	0.85%	0.00%	1.58%	0.00%	2.49%	1.65%	2.21%	0.00%	0.00%	0.22%	0.00%	1.67%	0.15%	0.00%	0.00%	2.53%	0.00%	0.00%	0.00%	0.00%	1.04%	0.71%	0.65%	0.00%	0.00%	3.51%	0.00%	0.77%	1.55%	0.34%	0.00%	0.42%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27062	926	1029	629	765	73	751	414	244	539	879	415	268	469	248	586	653	587	291	306	527	680	462	983	266	328	459	502	422	449	283	555	214	91	223	261	85	102	326	350	259	67	194	209	233	217	116	193	243	300	458	178	246	167	151	382	239	212	80	500	351	110	282	157	319	267	213	181	334	327	212	458	400	506	234	427									
		51.02%	59.36%	48.98%	51.77%	62.55%	60.33%	41.72%	55.05%	49.80%	58.78%	60.41%	52.40%	47.35%	51.77%	45.84%	53.81%	53.22%	49.37%	41.69%	38.25%	43.27%	40.09%	42.04%	65.88%	43.04%	45.62%	44.87%	43.31%	43.37%	47.87%	35.91%	58.30%	52.07%	44.83%	49.78%	45.95%	43.59%	37.92%	52.24%	64.10%	38.03%	60.36%	71.85%	44.28%	35.85%	57.11%	49.36%	48.13%	44.51%	47.39%	52.05%	92.23%	53.36%	63.98%	50.33%	58.95%	84.15%	54.22%	50.63%	48.40%	59.39%	61.80%	62.53%	81.35%	56.76%	57.54%	69.38%	73.58%	68.87%	58.19%	40.77%	47.22%	45.77%	61.33%	49.68%	43.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	500	3	29	0	3	0	0	0	1	5	12	0	2	1	4	12	4	0	9	12	5	2	26	1	0	0	6	5	17	0	2	8	1	2	56	61	48	30	7	30	0	0	0	0	0	1	7	1	5	14	0	0	2	1	0	2	0	2	0	0	6	0	0	0	6	4	2	0	5	1	4	3	10	12	8	0									
		0.94%	0.19%	1.38%	0.00%	0.25%	0.00%	0.00%	0.00%	0.20%	0.55%	0.82%	0.00%	0.35%	0.11%	0.74%	1.10%	0.33%	0.00%	1.29%	1.50%	0.41%	0.12%	2.37%	0.07%	0.00%	0.00%	0.59%	0.43%	1.75%	0.00%	0.25%	0.84%	0.24%	0.99%	12.50%	10.74%	24.62%	11.15%	1.12%	5.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	2.98%	0.25%	0.92%	2.21%	0.00%	0.00%	0.43%	0.38%	0.00%	0.31%	0.00%	0.51%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	1.07%	0.86%	0.65%	0.00%	1.03%	0.18%	0.77%	0.31%	1.14%	1.45%	1.70%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	85	0	3	0	0	0	0	0	2	1	6	0	6	1	1	4	0	0	5	1	1	4	0	0	0	0	1	5	0	0	0	3	0	0	0	9	0	0	0	0	0	0	0	4	0	0	3	0	1	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	1	1	3	1	0	0	0	0									
		0.16%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.11%	0.41%	0.00%	1.06%	0.11%	0.18%	0.37%	0.00%	0.00%	0.72%	0.13%	0.08%	0.24%	0.00%	0.00%	0.00%	0.00%	0.10%	0.43%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	1.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	1.28%	0.00%	0.18%	1.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.00%	0.00%	0.21%	0.18%	0.58%	0.10%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1407	19	8	0	2	20	0	0	5	0	107	0	23	11	62	53	0	0	31	10	21	43	43	1	0	0	9	63	30	48	8	101	31	24	0	29	0	57	4	9	0	10	5	30	0	30	2	8	79	41	0	3	3	3	10	6	14	2	12	0	18	13	0	2	40	8	6	2	48	7	10	18	15	0	16	74									
		2.65%	1.22%	0.38%	0.00%	0.16%	16.53%	0.00%	0.00%	1.02%	0.00%	7.35%	0.00%	4.06%	1.21%	11.46%	4.87%	0.00%	0.00%	4.44%	1.25%	1.72%	2.54%	3.91%	0.07%	0.00%	0.00%	0.88%	5.44%	3.08%	5.12%	1.02%	10.61%	7.54%	11.82%	0.00%	5.11%	0.00%	21.19%	0.64%	1.65%	0.00%	9.01%	1.85%	6.36%	0.00%	7.89%	0.85%	1.99%	14.47%	6.48%	0.00%	1.55%	0.65%	1.15%	3.33%	0.93%	4.93%	0.51%	7.59%	0.00%	3.05%	7.30%	0.00%	1.04%	7.12%	1.72%	1.95%	0.81%	9.90%	1.25%	1.92%	1.86%	1.72%	0.00%	3.40%	7.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	58	0	6	0	1	0	0	0	2	1	5	0	0	0	2	7	0	0	3	0	2	2	0	1	0	0	2	3	0	0	2	4	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	3	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0									
		0.11%	0.00%	0.29%	0.00%	0.08%	0.00%	0.00%	0.00%	0.41%	0.11%	0.34%	0.00%	0.00%	0.00%	0.37%	0.64%	0.00%	0.00%	0.43%	0.00%	0.16%	0.12%	0.00%	0.07%	0.00%	0.00%	0.20%	0.26%	0.00%	0.00%	0.25%	0.42%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.26%	0.00%	0.00%	0.55%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	113	0	2	0	4	0	0	0	8	9	7	0	8	0	1	13	0	0	2	0	0	3	0	1	0	0	4	12	1	0	2	8	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	1	1	3	2	3	0	0	0									
		0.21%	0.00%	0.10%	0.00%	0.33%	0.00%	0.00%	0.00%	1.63%	0.98%	0.48%	0.00%	1.41%	0.00%	0.18%	1.19%	0.00%	0.00%	0.29%	0.00%	0.00%	0.18%	0.00%	0.07%	0.00%	0.00%	0.39%	1.04%	0.10%	0.00%	0.25%	0.84%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.50%	0.18%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.22%	0.00%	0.00%	0.21%	0.18%	0.58%	0.21%	0.34%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	34	0	3	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	5	0	0	5	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0									
		0.06%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.07%	0.00%	0.53%	0.00%	0.00%	0.09%	0.00%	0.00%	0.72%	0.00%	0.00%	0.29%	0.00%	0.07%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.32%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.80%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.21%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	124	0	5	0	5	0	0	0	6	2	2	0	11	1	1	2	0	0	5	2	3	9	0	1	0	0	5	13	0	0	3	9	1	2	0	1	0	6	0	0	0	1	0	1	0	3	0	1	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	1	0	0	2	0	2	3	4	0	4	0									
		0.23%	0.00%	0.24%	0.00%	0.41%	0.00%	0.00%	0.00%	1.22%	0.22%	0.14%	0.00%	1.94%	0.11%	0.18%	0.18%	0.00%	0.00%	0.72%	0.25%	0.25%	0.53%	0.00%	0.07%	0.00%	0.00%	0.49%	1.12%	0.00%	0.00%	0.38%	0.95%	0.24%	0.99%	0.00%	0.18%	0.00%	2.23%	0.00%	0.00%	0.00%	0.90%	0.00%	0.21%	0.00%	0.79%	0.00%	0.25%	0.37%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.34%	0.00%	0.00%	0.52%	0.00%	0.22%	0.00%	0.00%	0.41%	0.00%	0.38%	0.31%	0.46%	0.00%	0.85%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	17965	610	832	496	362	13	720	285	179	329	311	302	159	326	115	300	388	421	217	252	512	677	451	424	175	320	490	389	411	407	243	149	99	36	163	109	50	55	221	122	379	20	61	154	408	81	84	72	147	181	343	12	155	62	110	170	25	145	34	461	149	49	138	23	154	139	51	56	51	192	196	370	332	304	136	401									
		33.87%	39.10%	39.60%	40.82%	29.60%	10.74%	40.00%	37.90%	36.53%	35.88%	21.37%	38.13%	28.09%	35.98%	21.26%	27.55%	31.62%	35.41%	31.09%	31.50%	42.04%	39.92%	41.04%	28.42%	28.32%	44.51%	47.90%	33.56%	42.24%	43.39%	30.84%	15.65%	24.09%	17.73%	36.38%	19.19%	25.64%	20.45%	35.42%	22.34%	55.65%	18.02%	22.59%	32.63%	62.77%	21.32%	35.74%	17.96%	26.92%	28.59%	38.98%	6.22%	33.62%	23.75%	36.67%	26.23%	8.80%	37.08%	21.52%	44.63%	25.21%	27.53%	30.60%	11.92%	27.40%	29.96%	16.61%	22.76%	10.52%	34.16%	37.69%	38.14%	37.99%	36.85%	28.87%	41.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	0	4	0	1	0	0	0	3	1	0	0	0	0	0	3	0	0	1	1	0	5	0	0	0	0	0	2	0	1	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	1	0	0	1	0	2	2	2	0	4	0									
		0.10%	0.00%	0.19%	0.00%	0.08%	0.00%	0.00%	0.00%	0.61%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.14%	0.13%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.11%	0.00%	0.32%	0.00%	0.00%	0.00%	0.18%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.75%	0.37%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.51%	0.00%	0.00%	0.00%	0.36%	0.22%	0.00%	0.00%	0.21%	0.00%	0.38%	0.21%	0.23%	0.00%	0.85%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4002	2	136	86	69	3	319	53	8	3	28	40	59	95	21	16	179	175	118	199	105	249	117	15	177	71	26	51	90	22	230	22	53	28	5	40	12	8	51	16	39	1	8	8	0	4	14	64	12	2	67	0	54	25	9	71	1	29	2	68	62	6	31	5	4	31	28	4	1	30	76	55	102	0	24	68									
		7.54%	0.13%	6.47%	7.08%	5.64%	2.48%	17.72%	7.05%	1.63%	0.33%	1.92%	5.05%	10.42%	10.49%	3.88%	1.47%	14.59%	14.72%	16.91%	24.88%	8.62%	14.68%	10.65%	1.01%	28.64%	9.87%	2.54%	4.40%	9.25%	2.35%	29.19%	2.31%	12.90%	13.79%	1.12%	7.04%	6.15%	2.97%	8.17%	2.93%	5.73%	0.90%	2.96%	1.69%	0.00%	1.05%	5.96%	15.96%	2.20%	0.32%	7.61%	0.00%	11.71%	9.58%	3.00%	10.96%	0.35%	7.42%	1.27%	6.58%	10.49%	3.37%	6.87%	2.59%	0.71%	6.68%	9.12%	1.63%	0.21%	5.34%	14.62%	5.67%	11.67%	0.00%	5.10%	6.97%									
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
