Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Истринская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №3580									
		2.60%	2.59%	1.66%	1.13%	1.22%	3.24%	2.60%	2.48%	2.62%	1.83%	2.28%	2.16%	2.69%	3.43%	2.69%	4.19%	1.85%	4.84%	2.07%	3.08%	0.93%	2.33%	1.86%	3.11%	4.06%	3.30%	2.47%	3.75%	3.22%	2.78%	2.90%	6.15%	2.43%	2.95%	3.13%	4.56%	0.45%	2.64%	3.00%	1.39%	3.23%	2.23%	2.53%	7.62%	1.68%	0.44%	1.18%	2.81%	2.44%	2.40%	2.63%	2.74%	1.59%	2.92%	3.05%	1.18%	2.63%	3.00%	4.71%	2.99%	5.30%	1.72%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15995	218	263	556	290	238	319	319	358	495	284	152	315	237	98	159	101	367	277	177	649	164	412	274	324	243	163	282	213	109	80	91	265	255	285	174	295	299	494	404	203	737	129	94	318	94	223	306	352	177	93	85	466	198	390	164	373	243	151	293	57	151									
		44.25%	35.28%	39.67%	52.50%	50.35%	29.64%	31.93%	39.53%	39.08%	53.23%	38.17%	32.90%	36.84%	36.92%	32.99%	41.62%	37.27%	42.33%	38.31%	38.99%	75.38%	38.23%	48.02%	40.59%	38.66%	38.21%	36.55%	37.75%	36.10%	50.46%	38.65%	46.67%	53.75%	47.05%	40.60%	39.64%	43.96%	43.84%	53.00%	55.96%	54.72%	60.86%	40.82%	44.76%	48.70%	41.78%	52.72%	42.92%	43.03%	42.55%	61.18%	58.22%	57.04%	52.52%	42.53%	38.86%	40.94%	40.50%	39.53%	46.14%	43.18%	43.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	484	14	9	10	8	10	7	1	11	8	9	10	8	9	2	11	3	25	10	8	3	10	6	12	15	11	8	21	10	1	2	1	2	2	9	10	12	7	12	10	4	12	8	3	12	2	3	5	7	3	1	0	7	8	18	7	11	13	8	4	0	11									
		1.34%	2.27%	1.36%	0.94%	1.39%	1.25%	0.70%	0.12%	1.20%	0.86%	1.21%	2.16%	0.94%	1.40%	0.67%	2.88%	1.11%	2.88%	1.38%	1.76%	0.35%	2.33%	0.70%	1.78%	1.79%	1.73%	1.79%	2.81%	1.69%	0.46%	0.97%	0.51%	0.41%	0.37%	1.28%	2.28%	1.79%	1.03%	1.29%	1.39%	1.08%	0.99%	2.53%	1.43%	1.84%	0.89%	0.71%	0.70%	0.86%	0.72%	0.66%	0.00%	0.86%	2.12%	1.96%	1.66%	1.21%	2.17%	2.09%	0.63%	0.00%	3.16%									
24	"6. Политическая партия ""Гражданская Платформа"""	79	1	1	0	1	2	3	1	0	1	1	1	2	0	0	3	0	2	1	0	2	1	2	2	2	2	1	2	1	0	0	0	2	1	1	0	0	3	6	2	3	7	1	0	0	0	1	1	2	0	0	0	3	1	0	1	2	2	3	1	0	1									
		0.22%	0.16%	0.15%	0.00%	0.17%	0.25%	0.30%	0.12%	0.00%	0.11%	0.13%	0.22%	0.23%	0.00%	0.00%	0.79%	0.00%	0.23%	0.14%	0.00%	0.23%	0.23%	0.23%	0.30%	0.24%	0.31%	0.22%	0.27%	0.17%	0.00%	0.00%	0.00%	0.41%	0.18%	0.14%	0.00%	0.00%	0.44%	0.64%	0.28%	0.81%	0.58%	0.32%	0.00%	0.00%	0.00%	0.24%	0.14%	0.24%	0.00%	0.00%	0.00%	0.37%	0.27%	0.00%	0.24%	0.22%	0.33%	0.79%	0.16%	0.00%	0.29%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5018	74	85	73	41	88	117	89	115	92	89	64	119	77	45	60	50	117	123	77	74	66	61	110	144	90	66	83	89	25	31	27	68	80	149	84	119	135	113	104	54	162	48	30	119	32	58	112	134	72	11	24	97	59	148	49	165	76	46	116	33	60									
		13.88%	11.97%	12.82%	6.89%	7.12%	10.96%	11.71%	11.03%	12.55%	9.89%	11.96%	13.85%	13.92%	11.99%	15.15%	15.71%	18.45%	13.49%	17.01%	16.96%	8.59%	15.38%	7.11%	16.30%	17.18%	14.15%	14.80%	11.11%	15.08%	11.57%	14.98%	13.85%	13.79%	14.76%	21.23%	19.13%	17.73%	19.79%	12.12%	14.40%	14.56%	13.38%	15.19%	14.29%	18.22%	14.22%	13.71%	15.71%	16.38%	17.31%	7.24%	16.44%	11.87%	15.65%	16.14%	11.61%	18.11%	12.67%	12.04%	18.27%	25.00%	17.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	361	7	6	11	4	6	18	7	11	5	10	4	8	10	4	11	0	9	7	8	2	6	8	11	8	12	5	15	5	1	0	0	2	6	7	3	2	3	8	4	4	6	10	1	5	3	1	5	3	3	0	0	9	1	6	16	10	11	5	5	0	3									
		0.99%	1.13%	0.90%	1.04%	0.69%	0.75%	1.80%	0.87%	1.20%	0.54%	1.34%	0.87%	0.94%	1.56%	1.35%	2.88%	0.00%	1.04%	0.97%	1.76%	0.23%	1.40%	0.93%	1.63%	0.95%	1.89%	1.12%	2.01%	0.85%	0.46%	0.00%	0.00%	0.41%	1.11%	0.99%	0.68%	0.30%	0.44%	0.86%	0.55%	1.08%	0.50%	3.16%	0.48%	0.77%	1.33%	0.24%	0.70%	0.37%	0.72%	0.00%	0.00%	1.10%	0.27%	0.65%	3.79%	1.10%	1.83%	1.31%	0.79%	0.00%	0.86%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	662	12	8	14	13	15	32	15	22	9	11	10	24	16	6	10	3	25	13	4	6	4	7	8	15	12	10	29	9	3	4	4	6	10	6	5	11	19	13	4	4	9	11	5	5	4	14	15	5	2	0	1	17	0	17	26	16	25	14	16	1	8									
		1.83%	1.94%	1.21%	1.32%	2.26%	1.87%	3.20%	1.86%	2.40%	0.97%	1.48%	2.16%	2.81%	2.49%	2.02%	2.62%	1.11%	2.88%	1.80%	0.88%	0.70%	0.93%	0.82%	1.19%	1.79%	1.89%	2.24%	3.88%	1.53%	1.39%	1.93%	2.05%	1.22%	1.85%	0.85%	1.14%	1.64%	2.79%	1.39%	0.55%	1.08%	0.74%	3.48%	2.38%	0.77%	1.78%	3.31%	2.10%	0.61%	0.48%	0.00%	0.68%	2.08%	0.00%	1.85%	6.16%	1.76%	4.17%	3.66%	2.52%	0.76%	2.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	61	1	0	1	0	3	1	1	5	1	0	0	0	0	0	2	2	2	10	2	1	0	0	1	4	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0	2	0	1	1	2	3	0	2									
		0.17%	0.16%	0.00%	0.09%	0.00%	0.37%	0.10%	0.12%	0.55%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.74%	0.23%	1.38%	0.44%	0.12%	0.00%	0.00%	0.15%	0.48%	0.00%	0.22%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.18%	0.14%	0.00%	0.15%	0.15%	0.11%	0.00%	0.54%	0.08%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.24%	0.00%	0.00%	0.12%	0.00%	0.22%	0.00%	0.11%	0.17%	0.52%	0.47%	0.00%	0.57%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1170	23	24	38	24	36	53	40	35	26	30	18	34	26	9	11	4	38	31	11	14	11	40	25	39	36	22	49	10	1	8	4	9	8	10	7	17	11	18	14	1	16	24	3	8	9	9	19	19	7	0	1	13	6	15	48	34	35	6	11	5	17									
		3.24%	3.72%	3.62%	3.59%	4.17%	4.48%	5.31%	4.96%	3.82%	2.80%	4.03%	3.90%	3.98%	4.05%	3.03%	2.88%	1.48%	4.38%	4.29%	2.42%	1.63%	2.56%	4.66%	3.70%	4.65%	5.66%	4.93%	6.56%	1.69%	0.46%	3.86%	2.05%	1.83%	1.48%	1.42%	1.59%	2.53%	1.61%	1.93%	1.94%	0.27%	1.32%	7.59%	1.43%	1.23%	4.00%	2.13%	2.66%	2.32%	1.68%	0.00%	0.68%	1.59%	1.59%	1.64%	11.37%	3.73%	5.83%	1.57%	1.73%	3.79%	4.89%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7121	159	165	249	141	267	267	219	219	217	189	132	178	168	79	46	72	141	162	104	68	98	253	130	124	133	101	163	145	44	41	24	74	95	97	85	107	108	132	111	53	167	45	34	101	54	57	143	160	71	27	14	124	56	169	52	161	90	80	93	18	45									
		19.70%	25.73%	24.89%	23.51%	24.48%	33.25%	26.73%	27.14%	23.91%	23.33%	25.40%	28.57%	20.82%	26.17%	26.60%	12.04%	26.57%	16.26%	22.41%	22.91%	7.90%	22.84%	29.49%	19.26%	14.80%	20.91%	22.65%	21.82%	24.58%	20.37%	19.81%	12.31%	15.01%	17.53%	13.82%	19.36%	15.95%	15.84%	14.16%	15.37%	14.29%	13.79%	14.24%	16.19%	15.47%	24.00%	13.48%	20.06%	19.56%	17.07%	17.76%	9.59%	15.18%	14.85%	18.43%	12.32%	17.67%	15.00%	20.94%	14.65%	13.64%	12.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	268	2	2	4	0	5	5	2	9	7	6	3	7	7	1	7	4	7	4	5	0	8	5	4	3	5	6	2	1	1	2	5	0	4	2	4	9	4	9	4	0	3	3	0	6	0	2	13	27	12	3	1	2	3	4	0	5	5	5	4	0	5									
		0.74%	0.32%	0.30%	0.38%	0.00%	0.62%	0.50%	0.25%	0.98%	0.75%	0.81%	0.65%	0.82%	1.09%	0.34%	1.83%	1.48%	0.81%	0.55%	1.10%	0.00%	1.86%	0.58%	0.59%	0.36%	0.79%	1.35%	0.27%	0.17%	0.46%	0.97%	2.56%	0.00%	0.74%	0.28%	0.91%	1.34%	0.59%	0.97%	0.55%	0.00%	0.25%	0.95%	0.00%	0.92%	0.00%	0.47%	1.82%	3.30%	2.88%	1.97%	0.68%	0.24%	0.80%	0.44%	0.00%	0.55%	0.83%	1.31%	0.63%	0.00%	1.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1074	31	24	26	14	24	35	26	35	17	28	10	38	24	10	22	5	40	18	12	14	12	12	33	26	19	10	28	21	5	7	0	14	17	23	13	22	19	24	16	2	16	9	8	14	11	21	20	21	20	3	1	13	7	29	10	32	18	12	17	4	12									
		2.97%	5.02%	3.62%	2.46%	2.43%	2.99%	3.50%	3.22%	3.82%	1.83%	3.76%	2.16%	4.44%	3.74%	3.37%	5.76%	1.85%	4.61%	2.49%	2.64%	1.63%	2.80%	1.40%	4.89%	3.10%	2.99%	2.24%	3.75%	3.56%	2.31%	3.38%	0.00%	2.84%	3.14%	3.28%	2.96%	3.28%	2.79%	2.58%	2.22%	0.54%	1.32%	2.85%	3.81%	2.14%	4.89%	4.96%	2.81%	2.57%	4.81%	1.97%	0.68%	1.59%	1.86%	3.16%	2.37%	3.51%	3.00%	3.14%	2.68%	3.03%	3.45%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
