Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																														
Дата голосования: 07.12.2003 0:00:00																																																																														
																																																																														
Наименование Избирательной комиссии:    Иркутская																																																																														
																																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																														
																																																																														
		Сумма	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	4	10	10	8	2	6	6	2	13	5	7	2	2	3	1	1	16	14	9	5	9	3	1	4	27	5	5	5	1	2	7	2	1	6	4	2	17	3	12	5	5	7	0	1	4	9	2	2	2	2	14	25	8	2	5	3	3	20	23	14	4	4	7	3	2	2	25	34	9	11	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	131	4	8	10	8	0	6	6	0	1	3	1	1	0	0	0	0	5	1	1	0	2	1	0	0	4	0	0	0	0	0	3	0	0	1	0	0	4	0	0	0	0	4	0	0	3	2	1	0	2	1	6	4	0	0	0	0	0	0	5	3	0	0	2	0	0	0	4	10	6	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	220	1	6	18	18	28	2	6	23	4	3	0	0	0	0	0	0	1	0	2	0	1	1	0	2	4	2	0	2	0	0	0	3	0	2	1	0	4	1	7	0	0	2	1	3	0	3	0	1	0	1	5	8	0	1	0	6	1	6	3	4	3	0	0	1	0	6	6	5	0	11	1					
14	Число погашенных открепительных удостоверений	369	0	2	0	0	2	0	0	2	12	2	6	1	2	3	1	1	11	13	8	5	7	2	1	4	23	5	5	5	1	2	4	2	1	5	4	2	13	3	12	5	5	3	0	1	1	7	1	2	0	1	8	21	8	2	5	3	3	20	18	11	4	4	5	3	2	2	21	24	3	3	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	"1. ""ЕДИНЕНИЕ"""	291	0	2	2	4	1	10	5	0	13	5	7	1	1	4	1	0	9	6	5	5	3	1	0	3	6	10	2	1	0	1	8	3	0	2	1	1	5	2	15	7	9	5	1	1	3	4	0	1	3	3	6	4	5	0	8	0	1	9	5	5	2	2	5	2	0	3	17	16	11	8	0					
		1.51%	0.0%	0.30%	0.51%	2.94%	0.61%	2.21%	2.19%	0.0%	2.27%	2.15%	2.58%	1.19%	0.77%	2.94%	1.42%	0.0%	1.24%	1.25%	1.78%	2.87%	0.94%	0.59%	0.0%	1.25%	0.81%	5.43%	1.19%	0.56%	0.0%	1.08%	3.79%	2.94%	0.0%	0.81%	0.69%	0.86%	0.84%	1.61%	3.27%	2.67%	3.16%	1.38%	1.0%	2.70%	2.77%	1.22%	0.0%	1.14%	2.88%	3.12%	0.99%	0.50%	2.04%	0.0%	3.37%	0.0%	0.86%	1.69%	0.69%	1.06%	1.58%	1.36%	1.68%	1.25%	0.0%	2.32%	1.99%	1.63%	2.85%	2.01%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	477	6	37	8	6	3	20	9	2	3	1	1	1	0	1	1	0	20	9	4	3	6	2	0	0	8	3	1	0	0	1	3	4	0	5	0	1	18	3	12	2	15	8	3	1	0	12	0	1	2	0	22	17	0	0	21	5	2	11	18	6	3	14	3	2	0	5	23	47	20	12	0					
		2.48%	3.20%	5.70%	2.07%	4.41%	1.85%	4.43%	3.94%	1.26%	0.52%	0.43%	0.36%	1.19%	0.0%	0.73%	1.42%	0.0%	2.77%	1.87%	1.42%	1.72%	1.89%	1.19%	0.0%	0.0%	1.08%	1.63%	0.59%	0.0%	0.0%	1.08%	1.42%	3.92%	0.0%	2.04%	0.0%	0.86%	3.05%	2.41%	2.62%	0.76%	5.28%	2.20%	3.0%	2.70%	0.0%	3.68%	0.0%	1.14%	1.92%	0.0%	3.65%	2.16%	0.0%	0.0%	8.86%	2.95%	1.73%	2.07%	2.51%	1.27%	2.38%	9.58%	1.01%	1.25%	0.0%	3.87%	2.69%	4.80%	5.19%	3.02%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	501	13	3	18	0	1	3	8	3	9	5	6	3	3	3	1	0	15	11	5	1	9	4	3	4	25	4	4	3	1	3	8	4	4	7	10	2	13	6	15	10	8	7	3	0	2	8	0	4	0	0	20	18	5	1	2	4	6	14	17	10	3	5	8	5	3	3	20	29	19	26	1					
		2.60%	6.95%	0.46%	4.67%	0.0%	0.61%	0.66%	3.50%	1.89%	1.57%	2.15%	2.21%	3.57%	2.32%	2.20%	1.42%	0.0%	2.07%	2.29%	1.78%	0.57%	2.84%	2.39%	5.45%	1.67%	3.40%	2.17%	2.38%	1.69%	2.12%	3.26%	3.79%	3.92%	7.69%	2.86%	6.99%	1.73%	2.20%	4.83%	3.27%	3.81%	2.81%	1.93%	3.0%	0.0%	1.85%	2.45%	0.0%	4.59%	0.0%	0.0%	3.32%	2.29%	2.04%	0.92%	0.84%	2.36%	5.21%	2.64%	2.37%	2.13%	2.38%	3.42%	2.69%	3.12%	2.63%	2.32%	2.34%	2.96%	4.93%	6.54%	3.70%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	696	9	35	29	2	2	13	6	1	3	8	2	3	2	0	1	0	21	13	9	9	12	5	2	3	24	2	1	1	2	1	3	3	0	4	2	0	29	5	14	9	5	26	5	0	3	11	0	1	0	0	43	45	8	3	13	12	3	13	27	9	6	13	14	3	0	6	41	48	24	24	0					
		3.62%	4.81%	5.39%	7.53%	1.47%	1.23%	2.88%	2.63%	0.63%	0.52%	3.44%	0.73%	3.57%	1.55%	0.0%	1.42%	0.0%	2.90%	2.70%	3.21%	5.17%	3.79%	2.99%	3.63%	1.25%	3.26%	1.08%	0.59%	0.56%	4.25%	1.08%	1.42%	2.94%	0.0%	1.63%	1.39%	0.0%	4.92%	4.03%	3.05%	3.43%	1.76%	7.18%	5.0%	0.0%	2.77%	3.37%	0.0%	1.14%	0.0%	0.0%	7.14%	5.73%	3.26%	2.77%	5.48%	7.10%	2.60%	2.45%	3.77%	1.91%	4.76%	8.90%	4.71%	1.87%	0.0%	4.65%	4.80%	4.90%	6.23%	6.04%	0.0%					
22	"5. ""За Русь Святую"""	129	2	4	1	2	0	0	0	1	3	0	4	0	1	1	0	1	3	4	3	4	1	0	1	2	3	0	5	0	1	2	3	1	0	0	0	1	1	0	2	1	2	0	0	1	0	2	1	0	0	1	1	5	1	1	1	3	1	6	10	3	2	0	5	1	0	1	12	7	4	0	0					
		0.67%	1.06%	0.61%	0.25%	1.47%	0.0%	0.0%	0.0%	0.63%	0.52%	0.0%	1.47%	0.0%	0.77%	0.73%	0.0%	3.33%	0.41%	0.83%	1.07%	2.29%	0.31%	0.0%	1.81%	0.83%	0.40%	0.0%	2.97%	0.0%	2.12%	2.17%	1.42%	0.98%	0.0%	0.0%	0.0%	0.86%	0.16%	0.0%	0.43%	0.38%	0.70%	0.0%	0.0%	2.70%	0.0%	0.61%	1.13%	0.0%	0.0%	1.04%	0.16%	0.63%	0.40%	0.92%	0.42%	1.77%	0.86%	1.13%	1.39%	0.63%	1.58%	0.0%	1.68%	0.62%	0.0%	0.77%	1.40%	0.71%	1.03%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	71	2	2	1	1	1	1	1	0	2	0	1	0	0	0	1	1	4	3	1	1	2	1	0	0	2	0	0	0	0	2	0	0	0	0	1	0	2	2	0	0	0	2	1	1	0	0	1	0	0	1	4	1	2	0	0	0	0	5	1	2	2	2	0	0	1	0	2	5	3	0	0					
		0.36%	1.06%	0.30%	0.25%	0.73%	0.61%	0.22%	0.43%	0.0%	0.34%	0.0%	0.36%	0.0%	0.0%	0.0%	1.42%	3.33%	0.55%	0.62%	0.35%	0.57%	0.63%	0.59%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	2.17%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.33%	1.61%	0.0%	0.0%	0.0%	0.55%	1.0%	2.70%	0.0%	0.0%	1.13%	0.0%	0.0%	1.04%	0.66%	0.12%	0.81%	0.0%	0.0%	0.0%	0.0%	0.94%	0.13%	0.42%	1.58%	1.36%	0.0%	0.0%	0.87%	0.0%	0.23%	0.51%	0.77%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	141	2	7	5	1	1	16	4	0	0	0	2	1	1	0	1	0	4	2	1	1	3	1	1	1	3	0	0	1	0	2	0	0	0	0	0	0	4	1	1	4	0	1	0	2	1	6	2	1	0	0	4	4	2	2	5	2	1	7	1	4	1	0	0	2	0	0	11	8	1	2	0					
		0.73%	1.06%	1.07%	1.29%	0.73%	0.61%	3.54%	1.75%	0.0%	0.0%	0.0%	0.73%	1.19%	0.77%	0.0%	1.42%	0.0%	0.55%	0.41%	0.35%	0.57%	0.94%	0.59%	1.81%	0.41%	0.40%	0.0%	0.0%	0.56%	0.0%	2.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.80%	0.21%	1.52%	0.0%	0.27%	0.0%	5.40%	0.92%	1.84%	2.27%	1.14%	0.0%	0.0%	0.66%	0.50%	0.81%	1.85%	2.10%	1.18%	0.86%	1.32%	0.13%	0.85%	0.79%	0.0%	0.0%	1.25%	0.0%	0.0%	1.28%	0.81%	0.25%	0.50%	0.0%					
25	"8. ""Народно-республиканская партия России"""	35	0	0	1	0	0	2	0	0	2	0	0	1	0	1	0	0	1	0	0	1	2	2	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	2	2	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	1	1	1	0	0					
		0.18%	0.0%	0.0%	0.25%	0.0%	0.0%	0.44%	0.0%	0.0%	0.34%	0.0%	0.0%	1.19%	0.0%	0.73%	0.0%	0.0%	0.13%	0.0%	0.0%	0.57%	0.63%	1.19%	0.0%	0.83%	0.0%	0.0%	0.59%	0.0%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.38%	0.70%	0.55%	1.0%	5.40%	0.0%	0.0%	0.0%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	0.11%	0.10%	0.25%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	75	1	9	0	1	2	11	2	0	2	0	0	0	0	0	0	0	3	2	0	1	1	1	0	1	5	0	0	0	0	0	0	1	0	0	1	0	2	0	1	1	1	0	0	0	0	1	0	0	1	1	1	2	0	1	1	3	1	1	2	1	1	0	1	1	0	0	1	5	0	1	0					
		0.39%	0.53%	1.38%	0.0%	0.73%	1.23%	2.43%	0.87%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.41%	0.0%	0.57%	0.31%	0.59%	0.0%	0.41%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.69%	0.0%	0.33%	0.0%	0.21%	0.38%	0.35%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.96%	1.04%	0.16%	0.25%	0.0%	0.92%	0.42%	1.77%	0.86%	0.18%	0.27%	0.21%	0.79%	0.0%	0.33%	0.62%	0.0%	0.0%	0.11%	0.51%	0.0%	0.25%	0.0%					
27	"10. ""Аграрная партия России"""	714	13	40	7	0	0	3	2	0	9	6	8	13	1	1	1	0	31	21	8	10	19	7	2	18	36	15	16	12	0	12	7	7	0	8	2	6	15	5	28	15	10	14	5	0	6	4	3	0	3	5	25	37	3	0	5	4	2	31	16	28	4	4	16	5	2	9	20	37	7	5	0					
		3.71%	6.95%	6.16%	1.81%	0.0%	0.0%	0.66%	0.87%	0.0%	1.57%	2.58%	2.95%	15.47%	0.77%	0.73%	1.42%	0.0%	4.29%	4.37%	2.85%	5.74%	6.01%	4.19%	3.63%	7.53%	4.89%	8.15%	9.52%	6.77%	0.0%	13.04%	3.31%	6.86%	0.0%	3.27%	1.39%	5.21%	2.54%	4.03%	6.11%	5.72%	3.52%	3.86%	5.0%	0.0%	5.55%	1.22%	3.40%	0.0%	2.88%	5.20%	4.15%	4.71%	1.22%	0.0%	2.10%	2.36%	1.73%	5.84%	2.23%	5.97%	3.17%	2.73%	5.38%	3.12%	1.75%	6.97%	2.34%	3.77%	1.81%	1.25%	0.0%					
28	"11. ""Истинные патриоты России"""	22	0	3	0	0	0	2	0	2	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0					
		0.11%	0.0%	0.46%	0.0%	0.0%	0.0%	0.44%	0.0%	1.26%	0.17%	0.0%	0.36%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	2.12%	1.08%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.42%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	183	2	0	1	1	0	1	3	0	11	13	4	1	0	0	1	0	6	5	1	0	4	4	1	2	7	0	1	4	3	1	2	0	0	2	2	1	3	0	7	2	4	7	3	0	0	2	0	1	1	2	3	5	2	4	3	1	1	6	3	7	0	0	1	6	0	2	8	7	6	2	0					
		0.95%	1.06%	0.0%	0.25%	0.73%	0.0%	0.22%	1.31%	0.0%	1.92%	5.60%	1.47%	1.19%	0.0%	0.0%	1.42%	0.0%	0.83%	1.04%	0.35%	0.0%	1.26%	2.39%	1.81%	0.83%	0.95%	0.0%	0.59%	2.25%	6.38%	1.08%	0.94%	0.0%	0.0%	0.81%	1.39%	0.86%	0.50%	0.0%	1.52%	0.76%	1.40%	1.93%	3.0%	0.0%	0.0%	0.61%	0.0%	1.14%	0.96%	2.08%	0.49%	0.63%	0.81%	3.70%	1.26%	0.59%	0.86%	1.13%	0.41%	1.49%	0.0%	0.0%	0.33%	3.75%	0.0%	1.55%	0.93%	0.71%	1.55%	0.50%	0.0%					
30	"13. ""Демократическая партия России"""	57	1	0	0	0	0	1	1	0	2	1	2	0	0	0	3	0	0	0	1	1	0	0	0	1	5	0	0	0	0	1	1	1	0	0	0	0	2	2	4	1	0	0	2	0	2	2	0	3	0	3	0	2	3	0	2	0	1	0	2	0	1	0	0	2	0	0	1	0	0	0	0					
		0.29%	0.53%	0.0%	0.0%	0.0%	0.0%	0.22%	0.43%	0.0%	0.34%	0.43%	0.73%	0.0%	0.0%	0.0%	4.28%	0.0%	0.0%	0.0%	0.35%	0.57%	0.0%	0.0%	0.0%	0.41%	0.68%	0.0%	0.0%	0.0%	0.0%	1.08%	0.47%	0.98%	0.0%	0.0%	0.0%	0.0%	0.33%	1.61%	0.87%	0.38%	0.0%	0.0%	2.0%	0.0%	1.85%	0.61%	0.0%	3.44%	0.0%	3.12%	0.0%	0.25%	1.22%	0.0%	0.84%	0.0%	0.86%	0.0%	0.27%	0.0%	0.79%	0.0%	0.0%	1.25%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	47	0	0	1	2	0	2	2	0	1	2	2	0	0	1	0	0	2	0	0	0	1	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	2	0	2	4	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	3	1	1	1					
		0.24%	0.0%	0.0%	0.25%	1.47%	0.0%	0.44%	0.87%	0.0%	0.17%	0.86%	0.73%	0.0%	0.0%	0.73%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.83%	0.13%	0.0%	0.0%	0.0%	2.12%	0.0%	0.0%	0.98%	0.0%	0.0%	0.69%	0.0%	0.33%	0.0%	0.43%	1.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.33%	0.12%	0.0%	0.0%	0.42%	0.59%	0.0%	0.0%	0.13%	0.21%	0.0%	0.0%	0.33%	0.62%	0.0%	0.0%	0.11%	0.30%	0.25%	0.25%	3.70%					
32	"15. ""Партия СЛОН"""	21	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.53%	0.0%	0.25%	0.0%	0.61%	0.22%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	1.14%	0.31%	0.0%	0.0%	0.0%	0.0%	1.63%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.35%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1081	11	54	36	1	2	20	18	1	15	10	12	5	5	2	0	0	33	25	22	5	9	3	0	4	36	4	10	1	0	3	15	12	0	18	2	0	51	13	30	23	21	26	3	0	6	19	1	0	1	3	44	40	18	20	23	5	1	33	31	28	8	9	17	9	2	8	91	55	15	32	1					
		5.63%	5.88%	8.32%	9.35%	0.73%	1.23%	4.43%	7.89%	0.63%	2.62%	4.31%	4.42%	5.95%	3.87%	1.47%	0.0%	0.0%	4.57%	5.20%	7.85%	2.87%	2.84%	1.79%	0.0%	1.67%	4.89%	2.17%	5.95%	0.56%	0.0%	3.26%	7.10%	11.76%	0.0%	7.37%	1.39%	0.0%	8.65%	10.48%	6.55%	8.77%	7.39%	7.18%	3.0%	0.0%	5.55%	5.82%	1.13%	0.0%	0.96%	3.12%	7.30%	5.09%	7.34%	18.51%	9.70%	2.95%	0.86%	6.22%	4.33%	5.97%	6.34%	6.16%	5.72%	5.62%	1.75%	6.20%	10.65%	5.61%	3.89%	8.06%	3.70%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	90	0	0	1	2	0	5	2	0	2	1	1	0	3	0	1	1	1	5	0	0	1	0	1	2	3	0	3	0	0	1	2	1	2	1	0	2	0	1	2	1	5	0	1	0	0	1	0	1	0	0	1	2	0	2	2	0	0	4	2	3	1	6	0	1	0	2	4	1	3	0	0					
		0.46%	0.0%	0.0%	0.25%	1.47%	0.0%	1.10%	0.87%	0.0%	0.34%	0.43%	0.36%	0.0%	2.32%	0.0%	1.42%	3.33%	0.13%	1.04%	0.0%	0.0%	0.31%	0.0%	1.81%	0.83%	0.40%	0.0%	1.78%	0.0%	0.0%	1.08%	0.94%	0.98%	3.84%	0.40%	0.0%	1.73%	0.0%	0.80%	0.43%	0.38%	1.76%	0.0%	1.0%	0.0%	0.0%	0.30%	0.0%	1.14%	0.0%	0.0%	0.16%	0.25%	0.0%	1.85%	0.84%	0.0%	0.0%	0.75%	0.27%	0.63%	0.79%	4.10%	0.0%	0.62%	0.0%	1.55%	0.46%	0.10%	0.77%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2928	23	67	38	17	21	100	35	7	66	20	29	7	13	7	12	1	112	73	55	36	23	30	6	40	123	27	23	22	8	12	41	18	18	21	28	13	86	23	67	24	29	47	7	3	21	87	14	13	15	10	122	128	47	11	43	19	29	94	156	83	22	16	54	17	15	20	89	196	72	52	5					
		15.25%	12.29%	10.32%	9.87%	12.49%	12.96%	22.17%	15.35%	4.43%	11.53%	8.62%	10.70%	8.33%	10.07%	5.14%	17.14%	3.33%	15.51%	15.20%	19.64%	20.68%	7.27%	17.96%	10.90%	16.73%	16.73%	14.67%	13.69%	12.42%	17.02%	13.04%	19.43%	17.64%	34.61%	8.60%	19.58%	11.30%	14.60%	18.54%	14.62%	9.16%	10.21%	12.98%	7.0%	8.10%	19.44%	26.68%	15.90%	14.94%	14.42%	10.41%	20.26%	16.30%	19.18%	10.18%	18.14%	11.24%	25.21%	17.73%	21.81%	17.69%	17.46%	10.95%	18.18%	10.62%	13.15%	15.50%	10.42%	20.02%	18.70%	13.09%	18.51%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	419	2	40	13	2	1	3	5	0	14	1	2	2	2	3	0	3	24	10	7	1	5	2	1	7	31	5	4	3	1	0	8	4	0	3	1	3	15	0	5	4	7	5	4	0	2	3	3	2	0	0	14	21	3	0	5	3	30	6	23	5	3	0	5	2	1	0	10	16	5	3	1					
