Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Оренбургская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №748	УИК №749	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	542	14	8	5	0	2	1	8	8	11	1	0	6	10	10	9	6	30	31	8	14	5	6	6	11	6	9	13	9	1	14	4	19	25	25	9	3	14	12	6	1	1	17	19	5	11	12	8	12	1	1	1	0	3	1	4	1	0	0	37	4	18	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	540	14	8	5	0	2	1	8	8	10	1	0	6	10	10	9	6	30	31	7	14	5	6	6	11	6	9	13	9	1	14	4	19	25	25	9	3	14	12	6	1	1	17	19	5	11	12	8	12	1	1	1	0	3	1	4	1	0	0	37	4	18	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	740	13	43	1	1	2	2	1	3	8	2	5	7	2	17	218	5	22	9	14	7	4	26	6	1	3	1	1	2	2	22	4	55	18	5	6	0	6	5	2	3	1	11	45	1	39	10	2	3	1	2	1	2	3	15	3	1	2	3	26	4	10	1									
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	174	3	5	0	0	0	0	2	1	5	2	2	2	1	1	2	7	13	14	2	2	0	3	1	6	6	1	2	0	1	1	1	8	6	3	1	1	1	1	1	0	0	20	9	0	5	3	1	0	0	0	0	2	5	1	2	2	0	1	10	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	282	9	7	2	0	0	1	3	1	4	0	1	3	3	5	12	4	11	7	3	4	4	4	1	8	8	4	1	3	1	2	5	12	14	7	7	1	7	9	1	2	5	9	9	2	21	7	3	0	3	4	0	0	1	5	0	0	0	0	19	0	7	6									
		1.05%	1.57%	1.22%	0.60%	0.00%	0.00%	0.35%	2.59%	0.33%	0.86%	0.00%	0.37%	0.83%	1.15%	0.81%	1.40%	0.71%	1.65%	0.81%	0.63%	0.75%	1.63%	0.63%	0.27%	1.10%	0.97%	1.11%	0.28%	1.35%	0.98%	0.31%	1.85%	1.90%	1.64%	1.02%	1.03%	0.70%	0.94%	2.03%	0.40%	1.49%	8.77%	1.37%	0.92%	0.99%	2.36%	0.80%	0.75%	0.00%	0.65%	2.63%	0.00%	0.00%	0.33%	0.89%	0.00%	0.00%	0.00%	0.00%	1.95%	0.00%	0.91%	1.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	786	18	17	9	6	3	9	2	15	8	8	11	13	7	9	19	16	17	20	6	10	7	26	21	24	21	19	12	13	7	19	8	10	12	9	17	4	23	20	14	5	0	13	15	2	30	32	8	3	27	8	3	1	8	22	14	4	6	8	19	8	30	11									
		2.92%	3.15%	2.97%	2.71%	4.58%	2.91%	3.16%	1.72%	4.92%	1.72%	5.23%	4.04%	3.60%	2.67%	1.46%	2.22%	2.86%	2.55%	2.33%	1.25%	1.88%	2.86%	4.08%	5.75%	3.29%	2.55%	5.28%	3.32%	5.83%	6.86%	2.94%	2.95%	1.59%	1.41%	1.31%	2.51%	2.82%	3.10%	4.50%	5.56%	3.73%	0.00%	1.98%	1.54%	0.99%	3.37%	3.66%	2.01%	1.48%	5.86%	5.26%	1.94%	1.25%	2.68%	3.93%	3.23%	5.19%	5.36%	5.41%	1.95%	4.37%	3.92%	2.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	403	6	10	1	6	0	3	6	3	11	0	6	6	4	15	12	7	13	13	8	5	3	7	5	11	11	6	6	5	0	13	2	11	25	10	7	4	17	5	1	3	0	8	11	1	11	15	2	3	5	2	0	0	4	9	6	0	1	3	18	2	10	5									
		1.50%	1.05%	1.75%	0.30%	4.58%	0.00%	1.05%	5.17%	0.98%	2.37%	0.00%	2.21%	1.66%	1.53%	2.43%	1.40%	1.25%	1.95%	1.51%	1.67%	0.94%	1.22%	1.10%	1.37%	1.51%	1.33%	1.67%	1.66%	2.24%	0.00%	2.01%	0.74%	1.75%	2.93%	1.45%	1.03%	2.82%	2.29%	1.13%	0.40%	2.24%	0.00%	1.22%	1.13%	0.50%	1.23%	1.72%	0.50%	1.48%	1.08%	1.32%	0.00%	0.00%	1.34%	1.61%	1.39%	0.00%	0.89%	2.03%	1.85%	1.09%	1.31%	1.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11995	228	253	240	73	73	140	34	129	210	90	119	166	119	277	393	225	249	307	222	275	111	346	166	287	329	129	132	92	61	249	122	258	340	380	304	56	333	191	149	61	29	239	498	130	370	358	206	120	208	64	82	47	118	251	213	42	74	81	392	74	334	147									
		44.60%	39.86%	44.15%	72.29%	55.73%	70.87%	49.12%	29.31%	42.30%	45.16%	58.82%	43.75%	45.98%	45.42%	44.89%	45.91%	40.18%	37.39%	35.70%	46.25%	51.69%	45.31%	54.32%	45.48%	39.37%	39.88%	35.83%	36.57%	41.26%	59.80%	38.49%	45.02%	40.95%	39.91%	55.23%	44.90%	39.44%	44.88%	43.02%	59.13%	45.52%	50.88%	36.38%	51.08%	64.68%	41.53%	40.96%	51.63%	59.11%	45.12%	42.11%	52.90%	58.75%	39.46%	44.82%	49.19%	54.55%	66.07%	54.73%	40.33%	40.44%	43.60%	35.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	147	10	3	0	0	0	2	0	0	2	0	1	3	3	1	8	5	5	6	1	0	1	1	0	0	7	1	2	0	0	0	1	6	16	3	4	0	3	5	0	0	0	4	7	1	8	6	0	0	1	0	2	0	1	3	2	0	0	1	5	0	5	1									
		0.55%	1.75%	0.52%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.43%	0.00%	0.37%	0.83%	1.15%	0.16%	0.93%	0.89%	0.75%	0.70%	0.21%	0.00%	0.41%	0.16%	0.00%	0.00%	0.85%	0.28%	0.55%	0.00%	0.00%	0.00%	0.37%	0.95%	1.88%	0.44%	0.59%	0.00%	0.40%	1.13%	0.00%	0.00%	0.00%	0.61%	0.72%	0.50%	0.90%	0.69%	0.00%	0.00%	0.22%	0.00%	1.29%	0.00%	0.33%	0.54%	0.46%	0.00%	0.00%	0.68%	0.51%	0.00%	0.65%	0.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	39	0	2	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	3	2	0	0	0	0	4	0	0	1	0	1	1	2	0	1	2	0	0	0	0	0	0	4	0	1	3	1	0	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0									
		0.14%	0.00%	0.35%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.22%	0.00%	0.37%	0.00%	0.00%	0.00%	0.12%	0.18%	0.00%	0.00%	0.63%	0.38%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.45%	0.00%	0.15%	0.37%	0.32%	0.00%	0.15%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.50%	0.34%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.46%	1.30%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6213	129	120	30	20	9	69	38	79	124	21	55	90	74	162	198	157	203	270	126	143	77	130	79	189	228	103	88	52	12	152	83	157	157	124	129	12	157	96	31	45	8	156	211	32	197	220	76	35	103	16	37	9	83	113	81	7	7	23	253	52	166	110									
		23.10%	22.55%	20.94%	9.04%	15.27%	8.74%	24.21%	32.76%	25.90%	26.67%	13.73%	20.22%	24.93%	28.24%	26.26%	23.13%	28.04%	30.48%	31.40%	26.25%	26.88%	31.43%	20.41%	21.64%	25.93%	27.64%	28.61%	24.38%	23.32%	11.76%	23.49%	30.63%	24.92%	18.43%	18.02%	19.05%	8.45%	21.16%	21.62%	12.30%	33.58%	14.04%	23.74%	21.64%	15.92%	22.11%	25.17%	19.05%	17.24%	22.34%	10.53%	23.87%	11.25%	27.76%	20.18%	18.71%	9.09%	6.25%	15.54%	26.03%	28.42%	21.67%	26.51%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	187	12	2	6	0	0	2	4	1	1	1	2	0	1	5	7	3	6	2	4	2	0	6	1	2	7	3	1	0	0	5	0	5	10	5	2	0	3	4	0	0	0	12	5	6	13	5	0	1	2	1	0	0	0	3	4	0	0	0	9	2	6	3									
		0.70%	2.10%	0.35%	1.81%	0.00%	0.00%	0.70%	3.45%	0.33%	0.22%	0.65%	0.74%	0.00%	0.38%	0.81%	0.82%	0.54%	0.90%	0.23%	0.83%	0.38%	0.00%	0.94%	0.27%	0.27%	0.85%	0.83%	0.28%	0.00%	0.00%	0.77%	0.00%	0.79%	1.17%	0.73%	0.30%	0.00%	0.40%	0.90%	0.00%	0.00%	0.00%	1.83%	0.51%	2.99%	1.46%	0.57%	0.00%	0.49%	0.43%	0.66%	0.00%	0.00%	0.00%	0.54%	0.92%	0.00%	0.00%	0.00%	0.93%	1.09%	0.78%	0.72%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	334	15	14	0	1	0	1	0	2	2	0	1	2	2	5	9	7	16	13	4	3	0	0	1	9	5	6	4	3	0	8	0	17	38	4	5	0	10	10	1	1	0	23	14	1	10	13	11	1	2	0	0	8	0	3	3	0	1	1	14	3	3	4									
		1.24%	2.62%	2.44%	0.00%	0.76%	0.00%	0.35%	0.00%	0.66%	0.43%	0.00%	0.37%	0.55%	0.76%	0.81%	1.05%	1.25%	2.40%	1.51%	0.83%	0.56%	0.00%	0.00%	0.27%	1.23%	0.61%	1.67%	1.11%	1.35%	0.00%	1.24%	0.00%	2.70%	4.46%	0.58%	0.74%	0.00%	1.35%	2.25%	0.40%	0.75%	0.00%	3.50%	1.44%	0.50%	1.12%	1.49%	2.76%	0.49%	0.43%	0.00%	0.00%	10.00%	0.00%	0.54%	0.69%	0.00%	0.89%	0.68%	1.44%	1.64%	0.39%	0.96%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	2	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	2	0	1	0	0	0	2	0	1	1	0	0	2	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	4	1	2	1									
		0.13%	0.35%	0.35%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.12%	0.18%	0.15%	0.00%	0.21%	0.00%	0.41%	0.00%	0.00%	0.14%	0.24%	0.00%	0.28%	0.00%	0.00%	0.00%	0.74%	0.00%	0.12%	0.15%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.15%	0.10%	0.00%	0.00%	0.23%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.89%	0.00%	0.41%	0.55%	0.26%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	467	15	14	2	1	0	3	6	4	4	1	4	1	4	5	15	9	12	24	6	2	3	2	3	7	10	3	7	0	0	17	4	21	46	0	2	0	13	6	0	0	0	32	43	1	28	22	2	0	0	1	3	0	1	3	3	1	0	0	29	0	15	7									
		1.74%	2.62%	2.44%	0.60%	0.76%	0.00%	1.05%	5.17%	1.31%	0.86%	0.65%	1.47%	0.28%	1.53%	0.81%	1.75%	1.61%	1.80%	2.79%	1.25%	0.38%	1.22%	0.31%	0.82%	0.96%	1.21%	0.83%	1.94%	0.00%	0.00%	2.63%	1.48%	3.33%	5.40%	0.00%	0.30%	0.00%	1.75%	1.35%	0.00%	0.00%	0.00%	4.87%	4.41%	0.50%	3.14%	2.52%	0.50%	0.00%	0.00%	0.66%	1.94%	0.00%	0.33%	0.54%	0.69%	1.30%	0.00%	0.00%	2.98%	0.00%	1.96%	1.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4111	91	80	31	18	13	26	13	46	73	25	52	53	27	85	116	86	88	130	64	56	25	80	69	150	134	67	77	37	16	127	24	94	127	83	164	56	125	66	29	11	10	96	88	9	142	125	66	31	85	45	18	12	55	101	72	13	11	28	148	25	112	85									
		15.28%	15.91%	13.96%	9.34%	13.74%	12.62%	9.12%	11.21%	15.08%	15.70%	16.34%	19.12%	14.68%	10.31%	13.78%	13.55%	15.36%	13.21%	15.12%	13.33%	10.53%	10.20%	12.56%	18.90%	20.58%	16.24%	18.61%	21.33%	16.59%	15.69%	19.63%	8.86%	14.92%	14.91%	12.06%	24.22%	39.44%	16.85%	14.86%	11.51%	8.21%	17.54%	14.61%	9.03%	4.48%	15.94%	14.30%	16.54%	15.27%	18.44%	29.61%	11.61%	15.00%	18.39%	18.04%	16.63%	16.88%	9.82%	18.92%	15.23%	13.66%	14.62%	20.48%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	4	7	0	0	0	2	1	0	2	0	1	1	0	3	4	2	5	5	1	2	1	1	1	1	2	2	0	3	0	5	0	3	5	3	3	1	3	0	1	1	0	7	7	0	4	4	1	0	2	0	0	0	0	4	6	0	0	0	7	0	2	2									
		0.45%	0.70%	1.22%	0.00%	0.00%	0.00%	0.70%	0.86%	0.00%	0.43%	0.00%	0.37%	0.28%	0.00%	0.49%	0.47%	0.36%	0.75%	0.58%	0.21%	0.38%	0.41%	0.16%	0.27%	0.14%	0.24%	0.56%	0.00%	1.35%	0.00%	0.77%	0.00%	0.48%	0.59%	0.44%	0.44%	0.70%	0.40%	0.00%	0.40%	0.75%	0.00%	1.07%	0.72%	0.00%	0.45%	0.46%	0.25%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.71%	1.39%	0.00%	0.00%	0.00%	0.72%	0.00%	0.26%	0.48%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1174	25	31	8	5	1	14	8	21	20	1	10	17	9	28	50	22	29	52	18	16	10	25	12	24	34	11	21	8	5	35	7	25	50	31	16	7	19	17	17	2	3	46	52	12	43	42	13	3	7	6	4	1	13	22	8	1	3	0	43	9	60	22									
		4.36%	4.37%	5.41%	2.41%	3.82%	0.97%	4.91%	6.90%	6.89%	4.30%	0.65%	3.68%	4.71%	3.44%	4.54%	5.84%	3.93%	4.35%	6.05%	3.75%	3.01%	4.08%	3.92%	3.29%	3.29%	4.12%	3.06%	5.82%	3.59%	4.90%	5.41%	2.58%	3.97%	5.87%	4.51%	2.36%	4.93%	2.56%	3.83%	6.75%	1.49%	5.26%	7.00%	5.33%	5.97%	4.83%	4.81%	3.26%	1.48%	1.52%	3.95%	2.58%	1.25%	4.35%	3.93%	1.85%	1.30%	2.68%	0.00%	4.42%	4.92%	7.83%	5.30%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
