Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Благовещенская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	117	5	3	3	10	0	4	2	2	4	2	2	8	5	5	7	5	11	5	4	3	5	2	6	4	2	2	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	0	0	0	4	0	0	0	0	1	0	0	5	1	0	5	1	6	0	0	0	0	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	5	0	1	2	2	2	6	0	3	0	1	0	3	3	2	2	1	1	1	0	2	1	0	1	1	3	1	2					
14	Число погашенных открепительных удостоверений	93	5	3	3	6	0	4	2	2	3	2	2	3	4	5	2	4	5	5	4	3	5	1	6	4	2	2	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	182	9	3	2	12	4	5	6	1	43	2	1	6	12	9	15	8	4	2	5	2	11	4	6	5	0	1	0	4					
		2.36%	1.36%	2.06%	1.29%	2.23%	5.0%	2.10%	3.61%	1.53%	11.13%	3.38%	1.29%	6.52%	4.28%	2.89%	1.65%	1.62%	1.20%	0.61%	2.09%	1.55%	1.85%	3.12%	1.21%	1.41%	0.0%	1.51%	0.0%	2.51%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	109	8	3	4	5	3	10	2	1	4	3	1	0	1	6	13	6	2	8	2	1	10	1	3	5	1	2	4	0					
		1.41%	1.21%	2.06%	2.59%	0.93%	3.75%	4.20%	1.20%	1.53%	1.03%	5.08%	1.29%	0.0%	0.35%	1.92%	1.43%	1.22%	0.60%	2.47%	0.83%	0.77%	1.68%	0.78%	0.60%	1.41%	1.13%	3.03%	2.77%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	234	26	4	3	18	9	5	3	4	12	1	1	1	9	14	34	11	7	15	7	6	19	1	11	6	3	1	2	1					
		3.04%	3.93%	2.75%	1.94%	3.35%	11.25%	2.10%	1.80%	6.15%	3.10%	1.69%	1.29%	1.08%	3.21%	4.50%	3.74%	2.24%	2.11%	4.64%	2.92%	4.65%	3.20%	0.78%	2.23%	1.69%	3.40%	1.51%	1.38%	0.62%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	207	27	3	14	15	6	3	3	2	10	3	1	0	13	9	25	14	7	8	6	3	9	3	12	8	0	0	0	3					
		2.69%	4.09%	2.06%	9.09%	2.79%	7.5%	1.26%	1.80%	3.07%	2.59%	5.08%	1.29%	0.0%	4.64%	2.89%	2.75%	2.85%	2.11%	2.47%	2.51%	2.32%	1.51%	2.34%	2.43%	2.25%	0.0%	0.0%	0.0%	1.88%					
22	"5. ""За Русь Святую"""	46	3	0	0	0	7	2	4	0	1	1	1	0	4	3	1	2	1	1	2	3	4	1	0	2	0	0	1	2					
		0.59%	0.45%	0.0%	0.0%	0.0%	8.75%	0.84%	2.40%	0.0%	0.25%	1.69%	1.29%	0.0%	1.42%	0.96%	0.11%	0.40%	0.30%	0.30%	0.83%	2.32%	0.67%	0.78%	0.0%	0.56%	0.0%	0.0%	0.69%	1.25%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	3	0	1	0	1	1	2	0	3	0	0	1	5	1	3	3	2	0	0	0	3	0	1	1	0	0	1	0					
		0.41%	0.45%	0.0%	0.64%	0.0%	1.25%	0.42%	1.20%	0.0%	0.77%	0.0%	0.0%	1.08%	1.78%	0.32%	0.33%	0.61%	0.60%	0.0%	0.0%	0.0%	0.50%	0.0%	0.20%	0.28%	0.0%	0.0%	0.69%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	39	4	0	0	4	1	1	0	0	0	0	0	0	1	3	6	0	2	0	2	1	5	1	5	2	0	1	0	0					
		0.50%	0.60%	0.0%	0.0%	0.74%	1.25%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.96%	0.66%	0.0%	0.60%	0.0%	0.83%	0.77%	0.84%	0.78%	1.01%	0.56%	0.0%	1.51%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	25	0	0	0	1	2	0	1	0	1	0	0	0	0	0	1	1	6	4	0	1	4	0	1	1	0	0	1	0					
		0.32%	0.0%	0.0%	0.0%	0.18%	2.5%	0.0%	0.60%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.20%	1.81%	1.23%	0.0%	0.77%	0.67%	0.0%	0.20%	0.28%	0.0%	0.0%	0.69%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	21	1	0	0	1	1	2	0	0	0	0	0	0	3	0	4	2	0	0	0	1	1	0	0	4	1	0	0	0					
		0.27%	0.15%	0.0%	0.0%	0.18%	1.25%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.0%	0.44%	0.40%	0.0%	0.0%	0.0%	0.77%	0.16%	0.0%	0.0%	1.12%	1.13%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	435	44	2	11	33	3	12	8	1	31	1	5	2	10	10	48	44	26	21	6	12	37	10	17	13	4	5	18	1					
		5.65%	6.66%	1.37%	7.14%	6.14%	3.75%	5.04%	4.81%	1.53%	8.03%	1.69%	6.49%	2.17%	3.57%	3.21%	5.29%	8.96%	7.85%	6.50%	2.51%	9.30%	6.23%	7.81%	3.45%	3.67%	4.54%	7.57%	12.5%	0.62%					
28	"11. ""Истинные патриоты России"""	12	3	0	0	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1					
		0.15%	0.45%	0.0%	0.0%	0.0%	2.5%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	69	2	2	2	5	1	3	7	0	3	0	1	3	3	2	5	2	2	12	3	0	1	1	2	4	0	0	1	2					
		0.89%	0.30%	1.37%	1.29%	0.93%	1.25%	1.26%	4.21%	0.0%	0.77%	0.0%	1.29%	3.26%	1.07%	0.64%	0.55%	0.40%	0.60%	3.71%	1.25%	0.0%	0.16%	0.78%	0.40%	1.12%	0.0%	0.0%	0.69%	1.25%					
30	"13. ""Демократическая партия России"""	35	1	0	0	1	2	1	0	0	2	0	0	0	2	0	5	3	4	0	4	0	7	0	0	0	3	0	0	0					
		0.45%	0.15%	0.0%	0.0%	0.18%	2.5%	0.42%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.71%	0.0%	0.55%	0.61%	1.20%	0.0%	1.67%	0.0%	1.18%	0.0%	0.0%	0.0%	3.40%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	6	0	0	2	0	3	1	0	0	0	1	0	0	1	0	3	0	0	0	0	3	0	5	1	2	0	0	0					
		0.36%	0.90%	0.0%	0.0%	0.37%	0.0%	1.26%	0.60%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	0.32%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	1.01%	0.28%	2.27%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	10	1	0	0	0	2	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0					
		0.12%	0.15%	0.0%	0.0%	0.0%	2.5%	0.0%	0.60%	1.53%	0.25%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.77%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	278	24	0	8	21	2	10	7	1	12	2	0	0	6	10	47	24	10	16	13	4	12	0	7	18	4	8	5	7					
		3.61%	3.63%	0.0%	5.19%	3.91%	2.5%	4.20%	4.21%	1.53%	3.10%	3.38%	0.0%	0.0%	2.14%	3.21%	5.18%	4.88%	3.02%	4.95%	5.43%	3.10%	2.02%	0.0%	1.42%	5.08%	4.54%	12.12%	3.47%	4.40%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	42	4	1	1	3	1	5	1	0	2	0	1	1	0	7	4	1	0	1	2	1	3	1	1	1	0	0	0	0					
		0.54%	0.60%	0.68%	0.64%	0.55%	1.25%	2.10%	0.60%	0.0%	0.51%	0.0%	1.29%	1.08%	0.0%	2.25%	0.44%	0.20%	0.0%	0.30%	0.83%	0.77%	0.50%	0.78%	0.20%	0.28%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1452	143	40	29	91	5	40	13	15	54	8	35	8	54	63	174	76	72	89	35	14	135	22	106	55	3	13	25	35					
		18.87%	21.66%	27.58%	18.83%	16.94%	6.25%	16.80%	7.83%	23.07%	13.98%	13.55%	45.45%	8.69%	19.28%	20.25%	19.18%	15.47%	21.75%	27.55%	14.64%	10.85%	22.76%	17.18%	21.54%	15.53%	3.40%	19.69%	17.36%	22.01%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	161	13	2	2	16	2	6	7	0	4	0	0	6	3	3	15	9	5	2	16	2	17	6	17	4	1	1	0	2					
		2.09%	1.96%	1.37%	1.29%	2.97%	2.5%	2.52%	4.21%	0.0%	1.03%	0.0%	0.0%	6.52%	1.07%	0.96%	1.65%	1.83%	1.51%	0.61%	6.69%	1.55%	2.86%	4.68%	3.45%	1.12%	1.13%	1.51%	0.0%	1.25%					
37	"20. ""Политическая партия ""Единая Россия"""	2409	140	68	44	193	16	72	77	20	112	11	9	29	113	114	261	141	107	87	89	26	195	49	140	126	27	22	55	66					
		31.31%	21.21%	46.89%	28.57%	35.94%	20.0%	30.25%	46.38%	30.76%	29.01%	18.64%	11.68%	31.52%	40.35%	36.65%	28.77%	28.71%	32.32%	26.93%	37.23%	20.15%	32.88%	38.28%	28.45%	35.59%	30.68%	33.33%	38.19%	41.50%					
38	"21. ""Российская Конституционно-демократическая партия"""	21	0	0	2	1	1	0	0	0	2	0	1	1	0	2	3	2	0	0	1	0	1	2	0	1	0	0	0	1					
		0.27%	0.0%	0.0%	1.29%	0.18%	1.25%	0.0%	0.0%	0.0%	0.51%	0.0%	1.29%	1.08%	0.0%	0.64%	0.33%	0.40%	0.0%	0.0%	0.41%	0.0%	0.16%	1.56%	0.0%	0.28%	0.0%	0.0%	0.0%	0.62%					
39	"22. ""Развитие предпринимательства"""	21	2	0	0	1	0	1	0	3	0	0	0	0	1	1	3	4	1	3	0	0	0	0	0	1	0	0	0	0					
		0.27%	0.30%	0.0%	0.0%	0.18%	0.0%	0.42%	0.0%	4.61%	0.0%	0.0%	0.0%	0.0%	0.35%	0.32%	0.33%	0.81%	0.30%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1329	141	9	21	95	4	42	14	4	74	21	10	28	22	34	180	86	41	33	28	43	72	19	138	78	34	9	20	29					
		17.27%	21.36%	6.20%	13.63%	17.69%	5.0%	17.64%	8.43%	6.15%	19.17%	35.59%	12.98%	30.43%	7.85%	10.93%	19.84%	17.51%	12.38%	10.21%	11.71%	33.33%	12.14%	14.84%	28.04%	22.03%	38.63%	13.63%	13.88%	18.23%					
																																			
41	Против всех	401	47	3	8	18	0	10	7	10	14	5	8	6	11	18	44	44	30	13	16	8	32	5	13	12	5	3	7	4					
		5.21%	7.12%	2.06%	5.19%	3.35%	0.0%	4.20%	4.21%	15.38%	3.62%	8.47%	10.38%	6.52%	3.92%	5.78%	4.85%	8.96%	9.06%	4.02%	6.69%	6.20%	5.39%	3.90%	2.64%	3.38%	5.68%	4.54%	4.86%	2.51%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
