Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Тимашевская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030	УИК №5031	УИК №5032	УИК №5033	УИК №5034	УИК №5035	УИК №5036	УИК №5037	УИК №5038	УИК №5039	УИК №5040	УИК №5041	УИК №5042	УИК №5043	УИК №5044	УИК №5045	УИК №5046	УИК №5047	УИК №5048	УИК №5049	УИК №5050	УИК №5051	УИК №5052	УИК №5053	УИК №5054	УИК №5055	УИК №5056	УИК №5057	УИК №5058	УИК №5059	УИК №5060									
		2.78%	4.01%	2.76%	3.81%	4.71%	3.58%	4.21%	4.09%	2.97%	3.24%	3.48%	4.74%	4.51%	2.93%	5.13%	3.45%	3.35%	2.03%	4.89%	5.20%	2.96%	2.50%	4.44%	2.58%	5.12%	4.36%	2.73%	0.59%	1.71%	1.51%	1.59%	2.39%	1.96%	1.58%	0.00%	1.08%	2.28%	2.31%	1.58%	0.40%	0.42%	2.12%	2.94%	3.16%	3.27%	1.93%	0.00%	1.42%	1.51%	2.91%	1.07%	1.21%	1.85%	6.11%	3.16%	3.62%	6.73%	4.10%	1.68%	2.76%	3.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	924	21	5	19	16	15	12	15	17	13	17	11	19	13	14	19	21	7	10	10	19	21	6	15	23	14	13	2	12	36	22	16	21	31	2	3	33	7	38	5	15	20	7	22	8	15	6	8	31	22	15	5	21	20	8	19	8	16	13	15	17									
		2.58%	2.90%	1.53%	3.45%	3.14%	2.44%	3.16%	2.92%	2.52%	2.48%	3.29%	2.48%	1.53%	4.76%	3.59%	3.28%	3.06%	2.37%	2.87%	2.89%	4.33%	2.29%	1.16%	2.76%	3.92%	3.59%	3.94%	1.18%	1.28%	3.21%	2.68%	4.26%	3.17%	3.27%	1.59%	1.62%	2.89%	1.80%	3.76%	2.00%	1.25%	2.50%	1.47%	2.24%	1.31%	1.93%	2.38%	1.26%	2.75%	3.37%	1.60%	1.52%	2.77%	4.21%	1.81%	3.13%	2.34%	1.82%	2.18%	2.07%	4.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	682	13	3	23	11	8	7	11	15	12	8	4	27	6	15	21	15	5	10	11	7	19	19	14	10	6	10	7	18	18	11	8	11	21	3	4	13	11	10	2	11	11	3	31	17	13	3	15	17	18	3	6	11	3	7	16	9	19	4	13	5									
		1.90%	1.80%	0.92%	4.17%	2.16%	1.30%	1.84%	2.14%	2.23%	2.29%	1.55%	0.90%	2.17%	2.20%	3.85%	3.62%	2.18%	1.69%	2.87%	3.18%	1.59%	2.07%	3.67%	2.58%	1.71%	1.54%	3.03%	4.14%	1.92%	1.60%	1.34%	2.13%	1.66%	2.22%	2.38%	2.16%	1.14%	2.83%	0.99%	0.80%	0.92%	1.37%	0.63%	3.16%	2.78%	1.67%	1.19%	2.36%	1.51%	2.76%	0.32%	1.82%	1.45%	0.63%	1.58%	2.63%	2.63%	2.16%	0.67%	1.79%	1.25%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19675	428	144	231	254	310	194	219	369	284	280	235	699	112	169	254	296	134	170	130	186	479	263	239	280	177	147	110	583	647	546	195	317	499	85	108	824	202	494	160	835	423	361	550	411	488	164	263	638	344	587	243	433	254	283	278	138	456	440	461	172									
		54.95%	59.20%	44.17%	41.92%	49.80%	50.41%	51.05%	42.69%	54.75%	54.10%	54.16%	53.05%	56.28%	41.03%	43.33%	43.79%	43.09%	45.42%	48.85%	37.57%	42.37%	52.12%	50.77%	44.01%	47.78%	45.38%	44.55%	65.09%	62.22%	57.61%	66.59%	51.86%	47.89%	52.64%	67.46%	58.38%	72.15%	51.93%	48.91%	64.00%	69.58%	52.81%	75.68%	56.07%	67.27%	62.81%	65.08%	41.42%	56.56%	52.68%	62.71%	73.64%	57.12%	53.47%	63.88%	45.72%	40.35%	51.94%	73.83%	63.59%	43.11%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	191	2	1	3	2	2	2	2	10	1	3	4	5	5	5	3	5	4	1	5	7	9	1	7	4	5	3	2	6	5	5	2	4	6	0	0	6	0	5	0	2	8	1	3	2	1	0	7	3	1	5	0	6	1	2	0	0	5	0	2	0									
		0.53%	0.28%	0.31%	0.54%	0.39%	0.33%	0.53%	0.39%	1.48%	0.19%	0.58%	0.90%	0.40%	1.83%	1.28%	0.52%	0.73%	1.36%	0.29%	1.45%	1.59%	0.98%	0.19%	1.29%	0.68%	1.28%	0.91%	1.18%	0.64%	0.45%	0.61%	0.53%	0.60%	0.63%	0.00%	0.00%	0.53%	0.00%	0.50%	0.00%	0.17%	0.99%	0.21%	0.31%	0.33%	0.13%	0.00%	1.10%	0.27%	0.15%	0.53%	0.00%	0.79%	0.21%	0.45%	0.00%	0.00%	0.57%	0.00%	0.28%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	69	2	0	2	0	0	0	0	2	1	0	0	1	1	1	0	1	1	1	0	1	1	2	1	2	0	4	0	5	3	0	1	2	3	1	0	1	0	2	0	0	7	3	1	0	0	0	3	1	1	2	0	2	1	1	0	0	5	0	0	0									
		0.19%	0.28%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.30%	0.19%	0.00%	0.00%	0.08%	0.37%	0.26%	0.00%	0.15%	0.34%	0.29%	0.00%	0.23%	0.11%	0.39%	0.18%	0.34%	0.00%	1.21%	0.00%	0.53%	0.27%	0.00%	0.27%	0.30%	0.32%	0.79%	0.00%	0.09%	0.00%	0.20%	0.00%	0.00%	0.87%	0.63%	0.10%	0.00%	0.00%	0.00%	0.47%	0.09%	0.15%	0.21%	0.00%	0.26%	0.21%	0.23%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5827	135	74	126	81	88	52	108	112	81	87	82	192	63	74	125	140	66	58	74	70	163	70	117	115	70	59	20	113	152	80	61	113	155	18	34	118	72	164	42	204	204	56	159	87	97	45	154	175	111	145	26	107	79	58	109	72	135	42	70	68									
		16.27%	18.67%	22.70%	22.87%	15.88%	14.31%	13.68%	21.05%	16.62%	15.43%	16.83%	18.51%	15.46%	23.08%	18.97%	21.55%	20.38%	22.37%	16.67%	21.39%	15.95%	17.74%	13.51%	21.55%	19.62%	17.95%	17.88%	11.83%	12.06%	13.54%	9.76%	16.22%	17.07%	16.35%	14.29%	18.38%	10.33%	18.51%	16.24%	16.80%	17.00%	25.47%	11.74%	16.21%	14.24%	12.48%	17.86%	24.25%	15.51%	16.99%	15.49%	7.88%	14.12%	16.63%	13.09%	17.93%	21.05%	15.38%	7.05%	9.66%	17.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	160	5	1	2	1	6	5	1	2	0	5	2	7	1	3	2	3	3	6	4	6	4	1	1	3	2	4	1	2	6	1	2	2	3	0	0	4	4	0	0	0	3	0	1	2	0	5	2	1	5	1	0	9	8	2	2	0	10	0	2	2									
		0.45%	0.69%	0.31%	0.36%	0.20%	0.98%	1.32%	0.19%	0.30%	0.00%	0.97%	0.45%	0.56%	0.37%	0.77%	0.34%	0.44%	1.02%	1.72%	1.16%	1.37%	0.44%	0.19%	0.18%	0.51%	0.51%	1.21%	0.59%	0.21%	0.53%	0.12%	0.53%	0.30%	0.32%	0.00%	0.00%	0.35%	1.03%	0.00%	0.00%	0.00%	0.37%	0.00%	0.10%	0.33%	0.00%	1.98%	0.31%	0.09%	0.77%	0.11%	0.00%	1.19%	1.68%	0.45%	0.33%	0.00%	1.14%	0.00%	0.28%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	294	4	0	5	8	5	5	3	6	5	9	6	13	1	4	11	2	5	4	4	6	18	14	5	0	3	1	1	6	13	5	4	5	6	0	1	2	4	4	3	6	1	2	5	2	2	0	4	11	3	1	1	7	7	4	4	7	16	0	5	5									
		0.82%	0.55%	0.00%	0.91%	1.57%	0.81%	1.32%	0.58%	0.89%	0.95%	1.74%	1.35%	1.05%	0.37%	1.03%	1.90%	0.29%	1.69%	1.15%	1.16%	1.37%	1.96%	2.70%	0.92%	0.00%	0.77%	0.30%	0.59%	0.64%	1.16%	0.61%	1.06%	0.76%	0.63%	0.00%	0.54%	0.18%	1.03%	0.40%	1.20%	0.50%	0.12%	0.42%	0.51%	0.33%	0.26%	0.00%	0.63%	0.98%	0.46%	0.11%	0.30%	0.92%	1.47%	0.90%	0.66%	2.05%	1.82%	0.00%	0.69%	1.25%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	44	0	1	0	1	0	1	0	4	1	0	0	1	0	0	0	3	1	0	0	0	0	2	0	1	1	1	0	1	3	2	0	1	1	1	0	1	0	1	2	0	4	1	4	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0									
		0.12%	0.00%	0.31%	0.00%	0.20%	0.00%	0.26%	0.00%	0.59%	0.19%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.44%	0.34%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.17%	0.26%	0.30%	0.00%	0.11%	0.27%	0.24%	0.00%	0.15%	0.11%	0.79%	0.00%	0.09%	0.00%	0.10%	0.80%	0.00%	0.50%	0.21%	0.41%	0.00%	0.00%	0.40%	0.16%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	212	8	2	4	2	8	0	4	5	1	1	3	8	1	3	4	5	3	4	3	2	9	3	3	3	2	4	0	6	3	7	2	3	7	0	0	5	2	4	1	4	5	0	6	0	6	0	6	5	5	1	1	2	3	1	4	4	7	13	2	2									
		0.59%	1.11%	0.61%	0.73%	0.39%	1.30%	0.00%	0.78%	0.74%	0.19%	0.19%	0.68%	0.64%	0.37%	0.77%	0.69%	0.73%	1.02%	1.15%	0.87%	0.46%	0.98%	0.58%	0.55%	0.51%	0.51%	1.21%	0.00%	0.64%	0.27%	0.85%	0.53%	0.45%	0.74%	0.00%	0.00%	0.44%	0.51%	0.40%	0.40%	0.33%	0.62%	0.00%	0.61%	0.00%	0.77%	0.00%	0.94%	0.44%	0.77%	0.11%	0.30%	0.26%	0.63%	0.23%	0.66%	1.17%	0.80%	2.18%	0.28%	0.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5250	48	69	88	86	129	63	91	83	86	72	51	166	43	60	97	137	52	52	73	89	123	82	94	77	65	60	20	128	191	96	59	128	164	12	29	80	63	224	25	100	78	21	133	52	94	25	125	190	108	134	35	103	63	52	119	60	134	54	119	96									
		14.66%	6.64%	21.17%	15.97%	16.86%	20.98%	16.58%	17.74%	12.31%	16.38%	13.93%	11.51%	13.37%	15.75%	15.38%	16.72%	19.94%	17.63%	14.94%	21.10%	20.27%	13.38%	15.83%	17.31%	13.14%	16.67%	18.18%	11.83%	13.66%	17.01%	11.71%	15.69%	19.34%	17.30%	9.52%	15.68%	7.01%	16.20%	22.18%	10.00%	8.33%	9.74%	4.40%	13.56%	8.51%	12.10%	9.92%	19.69%	16.84%	16.54%	14.32%	10.61%	13.59%	13.26%	11.74%	19.57%	17.54%	15.26%	9.06%	16.41%	24.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	119	5	2	4	1	0	1	3	7	2	1	1	4	2	0	1	3	2	1	1	6	2	0	4	4	1	1	0	2	3	5	1	2	2	0	0	5	1	2	0	1	1	1	4	0	0	1	4	4	3	1	2	3	2	2	1	1	4	2	0	0									
		0.33%	0.69%	0.61%	0.73%	0.20%	0.00%	0.26%	0.58%	1.04%	0.38%	0.19%	0.23%	0.32%	0.73%	0.00%	0.17%	0.44%	0.68%	0.29%	0.29%	1.37%	0.22%	0.00%	0.74%	0.68%	0.26%	0.30%	0.00%	0.21%	0.27%	0.61%	0.27%	0.30%	0.21%	0.00%	0.00%	0.44%	0.26%	0.20%	0.00%	0.08%	0.12%	0.21%	0.41%	0.00%	0.00%	0.40%	0.63%	0.35%	0.46%	0.11%	0.61%	0.40%	0.42%	0.45%	0.16%	0.29%	0.46%	0.34%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	830	11	9	17	10	11	13	27	11	14	10	16	28	11	15	18	13	3	5	8	19	34	25	10	31	17	9	1	23	15	23	9	19	22	0	3	15	9	26	5	7	13	2	19	10	20	2	22	26	8	23	7	18	2	6	16	11	22	12	6	13									
		2.32%	1.52%	2.76%	3.09%	1.96%	1.79%	3.42%	5.26%	1.63%	2.67%	1.93%	3.61%	2.25%	4.03%	3.85%	3.10%	1.89%	1.02%	1.44%	2.31%	4.33%	3.70%	4.83%	1.84%	5.29%	4.36%	2.73%	0.59%	2.45%	1.34%	2.80%	2.39%	2.87%	2.32%	0.00%	1.62%	1.31%	2.31%	2.57%	2.00%	0.58%	1.62%	0.42%	1.94%	1.64%	2.57%	0.79%	3.46%	2.30%	1.23%	2.46%	2.12%	2.37%	0.42%	1.35%	2.63%	3.22%	2.51%	2.01%	0.83%	3.26%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
