Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Кукморская 																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	548	5	3	9	6	10	15	3	3	11	5	5	5	5	5	5	3	5	3	5	3	10	5	5	3	8	3	5	5	5	5	10	3	5	5	5	3	3	11	3	3	5	5	13	3	25	3	3	5	3	5	8	0	5	3	3	13	13	8	5	5	25	25	26	25	20	25	30	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	297	2	0	6	1	7	14	3	0	6	3	2	2	0	1	0	1	5	1	0	1	5	3	4	0	1	1	0	0	5	4	7	1	1	0	5	0	0	8	3	0	2	4	10	2	18	1	0	5	0	3	8	0	3	0	3	8	9	0	0	2	10	19	13	7	16	9	30	5	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	168	0	2	0	1	3	6	1	0	8	2	2	0	2	0	1	2	0	1	2	0	0	2	2	4	4	0	2	0	1	1	1	3	2	0	0	2	1	4	0	1	2	5	2	1	4	1	1	4	2	1	1	0	3	2	1	1	0	1	1	1	6	9	12	4	7	6	12	10	5					
14	Число погашенных открепительных удостоверений	251	3	3	3	5	3	1	0	3	5	2	3	3	5	4	5	2	0	2	5	2	5	2	1	3	7	2	5	5	0	1	3	2	4	5	0	3	3	3	0	3	3	1	3	1	7	2	3	0	3	2	0	0	2	3	0	5	4	8	5	3	15	6	13	18	4	16	0	5	3					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	"1. ""ЕДИНЕНИЕ"""	250	10	2	0	0	0	0	2	0	3	2	0	0	6	2	2	1	0	0	0	0	0	6	0	2	1	5	0	0	0	0	4	0	0	0	0	0	1	3	3	0	1	8	0	1	8	0	0	11	0	2	2	0	1	0	0	0	8	0	2	9	20	17	20	7	19	21	33	2	3					
		0.77%	2.76%	0.87%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.42%	0.33%	0.0%	0.0%	1.70%	0.67%	0.78%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	0.69%	0.13%	1.81%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.54%	1.17%	0.0%	0.29%	1.25%	0.0%	0.35%	1.94%	0.0%	0.0%	2.19%	0.0%	0.51%	0.32%	0.0%	0.22%	0.0%	0.0%	0.0%	1.82%	0.0%	0.37%	2.09%	2.18%	1.63%	1.74%	0.82%	1.61%	1.81%	2.08%	0.40%	0.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	126	0	0	0	1	0	6	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	1	0	2	3	0	0	0	0	1	0	0	0	2	2	1	1	16	5	10	6	10	10	33	3	0					
		0.38%	0.0%	0.0%	0.0%	0.47%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.31%	0.39%	0.0%	0.24%	0.0%	0.71%	0.59%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.45%	0.75%	0.18%	0.23%	1.74%	0.47%	0.87%	0.71%	0.85%	0.86%	2.08%	0.61%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	153	0	0	0	0	0	2	0	0	0	2	0	2	0	1	1	0	0	0	3	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	2	1	0	1	2	0	1	3	0	1	0	0	0	5	1	0	3	0	1	0	0	1	1	1	0	8	15	16	9	7	5	16	33	2	1					
		0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.33%	0.0%	0.38%	0.0%	0.33%	0.39%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.66%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.47%	0.46%	0.0%	0.18%	0.78%	0.0%	0.29%	0.47%	0.0%	0.35%	0.0%	0.0%	0.0%	0.99%	0.54%	0.0%	0.48%	0.0%	0.22%	0.0%	0.0%	0.45%	0.22%	0.37%	0.0%	1.86%	1.63%	1.53%	0.78%	0.82%	0.42%	1.38%	2.08%	0.40%	0.24%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	172	0	0	0	0	0	0	3	0	4	1	0	8	2	0	0	0	1	0	0	0	0	5	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	2	1	0	1	6	3	1	2	0	0	2	0	1	0	0	0	1	0	0	2	0	3	2	11	12	17	5	13	13	44	0	1					
		0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.56%	0.16%	0.0%	1.55%	0.56%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.34%	0.13%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.54%	0.36%	0.39%	0.0%	0.29%	0.94%	0.59%	0.35%	0.48%	0.0%	0.0%	0.39%	0.0%	0.25%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.45%	0.0%	0.55%	0.46%	1.20%	1.15%	1.48%	0.59%	1.10%	1.12%	2.78%	0.0%	0.24%					
22	"5. ""За Русь Святую"""	28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	1	0	0	1	3	2	3	0	3	2	2	2	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.85%	0.0%	0.0%	0.0%	0.45%	0.22%	0.0%	0.0%	0.23%	0.32%	0.19%	0.26%	0.0%	0.25%	0.17%	0.12%	0.40%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	1	1					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.25%	0.20%	0.24%					
24	"7. ""Новый курс - Автомобильная Россия"""	70	0	0	0	0	0	3	0	0	0	1	0	2	2	1	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	8	7	3	0	5	10	14	0	3					
		0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.16%	0.0%	0.38%	0.56%	0.33%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.24%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.87%	0.67%	0.26%	0.0%	0.42%	0.86%	0.88%	0.0%	0.74%					
25	"8. ""Народно-республиканская партия России"""	24	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	3	0	1	1	3	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.37%	0.0%	0.21%	0.0%	0.26%	0.0%	0.08%	0.08%	0.18%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	0	5	0	7	1	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.10%	0.19%	0.08%	0.0%	0.42%	0.0%	0.44%	0.20%	0.0%					
27	"10. ""Аграрная партия России"""	293	4	1	0	0	8	5	3	0	4	3	0	10	8	4	8	1	6	0	2	0	0	8	0	0	0	0	8	4	5	0	4	1	0	0	3	1	1	4	7	2	1	18	6	1	7	0	8	19	1	1	6	0	1	2	0	1	3	0	0	3	9	7	13	7	20	11	24	8	1					
		0.90%	1.10%	0.43%	0.0%	0.0%	3.18%	0.36%	1.35%	0.0%	0.56%	0.50%	0.0%	1.94%	2.27%	1.34%	3.12%	0.40%	0.98%	0.0%	0.52%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	1.27%	0.86%	1.31%	0.0%	0.81%	0.39%	0.0%	0.0%	0.71%	0.46%	0.54%	0.72%	2.74%	0.98%	0.29%	2.82%	1.19%	0.35%	1.70%	0.0%	2.86%	3.78%	0.54%	0.25%	0.96%	0.0%	0.22%	0.58%	0.0%	0.45%	0.68%	0.0%	0.0%	0.69%	0.98%	0.67%	1.13%	0.82%	1.70%	0.94%	1.51%	1.62%	0.24%					
28	"11. ""Истинные патриоты России"""	68	0	0	1	1	0	6	0	0	2	1	0	5	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	6	1	0	0	1	0	0	0	0	2	0	0	3	4	3	8	0	7	1	3	2	0					
		0.21%	0.0%	0.0%	0.18%	0.47%	0.0%	0.44%	0.0%	0.0%	0.28%	0.16%	0.0%	0.97%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.31%	0.0%	0.0%	0.72%	0.0%	0.0%	1.19%	0.54%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.69%	0.43%	0.28%	0.69%	0.0%	0.59%	0.08%	0.18%	0.40%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	90	3	0	0	0	0	4	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	6	0	3	2	0	0	0	1	0	0	1	3	0	2	0	0	1	0	0	0	3	0	0	0	0	0	2	0	1	3	4	0	0	0	0	2	0	0	2	10	8	7	2	6	5	3	1	0					
		0.27%	0.82%	0.0%	0.0%	0.0%	0.0%	0.29%	0.45%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.33%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	1.03%	0.26%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.39%	0.62%	0.0%	0.47%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.25%	0.48%	1.13%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.46%	1.09%	0.76%	0.61%	0.23%	0.51%	0.43%	0.18%	0.20%	0.0%					
30	"13. ""Демократическая партия России"""	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	1					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.17%	0.17%	0.0%	0.0%	0.24%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	2	0	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.42%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.18%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.25%	0.17%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	17	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	3	1	3	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.09%	0.08%	0.0%	0.25%	0.08%	0.18%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	323	1	1	0	1	1	0	2	0	5	2	4	5	2	0	0	0	1	0	2	0	0	3	0	1	5	4	6	2	1	0	0	0	0	0	0	2	2	6	2	1	1	5	5	3	3	0	0	0	0	0	11	4	0	0	0	2	4	1	7	5	29	26	18	18	21	20	56	12	10					
		0.99%	0.27%	0.43%	0.0%	0.47%	0.39%	0.0%	0.90%	0.0%	0.70%	0.33%	1.12%	0.97%	0.56%	0.0%	0.0%	0.0%	0.16%	0.0%	0.52%	0.0%	0.0%	0.66%	0.0%	0.34%	0.67%	1.45%	0.95%	0.43%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	1.09%	1.08%	0.78%	0.49%	0.29%	0.78%	0.99%	1.07%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	1.77%	1.13%	0.0%	0.0%	0.0%	0.90%	0.91%	0.37%	1.30%	1.16%	3.16%	2.49%	1.56%	2.13%	1.79%	1.72%	3.54%	2.44%	2.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	32	1	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	2	2	2	3	3	3	3	2	0					
		0.09%	0.27%	0.0%	0.18%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.19%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.37%	0.0%	0.0%	0.21%	0.19%	0.17%	0.35%	0.25%	0.25%	0.18%	0.40%	0.0%					
35	"18. ""ЛДПР"""	451	0	0	0	0	2	10	0	0	2	2	0	6	0	4	7	2	10	0	2	0	0	3	0	1	2	4	7	2	4	0	0	1	6	2	0	0	1	5	3	0	1	20	4	4	8	0	2	6	1	1	2	1	4	8	0	3	7	0	1	4	35	44	23	0	52	22	79	20	11					
		1.39%	0.0%	0.0%	0.0%	0.0%	0.79%	0.73%	0.0%	0.0%	0.28%	0.33%	0.0%	1.16%	0.0%	1.34%	2.73%	0.80%	1.63%	0.0%	0.52%	0.0%	0.0%	0.66%	0.0%	0.34%	0.26%	1.45%	1.11%	0.43%	1.04%	0.0%	0.0%	0.39%	1.25%	0.43%	0.0%	0.0%	0.54%	0.90%	1.17%	0.0%	0.29%	3.13%	0.79%	1.42%	1.94%	0.0%	0.71%	1.19%	0.54%	0.25%	0.32%	0.28%	0.89%	2.35%	0.0%	1.36%	1.59%	0.0%	0.18%	0.93%	3.82%	4.22%	2.00%	0.0%	4.43%	1.89%	5.0%	4.07%	2.73%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	939	3	0	5	0	1	50	7	4	9	2	10	28	2	0	0	5	5	0	2	0	70	2	0	0	2	0	0	0	0	2	0	0	3	4	8	8	2	33	2	0	2	4	3	1	3	0	5	1	0	3	5	2	0	1	10	8	8	0	5	5	53	63	19	30	74	62	96	103	104					
