Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Пермь, Индустриальная"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964					
11	Число полученных открепительных  удостоверений	4120	50	60	70	60	60	70	50	50	70	70	70	80	70	50	100	60	90	90	20	60	80	50	70	70	100	70	60	50	50	60	40	80	40	70	100	40	50	90	70	100	70	60	60	90	80	60	70	60	70	70	50	100	60	70	90	120	150	30	40	10	70	0	0	0					
12	Число выданных открепительных удостоверений	1920	20	20	21	22	29	33	26	17	34	18	26	46	18	26	25	29	25	32	12	32	28	25	46	56	68	26	20	21	20	22	30	18	20	25	32	16	25	27	35	41	41	36	33	35	33	25	32	41	34	26	37	42	16	35	36	107	138	10	17	3	31	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1688	27	8	16	12	16	6	13	8	30	18	19	15	10	14	16	12	8	19	20	29	17	25	32	26	25	10	13	20	18	16	20	11	13	16	22	29	27	26	13	18	21	27	18	19	14	14	12	29	10	14	13	23	120	10	14	18	33	18	32	77	19	165	146	109					
14	Число неиспользованных открепительных удостоверений	2200	30	40	49	38	31	37	24	33	36	52	44	34	52	24	75	31	65	58	8	28	52	25	24	14	32	44	40	29	30	38	10	62	20	45	68	24	25	63	35	59	29	24	27	55	47	35	38	19	36	44	13	58	44	35	54	13	12	20	23	7	39	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																							
18	. Глазьев Сергей Юрьевич	3096	38	44	45	52	51	59	63	37	88	72	59	74	63	60	40	62	48	64	42	24	52	61	59	51	39	39	49	22	43	47	46	45	29	41	43	29	46	60	56	73	82	75	75	78	54	52	45	64	37	56	49	58	22	30	48	49	31	19	33	9	64	13	23	15					
		4.31%	4.20%	5.21%	4.34%	4.24%	4.92%	5.29%	5.16%	3.97%	5.58%	5.04%	4.39%	4.77%	5.08%	4.69%	3.51%	4.59%	4.75%	4.54%	6.82%	2.56%	4.83%	4.54%	4.09%	3.83%	3.18%	3.32%	4.11%	2.02%	4.55%	5.56%	5.60%	4.50%	4.39%	4.48%	4.84%	3.62%	4.11%	4.13%	4.46%	4.37%	5.78%	5.48%	5.23%	4.87%	4.17%	3.66%	3.24%	4.31%	2.90%	4.76%	4.29%	4.46%	2.34%	3.25%	3.60%	3.50%	3.87%	3.18%	3.63%	3.50%	4.39%	2.77%	3.83%	3.33%					
19	. Малышкин Олег Александрович	1483	24	14	23	27	30	13	25	28	22	27	25	30	18	35	24	26	32	22	16	14	25	26	9	18	24	29	18	14	22	22	17	22	11	24	10	13	17	41	34	33	30	29	35	35	28	19	23	24	24	20	30	20	17	23	30	37	29	17	27	10	33	11	13	15					
		2.06%	2.65%	1.66%	2.22%	2.20%	2.90%	1.17%	2.05%	3.00%	1.39%	1.89%	1.86%	1.93%	1.45%	2.74%	2.11%	1.92%	3.17%	1.56%	2.60%	1.49%	2.32%	1.94%	0.62%	1.35%	1.96%	2.47%	1.51%	1.28%	2.33%	2.60%	2.07%	2.20%	1.67%	2.62%	1.12%	1.62%	1.52%	2.82%	2.71%	1.97%	2.12%	2.12%	2.44%	2.19%	2.16%	1.34%	1.65%	1.62%	1.88%	1.70%	2.63%	1.54%	1.80%	2.49%	2.25%	2.64%	3.62%	2.85%	2.97%	3.89%	2.26%	2.34%	2.16%	3.33%					
20	. Миронов Сергей Михайлович	852	17	10	5	11	15	9	10	10	12	12	20	25	19	10	13	15	6	17	2	12	18	14	21	18	17	21	27	14	8	7	16	16	17	12	5	11	12	19	17	21	15	11	14	18	21	18	21	18	8	18	11	12	11	11	11	11	11	7	19	4	10	4	4	3					
		1.18%	1.88%	1.18%	0.48%	0.90%	1.45%	0.81%	0.82%	1.07%	0.76%	0.84%	1.49%	1.61%	1.53%	0.78%	1.14%	1.11%	0.59%	1.21%	0.32%	1.28%	1.67%	1.04%	1.46%	1.35%	1.39%	1.79%	2.27%	1.28%	0.85%	0.83%	1.95%	1.60%	2.58%	1.31%	0.56%	1.38%	1.07%	1.31%	1.35%	1.26%	1.06%	0.80%	0.98%	1.12%	1.62%	1.27%	1.51%	1.21%	0.63%	1.53%	0.96%	0.92%	1.17%	1.19%	0.83%	0.78%	1.37%	1.17%	2.09%	1.56%	0.69%	0.85%	0.67%	0.67%					
21	. Путин Владимир Владимирович	51443	643	575	728	893	711	776	844	638	1078	994	962	1076	884	892	818	958	741	980	431	655	777	930	1038	983	903	827	886	795	678	622	584	710	481	664	635	577	785	1015	928	1164	982	947	1007	1186	938	1058	1022	1045	953	834	816	961	699	694	968	1016	574	427	666	189	1065	354	460	323					
		71.55%	71.05%	68.13%	70.13%	72.90%	68.63%	69.60%	69.12%	68.38%	68.31%	69.61%	71.63%	69.37%	71.29%	69.80%	71.82%	70.86%	73.37%	69.55%	69.97%	69.90%	72.14%	69.25%	71.93%	73.80%	73.65%	70.38%	74.33%	72.87%	71.75%	73.52%	71.13%	71.00%	72.88%	72.57%	71.43%	72.12%	70.09%	69.86%	73.89%	69.66%	69.25%	69.23%	70.22%	74.08%	72.43%	74.45%	73.47%	70.37%	74.75%	70.86%	71.52%	73.98%	74.20%	75.19%	72.62%	72.47%	71.57%	71.52%	73.27%	73.54%	73.10%	75.32%	76.54%	71.62%					
22	. Хакамада Ирина Муцуовна	5745	60	78	102	90	75	97	100	76	164	115	113	146	98	126	109	133	88	133	47	73	55	117	130	117	106	120	84	97	70	60	66	93	54	57	78	51	87	139	94	159	105	107	97	134	88	92	120	121	79	99	83	95	52	50	96	109	52	38	36	15	137	29	22	32					
		7.99%	6.63%	9.24%	9.83%	7.35%	7.24%	8.70%	8.19%	8.15%	10.39%	8.05%	8.41%	9.41%	7.90%	9.86%	9.57%	9.84%	8.71%	9.44%	7.63%	7.79%	5.11%	8.71%	9.01%	8.78%	8.65%	10.21%	7.05%	8.89%	7.41%	7.09%	8.04%	9.30%	8.18%	6.23%	8.77%	6.38%	7.77%	9.57%	7.48%	9.52%	7.40%	7.82%	6.76%	8.37%	6.80%	6.47%	8.63%	8.15%	6.20%	8.41%	7.27%	7.31%	5.52%	5.42%	7.20%	7.77%	6.48%	6.37%	3.96%	5.84%	9.40%	6.17%	3.66%	7.10%					
23	. Харитонов Николай Михайлович	5536	83	75	89	91	111	104	116	95	140	132	96	129	102	82	84	87	31	115	45	100	102	123	105	75	56	93	72	99	78	56	59	50	44	62	69	72	95	84	72	123	134	140	141	84	108	111	92	133	113	90	96	87	88	80	92	90	75	40	72	23	61	23	38	29					
		7.70%	9.17%	8.89%	8.57%	7.43%	10.71%	9.33%	9.50%	10.18%	8.87%	9.24%	7.15%	8.32%	8.23%	6.42%	7.37%	6.43%	3.07%	8.16%	7.31%	10.67%	9.47%	9.16%	7.28%	5.63%	4.57%	7.91%	6.04%	9.07%	8.25%	6.62%	7.19%	5.00%	6.67%	6.78%	7.76%	9.00%	8.48%	5.78%	5.73%	7.36%	9.45%	10.23%	9.83%	5.25%	8.34%	7.81%	6.61%	8.96%	8.86%	7.65%	8.41%	6.70%	9.34%	8.67%	6.90%	6.42%	9.35%	6.70%	7.92%	8.95%	4.19%	4.89%	6.32%	6.43%					
																																																																							
24	Против всех	3335	38	38	38	54	40	54	58	43	74	73	56	67	50	65	45	64	59	67	28	53	44	61	77	68	75	45	46	46	38	26	31	60	19	50	42	38	57	85	42	98	63	53	57	62	58	66	54	61	50	57	45	58	50	26	88	83	22	47	36	6	87	27	37	30					
		4.64%	4.20%	4.50%	3.66%	4.41%	3.86%	4.84%	4.75%	4.61%	4.69%	5.11%	4.17%	4.32%	4.03%	5.09%	3.95%	4.73%	5.84%	4.76%	4.55%	5.66%	4.09%	4.54%	5.34%	5.11%	6.12%	3.83%	3.86%	4.22%	4.02%	3.07%	3.78%	6.00%	2.88%	5.46%	4.72%	4.75%	5.09%	5.85%	3.34%	5.86%	4.44%	3.87%	3.97%	3.87%	4.48%	4.64%	3.88%	4.11%	3.92%	4.84%	3.94%	4.46%	5.31%	2.82%	6.60%	5.92%	2.74%	7.87%	3.96%	2.33%	5.97%	5.74%	6.16%	6.65%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
