Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Саратов, Заводская"																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2505	30	40	30	30	0	20	20	30	30	40	0	10	40	40	40	40	0	50	55	40	50	40	40	40	40	30	40	40	30	40	40	40	40	30	40	30	30	50	40	40	30	40	40	40	40	40	40	0	0	40	50	40	40	30	40	40	0	40	40	40	40	50	50	50	50	40	50	50	40	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1205	10	40	23	13	0	16	1	10	24	26	0	5	11	17	21	11	0	27	51	32	19	18	13	20	22	23	32	27	19	26	24	23	21	7	8	11	10	32	12	14	8	10	15	14	24	15	18	0	0	29	10	18	11	6	29	15	0	16	18	24	20	17	28	15	22	12	19	9	31	20	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	761	11	6	14	1	6	20	3	16	10	0	0	6	6	3	12	6	0	0	7	1	11	4	3	9	2	4	9	18	13	23	9	0	4	18	5	6	2	27	5	0	4	4	3	6	5	8	11	63	0	11	16	3	4	6	12	8	0	8	7	35	13	8	10	42	39	30	58	9	21	6	11									
14	Число погашенных неиспользованных открепительных удостоверений	1300	20	0	7	17	0	4	19	20	6	14	0	5	29	23	19	29	0	23	4	8	31	22	27	20	18	7	8	13	11	14	16	17	19	23	32	19	20	18	28	26	22	30	25	26	16	25	22	0	0	11	40	22	29	24	11	25	0	24	22	16	20	33	22	35	28	28	31	41	9	10	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	877	9	9	15	6	0	9	3	4	7	13	0	2	15	7	7	8	0	12	25	11	27	16	13	20	10	17	14	20	7	8	10	14	12	9	11	5	5	19	13	11	3	8	11	12	21	9	13	0	0	7	18	12	16	13	22	15	0	11	20	13	21	18	89	18	24	9	11	13	16	5	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2088	27	39	29	22	0	21	15	30	24	36	1	9	40	24	38	33	1	25	41	32	41	39	37	16	38	28	38	32	30	31	35	39	32	30	36	28	35	41	40	37	27	35	32	41	5	17	40	1	0	41	43	37	32	26	13	35	0	44	31	38	39	41	42	27	39	35	40	20	37	24	36									
		2.15%	2.34%	2.28%	2.28%	2.25%	0.00%	2.33%	2.20%	2.28%	2.26%	2.28%	1.75%	2.36%	2.28%	2.30%	2.25%	2.33%	0.64%	1.35%	2.32%	2.30%	2.28%	2.08%	2.29%	1.01%	2.32%	2.26%	2.29%	2.30%	2.28%	2.30%	2.30%	2.27%	2.29%	2.28%	2.32%	2.32%	2.72%	2.29%	2.71%	2.32%	2.26%	2.33%	2.29%	2.31%	0.33%	1.17%	2.30%	0.41%	0.00%	2.28%	2.33%	2.30%	2.33%	2.28%	1.08%	2.25%	0.00%	2.29%	2.04%	2.29%	2.27%	2.29%	2.30%	1.52%	2.21%	2.23%	2.25%	1.15%	2.30%	2.30%	2.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	3019	38	56	42	32	0	30	21	43	35	52	0	13	58	22	55	47	0	58	58	46	59	56	53	24	54	41	55	46	43	44	50	56	46	43	51	40	42	59	48	53	39	49	46	58	31	31	57	3	2	60	61	53	45	38	21	51	0	63	50	55	56	59	60	43	52	52	59	30	52	34	40									
		3.11%	3.29%	3.28%	3.30%	3.28%	0.00%	3.33%	3.08%	3.27%	3.29%	3.29%	0.00%	3.40%	3.30%	2.11%	3.26%	3.31%	0.00%	3.14%	3.27%	3.31%	3.28%	2.99%	3.27%	1.51%	3.29%	3.31%	3.31%	3.31%	3.26%	3.27%	3.28%	3.26%	3.30%	3.27%	3.28%	3.32%	3.26%	3.30%	3.25%	3.32%	3.27%	3.26%	3.30%	3.27%	2.02%	2.13%	3.27%	1.24%	1.63%	3.33%	3.30%	3.29%	3.27%	3.34%	1.75%	3.28%	0.00%	3.28%	3.29%	3.32%	3.27%	3.30%	3.29%	2.43%	2.95%	3.31%	3.31%	1.73%	3.24%	3.26%	3.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	334	4	5	0	3	0	3	2	4	3	5	0	1	5	0	5	4	0	4	5	5	5	5	5	15	5	4	5	4	4	4	5	5	4	4	5	3	4	5	4	5	4	5	4	5	29	17	6	2	0	6	6	5	4	3	11	5	0	6	4	5	5	5	5	0	6	5	5	5	4	3	6									
		0.34%	0.35%	0.29%	0.00%	0.31%	0.00%	0.33%	0.29%	0.30%	0.28%	0.32%	0.00%	0.26%	0.28%	0.00%	0.30%	0.28%	0.00%	0.22%	0.28%	0.36%	0.28%	0.27%	0.31%	0.94%	0.30%	0.32%	0.30%	0.29%	0.30%	0.30%	0.33%	0.29%	0.29%	0.30%	0.32%	0.25%	0.31%	0.28%	0.27%	0.31%	0.34%	0.33%	0.29%	0.28%	1.89%	1.17%	0.34%	0.83%	0.00%	0.33%	0.32%	0.31%	0.29%	0.26%	0.92%	0.32%	0.00%	0.31%	0.26%	0.30%	0.29%	0.28%	0.27%	0.00%	0.34%	0.32%	0.28%	0.29%	0.25%	0.29%	0.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	60534	718	1062	791	608	69	559	424	810	662	985	52	237	1093	698	1049	882	147	1189	1151	862	1119	1051	1007	1033	1022	771	1034	864	820	837	949	1061	868	819	966	749	800	1115	917	993	743	934	868	1103	858	905	1083	189	98	1132	1150	1002	855	709	682	968	90	1196	969	1031	1066	1112	1137	1158	1103	977	1107	1139	1000	649	678									
		62.37%	62.22%	62.18%	62.23%	62.23%	93.24%	62.11%	62.26%	61.69%	62.22%	62.34%	91.23%	62.04%	62.21%	66.92%	62.22%	62.20%	93.63%	64.34%	64.99%	62.01%	62.20%	56.05%	62.20%	65.05%	62.28%	62.18%	62.18%	62.20%	62.22%	62.18%	62.23%	61.76%	62.22%	62.23%	62.20%	62.16%	62.16%	62.36%	62.17%	62.18%	62.23%	62.23%	62.18%	62.21%	55.86%	62.07%	62.21%	78.42%	79.67%	62.82%	62.20%	62.16%	62.18%	62.30%	56.83%	62.21%	89.11%	62.23%	63.79%	62.18%	62.16%	62.19%	62.27%	65.31%	62.56%	62.19%	62.19%	65.76%	62.27%	62.16%	56.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	669	8	12	12	7	1	6	5	9	7	11	0	3	12	6	12	10	1	10	3	10	13	12	11	13	11	9	12	10	9	9	10	12	10	9	11	8	8	12	10	11	8	11	10	12	11	31	12	1	0	13	13	11	10	8	9	11	0	13	10	12	12	13	13	0	12	11	12	7	11	7	10									
		0.69%	0.69%	0.70%	0.94%	0.72%	1.35%	0.67%	0.73%	0.69%	0.66%	0.70%	0.00%	0.79%	0.68%	0.58%	0.71%	0.71%	0.64%	0.54%	0.17%	0.72%	0.72%	0.64%	0.68%	0.82%	0.67%	0.73%	0.72%	0.72%	0.68%	0.67%	0.66%	0.70%	0.72%	0.68%	0.71%	0.66%	0.62%	0.67%	0.68%	0.69%	0.67%	0.73%	0.72%	0.68%	0.72%	2.13%	0.69%	0.41%	0.00%	0.72%	0.70%	0.68%	0.73%	0.70%	0.75%	0.71%	0.00%	0.68%	0.66%	0.72%	0.70%	0.73%	0.71%	0.00%	0.68%	0.70%	0.67%	0.40%	0.68%	0.67%	0.83%									
24	"6. Политическая партия ""Гражданская Платформа"""	173	2	3	0	2	0	2	1	2	2	3	0	1	4	0	3	3	0	2	2	4	4	3	3	0	3	2	3	3	3	3	3	3	3	3	3	2	2	4	2	3	2	3	3	4	0	5	4	0	0	4	4	3	3	2	0	3	0	4	3	3	3	4	4	0	5	3	4	0	3	2	4									
		0.18%	0.17%	0.18%	0.00%	0.20%	0.00%	0.22%	0.15%	0.15%	0.19%	0.19%	0.00%	0.26%	0.23%	0.00%	0.18%	0.21%	0.00%	0.11%	0.11%	0.29%	0.22%	0.16%	0.19%	0.00%	0.18%	0.16%	0.18%	0.22%	0.23%	0.22%	0.20%	0.17%	0.22%	0.23%	0.19%	0.17%	0.16%	0.22%	0.14%	0.19%	0.17%	0.20%	0.21%	0.23%	0.00%	0.34%	0.23%	0.00%	0.00%	0.22%	0.22%	0.19%	0.22%	0.18%	0.00%	0.19%	0.00%	0.21%	0.20%	0.18%	0.17%	0.22%	0.22%	0.00%	0.28%	0.19%	0.22%	0.00%	0.19%	0.19%	0.33%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8802	105	156	115	89	2	82	61	119	97	143	2	35	160	89	153	129	2	168	161	126	164	154	147	144	149	114	152	126	120	122	139	155	126	120	141	110	117	162	134	145	109	136	127	161	143	139	158	17	6	156	168	147	125	104	169	142	6	175	138	151	156	162	167	180	157	143	162	126	146	95	96									
		9.07%	9.10%	9.13%	9.05%	9.11%	2.70%	9.11%	8.96%	9.06%	9.12%	9.05%	3.51%	9.16%	9.11%	8.53%	9.07%	9.10%	1.27%	9.09%	9.09%	9.06%	9.12%	8.21%	9.08%	9.07%	9.08%	9.19%	9.14%	9.07%	9.10%	9.06%	9.11%	9.02%	9.03%	9.12%	9.08%	9.13%	9.09%	9.06%	9.08%	9.08%	9.13%	9.06%	9.10%	9.08%	9.31%	9.53%	9.08%	7.05%	4.88%	8.66%	9.09%	9.12%	9.09%	9.14%	14.08%	9.13%	5.94%	9.11%	9.08%	9.11%	9.10%	9.06%	9.15%	10.15%	8.91%	9.10%	9.10%	7.27%	9.09%	9.10%	7.98%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	164	1	2	0	1	0	1	1	1	1	2	0	0	2	1	5	1	0	1	2	1	2	2	2	18	2	1	2	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	2	11	26	2	0	0	2	1	2	1	1	14	2	0	2	1	2	3	2	2	0	5	2	2	2	2	1	3									
		0.17%	0.09%	0.12%	0.00%	0.10%	0.00%	0.11%	0.15%	0.08%	0.09%	0.13%	0.00%	0.00%	0.11%	0.10%	0.30%	0.07%	0.00%	0.05%	0.11%	0.07%	0.11%	0.11%	0.12%	1.13%	0.12%	0.08%	0.12%	0.07%	0.08%	0.07%	0.07%	0.12%	0.07%	0.08%	0.13%	0.08%	0.08%	0.06%	0.07%	0.13%	0.08%	0.07%	0.07%	0.11%	0.72%	1.78%	0.11%	0.00%	0.00%	0.11%	0.05%	0.12%	0.07%	0.09%	1.17%	0.13%	0.00%	0.10%	0.07%	0.12%	0.17%	0.11%	0.11%	0.00%	0.28%	0.13%	0.11%	0.12%	0.12%	0.10%	0.25%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	817	10	15	14	9	0	8	6	11	10	14	1	3	16	0	15	13	1	14	10	13	16	15	15	10	15	11	15	12	12	12	14	15	13	12	14	11	10	16	12	14	11	13	13	16	11	10	16	0	0	16	17	15	12	10	11	14	0	17	13	15	15	16	16	12	13	14	16	6	14	9	9									
		0.84%	0.87%	0.88%	1.10%	0.92%	0.00%	0.89%	0.88%	0.84%	0.94%	0.89%	1.75%	0.79%	0.91%	0.00%	0.89%	0.92%	0.64%	0.76%	0.56%	0.94%	0.89%	0.80%	0.93%	0.63%	0.91%	0.89%	0.90%	0.86%	0.91%	0.89%	0.92%	0.87%	0.93%	0.91%	0.90%	0.91%	0.78%	0.89%	0.81%	0.88%	0.92%	0.87%	0.93%	0.90%	0.72%	0.69%	0.92%	0.00%	0.00%	0.89%	0.92%	0.93%	0.87%	0.88%	0.92%	0.90%	0.00%	0.88%	0.86%	0.90%	0.87%	0.89%	0.88%	0.68%	0.74%	0.89%	0.90%	0.35%	0.87%	0.86%	0.75%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	437	6	8	7	5	0	5	3	6	5	8	0	2	9	0	8	7	0	7	5	8	9	8	8	7	8	6	8	7	7	7	8	9	7	7	8	6	6	9	7	8	6	8	7	9	1	6	9	0	0	9	9	8	4	6	0	8	0	10	8	8	8	9	9	0	8	8	9	1	8	5	7									
		0.45%	0.52%	0.47%	0.55%	0.51%	0.00%	0.56%	0.44%	0.46%	0.47%	0.51%	0.00%	0.52%	0.51%	0.00%	0.47%	0.49%	0.00%	0.38%	0.28%	0.58%	0.50%	0.43%	0.49%	0.44%	0.49%	0.48%	0.48%	0.50%	0.53%	0.52%	0.52%	0.52%	0.50%	0.53%	0.52%	0.50%	0.47%	0.50%	0.47%	0.50%	0.50%	0.53%	0.50%	0.51%	0.07%	0.41%	0.52%	0.00%	0.00%	0.50%	0.49%	0.50%	0.29%	0.53%	0.00%	0.51%	0.00%	0.52%	0.53%	0.48%	0.47%	0.50%	0.49%	0.00%	0.45%	0.51%	0.51%	0.06%	0.50%	0.48%	0.58%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1001	12	17	15	10	0	9	7	13	11	16	0	4	18	14	16	14	0	16	10	14	18	17	17	28	16	12	17	14	13	13	15	17	14	13	15	12	13	17	14	16	12	15	14	18	30	17	17	2	1	18	18	16	14	11	27	15	1	19	15	16	17	18	18	28	18	16	18	2	16	10	17									
		1.03%	1.04%	0.99%	1.18%	1.02%	0.00%	1.00%	1.03%	0.99%	1.03%	1.01%	0.00%	1.05%	1.02%	1.34%	0.95%	0.99%	0.00%	0.87%	0.56%	1.01%	1.00%	0.91%	1.05%	1.76%	0.98%	0.97%	1.02%	1.01%	0.99%	0.97%	0.98%	0.99%	1.00%	0.99%	0.97%	0.99%	1.01%	0.95%	0.95%	1.00%	1.01%	0.99%	1.00%	1.02%	1.95%	1.17%	0.98%	0.83%	0.81%	0.99%	0.97%	0.99%	1.02%	0.97%	2.25%	0.96%	0.99%	0.99%	0.99%	0.97%	0.99%	1.01%	0.99%	1.58%	1.02%	1.02%	1.01%	0.12%	0.99%	0.96%	1.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	11414	136	203	150	115	0	105	80	155	126	186	1	45	207	107	199	167	0	218	197	163	212	199	191	183	194	146	196	164	156	159	180	201	165	155	183	142	151	210	174	188	141	177	165	209	180	141	205	11	9	207	218	190	162	134	184	184	2	227	179	196	202	211	215	216	211	185	210	216	190	125	203									
		11.76%	11.79%	11.89%	11.80%	11.77%	0.00%	11.67%	11.75%	11.81%	11.84%	11.77%	1.75%	11.78%	11.78%	10.26%	11.80%	11.78%	0.00%	11.80%	11.12%	11.73%	11.78%	10.61%	11.80%	11.52%	11.82%	11.77%	11.79%	11.81%	11.84%	11.81%	11.80%	11.70%	11.83%	11.78%	11.78%	11.78%	11.73%	11.74%	11.80%	11.77%	11.81%	11.79%	11.82%	11.79%	11.72%	9.67%	11.77%	4.56%	7.32%	11.49%	11.79%	11.79%	11.78%	11.78%	15.33%	11.83%	1.98%	11.81%	11.78%	11.82%	11.78%	11.80%	11.77%	12.18%	11.97%	11.78%	11.80%	12.47%	11.83%	11.97%	16.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1274	17	26	19	15	0	14	10	20	16	23	0	6	26	15	25	21	1	23	18	21	27	25	24	0	24	19	25	21	20	20	23	26	21	20	23	16	19	27	22	24	18	22	21	27	2	2	26	0	1	27	28	24	21	17	0	23	0	29	3	25	25	27	27	0	28	24	27	0	24	15	19									
		1.31%	1.47%	1.52%	1.49%	1.54%	0.00%	1.56%	1.47%	1.52%	1.50%	1.46%	0.00%	1.57%	1.48%	1.44%	1.48%	1.48%	0.64%	1.24%	1.02%	1.51%	1.50%	1.33%	1.48%	0.00%	1.46%	1.53%	1.50%	1.51%	1.52%	1.49%	1.51%	1.51%	1.51%	1.52%	1.48%	1.33%	1.48%	1.51%	1.49%	1.50%	1.51%	1.47%	1.50%	1.52%	0.13%	0.14%	1.49%	0.00%	0.81%	1.50%	1.51%	1.49%	1.53%	1.49%	0.00%	1.48%	0.00%	1.51%	0.20%	1.51%	1.46%	1.51%	1.48%	0.00%	1.59%	1.53%	1.52%	0.00%	1.49%	1.44%	1.58%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5962	70	104	77	59	0	55	42	80	65	96	0	23	107	62	103	87	1	113	108	85	110	103	99	97	100	76	101	85	80	84	93	104	85	80	95	74	78	110	90	98	73	92	85	108	95	99	106	9	6	111	113	99	84	69	59	95	2	117	95	101	108	109	111	109	106	96	109	178	99	65	75									
		6.14%	6.07%	6.09%	6.06%	6.04%	0.00%	6.11%	6.17%	6.09%	6.11%	6.08%	0.00%	6.02%	6.09%	5.94%	6.11%	6.14%	0.64%	6.11%	6.10%	6.12%	6.11%	5.49%	6.11%	6.11%	6.09%	6.13%	6.07%	6.12%	6.07%	6.24%	6.10%	6.05%	6.09%	6.08%	6.12%	6.14%	6.06%	6.15%	6.10%	6.14%	6.11%	6.13%	6.09%	6.09%	6.18%	6.79%	6.09%	3.73%	4.88%	6.16%	6.11%	6.14%	6.11%	6.06%	4.92%	6.11%	1.98%	6.09%	6.25%	6.09%	6.30%	6.10%	6.08%	6.15%	6.01%	6.11%	6.12%	10.28%	6.16%	6.23%	6.23%									
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
