Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Тернейская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712									
		0.67%	0.17%	0.19%	1.73%	0.41%	0.00%	0.76%	0.80%	0.00%	0.68%	0.90%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	8	13	12	0	1	1	1	0	0	1	0	0									
		1.13%	1.37%	2.52%	1.59%	0.00%	0.45%	0.38%	0.80%	0.00%	0.00%	0.90%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	1	2	1	0	0	0	0	1	0	0	0									
		0.18%	0.17%	0.19%	0.27%	0.41%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	6	4	11	4	2	4	1	4	1	2	1	0									
		1.22%	1.03%	0.78%	1.46%	1.66%	0.90%	1.52%	0.80%	5.33%	0.34%	1.80%	1.89%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	584	103	77	183	49	28	58	30	6	25	16	1	8									
		17.77%	17.67%	14.92%	24.30%	20.33%	12.67%	22.05%	24.00%	8.00%	8.47%	14.41%	1.89%	16.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	1	1	3	0	0	2	0	0	0	0	0	0									
		0.21%	0.17%	0.19%	0.40%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	124	32	21	29	4	6	9	8	5	5	2	2	1									
		3.77%	5.49%	4.07%	3.85%	1.66%	2.71%	3.42%	6.40%	6.67%	1.69%	1.80%	3.77%	2.00%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
