Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Кардымовская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239									
		1.99%	2.31%	1.94%	2.60%	2.22%	0.51%	0.00%	1.70%	4.17%	1.20%	2.48%	2.11%	0.88%	2.82%	1.30%	0.00%	1.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	66	12	6	8	0	3	1	6	8	1	5	0	4	2	3	5	2									
		1.83%	1.98%	1.66%	1.74%	0.00%	1.52%	1.69%	1.70%	3.33%	0.60%	4.13%	0.00%	1.76%	0.81%	3.90%	3.45%	1.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1813	269	178	201	52	75	35	217	102	103	58	70	139	142	44	62	66									
		50.26%	44.46%	49.31%	43.60%	57.78%	37.88%	59.32%	61.65%	42.50%	61.68%	47.93%	49.30%	61.23%	57.26%	57.14%	42.76%	57.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	3	2	1	0	1	0	1	1	0	0	0	0	2	1	1	0									
		0.36%	0.50%	0.55%	0.22%	0.00%	0.51%	0.00%	0.28%	0.42%	0.00%	0.00%	0.00%	0.00%	0.81%	1.30%	0.69%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	1	1	2	0	0	0	2	0	1	0	2	0	0	0	0	0									
		0.25%	0.17%	0.28%	0.43%	0.00%	0.00%	0.00%	0.57%	0.00%	0.60%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	830	158	76	113	18	60	17	57	61	27	20	34	47	62	11	38	31									
		23.01%	26.12%	21.05%	24.51%	20.00%	30.30%	28.81%	16.19%	25.42%	16.17%	16.53%	23.94%	20.70%	25.00%	14.29%	26.21%	27.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	3	1	1	0	0	0	0	0	0	0	0	2	1	0	1	0									
		0.25%	0.50%	0.28%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.40%	0.00%	0.69%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	7	3	6	0	1	0	1	2	0	0	1	0	0	0	0	0									
		0.58%	1.16%	0.83%	1.30%	0.00%	0.51%	0.00%	0.28%	0.83%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.28%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	3	4	5	1	1	1	5	2	2	0	2	0	0	0	0	0									
		0.72%	0.50%	1.11%	1.08%	1.11%	0.51%	1.69%	1.42%	0.83%	1.20%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	587	99	71	91	13	41	4	42	41	23	31	24	26	26	17	29	9									
		16.27%	16.36%	19.67%	19.74%	14.44%	20.71%	6.78%	11.93%	17.08%	13.77%	25.62%	16.90%	11.45%	10.48%	22.08%	20.00%	7.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	3	1	0	0	1	0	0	2	1	1	2	1	0	0	1	0									
		0.36%	0.50%	0.28%	0.00%	0.00%	0.51%	0.00%	0.00%	0.83%	0.60%	0.83%	1.41%	0.44%	0.00%	0.00%	0.69%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	64	19	6	8	3	3	0	3	7	3	0	3	3	1	0	4	1									
		1.77%	3.14%	1.66%	1.74%	3.33%	1.52%	0.00%	0.85%	2.92%	1.80%	0.00%	2.11%	1.32%	0.40%	0.00%	2.76%	0.88%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
