Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №17																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №2283	УИК №2284	УИК №2285									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3130	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	80	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1426	27	14	11	16	26	18	26	30	32	30	30	21	30	26	30	10	16	28	19	22	12	29	26	26	24	20	28	19	19	21	25	28	29	15	14	14	80	19	17	17	17	27	12	13	26	17	13	23	15	36	37	34	12	44	24	37	21	31	9	9	6	19	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	767	38	38	10	8	18	13	15	11	12	8	10	11	4	10	8	14	11	11	9	4	8	11	7	5	4	4	9	8	8	13	7	14	26	6	6	3	13	13	12	4	7	10	19	28	9	7	22	9	4	25	23	17	14	14	2	14	6	11	8	5	10	12	3	10	34									
14	Число погашенных неиспользованных открепительных удостоверений	1704	23	36	39	34	24	32	24	20	18	20	20	29	20	24	20	40	34	22	31	28	38	21	24	24	26	30	22	31	31	29	25	22	21	35	36	36	0	31	33	33	33	23	38	37	24	33	37	27	35	14	13	16	38	6	26	13	29	19	41	41	44	31	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	472	13	6	3	5	4	3	6	1	4	4	7	7	2	3	6	1	4	4	1	8	5	4	5	7	1	8	2	3	7	4	4	4	5	5	2	12	7	3	7	7	3	3	6	3	4	5	2	4	0	2	6	4	0	11	5	3	0	0	6	2	2	207	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	10	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1402	20	10	19	13	22	20	15	23	23	26	23	23	20	19	28	17	18	21	25	32	19	23	27	19	19	20	27	19	20	41	13	21	27	13	19	37	21	17	22	11	17	24	14	35	30	21	26	17	32	28	24	30	14	44	25	23	23	24	15	10	5	23	31	5	10									
		2.83%	3.34%	2.56%	3.61%	2.28%	2.80%	3.13%	2.26%	3.12%	2.80%	3.15%	2.90%	3.18%	2.83%	2.73%	3.44%	2.53%	3.07%	2.88%	2.84%	3.95%	2.89%	2.39%	2.74%	2.76%	2.78%	2.55%	4.39%	3.20%	2.97%	5.04%	1.63%	2.35%	2.99%	2.17%	3.60%	4.53%	1.90%	2.73%	3.31%	2.12%	3.09%	4.18%	2.46%	3.71%	3.34%	3.18%	3.68%	2.16%	4.72%	3.54%	2.43%	3.17%	2.30%	4.13%	2.62%	2.82%	2.59%	2.91%	4.70%	2.63%	1.90%	1.13%	1.37%	1.43%	1.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	517	4	3	5	6	9	10	4	9	8	4	5	12	10	4	5	11	6	18	10	8	7	9	7	7	5	0	8	10	5	5	8	10	6	8	9	9	7	7	5	4	9	7	6	12	11	14	10	8	18	4	8	14	3	13	8	11	7	3	6	2	1	14	29	3	9									
		1.04%	0.67%	0.77%	0.95%	1.05%	1.14%	1.57%	0.60%	1.22%	0.98%	0.48%	0.63%	1.66%	1.42%	0.58%	0.61%	1.64%	1.02%	2.47%	1.14%	0.99%	1.07%	0.94%	0.71%	1.02%	0.73%	0.00%	1.30%	1.68%	0.74%	0.61%	1.01%	1.12%	0.67%	1.34%	1.70%	1.10%	0.63%	1.13%	0.75%	0.77%	1.63%	1.22%	1.05%	1.27%	1.22%	2.12%	1.42%	1.02%	2.65%	0.51%	0.81%	1.48%	0.49%	1.22%	0.84%	1.35%	0.79%	0.36%	1.88%	0.53%	0.38%	0.69%	1.28%	0.86%	1.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1102	10	14	11	14	24	14	6	26	27	21	22	18	12	19	22	22	16	19	23	9	13	22	21	16	18	1	12	14	5	23	25	22	18	15	11	20	17	20	19	8	14	26	12	14	22	19	24	13	22	23	22	25	19	26	16	15	18	17	5	10	3	4	46	4	14									
		2.22%	1.67%	3.59%	2.09%	2.46%	3.05%	2.19%	0.90%	3.52%	3.29%	2.54%	2.77%	2.49%	1.70%	2.73%	2.70%	3.27%	2.73%	2.60%	2.62%	1.11%	1.98%	2.29%	2.13%	2.32%	2.63%	0.13%	1.95%	2.36%	0.74%	2.83%	3.14%	2.46%	1.99%	2.51%	2.08%	2.45%	1.54%	3.22%	2.86%	1.54%	2.54%	4.53%	2.11%	1.48%	2.45%	2.87%	3.40%	1.65%	3.24%	2.91%	2.23%	2.65%	3.12%	2.44%	1.68%	1.84%	2.03%	2.06%	1.57%	2.63%	1.14%	0.20%	2.04%	1.14%	1.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20398	196	157	254	249	312	228	297	276	291	305	318	288	325	254	357	238	231	268	364	331	250	387	528	280	252	432	240	210	233	307	290	322	474	237	181	299	466	211	259	207	218	180	224	356	329	241	221	301	223	244	307	347	247	408	328	247	320	321	124	173	86	1634	1147	146	422									
		41.18%	32.78%	40.26%	48.29%	43.76%	39.64%	35.74%	44.73%	37.40%	35.49%	36.92%	40.05%	39.78%	46.03%	36.55%	43.86%	35.42%	39.35%	36.71%	41.41%	40.86%	38.05%	40.27%	53.55%	40.64%	36.84%	55.10%	39.02%	35.35%	34.57%	37.71%	36.43%	35.98%	52.55%	39.63%	34.28%	36.64%	42.10%	33.92%	38.95%	39.88%	39.56%	31.36%	39.37%	37.71%	36.64%	36.46%	31.30%	38.20%	32.89%	30.89%	31.14%	36.72%	40.56%	38.31%	34.35%	30.23%	36.08%	38.86%	38.87%	45.53%	32.70%	80.61%	50.82%	41.71%	51.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	752	8	9	10	6	13	14	6	7	10	9	18	15	9	6	11	11	4	10	17	13	10	9	17	10	9	5	11	5	7	9	17	18	14	10	5	27	21	7	9	13	9	8	9	15	9	4	14	19	13	8	16	28	11	17	24	9	6	14	7	7	10	6	37	6	7									
		1.52%	1.34%	2.31%	1.90%	1.05%	1.65%	2.19%	0.90%	0.95%	1.22%	1.09%	2.27%	2.07%	1.27%	0.86%	1.35%	1.64%	0.68%	1.37%	1.93%	1.60%	1.52%	0.94%	1.72%	1.45%	1.32%	0.64%	1.79%	0.84%	1.04%	1.11%	2.14%	2.01%	1.55%	1.67%	0.95%	3.31%	1.90%	1.13%	1.35%	2.50%	1.63%	1.39%	1.58%	1.59%	1.00%	0.61%	1.98%	2.41%	1.92%	1.01%	1.62%	2.96%	1.81%	1.60%	2.51%	1.10%	0.68%	1.69%	2.19%	1.84%	3.80%	0.30%	1.64%	1.71%	0.85%									
24	"6. Политическая партия ""Гражданская Платформа"""	122	3	2	2	1	3	0	1	3	2	2	2	1	2	2	1	3	1	0	2	2	2	3	1	0	0	4	4	0	1	2	2	3	2	2	1	3	6	0	1	0	1	1	0	2	3	0	2	2	0	3	1	1	0	0	0	0	3	2	3	2	1	13	8	0	2									
		0.25%	0.50%	0.51%	0.38%	0.18%	0.38%	0.00%	0.15%	0.41%	0.24%	0.24%	0.25%	0.14%	0.28%	0.29%	0.12%	0.45%	0.17%	0.00%	0.23%	0.25%	0.30%	0.31%	0.10%	0.00%	0.00%	0.51%	0.65%	0.00%	0.15%	0.25%	0.25%	0.34%	0.22%	0.33%	0.19%	0.37%	0.54%	0.00%	0.15%	0.00%	0.18%	0.17%	0.00%	0.21%	0.33%	0.00%	0.28%	0.25%	0.00%	0.38%	0.10%	0.11%	0.00%	0.00%	0.00%	0.00%	0.34%	0.24%	0.94%	0.53%	0.38%	0.64%	0.35%	0.00%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5584	56	37	48	66	84	60	69	71	79	120	95	75	63	83	89	83	53	69	77	92	89	98	87	74	87	102	74	79	62	97	87	111	82	63	58	84	183	78	82	69	87	73	71	106	79	64	74	80	61	72	82	90	59	91	108	76	50	68	34	27	33	163	531	41	149									
		11.27%	9.36%	9.49%	9.13%	11.60%	10.67%	9.40%	10.39%	9.62%	9.63%	14.53%	11.96%	10.36%	8.92%	11.94%	10.93%	12.35%	9.03%	9.45%	8.76%	11.36%	13.55%	10.20%	8.82%	10.74%	12.72%	13.01%	12.03%	13.30%	9.20%	11.92%	10.93%	12.40%	9.09%	10.54%	10.98%	10.29%	16.53%	12.54%	12.33%	13.29%	15.79%	12.72%	12.48%	11.23%	8.80%	9.68%	10.48%	10.15%	8.99%	9.11%	8.32%	9.52%	9.69%	8.54%	11.31%	9.30%	5.64%	8.23%	10.66%	7.11%	12.55%	8.04%	23.53%	11.71%	18.17%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1151	15	15	6	15	20	22	12	18	15	20	18	15	23	20	25	10	6	18	25	18	14	20	18	7	30	1	10	15	11	23	12	16	15	10	13	35	26	17	15	6	12	19	10	8	22	15	11	15	6	23	32	35	21	31	29	24	25	25	7	14	14	6	83	8	6									
		2.32%	2.51%	3.85%	1.14%	2.64%	2.54%	3.45%	1.81%	2.44%	1.83%	2.42%	2.27%	2.07%	3.26%	2.88%	3.07%	1.49%	1.02%	2.47%	2.84%	2.22%	2.13%	2.08%	1.83%	1.02%	4.39%	0.13%	1.63%	2.53%	1.63%	2.83%	1.51%	1.79%	1.66%	1.67%	2.46%	4.29%	2.35%	2.73%	2.26%	1.16%	2.18%	3.31%	1.76%	0.85%	2.45%	2.27%	1.56%	1.90%	0.88%	2.91%	3.25%	3.70%	3.45%	2.91%	3.04%	2.94%	2.82%	3.03%	2.19%	3.68%	5.32%	0.30%	3.68%	2.29%	0.73%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3375	54	26	43	35	63	53	38	56	80	55	59	69	35	76	56	54	46	51	67	54	45	72	55	59	46	13	42	53	73	54	60	73	65	32	40	55	38	61	42	37	39	34	29	81	96	43	54	57	64	55	95	76	35	100	80	97	68	61	30	24	23	7	33	1	8									
		6.81%	9.03%	6.67%	8.17%	6.15%	8.01%	8.31%	5.72%	7.59%	9.76%	6.66%	7.43%	9.53%	4.96%	10.94%	6.88%	8.04%	7.84%	6.99%	7.62%	6.67%	6.85%	7.49%	5.58%	8.56%	6.73%	1.66%	6.83%	8.92%	10.83%	6.63%	7.54%	8.16%	7.21%	5.35%	7.58%	6.74%	3.43%	9.81%	6.32%	7.13%	7.08%	5.92%	5.10%	8.58%	10.69%	6.51%	7.65%	7.23%	9.44%	6.96%	9.63%	8.04%	5.75%	9.39%	8.38%	11.87%	7.67%	7.38%	9.40%	6.32%	8.75%	0.35%	1.46%	0.29%	0.98%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	160	7	1	3	0	0	1	2	4	3	2	1	3	0	0	2	5	3	2	2	2	6	4	2	6	1	2	3	1	2	4	3	4	3	0	4	10	2	1	2	3	1	0	4	2	0	2	0	1	2	4	1	1	1	4	6	1	4	4	0	1	0	4	7	1	3									
		0.32%	1.17%	0.26%	0.57%	0.00%	0.00%	0.16%	0.30%	0.54%	0.37%	0.24%	0.13%	0.41%	0.00%	0.00%	0.25%	0.74%	0.51%	0.27%	0.23%	0.25%	0.91%	0.42%	0.20%	0.87%	0.15%	0.26%	0.49%	0.17%	0.30%	0.49%	0.38%	0.45%	0.33%	0.00%	0.76%	1.23%	0.18%	0.16%	0.30%	0.58%	0.18%	0.00%	0.70%	0.21%	0.00%	0.30%	0.00%	0.13%	0.29%	0.51%	0.10%	0.11%	0.16%	0.38%	0.63%	0.12%	0.45%	0.48%	0.00%	0.26%	0.00%	0.20%	0.31%	0.29%	0.37%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4718	74	34	43	40	81	78	59	85	70	93	62	63	66	52	59	74	78	72	85	82	42	93	50	55	54	17	51	40	104	82	65	86	97	50	53	87	70	63	65	47	54	56	52	90	101	65	67	77	88	143	199	127	62	141	146	149	159	107	34	46	36	15	57	11	15									
		9.52%	12.37%	8.72%	8.17%	7.03%	10.29%	12.23%	8.89%	11.52%	8.54%	11.26%	7.81%	8.70%	9.35%	7.48%	7.25%	11.01%	13.29%	9.86%	9.67%	10.12%	6.39%	9.68%	5.07%	7.98%	7.89%	2.17%	8.29%	6.73%	15.43%	10.07%	8.17%	9.61%	10.75%	8.36%	10.04%	10.66%	6.32%	10.13%	9.77%	9.06%	9.80%	9.76%	9.14%	9.53%	11.25%	9.83%	9.49%	9.77%	12.98%	18.10%	20.18%	13.44%	10.18%	13.24%	15.29%	18.24%	17.93%	12.95%	10.66%	12.11%	13.69%	0.74%	2.53%	3.14%	1.83%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5370	99	46	43	66	88	80	88	88	111	91	78	81	89	107	92	73	70	106	101	103	92	144	84	91	84	134	76	85	99	100	104	113	0	74	78	86	137	61	79	60	58	81	69	119	98	77	102	99	71	103	106	85	75	120	85	75	124	89	29	31	30	74	56	6	27									
		10.84%	16.56%	11.79%	8.17%	11.60%	11.18%	12.54%	13.25%	11.92%	13.54%	11.02%	9.82%	11.19%	12.61%	15.40%	11.30%	10.86%	11.93%	14.52%	11.49%	12.72%	14.00%	14.98%	8.52%	13.21%	12.28%	17.09%	12.36%	14.31%	14.69%	12.29%	13.07%	12.63%	0.00%	12.37%	14.77%	10.54%	12.38%	9.81%	11.88%	11.56%	10.53%	14.11%	12.13%	12.61%	10.91%	11.65%	14.45%	12.56%	10.47%	13.04%	10.75%	8.99%	12.32%	11.27%	8.90%	9.18%	13.98%	10.77%	9.09%	8.16%	11.41%	3.65%	2.48%	1.71%	3.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	228	3	3	1	6	6	2	1	2	1	3	9	3	1	1	6	5	3	3	1	3	4	8	4	1	6	4	1	6	3	2	8	2	4	6	0	3	8	1	6	2	2	1	2	6	4	3	1	5	2	7	5	5	3	4	2	5	1	1	1	1	2	3	13	1	6									
		0.46%	0.50%	0.77%	0.19%	1.05%	0.76%	0.31%	0.15%	0.27%	0.12%	0.36%	1.13%	0.41%	0.14%	0.14%	0.74%	0.74%	0.51%	0.41%	0.11%	0.37%	0.61%	0.83%	0.41%	0.15%	0.88%	0.51%	0.16%	1.01%	0.45%	0.25%	1.01%	0.22%	0.44%	1.00%	0.00%	0.37%	0.72%	0.16%	0.90%	0.39%	0.36%	0.17%	0.35%	0.64%	0.45%	0.45%	0.14%	0.63%	0.29%	0.89%	0.51%	0.53%	0.49%	0.38%	0.21%	0.61%	0.11%	0.12%	0.31%	0.26%	0.76%	0.15%	0.58%	0.29%	0.73%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3337	35	22	29	41	42	47	50	54	48	59	51	43	28	35	50	46	39	57	55	47	51	65	72	46	53	34	43	38	45	55	76	80	74	68	45	53	74	57	53	38	25	38	39	82	64	70	44	78	65	48	72	60	47	60	83	63	68	69	22	28	13	25	130	5	41									
		6.74%	5.85%	5.64%	5.51%	7.21%	5.34%	7.37%	7.53%	7.32%	5.85%	7.14%	6.42%	5.94%	3.97%	5.04%	6.14%	6.85%	6.64%	7.81%	6.26%	5.80%	7.76%	6.76%	7.30%	6.68%	7.75%	4.34%	6.99%	6.40%	6.68%	6.76%	9.55%	8.94%	8.20%	11.37%	8.52%	6.50%	6.68%	9.16%	7.97%	7.32%	4.54%	6.62%	6.85%	8.69%	7.13%	10.59%	6.23%	9.90%	9.59%	6.08%	7.30%	6.35%	7.72%	5.63%	8.69%	7.71%	7.67%	8.35%	6.90%	7.37%	4.94%	1.23%	5.76%	1.43%	5.00%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
