Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Кувандыкская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №307	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №1825					
18	1.Политическая партия «Аграрная партия России»	725	3	20	12	18	5	5	5	8	6	30	6	6	9	10	19	3	0	15	4	7	0	40	6	2	0	23	32	9	3	24	22	15	2	8	25	10	0	3	1	26	14	8	28	2	1	8	1	1	2	18	4	11	7	17	16	19	9	24	12	10	2	15	13	11	22	2	6					
		3.37%	2.34%	4.46%	3.75%	2.64%	4.72%	2.89%	3.40%	1.99%	4.69%	8.82%	2.48%	5.41%	2.32%	9.43%	4.35%	1.09%	0.00%	3.89%	7.02%	8.86%	0.00%	6.41%	3.51%	2.86%	0.00%	6.52%	10.49%	2.99%	2.75%	5.44%	9.21%	7.35%	1.27%	3.54%	7.27%	4.26%	0.00%	2.40%	1.61%	8.67%	7.29%	6.11%	8.86%	4.65%	2.50%	3.94%	0.99%	1.82%	6.25%	6.19%	3.57%	3.03%	1.30%	2.05%	2.10%	1.83%	2.15%	2.69%	2.33%	1.41%	0.60%	1.88%	2.26%	1.46%	1.87%	0.75%	1.17%					
19	2.Всероссийская политическая партия «Гражданская Сила»	108	0	0	6	3	0	0	1	1	0	2	1	1	0	0	7	2	0	1	1	1	0	0	1	2	0	1	1	1	0	1	1	0	0	0	2	4	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	7	3	5	4	2	2	7	2	11	2	2	9	1	5					
		0.50%	0.00%	0.00%	1.88%	0.44%	0.00%	0.00%	0.68%	0.25%	0.00%	0.59%	0.41%	0.90%	0.00%	0.00%	1.60%	0.72%	0.00%	0.26%	1.75%	1.27%	0.00%	0.00%	0.58%	2.86%	0.00%	0.28%	0.33%	0.33%	0.00%	0.23%	0.42%	0.00%	0.00%	0.00%	0.58%	1.70%	0.00%	0.00%	1.61%	0.33%	0.00%	0.00%	0.63%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.39%	0.48%	0.96%	0.22%	0.39%	0.99%	0.60%	1.38%	0.35%	0.27%	0.76%	0.38%	0.98%					
20	3.Политическая партия «Демократическая партия России»	32	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	3	1	3	0	0	0	1	0	4	0	0	1	0	3					
		0.15%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	1.27%	0.00%	0.48%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.36%	0.13%	0.29%	0.00%	0.00%	0.00%	0.14%	0.00%	0.50%	0.00%	0.00%	0.08%	0.00%	0.59%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3548	28	86	68	117	24	23	39	56	17	36	31	14	121	14	66	44	13	52	3	9	1	146	50	21	16	49	36	69	18	59	67	36	26	37	44	40	0	15	12	44	18	23	45	11	13	22	9	17	3	68	23	40	68	127	96	165	63	136	70	98	59	125	116	119	259	37	71					
		16.50%	21.88%	19.20%	21.25%	17.13%	22.64%	13.29%	26.53%	13.97%	13.28%	10.59%	12.81%	12.61%	31.19%	13.21%	15.10%	15.94%	7.74%	13.47%	5.26%	11.39%	6.25%	23.40%	29.24%	30.00%	29.63%	13.88%	11.80%	22.92%	16.51%	13.38%	28.03%	17.65%	16.56%	16.37%	12.79%	17.02%	0.00%	12.00%	19.35%	14.67%	9.38%	17.56%	14.24%	25.58%	32.50%	10.84%	8.91%	30.91%	9.38%	23.37%	20.54%	11.02%	12.62%	15.32%	12.58%	15.85%	15.07%	15.23%	13.59%	13.86%	17.72%	15.64%	20.14%	15.78%	21.99%	13.91%	13.87%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	192	1	9	2	3	1	0	0	11	1	0	0	0	1	4	3	0	0	0	1	0	0	3	0	0	0	1	1	0	1	3	0	0	0	1	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	11	0	1	10	15	10	10	7	4	3	4	7	17	7	9	10	6	6					
		0.89%	0.78%	2.01%	0.63%	0.44%	0.94%	0.00%	0.00%	2.74%	0.78%	0.00%	0.00%	0.00%	0.26%	3.77%	0.69%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.28%	0.33%	0.00%	0.92%	0.68%	0.00%	0.00%	0.00%	0.44%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.78%	0.00%	0.28%	1.86%	1.81%	1.31%	0.96%	1.67%	0.45%	0.58%	0.57%	2.10%	2.13%	1.22%	1.19%	0.85%	2.26%	1.17%					
23	6.Политическая партия «Партия социальной справедливости»	39	0	2	0	0	0	0	0	0	0	2	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	5	0	1	0	6	0	1	1	0	5	0	1					
		0.18%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.52%	0.94%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.19%	0.24%	0.13%	0.48%	0.00%	0.11%	0.00%	0.85%	0.00%	0.13%	0.17%	0.00%	0.42%	0.00%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	1530	5	21	23	75	5	9	11	27	6	14	36	4	18	11	37	29	12	27	3	1	0	50	6	3	1	18	23	17	11	26	5	7	7	12	18	14	3	10	8	31	10	8	15	4	1	14	13	5	6	13	2	23	41	57	47	78	39	85	38	69	38	53	34	60	88	8	37					
		7.11%	3.91%	4.69%	7.19%	10.98%	4.72%	5.20%	7.48%	6.73%	4.69%	4.12%	14.88%	3.60%	4.64%	10.38%	8.47%	10.51%	7.14%	6.99%	5.26%	1.27%	0.00%	8.01%	3.51%	4.29%	1.85%	5.10%	7.54%	5.65%	10.09%	5.90%	2.09%	3.43%	4.46%	5.31%	5.23%	5.96%	6.98%	8.00%	12.90%	10.33%	5.21%	6.11%	4.75%	9.30%	2.50%	6.90%	12.87%	9.09%	18.75%	4.47%	1.79%	6.34%	7.61%	6.88%	6.16%	7.49%	9.33%	9.52%	7.38%	9.76%	11.41%	6.63%	5.90%	7.96%	7.47%	3.01%	7.23%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1538	9	44	23	34	5	15	5	23	8	21	19	4	14	2	34	20	12	28	1	1	1	34	8	3	1	14	22	20	6	35	2	8	22	9	21	12	1	11	4	16	11	6	20	0	3	27	7	1	1	19	5	19	21	100	64	94	24	51	34	46	21	78	64	89	110	26	25					
		7.15%	7.03%	9.82%	7.19%	4.98%	4.72%	8.67%	3.40%	5.74%	6.25%	6.18%	7.85%	3.60%	3.61%	1.89%	7.78%	7.25%	7.14%	7.25%	1.75%	1.27%	6.25%	5.45%	4.68%	4.29%	1.85%	3.97%	7.21%	6.64%	5.50%	7.94%	0.84%	3.92%	14.01%	3.98%	6.10%	5.11%	2.33%	8.80%	6.45%	5.33%	5.73%	4.58%	6.33%	0.00%	7.50%	13.30%	6.93%	1.82%	3.13%	6.53%	4.46%	5.23%	3.90%	12.06%	8.39%	9.03%	5.74%	5.71%	6.60%	6.51%	6.31%	9.76%	11.11%	11.80%	9.34%	9.77%	4.88%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	131	0	4	3	2	3	1	0	2	0	0	1	0	0	0	3	0	2	1	0	1	0	1	0	0	0	0	3	2	2	2	0	1	1	0	1	0	0	1	0	0	2	1	2	0	0	1	0	0	0	4	0	3	3	6	6	5	1	7	7	3	2	7	6	2	16	6	4					
		0.61%	0.00%	0.89%	0.94%	0.29%	2.83%	0.58%	0.00%	0.50%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.69%	0.00%	1.19%	0.26%	0.00%	1.27%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.98%	0.66%	1.83%	0.45%	0.00%	0.49%	0.64%	0.00%	0.29%	0.00%	0.00%	0.80%	0.00%	0.00%	1.04%	0.76%	0.63%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	1.37%	0.00%	0.83%	0.56%	0.72%	0.79%	0.48%	0.24%	0.78%	1.36%	0.42%	0.60%	0.88%	1.04%	0.27%	1.36%	2.26%	0.78%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	13339	79	252	179	420	58	112	85	265	89	226	143	81	215	64	262	174	128	257	44	56	14	339	98	39	36	240	187	181	67	287	137	135	99	149	226	153	39	84	34	177	134	83	192	26	22	124	69	31	20	150	75	262	376	482	505	646	259	572	345	455	197	474	324	451	635	172	348					
		62.03%	61.72%	56.25%	55.94%	61.49%	54.72%	64.74%	57.82%	66.08%	69.53%	66.47%	59.09%	72.97%	55.41%	60.38%	59.95%	63.04%	76.19%	66.58%	77.19%	70.89%	87.50%	54.33%	57.31%	55.71%	66.67%	67.99%	61.31%	60.13%	61.47%	65.08%	57.32%	66.18%	63.06%	65.93%	65.70%	65.11%	90.70%	67.20%	54.84%	59.00%	69.79%	63.36%	60.76%	60.47%	55.00%	61.08%	68.32%	56.36%	62.50%	51.55%	66.96%	72.18%	69.76%	58.14%	66.19%	62.06%	61.96%	64.05%	66.99%	64.36%	59.16%	59.32%	56.25%	59.81%	53.90%	64.66%	67.97%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	120	0	4	3	3	2	2	1	2	0	3	3	0	3	0	3	1	0	2	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	2	1	0	0	1	0	1	1	0	2	0	0	3	0	0	0	1	0	0	4	4	8	7	9	2	3	3	1	8	3	3	14	0	1					
		0.56%	0.00%	0.89%	0.94%	0.44%	1.89%	1.16%	0.68%	0.50%	0.00%	0.88%	1.24%	0.00%	0.77%	0.00%	0.69%	0.36%	0.00%	0.52%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.42%	0.00%	0.00%	0.88%	0.29%	0.00%	0.00%	0.80%	0.00%	0.33%	0.52%	0.00%	0.63%	0.00%	0.00%	1.48%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.74%	0.48%	1.05%	0.67%	2.15%	0.22%	0.58%	0.42%	0.30%	1.00%	0.52%	0.40%	1.19%	0.00%	0.20%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
