Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Тула, Пролетарская"																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1555	10	30	30	15	20	10	30	20	10	20	35	25	35	20	35	35	25	20	20	30	30	30	20	30	20	30	20	20	20	20	20	20	35	20	30	30	30	20	40	30	30	20	20	40	20	15	25	25	50	20	15	25	30	20	10	20	15	20	20	20	15	20	15	40	15	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1153	8	19	26	6	15	3	22	14	3	14	35	25	32	15	27	29	14	17	19	24	17	28	17	21	18	22	11	14	11	20	15	10	25	19	23	21	20	16	28	19	20	16	18	33	9	12	15	21	36	12	10	18	27	12	0	20	15	17	17	11	12	15	10	28	7	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1139	7	17	12	14	15	9	15	12	13	21	10	10	8	12	3	16	19	24	5	12	13	12	17	13	18	16	9	11	12	5	9	29	22	11	9	8	18	13	9	13	6	13	2	23	10	4	14	4	9	0	11	7	12	37	11	26	25	16	15	9	3	17	5	5	36	16	7	0	54	0	174	9	26	0	12									
14	Число погашенных неиспользованных открепительных удостоверений	402	2	11	4	9	5	7	8	6	7	6	0	0	3	5	8	6	11	3	1	6	13	2	3	9	2	8	9	6	9	0	5	10	10	1	7	9	10	4	12	11	10	4	2	7	11	3	10	4	14	8	5	7	3	8	10	0	0	3	3	9	3	5	5	12	8	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	212	0	2	3	3	4	3	5	2	0	6	3	5	2	3	2	3	6	5	2	2	3	7	2	1	4	1	1	4	5	4	4	4	7	1	5	6	6	4	2	3	1	3	5	12	5	1	2	4	5	0	5	1	10	0	2	0	1	5	3	2	1	2	1	6	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1070	7	5	11	14	21	4	19	8	3	18	42	27	15	22	19	30	18	22	29	35	19	34	22	17	12	11	9	14	11	11	12	14	31	15	19	16	19	18	19	8	16	8	14	24	11	11	14	12	16	9	20	18	12	8	6	15	11	14	28	9	12	8	18	16	6	0	1	3	2	5	15	1	2	2	3									
		2.30%	2.35%	0.99%	2.26%	2.45%	2.56%	1.64%	2.53%	1.47%	1.04%	2.04%	3.79%	2.42%	1.65%	2.88%	2.35%	2.85%	2.26%	2.42%	3.62%	4.46%	2.87%	2.83%	2.66%	2.12%	1.80%	1.70%	1.62%	1.99%	2.66%	1.64%	2.39%	2.53%	2.97%	1.74%	2.20%	2.02%	2.31%	2.40%	2.72%	1.77%	2.52%	1.54%	1.88%	2.18%	1.52%	2.32%	2.45%	1.70%	1.69%	2.15%	3.52%	2.17%	1.55%	1.93%	2.99%	3.18%	1.84%	2.10%	3.45%	1.32%	2.25%	1.68%	2.93%	1.88%	1.27%	0.00%	1.96%	4.29%	1.23%	2.03%	1.99%	0.87%	1.79%	1.75%	2.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1079	13	11	12	6	19	7	15	14	9	17	3	22	14	20	26	17	16	21	14	22	20	26	26	24	8	20	14	13	16	16	5	5	26	17	24	15	18	18	22	13	10	17	23	31	20	12	18	9	21	19	12	20	20	8	9	8	6	8	27	16	7	13	6	24	9	2	3	2	2	13	32	2	2	3	1									
		2.32%	4.36%	2.19%	2.47%	1.05%	2.32%	2.87%	2.00%	2.56%	3.11%	1.92%	0.27%	1.97%	1.54%	2.61%	3.21%	1.61%	2.01%	2.31%	1.75%	2.81%	3.03%	2.16%	3.15%	2.99%	1.20%	3.09%	2.52%	1.85%	3.86%	2.39%	0.99%	0.90%	2.49%	1.97%	2.78%	1.89%	2.19%	2.40%	3.15%	2.87%	1.58%	3.27%	3.10%	2.82%	2.76%	2.53%	3.15%	1.27%	2.22%	4.53%	2.11%	2.41%	2.59%	1.93%	4.48%	1.70%	1.01%	1.20%	3.33%	2.35%	1.31%	2.73%	0.98%	2.82%	1.91%	3.85%	5.88%	2.86%	1.23%	5.28%	4.26%	1.74%	1.79%	2.63%	0.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1413	8	16	18	12	27	9	15	0	7	28	14	27	65	16	31	34	38	33	22	18	27	27	16	21	12	30	10	18	6	16	18	12	27	34	21	25	25	31	20	18	20	18	28	33	27	9	18	26	29	13	17	14	27	15	5	17	22	15	16	25	12	13	25	32	15	1	2	2	1	15	37	4	1	4	3									
		3.04%	2.68%	3.18%	3.70%	2.10%	3.29%	3.69%	2.00%	0.00%	2.42%	3.17%	1.26%	2.42%	7.16%	2.09%	3.83%	3.23%	4.78%	3.63%	2.74%	2.30%	4.08%	2.25%	1.94%	2.62%	1.80%	4.64%	1.80%	2.57%	1.45%	2.39%	3.58%	2.17%	2.59%	3.94%	2.44%	3.15%	3.04%	4.13%	2.86%	3.97%	3.15%	3.46%	3.77%	3.00%	3.72%	1.89%	3.15%	3.68%	3.06%	3.10%	2.99%	1.69%	3.50%	3.62%	2.49%	3.61%	3.69%	2.25%	1.97%	3.68%	2.25%	2.73%	4.07%	3.76%	3.18%	1.92%	3.92%	2.86%	0.61%	6.10%	4.92%	3.48%	0.89%	3.51%	2.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20540	142	224	194	240	311	97	370	258	128	398	605	603	358	300	338	428	307	371	351	356	289	538	341	317	294	282	257	357	188	316	231	256	433	367	346	351	354	299	303	217	266	219	293	468	375	200	205	308	404	169	257	398	366	177	91	218	277	300	348	276	260	179	248	359	218	28	30	45	112	127	351	66	63	65	59									
		44.16%	47.65%	44.53%	39.92%	41.96%	37.93%	39.75%	49.33%	47.25%	44.29%	45.02%	54.55%	53.98%	39.43%	39.22%	41.73%	40.65%	38.62%	40.86%	43.77%	45.41%	43.72%	44.80%	41.28%	39.48%	44.01%	43.59%	46.31%	50.93%	45.41%	47.16%	45.92%	46.21%	41.51%	42.48%	40.14%	44.21%	43.07%	39.81%	43.35%	47.90%	41.96%	42.12%	39.43%	42.58%	51.72%	42.11%	35.90%	43.63%	42.62%	40.33%	45.25%	48.01%	47.41%	42.75%	45.27%	46.28%	46.40%	44.98%	42.91%	40.59%	48.78%	37.53%	40.39%	42.14%	46.19%	53.85%	58.82%	64.29%	68.71%	51.63%	46.68%	57.39%	56.25%	57.02%	55.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	634	1	6	7	13	7	2	12	3	5	13	6	9	19	10	14	17	14	15	15	14	13	23	16	14	16	11	8	2	8	4	8	3	13	9	6	13	12	10	2	1	13	5	14	11	12	7	10	9	17	5	5	10	6	8	2	4	2	9	13	10	6	8	4	10	8	0	1	2	3	2	14	2	4	2	2									
		1.36%	0.34%	1.19%	1.44%	2.27%	0.85%	0.82%	1.60%	0.55%	1.73%	1.47%	0.54%	0.81%	2.09%	1.31%	1.73%	1.61%	1.76%	1.65%	1.87%	1.79%	1.97%	1.92%	1.94%	1.74%	2.40%	1.70%	1.44%	0.29%	1.93%	0.60%	1.59%	0.54%	1.25%	1.04%	0.70%	1.64%	1.46%	1.33%	0.29%	0.22%	2.05%	0.96%	1.88%	1.00%	1.66%	1.47%	1.75%	1.27%	1.79%	1.19%	0.88%	1.21%	0.78%	1.93%	0.99%	0.85%	0.34%	1.35%	1.60%	1.47%	1.13%	1.68%	0.65%	1.17%	1.69%	0.00%	1.96%	2.86%	1.84%	0.81%	1.86%	1.74%	3.57%	1.75%	1.87%									
24	"6. Политическая партия ""Гражданская Платформа"""	77	0	1	0	4	2	1	3	2	1	3	0	4	1	1	0	2	1	1	0	2	1	4	0	0	3	2	0	0	0	1	0	0	2	1	0	2	2	0	0	1	1	0	0	2	2	1	1	1	1	0	0	1	2	0	0	2	1	0	2	3	2	0	1	2	0	0	0	0	0	1	2	1	0	0	0									
		0.17%	0.00%	0.20%	0.00%	0.70%	0.24%	0.41%	0.40%	0.37%	0.35%	0.34%	0.00%	0.36%	0.11%	0.13%	0.00%	0.19%	0.13%	0.11%	0.00%	0.26%	0.15%	0.33%	0.00%	0.00%	0.45%	0.31%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.19%	0.12%	0.00%	0.25%	0.24%	0.00%	0.00%	0.22%	0.16%	0.00%	0.00%	0.18%	0.28%	0.21%	0.18%	0.14%	0.11%	0.00%	0.00%	0.12%	0.26%	0.00%	0.00%	0.42%	0.17%	0.00%	0.25%	0.44%	0.38%	0.00%	0.16%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.27%	0.87%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6968	67	83	85	80	134	46	137	100	53	101	128	127	117	105	84	165	109	141	117	74	80	141	102	115	123	111	99	98	75	99	91	90	169	148	127	119	110	108	127	78	75	80	114	167	104	76	72	121	146	45	93	134	129	77	32	91	96	105	123	107	76	84	90	109	95	10	5	7	27	41	102	19	23	14	16									
		14.98%	22.48%	16.50%	17.49%	13.99%	16.34%	18.85%	18.27%	18.32%	18.34%	11.43%	11.54%	11.37%	12.89%	13.73%	10.37%	15.67%	13.71%	15.53%	14.59%	9.44%	12.10%	11.74%	12.35%	14.32%	18.41%	17.16%	17.84%	13.98%	18.12%	14.78%	18.09%	16.25%	16.20%	17.13%	14.73%	14.99%	13.38%	14.38%	18.17%	17.22%	11.83%	15.38%	15.34%	15.20%	14.34%	16.00%	12.61%	17.14%	15.40%	10.74%	16.37%	16.16%	16.71%	18.60%	15.92%	19.32%	16.08%	15.74%	15.17%	15.74%	14.26%	17.61%	14.66%	12.79%	20.13%	19.23%	9.80%	10.00%	16.56%	16.67%	13.56%	16.52%	20.54%	12.28%	14.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	549	2	9	10	2	7	3	8	3	2	15	7	10	12	15	6	18	10	9	15	12	6	15	12	14	9	13	5	7	2	3	10	7	9	18	23	9	5	9	7	1	9	8	10	7	1	7	2	12	10	6	8	7	5	4	4	3	7	6	19	9	4	4	7	12	4	0	0	0	1	1	7	1	1	2	2									
		1.18%	0.67%	1.79%	2.06%	0.35%	0.85%	1.23%	1.07%	0.55%	0.69%	1.70%	0.63%	0.90%	1.32%	1.96%	0.74%	1.71%	1.26%	0.99%	1.87%	1.53%	0.91%	1.25%	1.45%	1.74%	1.35%	2.01%	0.90%	0.99%	0.48%	0.45%	1.99%	1.26%	0.86%	2.08%	2.67%	1.13%	0.61%	1.20%	1.00%	0.22%	1.42%	1.54%	1.35%	0.64%	0.14%	1.47%	0.35%	1.70%	1.05%	1.43%	1.41%	0.84%	0.65%	0.97%	1.99%	0.64%	1.17%	0.90%	2.34%	1.32%	0.75%	0.84%	1.14%	1.41%	0.85%	0.00%	0.00%	0.00%	0.61%	0.41%	0.93%	0.87%	0.89%	1.75%	1.87%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	699	2	9	5	2	15	4	17	6	4	19	5	20	20	8	16	14	8	33	11	10	4	32	14	14	13	9	7	11	6	9	8	8	13	9	9	8	12	12	6	12	11	7	10	17	6	7	10	11	14	9	6	10	7	8	4	2	4	13	7	13	11	8	12	11	11	0	1	0	1	0	21	1	1	0	1									
		1.50%	0.67%	1.79%	1.03%	0.35%	1.83%	1.64%	2.27%	1.10%	1.38%	2.15%	0.45%	1.79%	2.20%	1.05%	1.98%	1.33%	1.01%	3.63%	1.37%	1.28%	0.61%	2.66%	1.69%	1.74%	1.95%	1.39%	1.26%	1.57%	1.45%	1.34%	1.59%	1.44%	1.25%	1.04%	1.04%	1.01%	1.46%	1.60%	0.86%	2.65%	1.74%	1.35%	1.35%	1.55%	0.83%	1.47%	1.75%	1.56%	1.48%	2.15%	1.06%	1.21%	0.91%	1.93%	1.99%	0.42%	0.67%	1.95%	0.86%	1.91%	2.06%	1.68%	1.95%	1.29%	2.33%	0.00%	1.96%	0.00%	0.61%	0.00%	2.79%	0.87%	0.89%	0.00%	0.93%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	58	0	0	0	0	0	2	1	2	0	2	0	0	1	1	0	4	1	0	0	0	2	3	1	1	0	1	0	1	0	0	0	1	0	0	1	2	1	2	2	0	2	1	0	3	0	0	1	1	2	0	1	1	1	0	0	3	1	2	0	0	1	0	2	0	0	0	0	0	0	1	3	0	0	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.13%	0.37%	0.00%	0.23%	0.00%	0.00%	0.11%	0.13%	0.00%	0.38%	0.13%	0.00%	0.00%	0.00%	0.30%	0.25%	0.12%	0.12%	0.00%	0.15%	0.00%	0.14%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.12%	0.25%	0.12%	0.27%	0.29%	0.00%	0.32%	0.19%	0.00%	0.27%	0.00%	0.00%	0.18%	0.14%	0.21%	0.00%	0.18%	0.12%	0.13%	0.00%	0.00%	0.64%	0.17%	0.30%	0.00%	0.00%	0.19%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.40%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1382	2	17	11	18	23	8	22	15	3	20	41	24	51	31	22	31	29	37	28	26	15	49	40	21	33	13	25	12	11	18	12	25	36	19	20	25	22	28	17	7	27	11	14	33	14	13	16	17	42	8	13	10	18	16	1	11	15	21	26	21	15	18	23	39	12	0	0	0	2	2	6	3	5	2	1									
		2.97%	0.67%	3.38%	2.26%	3.15%	2.80%	3.28%	2.93%	2.75%	1.04%	2.26%	3.70%	2.15%	5.62%	4.05%	2.72%	2.94%	3.65%	4.07%	3.49%	3.32%	2.27%	4.08%	4.84%	2.62%	4.94%	2.01%	4.50%	1.71%	2.66%	2.69%	2.39%	4.51%	3.45%	2.20%	2.32%	3.15%	2.68%	3.73%	2.43%	1.55%	4.26%	2.12%	1.88%	3.00%	1.93%	2.74%	2.80%	2.41%	4.43%	1.91%	2.29%	1.21%	2.33%	3.86%	0.50%	2.34%	2.51%	3.15%	3.21%	3.09%	2.81%	3.77%	3.75%	4.58%	2.54%	0.00%	0.00%	0.00%	1.23%	0.81%	0.80%	2.61%	4.46%	1.75%	0.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7272	43	84	85	105	169	36	88	96	53	139	160	133	117	133	127	162	137	127	129	116	94	174	158	148	101	87	87	106	56	119	63	82	168	117	153	129	151	108	108	63	102	97	127	168	102	85	116	106	147	81	82	129	114	58	36	66	103	117	122	116	77	89	109	144	69	5	4	7	6	21	123	7	4	13	9									
		15.63%	14.43%	16.70%	17.49%	18.36%	20.61%	14.75%	11.73%	17.58%	18.34%	15.72%	14.43%	11.91%	12.89%	17.39%	15.68%	15.38%	17.23%	13.99%	16.08%	14.80%	14.22%	14.49%	19.13%	18.43%	15.12%	13.45%	15.68%	15.12%	13.53%	17.76%	12.52%	14.80%	16.11%	13.54%	17.75%	16.25%	18.37%	14.38%	15.45%	13.91%	16.09%	18.65%	17.09%	15.29%	14.07%	17.89%	20.32%	15.01%	15.51%	19.33%	14.44%	15.56%	14.77%	14.01%	17.91%	14.01%	17.25%	17.54%	15.04%	17.06%	14.45%	18.66%	17.75%	16.90%	14.62%	9.62%	7.84%	10.00%	3.68%	8.54%	16.36%	6.09%	3.57%	11.40%	8.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	196	0	1	3	2	2	2	5	8	2	5	2	3	1	5	3	8	1	0	4	4	2	3	1	5	2	6	2	3	1	3	4	2	3	2	2	3	2	1	1	1	4	4	4	7	3	3	2	3	2	1	6	3	3	1	0	1	0	1	3	1	2	5	2	3	2	2	0	0	1	3	4	0	0	2	8									
		0.42%	0.00%	0.20%	0.62%	0.35%	0.24%	0.82%	0.67%	1.47%	0.69%	0.57%	0.18%	0.27%	0.11%	0.65%	0.37%	0.76%	0.13%	0.00%	0.50%	0.51%	0.30%	0.25%	0.12%	0.62%	0.30%	0.93%	0.36%	0.43%	0.24%	0.45%	0.80%	0.36%	0.29%	0.23%	0.23%	0.38%	0.24%	0.13%	0.14%	0.22%	0.63%	0.77%	0.54%	0.64%	0.41%	0.63%	0.35%	0.42%	0.21%	0.24%	1.06%	0.36%	0.39%	0.24%	0.00%	0.21%	0.00%	0.15%	0.37%	0.15%	0.38%	1.05%	0.33%	0.35%	0.42%	3.85%	0.00%	0.00%	0.61%	1.22%	0.53%	0.00%	0.00%	1.75%	7.48%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3617	7	24	31	63	58	13	21	31	10	89	83	84	91	89	114	112	81	83	67	79	75	117	66	81	42	35	22	45	26	44	28	39	100	89	93	60	63	88	52	20	67	40	76	102	35	29	57	53	72	41	42	52	39	23	9	21	33	42	60	66	40	40	48	59	14	1	4	2	3	6	7	7	6	4	2									
		7.78%	2.35%	4.77%	6.38%	11.01%	7.07%	5.33%	2.80%	5.68%	3.46%	10.07%	7.48%	7.52%	10.02%	11.63%	14.07%	10.64%	10.19%	9.14%	8.35%	10.08%	11.35%	9.74%	7.99%	10.09%	6.29%	5.41%	3.96%	6.42%	6.28%	6.57%	5.57%	7.04%	9.59%	10.30%	10.79%	7.56%	7.66%	11.72%	7.44%	4.42%	10.57%	7.69%	10.23%	9.28%	4.83%	6.11%	9.98%	7.51%	7.59%	9.79%	7.39%	6.27%	5.05%	5.56%	4.48%	4.46%	5.53%	6.30%	7.40%	9.71%	7.50%	8.39%	7.82%	6.92%	2.97%	1.92%	7.84%	2.86%	1.84%	2.44%	0.93%	6.09%	5.36%	3.51%	1.87%									
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
