Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Новодвинская городская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577									
		43.15%	42.11%	41.44%	41.86%	47.09%	45.28%	41.08%	43.64%	44.16%	44.47%	40.72%	43.35%	40.36%	41.56%	46.34%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	124	8	6	10	7	7	5	12	7	10	9	5	7	17	14									
		1.12%	0.96%	0.80%	1.45%	0.85%	1.03%	0.90%	1.69%	0.83%	1.36%	1.19%	0.58%	0.84%	1.62%	1.48%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	1	3	1	0	2	0	0	1	1	0	1	0	4	2									
		0.14%	0.12%	0.40%	0.15%	0.00%	0.29%	0.00%	0.00%	0.12%	0.14%	0.00%	0.12%	0.00%	0.38%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2515	195	165	180	159	126	139	141	182	159	201	202	205	257	204									
		22.73%	23.33%	22.06%	26.16%	19.25%	18.58%	25.05%	19.92%	21.49%	21.69%	26.66%	23.35%	24.55%	24.50%	21.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	97	5	2	2	13	3	6	8	10	5	11	5	7	11	9									
		0.88%	0.60%	0.27%	0.29%	1.57%	0.44%	1.08%	1.13%	1.18%	0.68%	1.46%	0.58%	0.84%	1.05%	0.95%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	133	2	8	11	6	9	14	9	10	7	4	8	14	17	14									
		1.20%	0.24%	1.07%	1.60%	0.73%	1.33%	2.52%	1.27%	1.18%	0.95%	0.53%	0.92%	1.68%	1.62%	1.48%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	2	0	0	0	1	0	1	0	0	0	2	1	1									
		0.07%	0.00%	0.27%	0.00%	0.00%	0.00%	0.18%	0.00%	0.12%	0.00%	0.00%	0.00%	0.24%	0.10%	0.11%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	217	9	18	9	9	13	14	14	22	17	12	20	12	20	28									
		1.96%	1.08%	2.41%	1.31%	1.09%	1.92%	2.52%	1.98%	2.60%	2.32%	1.59%	2.31%	1.44%	1.91%	2.97%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1230	102	105	79	93	75	53	87	92	81	78	86	87	115	97									
		11.12%	12.20%	14.04%	11.48%	11.26%	11.06%	9.55%	12.29%	10.86%	11.05%	10.34%	9.94%	10.42%	10.96%	10.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	65	3	5	5	5	2	1	6	9	4	6	5	9	4	1									
		0.59%	0.36%	0.67%	0.73%	0.61%	0.29%	0.18%	0.85%	1.06%	0.55%	0.80%	0.58%	1.08%	0.38%	0.11%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1093	101	75	55	86	72	54	83	73	75	71	97	87	92	72									
		9.88%	12.08%	10.03%	7.99%	10.41%	10.62%	9.73%	11.72%	8.62%	10.23%	9.42%	11.21%	10.42%	8.77%	7.64%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
