Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Магнитогорск, Орджоникидзевская"																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463					
		3.98%	1.01%	4.56%	1.72%	2.46%	4.13%	4.28%	2.46%	2.64%	3.83%	2.75%	3.61%	1.88%	1.49%	1.85%	1.61%	2.63%	1.8%	3.21%	2.76%	3.34%	1.85%	2.33%	2.45%	0.0%	8.51%	3.64%	0.50%	3.40%	2.43%	4.93%	5.45%	5.83%	5.49%	4.68%	4.00%	3.24%	4.32%	5.63%	4.80%	4.64%	4.63%	2.81%	3.29%	4.32%	3.93%	4.49%	3.5%	4.73%	4.66%	2.30%	2.40%	4.48%	2.81%	3.80%	3.23%	2.69%	4.94%	4.59%	3.25%	4.56%	3.46%	3.58%	3.96%	5.32%	4.53%	4.63%	4.37%	5.02%	3.94%	4.26%	7.03%	3.82%	4.45%	6.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3271	23	26	66	24	13	32	25	34	50	39	56	31	26	28	17	21	20	18	14	18	19	24	16	3	4	14	11	14	10	54	57	53	75	79	67	49	81	80	48	50	63	59	47	32	60	65	42	61	70	68	44	79	53	50	48	48	53	49	55	71	44	62	51	21	59	100	53	96	58	38	56	44	61	22					
		4.49%	4.64%	4.94%	9.51%	8.45%	4.88%	4.89%	4.40%	5.61%	5.81%	4.30%	10.66%	5.29%	3.87%	6.49%	4.58%	3.26%	4.0%	3.85%	1.93%	3.54%	5.02%	4.0%	13.11%	3.94%	1.41%	4.25%	2.75%	4.76%	3.47%	4.93%	4.44%	4.61%	6.06%	5.13%	5.16%	5.47%	7.45%	6.83%	2.85%	2.73%	4.29%	3.69%	3.09%	2.26%	3.74%	3.84%	3.0%	4.89%	4.79%	5.60%	3.31%	5.80%	5.32%	4.42%	3.98%	3.49%	4.76%	5.35%	4.71%	4.98%	3.72%	5.17%	4.39%	2.86%	4.11%	7.13%	4.29%	6.43%	4.23%	2.57%	3.86%	2.71%	3.99%	3.74%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3365	19	15	17	16	9	28	21	24	27	34	23	19	12	15	9	31	29	19	26	13	17	23	2	4	9	13	17	6	21	68	49	52	53	84	56	26	60	80	85	72	68	58	64	73	60	88	50	64	86	70	52	60	42	66	61	53	54	39	46	94	74	62	41	35	71	69	74	80	79	81	69	63	72	44					
		4.62%	3.83%	2.85%	2.44%	5.63%	3.38%	4.28%	3.69%	3.96%	3.13%	3.75%	4.38%	3.24%	1.78%	3.48%	2.42%	4.81%	5.8%	4.06%	3.59%	2.55%	4.49%	3.83%	1.63%	5.26%	3.19%	3.95%	4.26%	2.04%	7.29%	6.21%	3.81%	4.52%	4.28%	5.46%	4.31%	2.90%	5.51%	6.83%	5.04%	3.93%	4.63%	3.63%	4.21%	5.17%	3.74%	5.20%	3.57%	5.13%	5.89%	5.77%	3.91%	4.41%	4.22%	5.83%	5.06%	3.85%	4.85%	4.26%	3.94%	6.60%	6.26%	5.17%	3.53%	4.77%	4.95%	4.92%	5.99%	5.36%	5.76%	5.48%	4.75%	3.88%	4.71%	7.49%					
22	"5. ""За Русь Святую"""	190	1	4	4	0	2	1	1	1	7	3	1	1	4	3	0	0	0	1	4	2	1	0	0	0	0	0	0	0	1	3	3	1	4	3	2	1	3	0	4	4	2	2	6	2	4	3	1	3	0	6	4	4	4	5	6	1	6	7	5	5	4	1	2	2	2	1	7	8	5	1	2	0	3	6					
		0.26%	0.20%	0.76%	0.57%	0.0%	0.75%	0.15%	0.17%	0.16%	0.81%	0.33%	0.19%	0.17%	0.59%	0.69%	0.0%	0.0%	0.0%	0.21%	0.55%	0.39%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.27%	0.23%	0.08%	0.32%	0.19%	0.15%	0.11%	0.27%	0.0%	0.23%	0.21%	0.13%	0.12%	0.39%	0.14%	0.24%	0.17%	0.07%	0.24%	0.0%	0.49%	0.30%	0.29%	0.40%	0.44%	0.49%	0.07%	0.53%	0.76%	0.42%	0.35%	0.33%	0.08%	0.17%	0.27%	0.13%	0.07%	0.56%	0.53%	0.36%	0.06%	0.13%	0.0%	0.19%	1.02%					
23	"6. ""Объединенная Российская партия ""Русь"""	121	0	1	1	0	0	1	1	3	3	2	0	0	2	1	1	1	2	0	0	3	0	0	0	1	1	0	1	0	0	1	2	1	2	0	5	1	2	1	3	4	2	3	7	2	0	2	0	2	1	5	2	1	2	2	4	2	3	0	4	1	0	0	0	1	5	4	0	4	0	4	1	2	2	6					
		0.16%	0.0%	0.19%	0.14%	0.0%	0.0%	0.15%	0.17%	0.49%	0.34%	0.22%	0.0%	0.0%	0.29%	0.23%	0.26%	0.15%	0.4%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	1.31%	0.35%	0.0%	0.25%	0.0%	0.0%	0.09%	0.15%	0.08%	0.16%	0.0%	0.38%	0.11%	0.18%	0.08%	0.17%	0.21%	0.13%	0.18%	0.46%	0.14%	0.0%	0.11%	0.0%	0.16%	0.06%	0.41%	0.15%	0.07%	0.20%	0.17%	0.33%	0.14%	0.26%	0.0%	0.34%	0.07%	0.0%	0.0%	0.0%	0.13%	0.34%	0.28%	0.0%	0.26%	0.0%	0.27%	0.06%	0.12%	0.13%	1.02%					
24	"7. ""Новый курс - Автомобильная Россия"""	409	2	3	3	2	1	9	3	2	3	4	0	3	5	1	1	4	6	2	1	1	1	4	0	1	3	1	5	1	5	8	5	7	7	8	3	3	5	3	14	12	11	6	14	4	6	13	9	10	10	3	9	5	2	6	6	8	4	4	3	6	4	14	10	4	7	15	7	3	10	9	8	10	6	11					
		0.56%	0.40%	0.57%	0.43%	0.70%	0.37%	1.37%	0.52%	0.33%	0.34%	0.44%	0.0%	0.51%	0.74%	0.23%	0.26%	0.62%	1.2%	0.42%	0.13%	0.19%	0.26%	0.66%	0.0%	1.31%	1.06%	0.30%	1.25%	0.34%	1.73%	0.73%	0.38%	0.60%	0.56%	0.52%	0.23%	0.33%	0.45%	0.25%	0.83%	0.65%	0.74%	0.37%	0.92%	0.28%	0.37%	0.76%	0.64%	0.80%	0.68%	0.24%	0.67%	0.36%	0.20%	0.53%	0.49%	0.58%	0.35%	0.43%	0.25%	0.42%	0.33%	1.16%	0.86%	0.54%	0.48%	1.06%	0.56%	0.20%	0.72%	0.60%	0.55%	0.61%	0.39%	1.87%					
25	"8. ""Народно-республиканская партия России"""	51	0	1	1	0	1	0	0	0	0	2	1	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	3	0	0	0	2	0	1	0	0	0	1	0	0	4	2	0	1	1	0	0	1	0	1	1	0	0	0	9	0	2	2	0	0	2	1					
		0.07%	0.0%	0.19%	0.14%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.22%	0.19%	0.0%	0.0%	0.0%	0.26%	0.0%	0.2%	0.21%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.15%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.16%	0.0%	0.0%	0.0%	0.14%	0.0%	0.05%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.40%	0.17%	0.0%	0.07%	0.08%	0.0%	0.0%	0.07%	0.0%	0.08%	0.08%	0.0%	0.0%	0.0%	0.72%	0.0%	0.14%	0.13%	0.0%	0.0%	0.13%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	235	0	2	1	1	1	1	1	0	3	2	0	3	0	0	3	1	3	1	1	1	2	0	1	0	0	0	1	1	1	6	5	3	11	4	4	0	2	6	3	3	5	10	6	3	3	6	9	10	11	4	3	3	3	4	3	5	3	3	3	1	5	5	6	4	4	3	2	4	3	7	7	4	4	1					
		0.32%	0.0%	0.38%	0.14%	0.35%	0.37%	0.15%	0.17%	0.0%	0.34%	0.22%	0.0%	0.51%	0.0%	0.0%	0.80%	0.15%	0.6%	0.21%	0.13%	0.19%	0.52%	0.0%	0.81%	0.0%	0.0%	0.0%	0.25%	0.34%	0.34%	0.54%	0.38%	0.26%	0.88%	0.26%	0.30%	0.0%	0.18%	0.51%	0.17%	0.16%	0.34%	0.62%	0.39%	0.21%	0.18%	0.35%	0.64%	0.80%	0.75%	0.32%	0.22%	0.22%	0.30%	0.35%	0.24%	0.36%	0.26%	0.32%	0.25%	0.07%	0.42%	0.41%	0.51%	0.54%	0.27%	0.21%	0.16%	0.26%	0.21%	0.47%	0.48%	0.24%	0.26%	0.17%					
27	"10. ""Аграрная партия России"""	1110	5	4	10	2	0	24	9	7	6	20	4	8	8	3	4	5	10	11	24	18	6	6	0	3	5	11	8	6	9	23	22	14	21	18	23	12	17	14	22	28	20	28	42	30	18	23	8	17	17	19	30	28	13	12	11	20	11	12	14	29	18	10	15	13	22	20	25	21	27	12	23	21	25	6					
		1.52%	1.01%	0.76%	1.44%	0.70%	0.0%	3.66%	1.58%	1.15%	0.69%	2.20%	0.76%	1.36%	1.19%	0.69%	1.07%	0.77%	2.0%	2.35%	3.31%	3.54%	1.58%	1.0%	0.0%	3.94%	1.77%	3.34%	2.00%	2.04%	3.12%	2.10%	1.71%	1.21%	1.69%	1.17%	1.77%	1.34%	1.56%	1.19%	1.30%	1.53%	1.36%	1.75%	2.76%	2.12%	1.12%	1.36%	0.57%	1.36%	1.16%	1.56%	2.25%	2.05%	1.30%	1.06%	0.91%	1.45%	0.98%	1.31%	1.19%	2.03%	1.52%	0.83%	1.29%	1.77%	1.53%	1.42%	2.02%	1.40%	1.97%	0.81%	1.58%	1.29%	1.63%	1.02%					
28	"11. ""Истинные патриоты России"""	130	3	0	1	1	0	1	2	1	1	0	4	1	1	1	0	3	6	3	0	0	3	1	0	0	2	0	0	0	0	1	1	3	6	0	3	2	4	1	2	1	0	3	2	4	0	5	6	1	1	1	2	5	0	1	0	2	0	3	1	0	1	0	3	1	10	5	0	2	2	2	0	1	4	3					
		0.17%	0.60%	0.0%	0.14%	0.35%	0.0%	0.15%	0.35%	0.16%	0.11%	0.0%	0.76%	0.17%	0.14%	0.23%	0.0%	0.46%	1.2%	0.64%	0.0%	0.0%	0.79%	0.16%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.09%	0.07%	0.26%	0.48%	0.0%	0.23%	0.22%	0.36%	0.08%	0.11%	0.05%	0.0%	0.18%	0.13%	0.28%	0.0%	0.29%	0.42%	0.08%	0.06%	0.08%	0.15%	0.36%	0.0%	0.08%	0.0%	0.14%	0.0%	0.32%	0.08%	0.0%	0.08%	0.0%	0.25%	0.13%	0.69%	0.35%	0.0%	0.13%	0.14%	0.13%	0.0%	0.06%	0.26%	0.51%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	398	1	5	5	1	0	0	3	2	3	2	0	6	2	1	2	5	3	1	0	2	1	1	4	1	3	1	2	1	0	7	13	5	9	7	11	2	5	6	9	12	3	7	12	6	3	6	5	0	9	10	18	7	9	6	10	7	8	7	8	10	8	3	6	8	5	9	7	18	8	6	7	10	6	2					
		0.54%	0.20%	0.95%	0.72%	0.35%	0.0%	0.0%	0.52%	0.33%	0.34%	0.22%	0.0%	1.02%	0.29%	0.23%	0.53%	0.77%	0.6%	0.21%	0.0%	0.39%	0.26%	0.16%	3.27%	1.31%	1.06%	0.30%	0.50%	0.34%	0.0%	0.63%	1.01%	0.43%	0.72%	0.45%	0.84%	0.22%	0.45%	0.51%	0.53%	0.65%	0.20%	0.43%	0.79%	0.42%	0.18%	0.35%	0.35%	0.0%	0.61%	0.82%	1.35%	0.51%	0.90%	0.53%	0.83%	0.50%	0.71%	0.76%	0.68%	0.70%	0.67%	0.25%	0.51%	1.09%	0.34%	0.64%	0.56%	1.20%	0.58%	0.40%	0.48%	0.61%	0.39%	0.34%					
30	"13. ""Демократическая партия России"""	111	1	0	2	0	0	1	4	0	0	1	1	0	0	0	0	0	1	1	1	7	1	0	0	0	2	0	3	0	1	1	2	2	1	5	1	0	1	0	0	1	2	3	2	1	3	0	2	14	0	4	4	0	2	3	2	0	1	1	0	3	2	0	4	1	3	0	1	1	2	4	1	2	0	2					
		0.15%	0.20%	0.0%	0.28%	0.0%	0.0%	0.15%	0.70%	0.0%	0.0%	0.11%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.2%	0.21%	0.13%	1.37%	0.26%	0.0%	0.0%	0.0%	0.70%	0.0%	0.75%	0.0%	0.34%	0.09%	0.15%	0.17%	0.08%	0.32%	0.07%	0.0%	0.09%	0.0%	0.0%	0.05%	0.13%	0.18%	0.13%	0.07%	0.18%	0.0%	0.14%	1.12%	0.0%	0.32%	0.30%	0.0%	0.20%	0.26%	0.16%	0.0%	0.08%	0.10%	0.0%	0.21%	0.16%	0.0%	0.34%	0.13%	0.20%	0.0%	0.08%	0.06%	0.14%	0.27%	0.06%	0.12%	0.0%	0.34%					
31	"14. ""Великая Россия - Евразийский Союз"""	79	0	6	0	1	2	2	0	1	0	0	0	1	1	2	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	3	4	0	1	0	0	0	1	2	1	7	0	0	0	2	3	1	1	1	2	0	0	2	0	1	2	1	2	1	1	1	2	0	2	0	4	1	1	0	1	2	3	0	3					
		0.10%	0.0%	1.14%	0.0%	0.35%	0.75%	0.30%	0.0%	0.16%	0.0%	0.0%	0.0%	0.17%	0.14%	0.46%	0.0%	0.0%	0.2%	0.21%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.23%	0.34%	0.0%	0.06%	0.0%	0.0%	0.0%	0.08%	0.11%	0.05%	0.47%	0.0%	0.0%	0.0%	0.12%	0.17%	0.07%	0.08%	0.06%	0.16%	0.0%	0.0%	0.20%	0.0%	0.08%	0.14%	0.08%	0.21%	0.08%	0.07%	0.08%	0.16%	0.0%	0.27%	0.0%	0.28%	0.08%	0.06%	0.0%	0.06%	0.13%	0.18%	0.0%	0.51%					
32	"15. ""Партия СЛОН"""	66	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	1	2	1	0	2	3	1	0	4	3	1	1	1	0	0	3	1	2	0	4	1	1	0	1	0	1	1	1	1	0	2	2	3	0	0	1	0	0	3	0	0	3	1	1	5					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.15%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.34%	0.09%	0.15%	0.08%	0.0%	0.13%	0.23%	0.11%	0.0%	0.34%	0.17%	0.05%	0.06%	0.06%	0.0%	0.0%	0.18%	0.05%	0.14%	0.0%	0.27%	0.08%	0.07%	0.0%	0.10%	0.0%	0.08%	0.07%	0.08%	0.10%	0.0%	0.14%	0.16%	0.25%	0.0%	0.0%	0.06%	0.0%	0.0%	0.20%	0.0%	0.0%	0.20%	0.06%	0.06%	0.85%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3097	18	11	14	21	19	16	23	8	28	20	12	20	21	21	13	23	29	21	33	27	10	22	4	2	10	8	12	8	12	50	68	79	73	73	56	31	39	49	64	63	62	42	60	53	78	72	66	60	71	52	61	56	43	60	54	45	56	38	66	82	49	70	44	38	72	47	57	68	65	66	47	88	74	4					
		4.25%	3.63%	2.09%	2.01%	7.39%	7.14%	2.44%	4.04%	1.32%	3.25%	2.20%	2.28%	3.41%	3.12%	4.87%	3.50%	3.57%	5.8%	4.49%	4.56%	5.31%	2.64%	3.66%	3.27%	2.63%	3.54%	2.43%	3.00%	2.72%	4.16%	4.56%	5.30%	6.88%	5.90%	4.74%	4.31%	3.46%	3.58%	4.18%	3.80%	3.44%	4.22%	2.62%	3.95%	3.75%	4.87%	4.25%	4.71%	4.81%	4.86%	4.28%	4.59%	4.11%	4.32%	5.30%	4.48%	3.27%	5.03%	4.15%	5.65%	5.75%	4.14%	5.83%	3.78%	5.18%	5.02%	3.35%	4.61%	4.55%	4.74%	4.46%	3.24%	5.42%	4.84%	0.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	92	1	1	1	1	1	0	1	0	2	3	0	1	0	1	0	1	2	1	3	2	0	0	0	0	1	0	0	0	0	2	2	3	3	4	0	0	1	1	2	2	0	4	3	1	0	2	0	1	1	0	1	5	1	2	0	2	3	2	2	2	0	1	0	2	1	0	1	1	1	0	2	1	2	5					
