Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																	
Дата голосования: 02.12.2007																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Псковская городская																																																																																																	
																																																																																																	
Сводная таблица результатов выборов																																																																																																	
																																																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3005	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	50	70	30	30	30	30	30	30	145	30	30	30	30	30	40	30	30	40	50	30	30	30	40	100	30	30	50	30	30	30	40	30	30	30	30	30	40	30	30	30	30	40	30	30	30	40	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1882	24	23	20	17	19	16	13	16	22	19	27	17	10	26	8	13	18	17	18	38	62	17	4	12	13	9	14	117	29	7	13	15	9	32	14	15	15	33	20	15	27	35	84	19	21	35	20	24	25	33	21	15	21	22	9	21	23	18	24	21	36	21	22	17	29	15	14	11	20	23	13	34	12	22	23	11	6	11	15	19	20	26	22	12	12	16	22	14	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1585	49	15	38	18	17	30	22	7	23	21	17	8	13	14	19	19	18	16	11	12	14	15	15	5	21	7	10	15	29	10	24	16	11	10	17	18	15	19	11	19	25	25	32	19	16	14	15	30	9	11	21	15	21	11	5	21	8	11	19	21	20	22	26	16	31	22	13	12	10	44	8	19	14	14	10	13	10	9	13	11	20	18	16	5	4	7	11	10	63	57					
14	Число погашенных неиспользованных открепительных удостоверений	1123	6	7	10	13	11	14	17	14	8	11	3	13	20	4	22	17	12	13	12	12	8	13	26	18	17	21	16	28	1	23	17	15	21	8	16	15	25	17	10	15	3	5	16	11	9	15	10	6	5	7	9	15	9	8	21	19	7	12	6	9	4	9	8	13	11	15	16	19	10	7	17	6	18	8	7	19	24	19	15	11	10	4	8	18	18	14	8	16	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	89	0	1	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	44	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																	
18	1.Политическая партия «Аграрная партия России»	3806	21	41	49	28	54	58	44	32	46	49	66	38	16	46	33	28	53	26	18	10	79	41	20	17	35	37	24	30	54	30	28	58	16	61	36	56	49	75	36	43	48	56	11	75	50	65	55	65	64	45	42	26	59	53	37	49	47	52	45	51	55	71	63	43	60	52	26	51	37	37	9	45	59	58	60	39	21	44	31	34	40	27	33	47	25	45	60	39	10	9					
		3.43%	2.65%	3.76%	3.50%	2.63%	4.58%	3.74%	4.07%	4.07%	3.34%	4.67%	4.22%	3.64%	1.90%	4.04%	3.66%	3.89%	3.37%	2.42%	1.98%	1.73%	4.03%	3.92%	2.53%	2.22%	3.04%	2.80%	2.36%	1.65%	3.84%	3.05%	2.62%	4.25%	2.26%	4.07%	4.30%	3.63%	3.93%	4.87%	3.19%	3.88%	3.32%	2.99%	0.75%	4.60%	3.11%	3.71%	4.04%	4.55%	3.68%	2.80%	3.16%	2.90%	3.45%	3.36%	4.15%	3.36%	3.34%	3.90%	3.22%	3.30%	3.36%	3.98%	3.74%	3.31%	4.41%	3.73%	2.59%	4.01%	3.15%	2.74%	1.31%	2.56%	4.30%	3.74%	3.93%	3.31%	2.74%	3.79%	2.83%	3.33%	3.07%	2.40%	3.13%	5.18%	3.13%	3.86%	4.16%	4.08%	1.90%	3.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2224	15	42	25	19	19	33	29	15	26	14	45	23	18	24	14	21	24	19	8	14	36	18	10	4	19	15	20	17	23	17	26	18	21	30	32	36	35	31	17	22	25	36	6	43	36	53	42	41	28	29	30	16	34	40	20	15	21	24	39	43	30	26	31	29	44	33	21	24	24	27	17	38	23	40	22	20	14	24	22	17	28	16	15	12	18	23	37	20	9	5					
		2.00%	1.90%	3.85%	1.79%	1.78%	1.61%	2.13%	2.69%	1.91%	1.89%	1.33%	2.88%	2.20%	2.14%	2.11%	1.55%	2.92%	1.53%	1.77%	0.88%	2.43%	1.83%	1.72%	1.26%	0.52%	1.65%	1.13%	1.97%	0.93%	1.64%	1.73%	2.43%	1.32%	2.97%	2.00%	3.82%	2.33%	2.80%	2.01%	1.50%	1.99%	1.73%	1.93%	0.41%	2.64%	2.24%	3.03%	3.08%	2.87%	1.61%	1.80%	2.26%	1.78%	1.99%	2.53%	2.24%	1.03%	1.49%	1.80%	2.79%	2.78%	1.83%	1.46%	1.84%	2.23%	3.23%	2.37%	2.09%	1.89%	2.04%	1.99%	2.47%	2.16%	1.68%	2.58%	1.44%	1.70%	1.83%	2.07%	2.01%	1.67%	2.15%	1.42%	1.42%	1.32%	2.25%	1.97%	2.56%	2.09%	1.71%	1.77%					
20	3.Политическая партия «Демократическая партия России»	202	2	2	5	0	4	6	3	0	1	2	1	1	2	3	1	1	4	1	3	1	5	0	0	1	2	3	3	34	2	1	2	3	1	3	2	3	1	2	2	1	2	2	0	2	3	4	7	2	0	1	5	2	2	2	2	2	2	1	0	4	0	3	4	1	1	1	3	1	0	2	2	1	1	2	2	3	1	0	0	1	1	2	1	0	2	1	2	3	1	1					
		0.18%	0.25%	0.18%	0.36%	0.00%	0.34%	0.39%	0.28%	0.00%	0.07%	0.19%	0.06%	0.10%	0.24%	0.26%	0.11%	0.14%	0.25%	0.09%	0.33%	0.17%	0.25%	0.00%	0.00%	0.13%	0.17%	0.23%	0.29%	1.87%	0.14%	0.10%	0.19%	0.22%	0.14%	0.20%	0.24%	0.19%	0.08%	0.13%	0.18%	0.09%	0.14%	0.11%	0.00%	0.12%	0.19%	0.23%	0.51%	0.14%	0.00%	0.06%	0.38%	0.22%	0.12%	0.13%	0.22%	0.14%	0.14%	0.07%	0.00%	0.26%	0.00%	0.17%	0.24%	0.08%	0.07%	0.07%	0.30%	0.08%	0.00%	0.15%	0.29%	0.06%	0.07%	0.13%	0.13%	0.25%	0.13%	0.00%	0.00%	0.10%	0.08%	0.18%	0.09%	0.00%	0.25%	0.09%	0.14%	0.31%	0.19%	0.35%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	18466	149	226	206	191	228	284	196	138	284	197	312	207	136	234	152	139	194	179	132	88	275	161	65	87	153	172	170	111	250	165	204	218	148	270	142	235	164	205	165	169	254	184	40	261	287	282	214	216	278	267	210	153	314	309	140	276	261	245	243	248	238	294	283	279	202	229	156	222	177	197	98	335	252	332	297	244	129	243	275	187	222	220	173	171	177	201	258	151	77	64					
		16.62%	18.84%	20.73%	14.72%	17.93%	19.35%	18.31%	18.15%	17.53%	20.61%	18.78%	19.96%	19.83%	16.13%	20.53%	16.87%	19.31%	12.33%	16.67%	14.55%	15.25%	14.02%	15.38%	8.21%	11.37%	13.28%	13.01%	16.72%	6.10%	17.78%	16.77%	19.07%	15.97%	20.90%	18.00%	16.95%	15.24%	13.14%	13.31%	14.60%	15.25%	17.55%	9.84%	2.72%	16.02%	17.86%	16.11%	15.71%	15.12%	15.99%	16.59%	15.80%	17.04%	18.34%	19.57%	15.71%	18.93%	18.54%	18.37%	17.39%	16.05%	14.56%	16.46%	16.79%	21.48%	14.83%	16.42%	15.55%	17.47%	15.08%	14.58%	14.26%	19.04%	18.38%	21.39%	19.46%	20.73%	16.82%	20.91%	25.14%	18.32%	17.06%	19.59%	16.40%	18.85%	22.13%	17.25%	17.88%	15.81%	14.67%	22.70%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	833	6	7	9	7	5	10	6	6	11	5	20	4	5	5	2	6	8	6	3	5	10	7	2	2	6	8	8	15	15	9	9	11	7	17	8	17	7	12	17	7	15	14	0	5	15	30	12	14	12	13	15	9	18	19	9	12	9	16	15	18	12	15	15	15	9	8	15	6	1	11	2	11	11	7	7	10	4	3	10	8	8	1	9	2	4	9	15	2	2	1					
		0.75%	0.76%	0.64%	0.64%	0.66%	0.42%	0.64%	0.56%	0.76%	0.80%	0.48%	1.28%	0.38%	0.59%	0.44%	0.22%	0.83%	0.51%	0.56%	0.33%	0.87%	0.51%	0.67%	0.25%	0.26%	0.52%	0.61%	0.79%	0.82%	1.07%	0.91%	0.84%	0.81%	0.99%	1.13%	0.95%	1.10%	0.56%	0.78%	1.50%	0.63%	1.04%	0.75%	0.00%	0.31%	0.93%	1.71%	0.88%	0.98%	0.69%	0.81%	1.13%	1.00%	1.05%	1.20%	1.01%	0.82%	0.64%	1.20%	1.07%	1.17%	0.73%	0.84%	0.89%	1.15%	0.66%	0.57%	1.50%	0.47%	0.09%	0.81%	0.29%	0.63%	0.80%	0.45%	0.46%	0.85%	0.52%	0.26%	0.91%	0.78%	0.61%	0.09%	0.85%	0.22%	0.50%	0.77%	1.04%	0.21%	0.38%	0.35%					
23	6.Политическая партия «Партия социальной справедливости»	335	1	6	4	3	3	2	5	0	2	3	3	3	1	2	1	1	6	3	5	0	9	1	0	3	2	6	2	2	6	2	1	3	3	4	4	4	5	3	4	4	4	9	2	5	9	8	2	8	5	6	3	2	3	3	3	7	5	9	5	7	8	3	7	5	4	2	3	2	4	9	1	4	2	2	0	3	6	2	3	5	4	3	12	3	0	4	4	0	2	1					
		0.30%	0.13%	0.55%	0.29%	0.28%	0.25%	0.13%	0.46%	0.00%	0.15%	0.29%	0.19%	0.29%	0.12%	0.18%	0.11%	0.14%	0.38%	0.28%	0.55%	0.00%	0.46%	0.10%	0.00%	0.39%	0.17%	0.45%	0.20%	0.11%	0.43%	0.20%	0.09%	0.22%	0.42%	0.27%	0.48%	0.26%	0.40%	0.19%	0.35%	0.36%	0.28%	0.48%	0.14%	0.31%	0.56%	0.46%	0.15%	0.56%	0.29%	0.37%	0.23%	0.22%	0.18%	0.19%	0.34%	0.48%	0.36%	0.67%	0.36%	0.45%	0.49%	0.17%	0.42%	0.38%	0.29%	0.14%	0.30%	0.16%	0.34%	0.67%	0.15%	0.23%	0.15%	0.13%	0.00%	0.25%	0.78%	0.17%	0.27%	0.49%	0.31%	0.27%	1.14%	0.33%	0.00%	0.34%	0.28%	0.00%	0.38%	0.35%					
24	7.Политическая партия «Либерально-демократическая партия России»	10703	62	90	213	92	108	109	96	70	123	97	139	87	97	90	53	70	185	113	85	49	243	91	133	78	103	139	84	238	97	86	104	153	58	141	60	149	111	139	98	109	115	245	236	144	150	158	131	135	172	129	108	65	159	145	84	139	110	112	113	137	165	160	156	113	128	133	97	129	124	150	86	178	111	125	133	94	87	125	87	104	144	118	97	77	101	115	162	113	40	22					
		9.63%	7.84%	8.26%	15.23%	8.64%	9.17%	7.03%	8.89%	8.89%	8.93%	9.25%	8.89%	8.33%	11.51%	7.89%	5.88%	9.72%	11.76%	10.52%	9.37%	8.49%	12.39%	8.69%	16.79%	10.20%	8.94%	10.51%	8.26%	13.08%	6.90%	8.74%	9.72%	11.21%	8.19%	9.40%	7.16%	9.66%	8.89%	9.03%	8.67%	9.84%	7.95%	13.10%	16.03%	8.84%	9.33%	9.03%	9.62%	9.45%	9.90%	8.02%	8.13%	7.24%	9.29%	9.18%	9.43%	9.53%	7.81%	8.40%	8.09%	8.87%	10.09%	8.96%	9.25%	8.70%	9.40%	9.53%	9.67%	10.15%	10.56%	11.10%	12.52%	10.12%	8.10%	8.05%	8.72%	7.99%	11.34%	10.76%	7.95%	10.19%	11.07%	10.51%	9.19%	8.49%	12.63%	9.87%	11.23%	11.83%	7.62%	7.80%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	13383	97	103	149	112	134	189	140	82	154	131	202	134	92	137	126	93	151	100	92	49	212	117	55	65	116	131	91	117	151	117	103	194	110	213	136	159	178	178	159	156	164	195	60	212	182	227	150	184	257	227	181	101	221	222	144	201	225	215	163	205	201	225	217	179	180	155	137	106	141	165	68	210	186	213	199	131	100	125	127	120	148	142	164	138	92	143	183	106	88	33					
		12.04%	12.26%	9.45%	10.65%	10.52%	11.38%	12.19%	12.96%	10.42%	11.18%	12.49%	12.92%	12.84%	10.91%	12.02%	13.98%	12.92%	9.60%	9.31%	10.14%	8.49%	10.81%	11.17%	6.94%	8.50%	10.07%	9.91%	8.95%	6.43%	10.74%	11.89%	9.63%	14.21%	15.54%	14.20%	16.23%	10.31%	14.26%	11.56%	14.07%	14.08%	11.33%	10.43%	4.08%	13.01%	11.33%	12.97%	11.01%	12.88%	14.79%	14.11%	13.62%	11.25%	12.91%	14.06%	16.16%	13.79%	15.98%	16.12%	11.67%	13.27%	12.29%	12.60%	12.87%	13.78%	13.22%	11.11%	13.66%	8.34%	12.01%	12.21%	9.90%	11.94%	13.57%	13.72%	13.04%	11.13%	13.04%	10.76%	11.61%	11.75%	11.38%	12.64%	15.55%	15.21%	11.50%	12.27%	12.68%	11.10%	16.76%	11.70%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1427	11	12	20	15	11	23	17	12	20	9	25	7	12	18	9	6	28	14	11	7	25	11	2	4	9	15	6	21	23	10	7	16	8	29	8	13	15	15	11	12	18	37	10	16	25	26	17	21	21	20	16	13	21	22	12	30	18	15	20	15	28	29	37	20	17	10	14	14	9	17	4	28	12	31	16	29	10	15	15	18	12	9	10	16	6	21	19	13	7	1					
		1.28%	1.39%	1.10%	1.43%	1.41%	0.93%	1.48%	1.57%	1.52%	1.45%	0.86%	1.60%	0.67%	1.42%	1.58%	0.99%	0.83%	1.78%	1.30%	1.21%	1.21%	1.27%	1.05%	0.25%	0.52%	0.78%	1.13%	0.59%	1.15%	1.64%	1.02%	0.65%	1.17%	1.13%	1.93%	0.95%	0.84%	1.20%	0.97%	0.97%	1.08%	1.24%	1.98%	0.68%	0.98%	1.56%	1.49%	1.25%	1.47%	1.21%	1.24%	1.20%	1.45%	1.23%	1.39%	1.35%	2.06%	1.28%	1.12%	1.43%	0.97%	1.71%	1.62%	2.19%	1.54%	1.25%	0.72%	1.40%	1.10%	0.77%	1.26%	0.58%	1.59%	0.88%	1.99%	1.05%	2.46%	1.30%	1.29%	1.37%	1.76%	0.92%	0.80%	0.95%	1.76%	0.75%	1.80%	1.32%	1.36%	1.33%	0.35%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	54721	389	495	645	549	572	757	500	401	639	488	663	499	442	509	459	324	874	582	526	341	990	573	480	491	678	758	569	1204	735	512	543	640	299	675	359	792	632	804	549	540	726	1017	1081	770	763	793	643	659	793	778	645	458	775	669	403	656	630	575	684	723	827	854	794	551	652	674	482	680	607	705	384	846	660	664	720	554	354	524	485	477	656	538	501	417	332	550	636	465	275	139					
		49.24%	49.18%	45.41%	46.10%	51.55%	48.56%	48.81%	46.30%	50.95%	46.37%	46.52%	42.42%	47.80%	52.43%	44.65%	50.94%	45.00%	55.56%	54.19%	57.99%	59.10%	50.46%	54.73%	60.61%	64.18%	58.85%	57.34%	55.95%	66.15%	52.28%	52.03%	50.75%	46.89%	42.23%	45.00%	42.84%	51.36%	50.64%	52.21%	48.58%	48.74%	50.17%	54.39%	73.44%	47.27%	47.48%	45.31%	47.21%	46.12%	45.63%	48.35%	48.53%	51.00%	45.27%	42.37%	45.23%	44.99%	44.74%	43.10%	48.96%	46.80%	50.58%	47.82%	47.09%	42.42%	47.87%	48.32%	48.06%	53.50%	51.70%	52.18%	55.90%	48.10%	48.14%	42.78%	47.18%	47.07%	46.15%	45.09%	44.33%	46.72%	50.42%	47.91%	47.49%	45.98%	41.50%	47.21%	44.07%	48.69%	52.38%	49.29%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4002	31	53	57	38	34	65	29	26	62	45	73	32	14	62	32	23	31	21	18	7	57	21	11	9	19	31	23	16	37	29	28	39	32	44	43	72	37	63	55	37	63	54	10	86	67	87	79	71	89	75	60	42	96	83	31	46	72	57	57	75	60	89	65	49	52	76	38	30	39	21	12	49	43	63	54	42	38	45	36	41	30	36	32	19	41	43	53	32	12	6					
		3.60%	3.92%	4.86%	4.07%	3.57%	2.89%	4.19%	2.69%	3.30%	4.50%	4.29%	4.67%	3.07%	1.66%	5.44%	3.55%	3.19%	1.97%	1.96%	1.98%	1.21%	2.91%	2.01%	1.39%	1.18%	1.65%	2.34%	2.26%	0.88%	2.63%	2.95%	2.62%	2.86%	4.52%	2.93%	5.13%	4.67%	2.96%	4.09%	4.87%	3.34%	4.35%	2.89%	0.68%	5.28%	4.17%	4.97%	5.80%	4.97%	5.12%	4.66%	4.51%	4.68%	5.61%	5.26%	3.48%	3.16%	5.11%	4.27%	4.08%	4.85%	3.67%	4.98%	3.86%	3.77%	3.82%	5.45%	3.79%	2.36%	3.32%	1.55%	1.75%	2.79%	3.14%	4.06%	3.54%	3.57%	4.95%	3.87%	3.29%	4.02%	2.31%	3.21%	3.03%	2.09%	5.13%	3.69%	3.67%	3.35%	2.29%	2.13%					
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
