Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Райчихинская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	4	1	2	3	2	24	1	1	1	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	9	5	9	11	8	7	6	1	2	6	2	0									
		1.01%	1.23%	1.09%	1.17%	1.08%	1.25%	0.95%	1.06%	0.66%	0.61%	1.68%	0.49%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	195	23	20	21	28	19	13	15	9	8	9	16	14									
		2.99%	3.14%	4.36%	2.74%	2.75%	2.98%	1.76%	2.64%	5.92%	2.43%	2.51%	3.92%	3.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	189	35	18	22	28	16	17	15	4	7	12	5	10									
		2.89%	4.77%	3.92%	2.87%	2.75%	2.51%	2.30%	2.64%	2.63%	2.13%	3.35%	1.23%	2.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1935	205	135	202	295	192	253	214	37	90	92	130	90									
		29.64%	27.97%	29.41%	26.34%	28.92%	30.09%	34.19%	37.68%	24.34%	27.36%	25.70%	31.86%	25.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	6	5	6	5	4	7	3	0	3	5	0	0									
		0.67%	0.82%	1.09%	0.78%	0.49%	0.63%	0.95%	0.53%	0.00%	0.91%	1.40%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	2	0	1	1	0	1	0	0	0	0	2	0									
		0.11%	0.27%	0.00%	0.13%	0.10%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2072	236	144	252	302	209	237	161	48	110	143	122	108									
		31.74%	32.20%	31.37%	32.86%	29.61%	32.76%	32.03%	28.35%	31.58%	33.43%	39.94%	29.90%	30.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	6	1	3	3	1	4	4	0	1	2	0	0									
		0.38%	0.82%	0.22%	0.39%	0.29%	0.16%	0.54%	0.70%	0.00%	0.30%	0.56%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	32	2	1	5	7	3	7	5	1	0	0	1	0									
		0.49%	0.27%	0.22%	0.65%	0.69%	0.47%	0.95%	0.88%	0.66%	0.00%	0.00%	0.25%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	2	1	1	2	1	0	0	0	1	1	0									
		0.15%	0.14%	0.44%	0.13%	0.10%	0.31%	0.14%	0.00%	0.00%	0.00%	0.28%	0.25%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	51	4	3	10	6	7	8	6	1	0	0	3	3									
		0.78%	0.55%	0.65%	1.30%	0.59%	1.10%	1.08%	1.06%	0.66%	0.00%	0.00%	0.74%	0.84%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1475	161	91	174	252	141	144	100	46	88	66	109	103									
		22.59%	21.96%	19.83%	22.69%	24.71%	22.10%	19.46%	17.61%	30.26%	26.75%	18.44%	26.72%	28.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	5	4	3	6	1	2	3	0	1	3	0	4									
		0.49%	0.68%	0.87%	0.39%	0.59%	0.16%	0.27%	0.53%	0.00%	0.30%	0.84%	0.00%	1.12%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	212	20	13	42	46	12	20	27	3	8	8	3	10									
		3.25%	2.73%	2.83%	5.48%	4.51%	1.88%	2.70%	4.75%	1.97%	2.43%	2.23%	0.74%	2.80%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
