Выборы Президента Российской Федерации																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Красноярск, Советская"																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470					
14	Число неиспользованных открепительных удостоверений	1625	26	22	18	0	0	22	24	20	19	19	16	17	21	13	20	23	28	0	25	20	2	24	26	22	18	56	19	31	26	21	18	21	25	24	24	29	27	28	27	18	21	21	18	20	23	19	14	5	12	18	26	16	24	19	26	24	18	21	29	24	14	19	21	23	12	21	21	24	21	29	17	4	28	23	14	25	19	28	25					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																						
18	. Глазьев Сергей Юрьевич	16498	160	30	65	78	30	196	98	145	172	204	271	186	178	250	261	195	162	13	287	200	245	284	359	251	308	195	270	159	266	241	307	302	294	266	295	211	240	206	106	164	164	28	147	132	295	273	192	349	269	263	163	130	227	124	258	231	275	237	213	198	315	247	289	140	253	188	252	220	197	225	302	318	177	281	70	179	235	162	130					
		19.95%	19.14%	8.85%	9.45%	23.42%	21.28%	18.18%	22.95%	22.31%	16.86%	17.59%	21.01%	17.11%	20.14%	18.05%	19.12%	18.34%	21.95%	16.67%	23.35%	16.39%	16.09%	19.36%	23.90%	24.42%	23.04%	17.55%	22.35%	19.16%	21.33%	20.03%	21.35%	23.67%	22.09%	21.16%	23.91%	21.84%	21.37%	18.34%	15.01%	18.22%	25.55%	11.91%	17.60%	18.51%	21.95%	20.31%	16.33%	24.86%	18.37%	18.48%	18.19%	12.55%	19.06%	19.53%	23.06%	18.28%	22.41%	20.73%	19.45%	19.88%	21.00%	19.13%	20.24%	18.42%	19.78%	20.75%	18.75%	19.35%	18.55%	22.19%	22.03%	21.59%	19.39%	23.89%	12.50%	18.57%	22.07%	20.38%	19.43%					
19	. Малышкин Олег Александрович	1179	5	3	9	8	0	12	6	2	8	11	18	14	5	9	10	15	13	0	12	21	25	17	22	16	19	22	18	13	14	33	26	18	20	25	24	24	17	21	5	14	12	1	20	14	23	25	18	21	19	14	9	23	16	9	18	11	15	24	15	14	15	14	18	6	19	13	25	17	26	17	15	18	15	12	6	15	16	7	10					
		1.43%	0.60%	0.88%	1.31%	2.40%	0.00%	1.11%	1.41%	0.31%	0.78%	0.95%	1.40%	1.29%	0.57%	0.65%	0.73%	1.41%	1.76%	0.00%	0.98%	1.72%	1.64%	1.16%	1.46%	1.56%	1.42%	1.98%	1.49%	1.57%	1.12%	2.74%	1.81%	1.41%	1.50%	1.99%	1.94%	2.48%	1.51%	1.87%	0.71%	1.56%	1.87%	0.43%	2.40%	1.96%	1.71%	1.86%	1.53%	1.50%	1.30%	0.98%	1.00%	2.22%	1.34%	1.42%	1.61%	0.87%	1.22%	2.10%	1.37%	1.41%	1.00%	1.08%	1.26%	0.79%	1.49%	1.43%	1.86%	1.50%	2.45%	1.68%	1.09%	1.22%	1.64%	1.02%	1.07%	1.56%	1.50%	0.88%	1.49%					
20	. Миронов Сергей Михайлович	632	7	3	2	3	1	14	3	8	7	6	13	4	7	19	6	11	6	0	10	9	5	13	9	2	5	10	3	10	9	5	19	7	10	12	10	11	11	6	8	9	4	1	5	12	15	9	4	12	12	11	6	4	7	7	13	4	9	8	9	8	10	10	11	4	16	4	18	5	8	6	8	10	11	11	1	6	8	5	7					
		0.76%	0.84%	0.88%	0.29%	0.90%	0.71%	1.30%	0.70%	1.23%	0.69%	0.52%	1.01%	0.37%	0.79%	1.37%	0.44%	1.03%	0.81%	0.00%	0.81%	0.74%	0.33%	0.89%	0.60%	0.19%	0.37%	0.90%	0.25%	1.20%	0.72%	0.42%	1.32%	0.55%	0.75%	0.95%	0.81%	1.14%	0.98%	0.53%	1.13%	1.00%	0.62%	0.43%	0.60%	1.68%	1.12%	0.67%	0.34%	0.85%	0.82%	0.77%	0.67%	0.39%	0.59%	1.10%	1.16%	0.32%	0.73%	0.70%	0.82%	0.80%	0.67%	0.77%	0.77%	0.53%	1.25%	0.44%	1.34%	0.44%	0.75%	0.59%	0.58%	0.68%	1.20%	0.94%	0.18%	0.62%	0.75%	0.63%	1.05%					
21	. Путин Владимир Владимирович	49098	489	254	530	196	74	648	243	365	646	663	717	641	524	845	809	624	417	46	708	770	967	904	851	565	784	689	687	486	720	667	803	732	781	704	630	587	679	706	471	556	360	170	537	428	764	785	703	760	928	884	566	725	715	385	616	813	712	677	673	588	821	776	837	451	745	508	803	700	616	560	794	861	528	638	419	605	607	467	395					
		59.36%	58.49%	74.93%	77.03%	58.86%	52.48%	60.11%	56.91%	56.15%	63.33%	57.16%	55.58%	58.97%	59.28%	61.01%	59.27%	58.70%	56.50%	58.97%	57.61%	63.11%	63.49%	61.62%	56.66%	54.96%	58.64%	62.02%	56.87%	58.55%	57.74%	55.44%	55.84%	57.37%	58.68%	56.01%	51.05%	60.77%	60.46%	62.87%	66.71%	61.78%	56.07%	72.34%	64.31%	60.03%	56.85%	58.41%	59.78%	54.13%	63.39%	62.12%	63.17%	69.98%	60.03%	60.63%	55.05%	64.32%	58.03%	59.23%	61.46%	59.04%	54.73%	60.11%	58.61%	59.34%	58.25%	56.07%	59.75%	61.57%	58.00%	55.23%	57.91%	58.45%	57.83%	54.25%	74.82%	62.76%	57.00%	58.74%	59.04%					
22	. Хакамада Ирина Муцуовна	5273	77	22	34	8	6	51	26	33	52	76	109	123	81	128	155	92	51	3	68	73	97	85	96	71	58	72	73	66	68	64	82	69	50	76	61	38	46	54	31	41	25	6	39	32	76	64	74	69	90	67	59	36	84	34	83	83	72	54	67	76	147	105	118	67	99	85	110	65	83	75	92	91	52	83	15	52	62	76	40					
		6.38%	9.21%	6.49%	4.94%	2.40%	4.26%	4.73%	6.09%	5.08%	5.10%	6.55%	8.45%	11.32%	9.16%	9.24%	11.36%	8.65%	6.91%	3.85%	5.53%	5.98%	6.37%	5.79%	6.39%	6.91%	4.34%	6.48%	6.04%	7.95%	5.45%	5.32%	5.70%	5.41%	3.76%	6.05%	4.94%	3.93%	4.10%	4.81%	4.39%	4.56%	3.89%	2.55%	4.67%	4.49%	5.65%	4.76%	6.29%	4.91%	6.15%	4.71%	6.58%	3.47%	7.05%	5.35%	7.42%	6.57%	5.87%	4.72%	6.12%	7.63%	9.80%	8.13%	8.26%	8.82%	7.74%	9.38%	8.18%	5.72%	7.82%	7.40%	6.71%	6.18%	5.70%	7.06%	2.68%	5.39%	5.82%	9.56%	5.98%					
23	. Харитонов Николай Михайлович	4682	42	5	18	29	25	85	22	55	69	99	75	50	30	58	40	60	28	11	75	64	83	80	87	59	93	39	77	38	87	102	115	73	97	112	118	45	55	58	26	53	34	9	29	44	103	103	88	112	64	99	44	38	57	33	49	49	74	68	59	52	73	65	55	27	60	52	62	45	61	53	68	84	60	85	11	34	63	42	37					
		5.66%	5.02%	1.47%	2.62%	8.71%	17.73%	7.88%	5.15%	8.46%	6.76%	8.53%	5.81%	4.60%	3.39%	4.19%	2.93%	5.64%	3.79%	14.10%	6.10%	5.25%	5.45%	5.45%	5.79%	5.74%	6.96%	3.51%	6.37%	4.58%	6.98%	8.48%	8.00%	5.72%	7.29%	8.91%	9.56%	4.66%	4.90%	5.16%	3.68%	5.89%	5.30%	3.83%	3.47%	6.17%	7.66%	7.66%	7.48%	7.98%	4.37%	6.96%	4.91%	3.67%	4.79%	5.20%	4.38%	3.88%	6.03%	5.95%	5.39%	5.22%	4.87%	5.03%	3.85%	3.55%	4.69%	5.74%	4.61%	3.96%	5.74%	5.23%	4.96%	5.70%	6.57%	7.23%	1.96%	3.53%	5.92%	5.28%	5.53%					
																																																																																						
24	Против всех	4803	55	20	25	9	4	57	23	32	57	69	83	66	58	71	77	66	61	1	68	77	83	77	68	59	65	79	63	48	73	81	71	67	66	58	89	47	64	61	56	50	40	13	53	46	60	78	91	80	71	72	48	69	83	39	74	73	60	62	52	55	99	71	97	61	87	52	69	83	67	72	86	85	58	57	31	57	69	35	44					
		5.81%	6.58%	5.90%	3.63%	2.70%	2.84%	5.29%	5.39%	4.92%	5.59%	5.95%	6.43%	6.07%	6.56%	5.13%	5.64%	6.21%	8.27%	1.28%	5.53%	6.31%	5.45%	5.25%	4.53%	5.74%	4.86%	7.11%	5.22%	5.78%	5.85%	6.73%	4.94%	5.25%	4.96%	4.61%	7.21%	4.87%	5.70%	5.43%	7.93%	5.56%	6.23%	5.53%	6.35%	6.45%	4.46%	5.80%	7.74%	5.70%	4.85%	5.06%	5.36%	6.66%	6.97%	6.14%	6.61%	5.78%	4.89%	5.42%	4.75%	5.52%	6.60%	5.50%	6.79%	8.03%	6.80%	5.74%	5.13%	7.30%	6.31%	7.10%	6.27%	5.77%	6.35%	4.85%	5.54%	5.91%	6.48%	4.40%	6.58%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
