Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Олонецкая																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390					
		4.44%	5.21%	6.00%	6.28%	5.27%	4.64%	3.88%	2.68%	1.80%	6.61%	4.19%	4.68%	2.59%	1.08%	4.74%	1.77%	2.58%	3.85%	0.0%	5.81%	1.69%	2.56%	0.0%	0.0%	0.0%	4.96%	3.57%	6.66%	3.0%	4.91%	2.95%	1.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	331	24	27	25	30	29	5	5	2	5	5	3	11	18	27	20	6	12	0	2	2	0	0	0	0	24	6	10	5	10	10	8					
		3.20%	3.57%	2.19%	2.62%	3.10%	3.85%	1.21%	3.35%	1.80%	4.13%	1.90%	2.34%	2.37%	3.89%	4.41%	8.88%	5.17%	4.21%	0.0%	2.32%	0.84%	0.0%	0.0%	0.0%	0.0%	4.76%	3.06%	3.50%	5.0%	3.27%	2.46%	6.83%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	495	32	67	35	59	52	20	5	6	3	3	4	33	13	52	12	5	16	2	4	3	0	2	0	1	27	5	10	2	7	14	1					
		4.79%	4.76%	5.43%	3.66%	6.10%	6.90%	4.85%	3.35%	5.40%	2.47%	1.14%	3.12%	7.12%	2.81%	8.51%	5.33%	4.31%	5.61%	4.0%	4.65%	1.27%	0.0%	6.06%	0.0%	4.16%	5.35%	2.55%	3.50%	2.0%	2.29%	3.44%	0.85%					
22	"5. ""За Русь Святую"""	48	3	10	6	6	3	1	0	0	4	1	2	0	0	2	3	0	0	0	1	0	0	0	0	0	2	0	1	0	0	3	0					
		0.46%	0.44%	0.81%	0.62%	0.62%	0.39%	0.24%	0.0%	0.0%	3.30%	0.38%	1.56%	0.0%	0.0%	0.32%	1.33%	0.0%	0.0%	0.0%	1.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.35%	0.0%	0.0%	0.73%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	2	1	3	1	1	3	0	4	1	0	0	4	1	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0					
		0.29%	0.29%	0.08%	0.31%	0.10%	0.13%	0.72%	0.0%	3.60%	0.82%	0.0%	0.0%	0.86%	0.21%	0.16%	0.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.51%	0.0%	0.0%	0.32%	0.73%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	59	6	4	7	13	1	2	1	0	1	0	0	2	4	1	1	0	1	0	0	0	0	0	0	0	2	7	1	0	0	2	3					
		0.57%	0.89%	0.32%	0.73%	1.34%	0.13%	0.48%	0.67%	0.0%	0.82%	0.0%	0.0%	0.43%	0.86%	0.16%	0.44%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	3.57%	0.35%	0.0%	0.0%	0.49%	2.56%					
25	"8. ""Народно-республиканская партия России"""	18	0	2	1	1	4	0	0	2	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0					
		0.17%	0.0%	0.16%	0.10%	0.10%	0.53%	0.0%	0.0%	1.80%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.32%	0.24%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	1	0	3	4	1	0	0	0	0	0	0	1	1	2	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0					
		0.19%	0.14%	0.0%	0.31%	0.41%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.21%	0.32%	0.44%	0.86%	0.35%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%	0.49%	0.0%					
27	"10. ""Аграрная партия России"""	490	11	35	23	42	21	9	16	3	11	8	2	33	61	59	2	12	9	1	1	8	1	10	1	0	19	6	14	6	20	40	6					
		4.74%	1.63%	2.84%	2.41%	4.34%	2.78%	2.18%	10.73%	2.70%	9.09%	3.05%	1.56%	7.12%	13.20%	9.65%	0.88%	10.34%	3.15%	2.0%	1.16%	3.38%	2.56%	30.30%	3.70%	0.0%	3.76%	3.06%	4.91%	6.0%	6.55%	9.85%	5.12%					
28	"11. ""Истинные патриоты России"""	8	0	0	1	0	0	0	0	1	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.07%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.38%	0.0%	0.0%	0.21%	0.0%	0.88%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	91	5	9	7	13	3	3	2	2	0	2	3	2	2	10	0	1	3	2	0	3	0	0	0	0	7	3	2	2	3	2	0					
		0.88%	0.74%	0.73%	0.73%	1.34%	0.39%	0.72%	1.34%	1.80%	0.0%	0.76%	2.34%	0.43%	0.43%	1.63%	0.0%	0.86%	1.05%	4.0%	0.0%	1.27%	0.0%	0.0%	0.0%	0.0%	1.38%	1.53%	0.70%	2.0%	0.98%	0.49%	0.0%					
30	"13. ""Демократическая партия России"""	20	0	1	4	0	0	0	0	1	1	2	0	0	1	0	2	0	1	0	2	1	0	0	0	0	2	1	1	0	0	0	0					
		0.19%	0.0%	0.08%	0.41%	0.0%	0.0%	0.0%	0.0%	0.90%	0.82%	0.76%	0.0%	0.0%	0.21%	0.0%	0.88%	0.0%	0.35%	0.0%	2.32%	0.42%	0.0%	0.0%	0.0%	0.0%	0.39%	0.51%	0.35%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	0	2	2	1	2	0	0	1	0	0	0	1	0	2	2	0	2	0	0	1	0	0	0	0	1	0	1	0	0	1	0					
		0.18%	0.0%	0.16%	0.20%	0.10%	0.26%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.21%	0.0%	0.32%	0.88%	0.0%	0.70%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.35%	0.0%	0.0%	0.24%	0.0%					
32	"15. ""Партия СЛОН"""	15	1	0	0	1	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	2	0					
		0.14%	0.14%	0.0%	0.0%	0.10%	0.13%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.21%	0.43%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.70%	1.0%	0.0%	0.49%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	550	49	119	58	55	34	31	7	2	4	9	9	23	17	21	6	1	19	2	3	5	0	0	0	0	16	5	21	4	9	18	3					
		5.32%	7.30%	9.65%	6.07%	5.69%	4.51%	7.52%	4.69%	1.80%	3.30%	3.43%	7.03%	4.96%	3.67%	3.43%	2.66%	0.86%	6.66%	4.0%	3.48%	2.11%	0.0%	0.0%	0.0%	0.0%	3.17%	2.55%	7.36%	4.0%	2.95%	4.43%	2.56%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	30	0	1	1	0	2	0	0	0	2	2	1	0	1	6	8	0	1	0	0	1	0	0	0	0	2	2	0	0	0	0	0					
		0.29%	0.0%	0.08%	0.10%	0.0%	0.26%	0.0%	0.0%	0.0%	1.65%	0.76%	0.78%	0.0%	0.21%	0.98%	3.55%	0.0%	0.35%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.39%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1486	94	182	192	164	105	49	26	16	19	44	30	58	72	62	13	9	26	2	18	32	9	6	1	3	59	24	39	14	36	60	22					
		14.38%	14.00%	14.77%	20.12%	16.97%	13.94%	11.89%	17.44%	14.41%	15.70%	16.79%	23.43%	12.52%	15.58%	10.14%	5.77%	7.75%	9.12%	4.0%	20.93%	13.55%	23.07%	18.18%	3.70%	12.5%	11.70%	12.24%	13.68%	14.0%	11.80%	14.77%	18.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	245	19	29	26	17	15	10	2	1	4	6	5	9	8	16	9	1	6	2	3	7	2	1	0	0	14	5	6	0	6	15	1					
		2.37%	2.83%	2.35%	2.72%	1.75%	1.99%	2.42%	1.34%	0.90%	3.30%	2.29%	3.90%	1.94%	1.73%	2.61%	4.0%	0.86%	2.10%	4.0%	3.48%	2.96%	5.12%	3.03%	0.0%	0.0%	2.77%	2.55%	2.10%	0.0%	1.96%	3.69%	0.85%					
37	"20. ""Политическая партия ""Единая Россия"""	4295	284	455	378	368	338	203	70	50	45	136	48	197	186	230	44	61	108	19	35	132	26	5	22	18	218	77	109	40	167	169	57					
		41.58%	42.32%	36.93%	39.62%	38.09%	44.88%	49.27%	46.97%	45.04%	37.19%	51.90%	37.5%	42.54%	40.25%	37.64%	19.55%	52.58%	37.89%	38.0%	40.69%	55.93%	66.66%	15.15%	81.48%	75.0%	43.25%	39.28%	38.24%	40.0%	54.75%	41.62%	48.71%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	1	0	2	2	1	2	0	0	1	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0					
		0.15%	0.14%	0.0%	0.20%	0.20%	0.13%	0.48%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.43%	0.0%	0.44%	0.86%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.32%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	34	3	2	2	3	5	2	0	0	1	0	0	1	1	4	3	0	1	0	0	1	0	0	0	0	0	2	1	1	1	0	0					
		0.32%	0.44%	0.16%	0.20%	0.31%	0.66%	0.48%	0.0%	0.0%	0.82%	0.0%	0.0%	0.21%	0.21%	0.65%	1.33%	0.0%	0.35%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.35%	1.0%	0.32%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	798	63	136	62	71	56	27	4	7	5	14	5	39	20	38	16	4	28	13	7	21	0	7	1	2	41	26	27	15	12	27	4					
		7.72%	9.38%	11.03%	6.49%	7.34%	7.43%	6.55%	2.68%	6.30%	4.13%	5.34%	3.90%	8.42%	4.32%	6.21%	7.11%	3.44%	9.82%	26.0%	8.13%	8.89%	0.0%	21.21%	3.70%	8.33%	8.13%	13.26%	9.47%	15.0%	3.93%	6.65%	3.41%					
																																						
41	Против всех	431	25	48	39	47	20	16	3	6	1	9	4	18	27	35	17	5	22	4	4	7	0	0	1	0	26	7	14	2	5	15	4					
		4.17%	3.72%	3.89%	4.08%	4.86%	2.65%	3.88%	2.01%	5.40%	0.82%	3.43%	3.12%	3.88%	5.84%	5.72%	7.55%	4.31%	7.71%	8.0%	4.65%	2.96%	0.0%	0.0%	3.70%	0.0%	5.15%	3.57%	4.91%	2.0%	1.63%	3.69%	3.41%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
