Выборы Президента Российской Федерации																																																																																																							
																																																																																																							
"Наименование Избирательной комиссии:    Воронеж, Коминтерновская"																																																																																																							
																																																																																																							
Итоги голосования 																																																																																																							
																																																																																																							
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096					
11	Число полученных открепительных  удостоверений	2508	25	15	20	20	30	30	35	30	15	15	30	20	30	25	25	40	30	25	25	31	30	15	35	30	27	15	15	15	15	40	25	25	40	40	34	30	25	15	15	15	40	15	15	15	16	25	40	20	20	30	20	25	25	40	25	15	25	30	20	30	20	25	15	15	20	25	35	25	35	35	25	35	45	30	25	25	24	30	25	30	35	20	35	21	20	20	25	30	15	20	40	25	105	15	15	15					
12	Число выданных открепительных удостоверений	1843	19	7	20	13	17	16	26	18	13	12	14	13	16	17	22	35	22	15	20	25	20	12	31	23	16	9	10	9	4	28	18	23	27	34	32	18	13	10	12	4	17	5	9	9	16	17	26	17	16	23	18	18	19	40	22	10	21	24	13	28	13	15	15	12	10	20	22	20	22	25	16	30	37	25	20	21	24	27	18	26	27	13	28	14	20	16	23	28	14	15	39	22	63	13	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1423	14	8	17	18	28	13	11	10	7	11	11	11	29	16	14	17	17	13	9	21	9	8	15	19	9	2	7	18	5	17	9	11	29	15	13	15	25	19	6	8	24	13	9	10	18	8	49	11	20	18	20	13	15	24	19	9	5	8	6	11	29	8	7	12	12	6	25	9	20	13	5	3	17	10	14	19	8	12	10	6	34	9	11	12	11	17	11	17	7	17	21	11	112	17	3	4					
14	Число неиспользованных открепительных удостоверений	665	6	8	0	7	13	14	9	12	2	3	16	7	14	8	3	5	8	10	5	6	10	3	4	7	11	6	5	6	11	12	7	2	13	6	2	12	12	5	3	11	23	10	6	6	0	8	14	3	4	7	2	7	6	0	3	5	4	6	7	2	7	10	0	3	10	5	13	5	13	10	9	5	8	5	5	4	0	3	7	4	8	7	7	7	0	4	2	2	1	5	1	3	42	2	7	14					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																							
18	. Глазьев Сергей Юрьевич	6193	53	17	61	53	52	81	70	62	27	42	49	35	91	83	48	42	67	68	71	49	69	62	79	81	80	37	47	49	20	51	53	29	57	67	62	51	44	49	55	37	39	32	41	34	48	54	71	76	107	73	62	56	80	80	91	60	68	60	40	47	56	58	30	65	75	74	92	78	88	84	91	103	99	96	88	100	88	82	90	72	87	102	134	72	71	98	71	62	67	66	84	88	41	36	48	38					
		5.51%	5.52%	3.25%	5.66%	5.17%	4.43%	6.61%	5.96%	5.51%	3.80%	4.51%	3.78%	3.62%	6.09%	6.01%	3.59%	3.57%	5.56%	5.69%	5.17%	3.80%	5.31%	5.39%	6.53%	6.51%	6.00%	4.42%	6.04%	5.43%	5.71%	4.76%	4.51%	2.63%	4.07%	4.96%	4.56%	5.18%	4.67%	4.85%	7.41%	5.35%	4.58%	4.63%	4.61%	4.96%	5.60%	5.35%	5.63%	6.07%	6.61%	6.29%	5.29%	5.25%	5.78%	5.20%	6.50%	5.22%	5.31%	4.87%	5.18%	5.15%	4.51%	5.86%	4.14%	6.00%	6.61%	5.89%	5.90%	5.68%	6.34%	5.91%	6.57%	7.84%	6.36%	6.89%	5.74%	6.75%	5.94%	5.88%	6.09%	5.41%	6.56%	7.23%	8.86%	5.36%	4.71%	7.70%	5.58%	4.84%	5.74%	6.13%	5.32%	5.97%	3.71%	3.65%	4.76%	4.33%					
19	. Малышкин Олег Александрович	1782	17	13	25	21	28	24	15	18	17	20	17	26	17	20	31	31	21	17	17	23	32	18	22	17	29	16	12	19	6	11	18	14	33	22	28	7	9	27	11	9	6	11	18	16	20	18	21	15	23	10	19	15	12	19	12	13	18	17	8	9	13	29	12	16	21	23	20	13	16	19	26	22	31	15	21	20	19	17	26	25	6	16	23	15	31	18	28	21	11	10	19	24	21	16	22	19					
		1.58%	1.77%	2.49%	2.32%	2.05%	2.39%	1.96%	1.28%	1.60%	2.39%	2.15%	1.31%	2.69%	1.14%	1.45%	2.32%	2.64%	1.74%	1.42%	1.24%	1.79%	2.46%	1.56%	1.82%	1.37%	2.18%	1.91%	1.54%	2.11%	1.71%	1.03%	1.53%	1.27%	2.36%	1.63%	2.06%	0.71%	0.95%	2.67%	1.48%	1.30%	0.71%	1.59%	2.02%	2.33%	2.33%	1.78%	1.67%	1.20%	1.42%	0.86%	1.62%	1.41%	0.87%	1.24%	0.86%	1.13%	1.41%	1.38%	1.04%	0.99%	1.05%	2.93%	1.66%	1.48%	1.85%	1.83%	1.28%	0.95%	1.15%	1.34%	1.88%	1.67%	1.99%	1.08%	1.37%	1.35%	1.28%	1.22%	1.76%	1.88%	0.45%	1.13%	1.52%	1.12%	2.05%	1.42%	2.20%	1.64%	0.94%	0.93%	1.20%	1.63%	1.90%	1.62%	2.18%	2.17%					
20	. Миронов Сергей Михайлович	1179	8	7	5	17	15	7	20	12	7	8	17	15	15	15	10	11	13	11	18	17	13	20	16	13	19	5	13	11	5	14	9	11	30	16	17	12	11	12	10	11	6	9	8	4	9	6	14	8	15	14	11	7	6	20	20	17	16	18	8	6	7	5	9	8	4	10	16	19	6	13	12	6	15	18	13	29	25	16	4	14	10	16	10	15	19	11	12	14	10	5	10	16	15	9	13	7					
		1.05%	0.83%	1.34%	0.46%	1.66%	1.28%	0.57%	1.70%	1.07%	0.98%	0.86%	1.31%	1.55%	1.00%	1.09%	0.75%	0.94%	1.08%	0.92%	1.31%	1.32%	1.00%	1.74%	1.32%	1.05%	1.43%	0.60%	1.67%	1.22%	1.43%	1.31%	0.77%	1.00%	2.14%	1.18%	1.25%	1.22%	1.17%	1.19%	1.35%	1.59%	0.71%	1.30%	0.90%	0.58%	1.05%	0.59%	1.11%	0.64%	0.93%	1.21%	0.94%	0.66%	0.43%	1.30%	1.43%	1.48%	1.25%	1.46%	1.04%	0.66%	0.56%	0.51%	1.24%	0.74%	0.35%	0.80%	1.03%	1.38%	0.43%	0.91%	0.87%	0.46%	0.96%	1.29%	0.85%	1.96%	1.69%	1.15%	0.27%	1.05%	0.75%	1.13%	0.66%	1.12%	1.26%	0.86%	0.94%	1.09%	0.86%	0.46%	0.63%	1.09%	1.36%	0.91%	1.29%	0.80%					
21	. Путин Владимир Владимирович	68734	582	324	646	615	725	770	663	648	428	540	817	624	909	877	889	784	737	723	801	756	805	700	719	734	717	498	469	538	224	683	664	640	864	800	846	619	620	564	423	421	558	404	563	430	560	624	792	766	954	705	731	592	858	996	813	648	745	718	451	531	696	546	468	597	632	749	962	819	859	782	839	786	955	896	988	950	860	837	914	819	859	826	833	888	998	729	819	835	747	663	1083	984	704	665	687	615					
		61.10%	60.56%	61.95%	59.93%	59.94%	61.75%	62.86%	56.43%	57.55%	60.20%	57.94%	62.94%	64.53%	60.80%	63.55%	66.54%	66.72%	61.11%	60.50%	58.38%	58.70%	61.97%	60.82%	59.42%	59.00%	53.79%	59.43%	60.28%	59.65%	64.00%	63.77%	56.46%	57.97%	61.71%	59.17%	62.21%	62.84%	65.75%	55.84%	57.01%	60.84%	65.57%	58.47%	63.33%	62.68%	65.34%	61.78%	62.86%	61.18%	58.93%	60.78%	62.32%	55.53%	61.99%	64.76%	58.11%	56.35%	58.16%	58.33%	58.42%	58.16%	55.99%	55.15%	64.64%	55.07%	55.73%	59.59%	61.67%	59.61%	61.84%	55.03%	60.58%	59.82%	61.38%	64.28%	64.41%	64.15%	58.03%	60.00%	61.88%	61.53%	64.73%	58.54%	55.09%	66.12%	66.14%	57.31%	64.39%	65.23%	63.96%	61.62%	68.63%	66.76%	63.77%	67.51%	68.15%	70.13%					
22	. Хакамада Ирина Муцуовна	5801	53	26	77	39	40	56	47	36	36	26	52	39	81	70	60	43	59	62	63	69	66	50	62	39	69	45	27	40	13	78	45	59	58	43	63	38	48	65	38	35	27	22	41	38	36	39	83	67	90	66	55	55	63	141	87	70	75	67	42	49	64	64	32	57	60	51	93	88	57	60	60	59	76	86	110	81	85	82	84	68	121	66	100	79	90	81	59	74	76	74	93	110	44	46	19	24					
		5.16%	5.52%	4.97%	7.14%	3.80%	3.41%	4.57%	4.00%	3.20%	5.06%	2.79%	4.01%	4.03%	5.42%	5.07%	4.49%	3.66%	4.89%	5.19%	4.59%	5.36%	5.08%	4.34%	5.12%	3.14%	5.18%	5.37%	3.47%	4.43%	3.71%	7.28%	3.83%	5.34%	4.14%	3.18%	4.63%	3.86%	5.09%	6.44%	5.12%	5.06%	3.17%	3.18%	4.61%	5.54%	4.20%	3.86%	6.59%	5.35%	5.56%	5.69%	4.69%	5.16%	4.55%	9.17%	6.22%	6.09%	5.85%	5.44%	5.44%	5.37%	5.15%	6.46%	4.42%	5.26%	5.29%	4.06%	5.96%	6.40%	4.10%	4.22%	4.33%	4.49%	4.88%	6.17%	7.17%	5.47%	5.74%	5.88%	5.69%	5.11%	9.12%	4.68%	6.61%	5.88%	5.96%	6.37%	4.64%	5.78%	6.51%	6.88%	5.89%	7.46%	3.99%	4.67%	1.88%	2.74%					
23	. Харитонов Николай Михайлович	24350	218	125	228	234	267	253	311	297	167	266	314	196	315	247	226	218	260	268	345	307	272	260	262	325	371	201	174	215	68	199	344	322	316	357	285	218	174	251	178	154	160	191	188	142	160	226	243	280	369	244	241	299	305	185	318	295	312	299	193	239	359	261	138	300	298	301	324	310	316	413	305	282	323	240	236	226	358	315	304	278	208	335	363	221	232	289	226	225	217	228	207	194	101	178	193	149					
		21.65%	22.68%	23.90%	21.15%	22.81%	22.74%	20.65%	26.47%	26.38%	23.49%	28.54%	24.19%	20.27%	21.07%	17.90%	16.92%	18.55%	21.56%	22.43%	25.15%	23.84%	20.94%	22.59%	21.65%	26.13%	27.83%	23.99%	22.37%	23.84%	19.43%	18.58%	29.25%	29.17%	22.57%	26.41%	20.96%	22.13%	18.45%	24.85%	23.99%	22.25%	18.80%	27.64%	21.15%	20.70%	18.67%	22.38%	19.29%	22.36%	22.79%	21.03%	20.55%	28.05%	22.04%	12.03%	22.73%	25.65%	24.36%	24.29%	25.00%	26.18%	28.88%	26.36%	19.06%	27.68%	26.28%	23.95%	20.77%	22.56%	22.75%	29.06%	22.02%	21.46%	20.76%	17.22%	15.38%	15.26%	24.16%	22.58%	20.58%	20.89%	15.67%	23.74%	24.01%	16.46%	15.37%	22.72%	17.77%	17.58%	18.58%	21.19%	13.12%	13.16%	9.15%	18.07%	19.15%	16.99%					
																																																																																																							
24	Против всех	3790	23	10	36	39	44	30	44	40	25	25	29	26	62	60	61	42	41	39	52	63	36	37	43	30	43	26	24	25	14	29	32	22	41	38	51	35	36	37	18	24	51	22	27	17	18	40	34	36	52	44	49	32	49	94	55	43	38	43	23	28	33	23	21	41	37	41	44	41	40	48	43	52	52	37	73	61	37	43	45	52	31	44	44	50	65	43	54	41	35	29	70	50	79	32	16	16					
		3.37%	2.39%	1.91%	3.34%	3.80%	3.75%	2.45%	3.74%	3.55%	3.52%	2.68%	2.23%	2.69%	4.15%	4.35%	4.57%	3.57%	3.40%	3.26%	3.79%	4.89%	2.77%	3.21%	3.55%	2.41%	3.23%	3.10%	3.08%	2.77%	4.00%	2.71%	2.72%	1.99%	2.93%	2.81%	3.75%	3.55%	3.82%	3.66%	2.43%	3.47%	5.99%	3.18%	3.04%	2.48%	2.10%	3.96%	2.70%	2.88%	3.21%	3.79%	4.18%	3.00%	3.54%	6.11%	3.93%	3.74%	2.97%	3.49%	2.98%	3.07%	2.65%	2.32%	2.90%	3.78%	3.26%	3.26%	2.82%	2.98%	2.88%	3.38%	3.10%	3.96%	3.34%	2.65%	4.76%	4.12%	2.50%	3.08%	3.05%	3.91%	2.34%	3.12%	2.91%	3.72%	4.31%	3.38%	4.25%	3.20%	3.00%	2.70%	4.44%	3.39%	7.16%	3.25%	1.59%	1.82%					
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
