Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Кузоватовская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК  264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
		0.55%	0.0%	0.0%	0.33%	0.0%	0.62%	0.0%	0.82%	0.34%	0.87%	0.0%	0.0%	0.0%	1.00%	0.51%	0.37%	0.91%	0.0%	1.03%	0.0%	0.0%	1.06%	0.23%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	8.53%	0.0%	0.45%	0.0%	0.55%	0.90%	0.90%	0.62%					
23	"6. ""Объединенная Российская партия ""Русь"""	42	1	0	2	0	0	0	1	2	0	0	1	0	2	2	3	2	0	0	0	0	0	1	4	0	0	0	0	0	0	10	1	0	1	0	1	2	3	3					
		0.30%	0.35%	0.0%	0.67%	0.0%	0.0%	0.0%	0.82%	0.68%	0.0%	0.0%	0.16%	0.0%	0.28%	0.51%	0.55%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.21%	1.21%	0.0%	0.22%	0.0%	0.18%	0.20%	0.22%	0.20%					
24	"7. ""Новый курс - Автомобильная Россия"""	58	0	0	0	1	0	3	1	2	3	1	4	2	1	1	1	3	0	0	0	1	0	1	1	1	1	0	0	0	0	2	0	0	1	0	0	6	10	11					
		0.41%	0.0%	0.0%	0.0%	0.31%	0.0%	1.5%	0.82%	0.68%	0.87%	0.82%	0.65%	1.14%	0.14%	0.25%	0.18%	0.68%	0.0%	0.0%	0.0%	1.38%	0.0%	0.11%	0.16%	0.26%	0.36%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.22%	0.0%	0.0%	0.60%	0.75%	0.76%					
25	"8. ""Народно-республиканская партия России"""	13	1	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1					
		0.09%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	1.65%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	1.44%	0.0%	0.0%	0.32%	0.0%	0.0%	0.22%	0.0%	0.0%	0.10%	0.0%	0.06%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1					
		0.07%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.14%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.06%					
27	"10. ""Аграрная партия России"""	821	20	11	34	18	24	9	8	21	52	29	41	11	28	13	10	32	6	5	3	3	29	45	14	32	30	1	1	6	12	23	3	7	26	5	29	66	47	67					
		5.94%	7.16%	13.58%	11.44%	5.71%	7.45%	4.5%	6.61%	7.14%	15.24%	23.96%	6.74%	6.32%	4.01%	3.31%	1.85%	7.30%	7.59%	2.57%	3.48%	4.16%	10.32%	5.23%	2.31%	8.35%	11.07%	1.38%	1.44%	7.69%	6.41%	7.39%	3.65%	4.63%	5.94%	6.41%	5.39%	6.63%	3.52%	4.65%					
28	"11. ""Истинные патриоты России"""	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1					
		0.07%	0.35%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	2.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	105	3	0	2	4	6	0	2	1	3	1	6	1	8	5	3	4	1	0	0	0	2	2	6	4	0	0	0	0	0	2	0	2	0	0	3	7	11	16					
		0.75%	1.07%	0.0%	0.67%	1.26%	1.86%	0.0%	1.65%	0.34%	0.87%	0.82%	0.98%	0.57%	1.14%	1.27%	0.55%	0.91%	1.26%	0.0%	0.0%	0.0%	0.71%	0.23%	0.99%	1.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	1.32%	0.0%	0.0%	0.55%	0.70%	0.82%	1.11%					
30	"13. ""Демократическая партия России"""	22	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	3	4	2					
		0.15%	1.07%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	1.26%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.32%	0.0%	0.0%	0.0%	0.0%	0.18%	0.30%	0.30%	0.13%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	1	0	2	0	1	1	0	0	0	0	2	0	3	0	0	1	0	0	0	0	2	4	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	2					
		0.18%	0.35%	0.0%	0.67%	0.0%	0.31%	0.5%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.42%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.71%	0.46%	0.33%	0.0%	1.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.13%					
32	"15. ""Партия СЛОН"""	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.49%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.27%					
33	"16. ""Родина"" (народно-патриотический союз)"""	846	14	2	14	15	38	11	3	5	21	8	35	2	50	32	22	24	26	11	3	3	18	34	25	31	13	8	1	4	3	29	11	0	9	0	16	86	102	117					
		6.12%	5.01%	2.46%	4.71%	4.76%	11.80%	5.5%	2.47%	1.70%	6.15%	6.61%	5.75%	1.14%	7.16%	8.16%	4.08%	5.47%	32.91%	5.67%	3.48%	4.16%	6.40%	3.95%	4.13%	8.09%	4.79%	11.11%	1.44%	5.12%	1.60%	9.32%	13.41%	0.0%	2.05%	0.0%	2.97%	8.64%	7.65%	8.13%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	1	0	0	2	1	0	0	0	0	0	3	1	2	0	0	1	0	2	0	0	3	0	4	2	3	0	0	1	0	0	0	0	0	0	1	6	2	3					
		0.27%	0.35%	0.0%	0.0%	0.63%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.57%	0.28%	0.0%	0.0%	0.22%	0.0%	1.03%	0.0%	0.0%	1.06%	0.0%	0.66%	0.52%	1.10%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.60%	0.15%	0.20%					
35	"18. ""ЛДПР"""	1956	32	3	53	38	65	22	14	23	36	17	64	19	128	50	64	60	3	36	12	7	17	125	64	47	30	17	18	7	17	35	9	23	25	6	79	169	303	219					
		14.15%	11.46%	3.70%	17.84%	12.06%	20.18%	11.0%	11.57%	7.82%	10.55%	14.04%	10.52%	10.91%	18.33%	12.75%	11.87%	13.69%	3.79%	18.55%	13.95%	9.72%	6.04%	14.55%	10.59%	12.27%	11.07%	23.61%	26.08%	8.97%	9.09%	11.25%	10.97%	15.23%	5.72%	7.69%	14.68%	16.98%	22.74%	15.22%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	245	6	3	2	8	1	1	1	1	1	3	9	2	13	6	8	9	2	4	1	2	5	8	12	15	12	0	5	1	0	3	3	4	3	0	11	22	21	37					
		1.77%	2.15%	3.70%	0.67%	2.53%	0.31%	0.5%	0.82%	0.34%	0.29%	2.47%	1.48%	1.14%	1.86%	1.53%	1.48%	2.05%	2.53%	2.06%	1.16%	2.77%	1.77%	0.93%	1.98%	3.91%	4.42%	0.0%	7.24%	1.28%	0.0%	0.96%	3.65%	2.64%	0.68%	0.0%	2.04%	2.21%	1.57%	2.57%					
37	"20. ""Политическая партия ""Единая Россия"""	6606	107	45	113	145	107	99	60	210	152	39	323	98	250	208	279	171	36	107	62	47	136	479	333	172	129	27	30	34	136	160	40	80	331	64	312	376	515	594					
		47.81%	38.35%	55.55%	38.04%	46.03%	33.22%	49.5%	49.58%	71.42%	44.57%	32.23%	53.12%	56.32%	35.81%	53.06%	51.76%	39.04%	45.56%	55.15%	72.09%	65.27%	48.39%	55.76%	55.13%	44.90%	47.60%	37.5%	43.47%	43.58%	72.72%	51.44%	48.78%	52.98%	75.74%	82.05%	57.99%	37.78%	38.66%	41.30%					
38	"21. ""Российская Конституционно-демократическая партия"""	68	1	0	33	1	0	1	0	0	1	0	0	0	1	1	3	2	1	0	0	0	0	3	2	0	2	1	0	1	0	0	0	0	1	0	1	1	2	9					
		0.49%	0.35%	0.0%	11.11%	0.31%	0.0%	0.5%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.14%	0.25%	0.55%	0.45%	1.26%	0.0%	0.0%	0.0%	0.0%	0.34%	0.33%	0.0%	0.73%	1.38%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.18%	0.10%	0.15%	0.62%					
39	"22. ""Развитие предпринимательства"""	30	1	0	1	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	2	3	0	0	0	0	1	0	2	0	0	0	0	2	6	5	2					
		0.21%	0.35%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.16%	0.0%	0.0%	0.25%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.49%	0.0%	0.0%	0.0%	0.0%	1.28%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.37%	0.60%	0.37%	0.13%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1494	45	6	3	33	42	32	21	12	39	9	87	28	81	39	71	80	0	8	2	4	33	90	41	39	22	7	2	12	9	24	6	21	25	1	39	102	198	181					
		10.81%	16.12%	7.40%	1.01%	10.47%	13.04%	16.0%	17.35%	4.08%	11.43%	7.43%	14.30%	16.09%	11.60%	9.94%	13.17%	18.26%	0.0%	4.12%	2.32%	5.55%	11.74%	10.47%	6.78%	10.18%	8.11%	9.72%	2.89%	15.38%	4.81%	7.71%	7.31%	13.90%	5.72%	1.28%	7.24%	10.25%	14.86%	12.58%					
																																													
41	Против всех	356	5	4	16	15	9	2	5	6	4	1	14	4	32	9	13	9	2	7	1	0	4	7	14	4	13	2	5	3	3	4	1	1	2	0	15	46	19	55					
		2.57%	1.79%	4.93%	5.38%	4.76%	2.79%	1.0%	4.13%	2.04%	1.17%	0.82%	2.30%	2.29%	4.58%	2.29%	2.41%	2.05%	2.53%	3.60%	1.16%	0.0%	1.42%	0.81%	2.31%	1.04%	4.79%	2.77%	7.24%	3.84%	1.60%	1.28%	1.21%	0.66%	0.45%	0.0%	2.78%	4.62%	1.42%	3.82%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
