Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Иркутск, Иркутская городская N 2"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №1907	УИК №1917									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1900	10	30	20	20	30	10	30	40	30	20	20	30	30	30	40	40	30	30	40	40	40	30	20	40	30	30	40	20	40	30	30	40	30	30	20	30	40	30	40	30	30	40	40	30	40	40	30	40	50	30	30	40	30	40	40	30	30	30	10	30	10	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	794	1	11	16	5	22	0	8	24	18	15	9	15	16	17	16	18	20	8	8	8	10	6	11	16	6	13	12	9	5	14	15	17	4	9	11	27	16	11	14	15	8	20	12	15	7	14	18	8	23	13	9	14	15	19	24	12	20	16	6	18	7	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	768	9	7	4	5	10	13	14	6	8	12	8	16	17	7	6	12	6	25	43	20	8	6	14	9	6	11	4	11	15	7	8	12	9	9	19	12	8	26	8	9	0	12	17	12	10	14	17	11	4	10	3	9	16	6	10	8	3	3	21	4	10	18	91									
14	Число погашенных неиспользованных открепительных удостоверений	1106	9	19	4	15	8	10	22	16	12	5	11	15	14	13	24	22	10	22	32	32	30	24	9	24	24	17	28	11	35	16	15	23	26	21	9	3	24	19	26	15	22	20	28	15	33	26	12	32	27	17	21	26	15	21	16	18	10	14	4	12	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	0	0	0	1	1	0	2	1	1	2	0	5	2	1	2	0	1	1	3	2	0	1	0	1	0	5	0	1	1	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	1	0	2	1	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	731	2	5	3	5	9	4	12	24	10	14	7	17	14	7	9	13	10	10	13	8	8	9	20	19	10	16	20	10	9	11	6	16	13	5	12	15	24	12	18	7	12	15	14	16	10	16	26	15	24	22	17	7	5	17	10	5	9	9	7	13	2	2	2									
		2.12%	1.27%	1.91%	1.36%	2.30%	1.58%	2.41%	2.46%	3.70%	1.78%	1.87%	1.72%	2.74%	2.13%	1.08%	1.29%	1.75%	1.46%	1.76%	2.44%	1.77%	1.34%	1.73%	2.86%	2.69%	1.80%	2.22%	3.57%	2.04%	1.74%	2.28%	1.32%	2.38%	1.85%	1.50%	3.39%	2.04%	2.99%	2.51%	2.77%	1.30%	2.13%	1.57%	2.52%	2.12%	1.99%	2.44%	3.23%	2.39%	3.57%	3.71%	2.85%	1.43%	0.88%	2.32%	1.25%	1.63%	1.74%	1.57%	1.81%	2.11%	0.74%	1.07%	2.20%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	938	3	4	6	9	15	0	8	22	14	32	13	16	27	24	13	26	21	10	7	6	15	10	20	16	18	24	16	8	16	14	16	26	29	10	9	12	16	16	23	10	10	29	19	26	9	15	26	16	12	13	19	21	19	13	20	9	10	9	9	10	13	8	3									
		2.72%	1.90%	1.53%	2.71%	4.15%	2.63%	0.00%	1.64%	3.40%	2.49%	4.27%	3.19%	2.58%	4.11%	3.69%	1.86%	3.50%	3.07%	1.76%	1.31%	1.32%	2.51%	1.92%	2.86%	2.26%	3.24%	3.32%	2.86%	1.63%	3.09%	2.90%	3.52%	3.86%	4.13%	2.99%	2.54%	1.63%	1.99%	3.35%	3.54%	1.85%	1.77%	3.03%	3.42%	3.45%	1.79%	2.29%	3.23%	2.55%	1.78%	2.19%	3.18%	4.29%	3.36%	1.77%	2.50%	2.93%	1.94%	1.57%	2.33%	1.62%	4.78%	4.28%	3.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	649	2	5	4	2	6	0	8	15	10	24	6	8	19	16	5	8	16	10	17	9	7	9	9	10	6	15	11	4	8	11	8	15	10	9	2	12	25	11	10	9	8	16	16	18	9	11	13	14	6	9	10	12	9	12	17	6	8	13	13	19	9	7	3									
		1.88%	1.27%	1.91%	1.81%	0.92%	1.05%	0.00%	1.64%	2.31%	1.78%	3.20%	1.47%	1.29%	2.89%	2.46%	0.72%	1.08%	2.34%	1.76%	3.19%	1.99%	1.17%	1.73%	1.29%	1.41%	1.08%	2.08%	1.96%	0.81%	1.54%	2.28%	1.76%	2.23%	1.42%	2.69%	0.56%	1.63%	3.11%	2.30%	1.54%	1.67%	1.42%	1.67%	2.88%	2.39%	1.79%	1.68%	1.61%	2.23%	0.89%	1.52%	1.68%	2.45%	1.59%	1.64%	2.12%	1.95%	1.55%	2.27%	3.37%	3.08%	3.31%	3.74%	3.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10408	61	73	75	68	141	58	152	180	172	204	110	175	170	193	205	186	202	194	184	140	184	169	220	228	198	233	167	154	176	142	142	186	230	109	117	212	221	143	222	157	151	270	146	221	143	190	248	197	220	170	157	148	166	227	258	86	171	210	113	198	80	61	24									
		30.20%	38.61%	27.86%	33.94%	31.34%	24.74%	34.94%	31.15%	27.78%	30.55%	27.20%	27.03%	28.23%	25.88%	29.69%	29.33%	25.07%	29.53%	34.15%	34.52%	30.91%	30.82%	32.44%	31.47%	32.25%	35.61%	32.27%	29.82%	31.36%	33.98%	29.40%	31.21%	27.64%	32.72%	32.63%	33.05%	28.84%	27.52%	29.92%	34.15%	29.07%	26.77%	28.18%	26.26%	29.31%	28.49%	28.96%	30.77%	31.42%	32.69%	28.67%	26.30%	30.20%	29.38%	30.97%	32.21%	28.01%	33.14%	36.65%	29.27%	32.09%	29.41%	32.62%	26.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	563	1	0	4	5	4	4	6	6	9	15	5	12	5	13	12	12	12	7	10	4	14	1	16	22	5	12	12	10	8	10	11	14	19	8	5	16	9	9	9	2	4	21	6	10	11	8	12	9	14	13	20	14	5	4	14	1	7	11	7	9	2	1	2									
		1.63%	0.63%	0.00%	1.81%	2.30%	0.70%	2.41%	1.23%	0.93%	1.60%	2.00%	1.23%	1.94%	0.76%	2.00%	1.72%	1.62%	1.75%	1.23%	1.88%	0.88%	2.35%	0.19%	2.29%	3.11%	0.90%	1.66%	2.14%	2.04%	1.54%	2.07%	2.42%	2.08%	2.70%	2.40%	1.41%	2.18%	1.12%	1.88%	1.38%	0.37%	0.71%	2.19%	1.08%	1.33%	2.19%	1.22%	1.49%	1.44%	2.08%	2.19%	3.35%	2.86%	0.88%	0.55%	1.75%	0.33%	1.36%	1.92%	1.81%	1.46%	0.74%	0.53%	2.20%									
24	"6. Политическая партия ""Гражданская Платформа"""	120	2	1	0	1	0	0	0	3	1	3	0	0	1	1	2	5	2	1	1	3	0	2	4	4	1	2	4	3	1	2	1	7	1	1	1	4	3	1	1	2	3	0	3	5	2	2	5	0	0	1	0	6	6	4	2	0	3	1	0	2	0	3	0									
		0.35%	1.27%	0.38%	0.00%	0.46%	0.00%	0.00%	0.00%	0.46%	0.18%	0.40%	0.00%	0.00%	0.15%	0.15%	0.29%	0.67%	0.29%	0.18%	0.19%	0.66%	0.00%	0.38%	0.57%	0.57%	0.18%	0.28%	0.71%	0.61%	0.19%	0.41%	0.22%	1.04%	0.14%	0.30%	0.28%	0.54%	0.37%	0.21%	0.15%	0.37%	0.53%	0.00%	0.54%	0.66%	0.40%	0.30%	0.62%	0.00%	0.00%	0.17%	0.00%	1.22%	1.06%	0.55%	0.25%	0.00%	0.58%	0.17%	0.00%	0.32%	0.00%	1.60%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4078	32	56	29	30	59	17	51	81	57	71	51	73	79	73	83	91	105	71	62	53	71	88	79	77	76	91	70	63	82	56	43	79	83	41	45	89	97	60	70	70	59	98	60	54	40	51	91	66	80	77	74	53	75	80	95	38	52	71	58	74	39	25	14									
		11.83%	20.25%	21.37%	13.12%	13.82%	10.35%	10.24%	10.45%	12.50%	10.12%	9.47%	12.53%	11.77%	12.02%	11.23%	11.87%	12.26%	15.35%	12.50%	11.63%	11.70%	11.89%	16.89%	11.30%	10.89%	13.67%	12.60%	12.50%	12.83%	15.83%	11.59%	9.45%	11.74%	11.81%	12.28%	12.71%	12.11%	12.08%	12.55%	10.77%	12.96%	10.46%	10.23%	10.79%	7.16%	7.97%	7.77%	11.29%	10.53%	11.89%	12.98%	12.40%	10.82%	13.27%	10.91%	11.86%	12.38%	10.08%	12.39%	15.03%	11.99%	14.34%	13.37%	15.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	692	1	6	2	3	14	7	18	15	14	10	3	12	12	18	19	13	17	9	20	9	12	6	16	10	8	11	14	13	9	12	8	11	12	4	15	16	19	13	9	11	9	21	16	15	11	23	15	13	17	13	13	8	16	4	8	4	5	6	5	10	5	1	3									
		2.01%	0.63%	2.29%	0.90%	1.38%	2.46%	4.22%	3.69%	2.31%	2.49%	1.33%	0.74%	1.94%	1.83%	2.77%	2.72%	1.75%	2.49%	1.58%	3.75%	1.99%	2.01%	1.15%	2.29%	1.41%	1.44%	1.52%	2.50%	2.65%	1.74%	2.48%	1.76%	1.63%	1.71%	1.20%	4.24%	2.18%	2.37%	2.72%	1.38%	2.04%	1.60%	2.19%	2.88%	1.99%	2.19%	3.51%	1.86%	2.07%	2.53%	2.19%	2.18%	1.63%	2.83%	0.55%	0.99%	1.30%	0.97%	1.05%	1.30%	1.62%	1.84%	0.53%	3.30%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	840	2	6	5	7	16	4	24	22	17	12	9	16	17	12	19	18	14	10	13	14	19	9	19	30	13	13	13	13	12	9	6	18	9	6	9	20	28	12	12	10	8	24	14	30	20	15	30	14	21	14	18	7	8	13	16	5	13	11	7	7	7	0	1									
		2.44%	1.27%	2.29%	2.26%	3.23%	2.81%	2.41%	4.92%	3.40%	3.02%	1.60%	2.21%	2.58%	2.59%	1.85%	2.72%	2.43%	2.05%	1.76%	2.44%	3.09%	3.18%	1.73%	2.72%	4.24%	2.34%	1.80%	2.32%	2.65%	2.32%	1.86%	1.32%	2.67%	1.28%	1.80%	2.54%	2.72%	3.49%	2.51%	1.85%	1.85%	1.42%	2.51%	2.52%	3.98%	3.98%	2.29%	3.72%	2.23%	3.12%	2.36%	3.02%	1.43%	1.42%	1.77%	1.99%	1.63%	2.52%	1.92%	1.81%	1.13%	2.57%	0.00%	1.10%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	0	0	1	0	0	0	0	2	0	1	1	1	1	1	0	2	1	0	0	0	1	1	2	0	1	2	0	1	2	0	0	0	0	0	1	0	2	1	0	0	1	3	0	0	2	2	0	1	2	5	2	0	1	1	1	0	1	3	1	1	0	0	0									
		0.15%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.13%	0.25%	0.16%	0.15%	0.15%	0.00%	0.27%	0.15%	0.00%	0.00%	0.00%	0.17%	0.19%	0.29%	0.00%	0.18%	0.28%	0.00%	0.20%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.25%	0.21%	0.00%	0.00%	0.18%	0.31%	0.00%	0.00%	0.40%	0.30%	0.00%	0.16%	0.30%	0.84%	0.34%	0.00%	0.18%	0.14%	0.12%	0.00%	0.19%	0.52%	0.26%	0.16%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1041	3	6	6	6	24	7	25	18	18	19	15	20	22	19	16	31	31	18	17	21	17	10	31	28	14	20	10	12	12	9	14	20	17	6	18	27	27	14	16	14	11	32	13	22	21	20	24	19	38	19	22	18	8	30	19	4	8	6	4	15	6	1	3									
		3.02%	1.90%	2.29%	2.71%	2.76%	4.21%	4.22%	5.12%	2.78%	3.20%	2.53%	3.69%	3.23%	3.35%	2.92%	2.29%	4.18%	4.53%	3.17%	3.19%	4.64%	2.85%	1.92%	4.43%	3.96%	2.52%	2.77%	1.79%	2.44%	2.32%	1.86%	3.08%	2.97%	2.42%	1.80%	5.08%	3.67%	3.36%	2.93%	2.46%	2.59%	1.95%	3.34%	2.34%	2.92%	4.18%	3.05%	2.98%	3.03%	5.65%	3.20%	3.69%	3.67%	1.42%	4.09%	2.37%	1.30%	1.55%	1.05%	1.04%	2.43%	2.21%	0.53%	3.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	11338	28	77	72	64	239	49	153	208	177	264	158	215	228	230	255	274	205	161	142	145	194	163	202	186	147	212	183	152	134	170	154	229	227	100	84	231	260	140	211	206	233	351	210	276	164	234	271	213	185	181	195	150	204	257	259	125	192	184	130	219	88	60	28									
		32.90%	17.72%	29.39%	32.58%	29.49%	41.93%	29.52%	31.35%	32.10%	31.44%	35.20%	38.82%	34.68%	34.70%	35.38%	36.48%	36.93%	29.97%	28.35%	26.64%	32.01%	32.50%	31.29%	28.90%	26.31%	26.44%	29.36%	32.68%	30.96%	25.87%	35.20%	33.85%	34.03%	32.29%	29.94%	23.73%	31.43%	32.38%	29.29%	32.46%	38.15%	41.31%	36.64%	37.77%	36.60%	32.67%	35.67%	33.62%	33.97%	27.49%	30.52%	32.66%	30.61%	36.11%	35.06%	32.33%	40.72%	37.21%	32.11%	33.68%	35.49%	32.35%	32.09%	30.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	176	5	2	2	0	1	1	3	8	2	6	1	0	4	0	6	5	2	3	4	3	1	2	3	5	2	4	2	3	4	5	2	4	4	0	2	5	2	1	5	1	3	4	1	9	0	3	5	2	3	2	2	2	4	3	5	1	4	3	1	3	0	0	1									
		0.51%	3.16%	0.76%	0.90%	0.00%	0.18%	0.60%	0.61%	1.23%	0.36%	0.80%	0.25%	0.00%	0.61%	0.00%	0.86%	0.67%	0.29%	0.53%	0.75%	0.66%	0.17%	0.38%	0.43%	0.71%	0.36%	0.55%	0.36%	0.61%	0.77%	1.04%	0.44%	0.59%	0.57%	0.00%	0.56%	0.68%	0.25%	0.21%	0.77%	0.19%	0.53%	0.42%	0.18%	1.19%	0.00%	0.46%	0.62%	0.32%	0.45%	0.34%	0.34%	0.41%	0.71%	0.41%	0.62%	0.33%	0.78%	0.52%	0.26%	0.49%	0.00%	0.00%	1.10%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2212	12	18	9	11	30	12	22	32	45	58	18	49	41	36	41	51	37	50	29	31	41	30	43	67	46	50	33	38	28	15	32	39	35	29	31	70	56	41	29	31	38	62	26	45	48	51	32	31	47	41	39	32	23	52	66	19	29	30	23	27	16	14	5									
		6.42%	7.59%	6.87%	4.07%	5.07%	5.26%	7.23%	4.51%	4.94%	7.99%	7.73%	4.42%	7.90%	6.24%	5.54%	5.87%	6.87%	5.41%	8.80%	5.44%	6.84%	6.87%	5.76%	6.15%	9.48%	8.27%	6.93%	5.89%	7.74%	5.41%	3.11%	7.03%	5.79%	4.98%	8.68%	8.76%	9.52%	6.97%	8.58%	4.46%	5.74%	6.74%	6.47%	4.68%	5.97%	9.56%	7.77%	3.97%	4.94%	6.98%	6.91%	6.53%	6.53%	4.07%	7.09%	8.24%	6.19%	5.62%	5.24%	5.96%	4.38%	5.88%	7.49%	5.49%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
