Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Яшкинская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	1	0	1	1	0	3	2	0	1	3	1	0	0	3	0	0	0	1	1	0	1	0	1	0	0	2	1	2	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	3	1	1									
		0.19%	0.18%	0.00%	0.19%	0.16%	0.00%	1.06%	0.35%	0.00%	0.35%	0.49%	0.81%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.09%	0.21%	0.00%	0.35%	0.00%	0.12%	0.00%	0.00%	0.39%	1.00%	0.21%	0.00%	0.00%	0.14%	0.00%	0.12%	0.26%	0.00%	0.00%	0.00%	0.00%	0.16%	0.19%	0.00%	0.18%	0.00%	0.46%	0.33%	0.20%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	19	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0									
		0.10%	0.18%	0.16%	0.19%	0.16%	0.00%	0.35%	0.17%	0.45%	0.35%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	3.00%	0.11%	0.00%	0.00%	0.14%	0.00%	0.12%	0.26%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	38	2	1	3	1	3	0	0	0	0	6	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	3	0	3	0	0	0	0	0	3	0	1	0	1	2	0	1									
		0.20%	0.37%	0.16%	0.56%	0.16%	0.50%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.48%	0.00%	0.28%	0.28%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	2.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.19%	0.00%	0.17%	0.30%	0.00%	0.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15563	434	531	450	503	519	230	471	182	230	481	93	160	47	585	279	228	50	861	387	66	231	84	657	36	108	410	50	742	92	125	571	43	638	296	259	287	320	95	530	456	477	491	525	568	256	429									
		81.91%	80.22%	87.05%	84.27%	82.32%	85.64%	80.99%	82.06%	81.25%	80.99%	78.72%	75.00%	77.29%	75.81%	80.91%	78.59%	78.89%	79.37%	81.61%	80.96%	74.16%	79.93%	75.00%	80.71%	80.00%	76.60%	79.77%	50.00%	78.77%	76.03%	76.22%	80.20%	74.14%	78.86%	77.69%	76.85%	81.53%	80.81%	81.20%	87.17%	88.54%	89.16%	87.21%	89.13%	86.45%	83.39%	85.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	1	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	1	0	2									
		0.10%	0.18%	0.00%	0.00%	0.16%	0.17%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.37%	0.00%	0.00%	0.15%	0.00%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.03%	0.00%	0.16%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	989	45	33	32	51	38	21	59	14	23	40	5	13	4	38	10	17	4	84	28	4	10	8	33	4	6	21	33	36	5	7	28	3	42	22	18	15	14	6	18	16	14	15	14	21	8	9									
		5.20%	8.32%	5.41%	5.99%	8.35%	6.27%	7.39%	10.28%	6.25%	8.10%	6.55%	4.03%	6.28%	6.45%	5.26%	2.82%	5.88%	6.35%	7.96%	5.86%	4.49%	3.46%	7.14%	4.05%	8.89%	4.26%	4.09%	33.00%	3.82%	4.13%	4.27%	3.93%	5.17%	5.19%	5.77%	5.34%	4.26%	3.54%	5.13%	2.96%	3.11%	2.62%	2.66%	2.38%	3.20%	2.61%	1.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	42	1	2	2	2	1	1	2	1	1	2	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	1	0	0	0	0	2	2	1	2	2	2	1	2									
		0.22%	0.18%	0.33%	0.37%	0.33%	0.17%	0.35%	0.35%	0.45%	0.35%	0.33%	1.61%	0.48%	0.00%	0.28%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.21%	0.00%	0.00%	0.14%	0.00%	0.25%	0.26%	0.00%	0.00%	0.00%	0.00%	0.33%	0.39%	0.19%	0.36%	0.34%	0.30%	0.33%	0.40%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0									
		0.05%	0.18%	0.16%	0.00%	0.00%	0.00%	0.35%	0.17%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.16%	0.00%	0.00%	0.18%	0.00%	0.00%	0.33%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	1									
		0.06%	0.00%	0.16%	0.00%	0.16%	0.00%	0.35%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.19%	0.18%	0.34%	0.00%	0.00%	0.20%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	19	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1									
		0.10%	0.18%	0.00%	0.19%	0.16%	0.17%	0.35%	0.00%	0.45%	0.35%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.11%	0.00%	0.00%	0.14%	0.00%	0.12%	0.26%	0.00%	0.00%	0.00%	0.00%	0.16%	0.19%	0.00%	0.00%	0.17%	0.15%	0.00%	0.20%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1501	29	15	23	34	26	11	21	10	14	58	17	21	5	51	58	37	6	58	46	12	38	12	75	3	18	61	10	102	17	22	77	7	82	44	42	38	40	8	30	26	25	38	30	42	24	38									
		7.90%	5.36%	2.46%	4.31%	5.56%	4.29%	3.87%	3.66%	4.46%	4.93%	9.49%	13.71%	10.14%	8.06%	7.05%	16.34%	12.80%	9.52%	5.50%	9.62%	13.48%	13.15%	10.71%	9.21%	6.67%	12.77%	11.87%	10.00%	10.83%	14.05%	13.41%	10.81%	12.07%	10.14%	11.55%	12.46%	10.80%	10.10%	6.84%	4.93%	5.05%	4.67%	6.75%	5.09%	6.39%	7.82%	7.62%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0									
		0.10%	0.18%	0.16%	0.19%	0.16%	0.17%	0.00%	0.17%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.11%	0.00%	0.00%	0.14%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.19%	0.00%	0.18%	0.17%	0.15%	0.33%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	703	23	22	19	13	14	13	11	13	11	20	6	11	5	39	7	7	3	42	16	7	9	8	48	2	9	14	0	49	7	10	27	5	35	14	18	12	20	7	17	11	13	11	12	14	14	15									
		3.70%	4.25%	3.61%	3.56%	2.13%	2.31%	4.58%	1.92%	5.80%	3.87%	3.27%	4.84%	5.31%	8.06%	5.39%	1.97%	2.42%	4.76%	3.98%	3.35%	7.87%	3.11%	7.14%	5.90%	4.44%	6.38%	2.72%	0.00%	5.20%	5.79%	6.10%	3.79%	8.62%	4.33%	3.67%	5.34%	3.41%	5.05%	5.98%	2.80%	2.14%	2.43%	1.95%	2.04%	2.13%	4.56%	3.01%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
