Выборы Президента Российской Федерации																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Омская																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916					
		3.64%	2.35%	6.15%	2.53%	2.17%	4.19%	3.09%	5.05%	0.75%	3.63%	2.90%	1.86%	6.01%	3.61%	9.55%	2.48%	3.62%	3.47%	4.36%	5.80%	0.82%	4.91%	2.16%	1.80%	3.30%	1.56%	4.46%	0.61%	4.36%	0.00%	3.57%	3.70%	6.61%	3.00%	2.60%	5.56%	6.10%	1.68%	2.84%	4.87%	5.27%	5.44%	5.48%	8.35%	3.78%	2.04%	2.48%	3.75%	3.11%	3.61%	3.48%	4.34%	1.82%	4.78%	4.81%	3.85%	2.62%	2.29%	3.59%	1.19%	3.02%	0.49%	3.65%	4.29%	3.24%	3.30%	5.31%	6.84%	2.35%	4.00%	1.89%	8.41%	1.88%	1.97%	0.93%	1.97%	2.92%	3.55%	5.09%	3.19%					
20	. Миронов Сергей Михайлович	284	1	3	1	0	4	3	2	1	2	4	3	3	2	2	4	6	0	20	7	0	1	2	9	3	1	11	1	3	0	9	3	0	9	5	0	0	0	13	6	12	12	8	4	2	2	1	9	3	3	0	4	3	1	12	6	5	4	0	6	3	0	5	2	3	4	0	0	1	2	1	3	5	1	0	1	2	3	1	6					
		0.58%	0.14%	2.31%	0.63%	0.00%	0.49%	0.66%	0.27%	0.75%	0.21%	0.41%	0.33%	0.27%	0.40%	1.01%	0.90%	0.68%	0.00%	0.91%	0.60%	0.00%	0.11%	1.44%	0.81%	0.52%	0.39%	1.00%	0.61%	1.09%	0.00%	0.68%	0.55%	0.00%	0.59%	0.76%	0.00%	0.00%	0.00%	0.92%	0.52%	0.83%	1.02%	1.37%	0.86%	0.50%	0.24%	0.41%	0.73%	0.21%	0.52%	0.00%	0.47%	1.09%	0.43%	1.18%	0.62%	0.69%	0.44%	0.00%	0.65%	0.25%	0.00%	0.63%	1.23%	1.62%	0.47%	0.00%	0.00%	0.47%	1.60%	0.63%	2.80%	0.47%	0.33%	0.00%	0.11%	0.73%	0.44%	0.36%	0.96%					
21	. Путин Владимир Владимирович	33882	542	91	126	172	581	325	572	107	645	589	623	724	374	142	279	626	175	1468	822	111	627	105	855	405	202	770	141	160	115	917	380	168	1078	466	162	129	209	922	757	982	759	400	284	253	595	187	833	962	420	416	587	218	168	699	622	563	658	150	624	777	115	525	129	138	512	92	65	144	94	115	78	795	232	99	653	179	511	178	409					
		69.76%	74.97%	70.00%	79.75%	93.48%	71.55%	71.74%	76.06%	79.85%	66.84%	60.91%	68.09%	64.99%	75.10%	71.36%	62.84%	70.73%	86.63%	66.61%	70.08%	90.98%	69.90%	75.54%	76.82%	70.31%	78.91%	70.13%	85.45%	58.18%	77.70%	69.73%	70.24%	74.01%	70.32%	71.25%	81.82%	78.66%	87.82%	65.39%	65.83%	68.15%	64.49%	68.49%	60.81%	63.73%	71.43%	77.27%	67.94%	68.03%	72.29%	80.46%	68.82%	79.56%	73.04%	68.66%	64.79%	77.55%	71.76%	76.92%	67.75%	65.24%	56.37%	66.12%	79.14%	74.59%	60.31%	81.42%	55.56%	67.61%	75.20%	72.33%	72.90%	74.72%	76.07%	92.52%	71.37%	65.33%	75.48%	64.73%	65.34%					
22	. Хакамада Ирина Муцуовна	1398	17	1	2	1	23	7	16	3	48	34	26	28	10	11	11	29	3	48	34	0	30	2	27	17	3	29	1	4	5	41	30	4	43	13	0	2	1	46	31	45	39	17	14	22	25	15	39	73	14	11	22	8	4	33	35	19	23	1	26	31	7	14	1	12	28	0	7	4	4	5	5	29	3	0	23	7	15	9	28					
		2.88%	2.35%	0.77%	1.27%	0.54%	2.83%	1.55%	2.13%	2.24%	4.97%	3.52%	2.84%	2.51%	2.01%	5.53%	2.48%	3.28%	1.49%	2.18%	2.90%	0.00%	3.34%	1.44%	2.43%	2.95%	1.17%	2.64%	0.61%	1.45%	3.38%	3.12%	5.55%	1.76%	2.80%	1.99%	0.00%	1.22%	0.42%	3.26%	2.70%	3.12%	3.31%	2.91%	3.00%	5.54%	3.00%	6.20%	3.18%	5.16%	2.41%	2.13%	2.58%	2.92%	1.74%	3.24%	3.65%	2.62%	2.51%	0.51%	2.82%	2.60%	3.43%	1.76%	0.61%	6.49%	3.30%	0.00%	5.98%	1.88%	3.20%	3.14%	4.67%	2.73%	0.98%	0.00%	2.51%	2.55%	2.22%	3.27%	4.47%					
23	. Харитонов Николай Михайлович	7871	105	22	20	4	117	71	84	21	140	214	157	207	71	6	99	156	10	434	171	6	139	18	143	101	31	176	17	77	19	227	77	21	266	110	20	17	14	272	186	157	183	84	85	58	132	24	209	202	98	49	136	13	30	139	162	81	170	34	209	259	72	185	13	19	228	14	33	46	16	28	10	149	37	6	165	52	82	51	105					
		16.21%	14.52%	16.92%	12.66%	2.17%	14.41%	15.67%	11.17%	15.67%	14.51%	22.13%	17.16%	18.58%	14.26%	3.02%	22.30%	17.63%	4.95%	19.69%	14.58%	4.92%	15.50%	12.95%	12.85%	17.53%	12.11%	16.03%	10.30%	28.00%	12.84%	17.26%	14.23%	9.25%	17.35%	16.82%	10.10%	10.37%	5.88%	19.29%	16.17%	10.90%	15.55%	14.38%	18.20%	14.61%	15.85%	9.92%	17.05%	14.29%	16.87%	9.48%	15.94%	4.74%	13.04%	13.65%	16.88%	11.16%	18.54%	17.44%	22.69%	21.75%	35.29%	23.30%	7.98%	10.27%	26.86%	12.39%	28.21%	21.60%	12.80%	17.61%	9.35%	14.00%	12.13%	5.61%	18.03%	18.98%	12.11%	18.55%	16.77%					
																																																																																						
24	Против всех	1413	9	2	3	1	22	8	15	1	51	47	35	42	19	7	11	15	3	74	30	1	20	3	20	11	4	24	1	6	4	39	10	11	48	19	1	3	1	43	50	71	53	20	23	17	28	7	31	51	5	10	24	11	4	35	52	12	19	2	11	35	5	13	0	2	22	0	0	4	1	2	1	24	5	0	30	11	21	12	25					
		2.91%	1.24%	1.54%	1.90%	0.54%	2.71%	1.77%	1.99%	0.75%	5.28%	4.86%	3.83%	3.77%	3.82%	3.52%	2.48%	1.69%	1.49%	3.36%	2.56%	0.82%	2.23%	2.16%	1.80%	1.91%	1.56%	2.19%	0.61%	2.18%	2.70%	2.97%	1.85%	4.85%	3.13%	2.91%	0.51%	1.83%	0.42%	3.05%	4.35%	4.93%	4.50%	3.42%	4.93%	4.28%	3.36%	2.89%	2.53%	3.61%	0.86%	1.93%	2.81%	4.01%	1.74%	3.44%	5.42%	1.65%	2.07%	1.03%	1.19%	2.94%	2.45%	1.64%	0.00%	1.08%	2.59%	0.00%	0.00%	1.88%	0.80%	1.26%	0.93%	2.26%	1.64%	0.00%	3.28%	4.01%	3.10%	4.36%	3.99%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
