Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Красноармейская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	865	20	15	10	20	15	15	23	20	10	10	10	15	45	10	10	10	20	20	20	20	5	5	5	5	8	5	15	10	10	10	5	5	14	10	20	15	15	10	5	10	10	10	10	20	10	10	20	30	20	15	10	20	10	20	5	10	10	5	5	5	10	20	10	20	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	851	20	15	10	20	15	15	23	20	10	5	10	12	45	10	10	10	20	20	20	20	5	5	5	5	8	5	15	10	10	10	5	5	14	10	20	15	15	10	5	10	10	10	10	20	4	10	20	30	20	15	10	20	10	20	5	10	10	5	5	5	10	20	10	20	10	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	164	2	2	3	8	0	3	0	0	2	7	0	1	5	7	0	3	1	1	8	3	3	3	3	5	3	2	5	8	0	3	3	2	3	1	0	3	5	6	1	3	0	0	2	3	1	1	2	3	3	4	4	7	4	1	2	1	2	0	0	1	2	0	0	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	14	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	2	4	0	2	0	0	1	2	1	1	1	2	3	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	0	0	1	1	0	1	0	0	0	1	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	761	17	16	9	12	17	17	9	11	11	8	14	13	32	15	4	8	6	44	19	17	2	9	7	4	0	8	10	11	10	5	2	1	8	14	12	10	14	12	3	19	14	13	10	6	6	10	66	14	17	15	8	12	13	9	8	6	6	1	1	2	5	23	6	8	2	20									
		1.57%	2.62%	2.52%	2.27%	1.14%	1.74%	1.67%	1.46%	1.70%	1.58%	1.39%	2.50%	1.46%	2.50%	2.45%	1.81%	1.25%	0.36%	3.15%	1.66%	1.39%	0.99%	2.04%	2.93%	2.00%	0.00%	2.16%	1.16%	1.60%	1.92%	0.78%	0.65%	0.96%	1.19%	2.14%	0.96%	1.06%	1.67%	2.11%	0.90%	2.74%	1.72%	1.74%	2.01%	0.68%	0.98%	1.32%	6.29%	1.06%	1.45%	1.57%	0.98%	1.09%	2.00%	0.77%	2.40%	1.02%	1.01%	0.74%	1.16%	0.49%	0.84%	1.51%	0.70%	0.61%	0.25%	2.06%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	885	23	18	3	19	17	13	17	8	14	13	17	21	28	15	12	9	5	22	7	14	2	18	3	3	0	10	20	10	13	26	7	0	16	13	21	10	15	6	13	17	12	10	10	29	12	12	38	17	22	5	14	26	12	15	10	14	10	3	1	5	6	35	10	18	7	14									
		1.83%	3.54%	2.83%	0.76%	1.81%	1.74%	1.27%	2.76%	1.23%	2.01%	2.26%	3.03%	2.36%	2.19%	2.45%	5.43%	1.41%	0.30%	1.57%	0.61%	1.15%	0.99%	4.07%	1.26%	1.50%	0.00%	2.70%	2.32%	1.45%	2.50%	4.06%	2.27%	0.00%	2.39%	1.99%	1.68%	1.06%	1.79%	1.05%	3.92%	2.45%	1.47%	1.34%	2.01%	3.31%	1.96%	1.58%	3.62%	1.29%	1.88%	0.52%	1.72%	2.35%	1.85%	1.29%	3.00%	2.39%	1.69%	2.21%	1.16%	1.23%	1.01%	2.30%	1.17%	1.37%	0.87%	1.44%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	759	15	17	15	11	21	10	15	8	9	5	7	14	29	8	2	10	8	19	4	11	3	11	1	5	10	9	12	13	16	5	5	0	9	14	8	11	12	11	0	15	8	4	8	5	9	2	22	29	64	15	8	17	3	21	5	10	5	6	2	4	3	27	31	14	10	19									
		1.57%	2.31%	2.67%	3.78%	1.05%	2.15%	0.98%	2.44%	1.23%	1.29%	0.87%	1.25%	1.57%	2.26%	1.31%	0.90%	1.56%	0.48%	1.36%	0.35%	0.90%	1.48%	2.49%	0.42%	2.50%	4.22%	2.43%	1.39%	1.89%	3.08%	0.78%	1.62%	0.00%	1.34%	2.14%	0.64%	1.17%	1.43%	1.93%	0.00%	2.16%	0.98%	0.54%	1.61%	0.57%	1.47%	0.26%	2.10%	2.21%	5.47%	1.57%	0.98%	1.54%	0.46%	1.80%	1.50%	1.70%	0.84%	4.41%	2.33%	0.99%	0.50%	1.77%	3.62%	1.07%	1.24%	1.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29216	326	337	182	617	566	663	343	404	489	359	326	554	751	362	101	369	981	812	715	759	128	273	143	115	155	239	556	456	304	403	197	72	337	348	759	588	486	342	162	474	494	457	287	513	386	456	545	811	601	553	507	695	377	778	193	339	426	72	51	256	419	885	588	861	516	597									
		60.36%	50.15%	52.99%	45.84%	58.76%	57.87%	65.00%	55.68%	62.35%	70.26%	62.43%	58.11%	62.18%	58.63%	59.15%	45.70%	57.75%	58.88%	58.04%	62.34%	62.16%	63.05%	61.76%	59.83%	57.50%	65.40%	64.42%	64.43%	66.28%	58.46%	62.87%	63.96%	69.23%	50.30%	53.21%	60.77%	62.49%	57.99%	60.00%	48.80%	68.40%	60.69%	61.18%	57.75%	58.49%	63.18%	60.16%	51.90%	61.67%	51.32%	57.97%	62.13%	62.90%	58.00%	66.72%	57.96%	57.75%	71.84%	52.94%	59.30%	63.21%	70.42%	58.03%	68.69%	65.73%	63.94%	61.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	285	6	3	1	4	19	0	5	1	1	2	3	5	13	5	4	4	5	6	6	6	1	4	0	2	0	3	1	2	1	4	0	0	10	3	4	6	6	1	0	0	4	15	3	2	3	6	21	6	14	5	3	4	3	7	4	8	2	0	1	0	3	16	6	1	0	1									
		0.59%	0.92%	0.47%	0.25%	0.38%	1.94%	0.00%	0.81%	0.15%	0.14%	0.35%	0.53%	0.56%	1.01%	0.82%	1.81%	0.63%	0.30%	0.43%	0.52%	0.49%	0.49%	0.90%	0.00%	1.00%	0.00%	0.81%	0.12%	0.29%	0.19%	0.62%	0.00%	0.00%	1.49%	0.46%	0.32%	0.64%	0.72%	0.18%	0.00%	0.00%	0.49%	2.01%	0.60%	0.23%	0.49%	0.79%	2.00%	0.46%	1.20%	0.52%	0.37%	0.36%	0.46%	0.60%	1.20%	1.36%	0.34%	0.00%	1.16%	0.00%	0.50%	1.05%	0.70%	0.08%	0.00%	0.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	167	2	1	0	4	8	3	0	0	0	2	5	0	2	1	0	5	3	6	4	0	1	0	0	4	0	0	1	2	0	2	0	1	6	1	1	1	3	2	0	1	7	10	1	1	2	1	14	7	4	10	6	2	0	1	0	5	0	0	0	0	0	15	4	0	5	0									
		0.35%	0.31%	0.16%	0.00%	0.38%	0.82%	0.29%	0.00%	0.00%	0.00%	0.35%	0.89%	0.00%	0.16%	0.16%	0.00%	0.78%	0.18%	0.43%	0.35%	0.00%	0.49%	0.00%	0.00%	2.00%	0.00%	0.00%	0.12%	0.29%	0.00%	0.31%	0.00%	0.96%	0.90%	0.15%	0.08%	0.11%	0.36%	0.35%	0.00%	0.14%	0.86%	1.34%	0.20%	0.11%	0.33%	0.13%	1.33%	0.53%	0.34%	1.05%	0.74%	0.18%	0.00%	0.09%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.47%	0.00%	0.62%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6160	104	93	79	160	117	126	113	78	58	74	68	95	153	59	55	83	181	168	135	147	24	65	41	24	28	65	110	82	73	77	40	11	70	124	134	107	101	83	69	83	97	98	73	113	73	95	198	157	192	114	112	132	78	148	40	70	63	29	11	53	51	183	59	157	97	110									
		12.73%	16.00%	14.62%	19.90%	15.24%	11.96%	12.35%	18.34%	12.04%	8.33%	12.87%	12.12%	10.66%	11.94%	9.64%	24.89%	12.99%	10.86%	12.01%	11.77%	12.04%	11.82%	14.71%	17.15%	12.00%	11.81%	17.52%	12.75%	11.92%	14.04%	12.01%	12.99%	10.58%	10.45%	18.96%	10.73%	11.37%	12.05%	14.56%	20.78%	11.98%	11.92%	13.12%	14.69%	12.88%	11.95%	12.53%	18.86%	11.94%	16.40%	11.95%	13.73%	11.95%	12.00%	12.69%	12.01%	11.93%	10.62%	21.32%	12.79%	13.09%	8.57%	12.00%	6.89%	11.98%	12.02%	11.31%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	203	6	3	3	5	3	4	1	5	2	0	5	3	2	4	1	2	8	5	9	8	1	3	0	1	0	1	0	1	0	1	0	0	6	0	3	3	10	0	0	0	6	0	2	2	1	4	7	11	5	15	4	0	0	0	6	4	1	0	0	4	6	10	1	4	1	0									
		0.42%	0.92%	0.47%	0.76%	0.48%	0.31%	0.39%	0.16%	0.77%	0.29%	0.00%	0.89%	0.34%	0.16%	0.65%	0.45%	0.31%	0.48%	0.36%	0.78%	0.66%	0.49%	0.68%	0.00%	0.50%	0.00%	0.27%	0.00%	0.15%	0.00%	0.16%	0.00%	0.00%	0.90%	0.00%	0.24%	0.32%	1.19%	0.00%	0.00%	0.00%	0.74%	0.00%	0.40%	0.23%	0.16%	0.53%	0.67%	0.84%	0.43%	1.57%	0.49%	0.00%	0.00%	0.00%	1.80%	0.68%	0.17%	0.00%	0.00%	0.99%	1.01%	0.66%	0.12%	0.31%	0.12%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	318	5	5	4	5	6	3	3	10	3	3	2	7	13	3	5	7	7	24	3	8	2	3	1	1	0	1	5	4	2	1	0	0	13	3	9	2	4	4	0	2	2	8	4	1	4	3	4	10	10	15	7	3	9	1	0	6	3	0	0	1	1	19	5	5	5	9									
		0.66%	0.77%	0.79%	1.01%	0.48%	0.61%	0.29%	0.49%	1.54%	0.43%	0.52%	0.36%	0.79%	1.01%	0.49%	2.26%	1.10%	0.42%	1.72%	0.26%	0.66%	0.99%	0.68%	0.42%	0.50%	0.00%	0.27%	0.58%	0.58%	0.38%	0.16%	0.00%	0.00%	1.94%	0.46%	0.72%	0.21%	0.48%	0.70%	0.00%	0.29%	0.25%	1.07%	0.80%	0.11%	0.65%	0.40%	0.38%	0.76%	0.85%	1.57%	0.86%	0.27%	1.38%	0.09%	0.00%	1.02%	0.51%	0.00%	0.00%	0.25%	0.17%	1.25%	0.58%	0.38%	0.62%	0.92%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	149	2	1	1	3	9	0	0	0	0	0	0	0	1	1	1	11	7	6	8	0	1	2	0	1	0	0	1	1	0	0	0	0	9	2	2	1	0	1	0	0	4	0	0	4	1	2	0	4	1	8	4	2	30	1	0	0	1	0	0	0	2	6	2	0	4	1									
		0.31%	0.31%	0.16%	0.25%	0.29%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.16%	0.45%	1.72%	0.42%	0.43%	0.70%	0.00%	0.49%	0.45%	0.00%	0.50%	0.00%	0.00%	0.12%	0.15%	0.00%	0.00%	0.00%	0.00%	1.34%	0.31%	0.16%	0.11%	0.00%	0.18%	0.00%	0.00%	0.49%	0.00%	0.00%	0.46%	0.16%	0.26%	0.00%	0.30%	0.09%	0.84%	0.49%	0.18%	4.62%	0.09%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.34%	0.39%	0.23%	0.00%	0.50%	0.10%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	277	0	8	6	10	12	1	4	3	4	1	6	5	12	0	3	9	10	9	7	7	2	3	1	1	0	0	3	4	0	1	1	0	7	0	10	4	4	1	1	1	8	8	1	4	5	5	6	10	9	7	4	6	0	0	5	6	2	0	1	2	0	16	0	5	5	1									
		0.57%	0.00%	1.26%	1.51%	0.95%	1.23%	0.10%	0.65%	0.46%	0.57%	0.17%	1.07%	0.56%	0.94%	0.00%	1.36%	1.41%	0.60%	0.64%	0.61%	0.57%	0.99%	0.68%	0.42%	0.50%	0.00%	0.00%	0.35%	0.58%	0.00%	0.16%	0.32%	0.00%	1.04%	0.00%	0.80%	0.43%	0.48%	0.18%	0.30%	0.14%	0.98%	1.07%	0.20%	0.46%	0.82%	0.66%	0.57%	0.76%	0.77%	0.73%	0.49%	0.54%	0.00%	0.00%	1.50%	1.02%	0.34%	0.00%	1.16%	0.49%	0.00%	1.05%	0.00%	0.38%	0.62%	0.10%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6681	114	113	80	176	127	133	89	84	84	77	73	146	171	117	26	85	196	186	148	159	26	40	33	26	32	27	103	84	79	83	46	18	148	62	197	173	130	88	74	52	105	105	71	140	98	104	103	162	169	124	103	143	85	174	43	76	60	18	12	52	88	198	113	170	105	155									
		13.80%	17.54%	17.77%	20.15%	16.76%	12.99%	13.04%	14.45%	12.96%	12.07%	13.39%	13.01%	16.39%	13.35%	19.12%	11.76%	13.30%	11.76%	13.30%	12.90%	13.02%	12.81%	9.05%	13.81%	13.00%	13.50%	7.28%	11.94%	12.21%	15.19%	12.95%	14.94%	17.31%	22.09%	9.48%	15.77%	18.38%	15.51%	15.44%	22.29%	7.50%	12.90%	14.06%	14.29%	15.96%	16.04%	13.72%	9.81%	12.32%	14.43%	12.99%	12.62%	12.94%	13.08%	14.92%	12.91%	12.95%	10.12%	13.24%	13.95%	12.84%	14.79%	12.98%	13.20%	12.98%	13.01%	15.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	204	2	3	2	2	6	1	1	2	2	2	4	2	1	1	2	7	6	5	13	3	1	1	2	1	0	0	2	1	1	1	2	0	7	3	2	1	3	1	0	0	11	0	0	0	3	13	2	2	3	20	4	2	0	2	0	9	0	0	0	2	3	16	3	2	10	1									
		0.42%	0.31%	0.47%	0.50%	0.19%	0.61%	0.10%	0.16%	0.31%	0.29%	0.35%	0.71%	0.22%	0.08%	0.16%	0.90%	1.10%	0.36%	0.36%	1.13%	0.25%	0.49%	0.23%	0.84%	0.50%	0.00%	0.00%	0.23%	0.15%	0.19%	0.16%	0.65%	0.00%	1.04%	0.46%	0.16%	0.11%	0.36%	0.18%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.49%	1.72%	0.19%	0.15%	0.26%	2.10%	0.49%	0.18%	0.00%	0.17%	0.00%	1.53%	0.00%	0.00%	0.00%	0.49%	0.50%	1.05%	0.35%	0.15%	1.24%	0.10%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1826	23	14	9	12	48	38	13	32	13	27	29	12	63	13	1	30	75	70	57	62	9	2	3	10	12	2	28	11	13	32	5	1	21	52	73	17	42	10	10	27	40	19	14	48	8	43	18	62	51	48	28	55	33	9	17	29	11	7	4	20	2	76	17	65	40	41									
		3.77%	3.54%	2.20%	2.27%	1.14%	4.91%	3.73%	2.11%	4.94%	1.87%	4.70%	5.17%	1.35%	4.92%	2.12%	0.45%	4.69%	4.50%	5.00%	4.97%	5.08%	4.43%	0.45%	1.26%	5.00%	5.06%	0.54%	3.24%	1.60%	2.50%	4.99%	1.62%	0.96%	3.13%	7.95%	5.84%	1.81%	5.01%	1.75%	3.01%	3.90%	4.91%	2.54%	2.82%	5.47%	1.31%	5.67%	1.71%	4.71%	4.36%	5.03%	3.43%	4.98%	5.08%	0.77%	5.11%	4.94%	1.85%	5.15%	4.65%	4.94%	0.34%	4.98%	1.99%	4.96%	4.96%	4.21%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
