Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №21																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2480	30	40	30	40	40	40	40	40	30	40	40	40	40	40	40	40	40	30	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	30	40	40	40	40	40	30	40	40	40	30	40	40	40	30	30	30	30	30	30	30	30	40	30	40	40	30	30	30	40	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1013	8	7	11	19	12	17	10	9	20	21	19	15	20	11	18	13	21	13	20	15	14	19	18	16	14	15	17	10	15	10	13	27	15	21	14	22	19	4	9	16	14	14	13	18	7	16	15	15	9	9	6	7	18	20	7	10	17	5	22	29	21	21	12	19	27	25	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	664	7	40	4	9	6	6	11	10	11	4	8	6	7	9	12	5	19	24	12	11	12	7	6	11	5	7	5	21	5	6	13	16	15	4	12	11	7	10	7	6	12	10	1	13	10	15	4	8	10	1	6	4	11	19	7	14	16	8	14	5	9	12	5	21	3	14	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	1467	22	33	19	21	28	23	30	31	10	19	21	25	20	29	22	27	19	17	20	25	26	21	22	24	26	25	23	30	25	30	27	13	25	19	26	18	11	36	31	24	26	26	17	22	33	24	15	25	31	31	24	23	12	10	23	20	13	25	18	1	19	19	18	11	3	15	20	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	196	3	1	1	2	4	1	6	5	2	4	3	3	2	1	2	4	5	5	1	1	3	3	3	1	3	1	1	3	1	0	2	6	3	3	4	2	2	6	2	0	8	7	2	1	2	3	4	2	9	3	2	6	1	1	2	1	2	0	2	13	2	4	3	2	5	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1047	12	15	10	5	26	17	21	14	26	20	14	30	19	19	16	27	17	4	19	21	12	13	7	14	15	24	14	5	19	12	13	14	17	16	7	21	16	10	16	22	9	20	10	16	7	17	12	19	15	16	12	10	28	9	12	18	10	17	22	11	13	22	16	20	13	17	11	6									
		2.28%	1.87%	2.44%	1.50%	0.74%	3.65%	2.38%	2.94%	1.67%	3.99%	2.40%	1.73%	4.61%	2.56%	2.26%	1.84%	3.41%	2.20%	0.79%	2.29%	2.23%	1.50%	1.83%	1.28%	1.84%	2.15%	3.47%	2.13%	0.74%	2.44%	1.62%	1.73%	1.75%	2.30%	2.23%	0.96%	2.59%	2.15%	1.42%	2.03%	2.89%	1.37%	3.17%	1.61%	2.12%	0.97%	2.49%	2.41%	2.67%	1.94%	2.59%	2.38%	1.59%	4.90%	1.64%	2.49%	3.96%	1.65%	2.62%	3.81%	2.16%	1.98%	3.67%	2.59%	3.08%	2.25%	2.92%	2.60%	2.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	560	7	11	8	8	8	7	7	16	3	9	12	5	6	12	12	12	11	6	7	15	9	5	6	3	9	12	5	10	8	9	9	5	14	8	11	9	12	7	7	6	9	7	7	13	7	3	3	12	7	10	0	13	7	14	11	6	6	12	8	10	6	11	3	8	9	6	3	3									
		1.22%	1.09%	1.79%	1.20%	1.18%	1.12%	0.98%	0.98%	1.91%	0.46%	1.08%	1.48%	0.77%	0.81%	1.43%	1.38%	1.52%	1.42%	1.18%	0.84%	1.59%	1.13%	0.70%	1.09%	0.39%	1.29%	1.73%	0.76%	1.49%	1.03%	1.22%	1.20%	0.63%	1.90%	1.11%	1.50%	1.11%	1.61%	0.99%	0.89%	0.79%	1.37%	1.11%	1.13%	1.72%	0.97%	0.44%	0.60%	1.69%	0.90%	1.62%	0.00%	2.07%	1.23%	2.55%	2.29%	1.32%	0.99%	1.85%	1.39%	1.96%	0.91%	1.83%	0.49%	1.23%	1.56%	1.03%	0.71%	1.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1090	13	7	21	15	12	16	11	18	10	21	11	16	22	21	19	23	10	14	25	21	18	27	11	24	22	11	11	17	22	13	13	14	20	17	16	19	8	12	18	29	23	18	15	15	19	13	13	18	29	23	8	15	16	16	7	9	16	13	10	13	9	12	20	20	15	18	9	10									
		2.37%	2.02%	1.14%	3.14%	2.21%	1.68%	2.24%	1.54%	2.15%	1.54%	2.51%	1.36%	2.46%	2.96%	2.50%	2.19%	2.91%	1.29%	2.75%	3.01%	2.23%	2.26%	3.80%	2.01%	3.15%	3.15%	1.59%	1.67%	2.53%	2.83%	1.76%	1.73%	1.75%	2.71%	2.37%	2.19%	2.34%	1.07%	1.70%	2.28%	3.82%	3.50%	2.85%	2.42%	1.99%	2.64%	1.90%	2.61%	2.53%	3.74%	3.73%	1.59%	2.39%	2.80%	2.92%	1.46%	1.98%	2.64%	2.00%	1.73%	2.55%	1.37%	2.00%	3.24%	3.08%	2.60%	3.09%	2.13%	4.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18969	297	267	281	282	292	312	284	325	271	351	366	299	298	362	349	311	321	186	338	378	293	288	253	281	289	265	259	289	304	368	343	356	351	287	297	324	292	264	302	314	261	252	256	298	313	262	187	279	316	268	261	291	269	216	197	196	230	241	250	207	258	262	238	249	200	238	173	112									
		41.27%	46.26%	43.34%	42.07%	41.53%	40.95%	43.70%	39.78%	38.78%	41.63%	42.04%	45.19%	45.93%	40.16%	43.04%	40.21%	39.32%	41.53%	36.54%	40.72%	40.08%	36.72%	40.56%	46.17%	36.93%	41.34%	38.29%	39.42%	42.94%	39.07%	49.73%	45.61%	44.56%	47.56%	39.97%	40.63%	39.90%	39.19%	37.50%	38.23%	41.32%	39.73%	39.94%	41.22%	39.47%	43.41%	38.36%	37.55%	39.24%	40.77%	43.44%	51.79%	46.41%	47.11%	39.42%	40.96%	43.08%	37.89%	37.08%	43.33%	40.67%	39.33%	43.67%	38.51%	38.37%	34.66%	40.82%	40.90%	48.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	562	8	9	9	9	12	9	11	14	8	13	6	4	8	11	14	13	8	6	10	23	9	6	8	8	5	8	6	7	6	5	8	8	10	8	8	12	5	7	6	4	2	10	6	7	6	10	8	11	8	8	5	7	4	9	7	4	8	4	11	9	11	10	14	10	9	7	4	4									
		1.22%	1.25%	1.46%	1.35%	1.33%	1.68%	1.26%	1.54%	1.67%	1.23%	1.56%	0.74%	0.61%	1.08%	1.31%	1.61%	1.64%	1.03%	1.18%	1.20%	2.44%	1.13%	0.85%	1.46%	1.05%	0.72%	1.16%	0.91%	1.04%	0.77%	0.68%	1.06%	1.00%	1.36%	1.11%	1.09%	1.48%	0.67%	0.99%	0.76%	0.53%	0.30%	1.58%	0.97%	0.93%	0.83%	1.46%	1.61%	1.55%	1.03%	1.30%	0.99%	1.12%	0.70%	1.64%	1.46%	0.88%	1.32%	0.62%	1.91%	1.77%	1.68%	1.67%	2.27%	1.54%	1.56%	1.20%	0.95%	1.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	96	5	3	2	0	2	2	2	1	0	0	0	0	2	3	0	5	3	1	1	1	2	2	0	1	1	1	1	0	4	0	2	4	1	1	2	1	0	2	4	5	0	2	1	1	4	1	1	1	1	2	0	3	1	1	0	1	0	0	0	0	1	1	0	3	1	1	1	1									
		0.21%	0.78%	0.49%	0.30%	0.00%	0.28%	0.28%	0.28%	0.12%	0.00%	0.00%	0.00%	0.00%	0.27%	0.36%	0.00%	0.63%	0.39%	0.20%	0.12%	0.11%	0.25%	0.28%	0.00%	0.13%	0.14%	0.14%	0.15%	0.00%	0.51%	0.00%	0.27%	0.50%	0.14%	0.14%	0.27%	0.12%	0.00%	0.28%	0.51%	0.66%	0.00%	0.32%	0.16%	0.13%	0.55%	0.15%	0.20%	0.14%	0.13%	0.32%	0.00%	0.48%	0.18%	0.18%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.15%	0.17%	0.00%	0.46%	0.17%	0.17%	0.24%	0.43%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6854	102	77	88	103	76	100	156	153	87	107	107	76	105	118	84	92	99	141	128	113	98	108	63	168	139	140	94	99	105	89	90	102	84	112	121	160	159	147	150	101	135	78	119	137	78	134	86	95	118	94	61	67	73	74	93	63	104	117	68	67	87	59	81	97	74	71	49	34									
		14.91%	15.89%	12.50%	13.17%	15.17%	10.66%	14.01%	21.85%	18.26%	13.36%	12.81%	13.21%	11.67%	14.15%	14.03%	9.68%	11.63%	12.81%	27.70%	15.42%	11.98%	12.28%	15.21%	11.50%	22.08%	19.89%	20.23%	14.31%	14.71%	13.50%	12.03%	11.97%	12.77%	11.38%	15.60%	16.55%	19.70%	21.34%	20.88%	18.99%	13.29%	20.55%	12.36%	19.16%	18.15%	10.82%	19.62%	17.27%	13.36%	15.23%	15.24%	12.10%	10.69%	12.78%	13.50%	19.33%	13.85%	17.13%	18.00%	11.79%	13.16%	13.26%	9.83%	13.11%	14.95%	12.82%	12.18%	11.58%	14.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	686	12	15	10	6	11	10	9	10	8	8	9	6	5	16	12	19	17	5	10	10	12	13	8	9	12	10	10	14	11	11	10	15	8	8	9	8	9	9	17	8	8	18	6	11	14	8	14	12	11	7	3	10	5	3	6	10	10	13	12	12	15	9	12	9	6	15	7	1									
		1.49%	1.87%	2.44%	1.50%	0.88%	1.54%	1.40%	1.26%	1.19%	1.23%	0.96%	1.11%	0.92%	0.67%	1.90%	1.38%	2.40%	2.20%	0.98%	1.20%	1.06%	1.50%	1.83%	1.46%	1.18%	1.72%	1.45%	1.52%	2.08%	1.41%	1.49%	1.33%	1.88%	1.08%	1.11%	1.23%	0.99%	1.21%	1.28%	2.15%	1.05%	1.22%	2.85%	0.97%	1.46%	1.94%	1.17%	2.81%	1.69%	1.42%	1.13%	0.60%	1.59%	0.88%	0.55%	1.25%	2.20%	1.65%	2.00%	2.08%	2.36%	2.29%	1.50%	1.94%	1.39%	1.04%	2.57%	1.65%	0.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	4770	44	63	62	97	77	65	53	80	63	82	87	59	78	78	91	95	99	40	86	114	108	82	52	82	65	82	91	75	74	76	75	91	64	83	86	67	59	79	81	79	70	79	51	63	78	80	60	83	84	46	40	63	43	81	45	44	53	72	47	46	54	76	80	70	73	58	56	11									
		10.38%	6.85%	10.23%	9.28%	14.29%	10.80%	9.10%	7.42%	9.55%	9.68%	9.82%	10.74%	9.06%	10.51%	9.27%	10.48%	12.01%	12.81%	7.86%	10.36%	12.09%	13.53%	11.55%	9.49%	10.78%	9.30%	11.85%	13.85%	11.14%	9.51%	10.27%	9.97%	11.39%	8.67%	11.56%	11.76%	8.25%	7.92%	11.22%	10.25%	10.39%	10.65%	12.52%	8.21%	8.34%	10.82%	11.71%	12.05%	11.67%	10.84%	7.46%	7.94%	10.05%	7.53%	14.78%	9.36%	9.67%	8.73%	11.08%	8.15%	9.04%	8.23%	12.67%	12.94%	10.79%	12.65%	9.95%	13.24%	4.76%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	127	0	4	1	0	4	3	0	5	3	0	5	0	5	3	5	0	1	0	1	8	3	1	1	5	3	3	2	3	2	0	0	0	0	4	2	2	1	1	0	1	2	0	4	4	3	1	2	2	6	0	1	0	0	2	1	3	1	1	1	1	3	3	0	0	1	1	2	0									
		0.28%	0.00%	0.65%	0.15%	0.00%	0.56%	0.42%	0.00%	0.60%	0.46%	0.00%	0.62%	0.00%	0.67%	0.36%	0.58%	0.00%	0.13%	0.00%	0.12%	0.85%	0.38%	0.14%	0.18%	0.66%	0.43%	0.43%	0.30%	0.45%	0.26%	0.00%	0.00%	0.00%	0.00%	0.56%	0.27%	0.25%	0.13%	0.14%	0.00%	0.13%	0.30%	0.00%	0.64%	0.53%	0.42%	0.15%	0.40%	0.28%	0.77%	0.00%	0.20%	0.00%	0.00%	0.36%	0.21%	0.66%	0.16%	0.15%	0.17%	0.20%	0.46%	0.50%	0.00%	0.00%	0.17%	0.17%	0.47%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2122	27	39	36	25	42	27	32	33	22	45	30	13	32	38	56	43	36	23	45	42	61	32	22	34	36	31	33	30	45	34	31	40	31	34	29	37	29	26	36	30	23	36	16	39	37	15	29	26	24	22	9	19	21	33	21	24	29	35	33	26	38	30	26	34	45	39	21	5									
		4.62%	4.21%	6.33%	5.39%	3.68%	5.89%	3.78%	4.48%	3.94%	3.38%	5.39%	3.70%	1.99%	4.31%	4.52%	6.45%	5.44%	4.66%	4.52%	5.42%	4.45%	7.64%	4.51%	4.01%	4.47%	5.15%	4.48%	5.02%	4.46%	5.78%	4.59%	4.12%	5.01%	4.20%	4.74%	3.97%	4.56%	3.89%	3.69%	4.56%	3.95%	3.50%	5.71%	2.58%	5.17%	5.13%	2.20%	5.82%	3.66%	3.10%	3.57%	1.79%	3.03%	3.68%	6.02%	4.37%	5.27%	4.78%	5.38%	5.72%	5.11%	5.79%	5.00%	4.21%	5.24%	7.80%	6.69%	4.96%	2.16%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5283	72	65	78	76	84	82	66	96	91	101	83	88	82	94	108	90	99	50	79	106	107	81	67	94	58	54	81	77	104	84	80	100	81	74	81	87	89	83	95	96	58	64	74	87	71	72	49	94	75	63	49	84	69	60	52	48	74	82	65	69	100	63	87	80	78	67	62	24									
		11.49%	11.21%	10.55%	11.68%	11.19%	11.78%	11.48%	9.24%	11.46%	13.98%	12.10%	10.25%	13.52%	11.05%	11.18%	12.44%	11.38%	12.81%	9.82%	9.52%	11.24%	13.41%	11.41%	12.23%	12.35%	8.30%	7.80%	12.33%	11.44%	13.37%	11.35%	10.64%	12.52%	10.98%	10.31%	11.08%	10.71%	11.95%	11.79%	12.03%	12.63%	8.83%	10.14%	11.92%	11.52%	9.85%	10.54%	9.84%	13.22%	9.68%	10.21%	9.72%	13.40%	12.08%	10.95%	10.81%	10.55%	12.19%	12.62%	11.27%	13.56%	15.24%	10.50%	14.08%	12.33%	13.52%	11.49%	14.66%	10.39%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	190	5	2	2	4	1	4	2	3	1	3	1	3	2	1	0	2	1	1	6	3	7	2	4	2	2	3	2	2	6	3	4	3	4	0	4	5	5	3	5	1	2	5	2	7	2	1	1	5	3	3	4	4	3	1	3	2	3	6	1	1	2	1	2	3	5	4	0	0									
		0.41%	0.78%	0.32%	0.30%	0.59%	0.14%	0.56%	0.28%	0.36%	0.15%	0.36%	0.12%	0.46%	0.27%	0.12%	0.00%	0.25%	0.13%	0.20%	0.72%	0.32%	0.88%	0.28%	0.73%	0.26%	0.29%	0.43%	0.30%	0.30%	0.77%	0.41%	0.53%	0.38%	0.54%	0.00%	0.55%	0.62%	0.67%	0.43%	0.63%	0.13%	0.30%	0.79%	0.32%	0.93%	0.28%	0.15%	0.20%	0.70%	0.39%	0.49%	0.79%	0.64%	0.53%	0.18%	0.62%	0.44%	0.49%	0.92%	0.17%	0.20%	0.30%	0.17%	0.32%	0.46%	0.87%	0.69%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2397	29	26	39	36	39	47	51	52	49	51	52	36	63	51	68	42	35	23	34	53	31	43	32	28	31	27	23	26	48	25	49	28	44	48	36	45	32	34	39	41	37	29	31	43	55	53	22	36	56	43	13	22	17	20	11	19	30	24	29	24	39	24	25	25	30	28	11	15									
		5.21%	4.52%	4.22%	5.84%	5.30%	5.47%	6.58%	7.14%	6.21%	7.53%	6.11%	6.42%	5.53%	8.49%	6.06%	7.83%	5.31%	4.53%	4.52%	4.10%	5.62%	3.88%	6.06%	5.84%	3.68%	4.43%	3.90%	3.50%	3.86%	6.17%	3.38%	6.52%	3.50%	5.96%	6.69%	4.92%	5.54%	4.30%	4.83%	4.94%	5.39%	5.63%	4.60%	4.99%	5.70%	7.63%	7.76%	4.42%	5.06%	7.23%	6.97%	2.58%	3.51%	2.98%	3.65%	2.29%	4.18%	4.94%	3.69%	5.03%	4.72%	5.95%	4.00%	4.05%	3.85%	5.20%	4.80%	2.60%	6.49%									
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
