Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Заречная городская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	224	20	22	24	24	19	23	22	27	25	5	1	3	8	1									
		1.95%	1.70%	1.71%	2.27%	2.12%	1.62%	1.97%	1.92%	2.29%	2.19%	4.17%	0.79%	1.06%	2.06%	0.74%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	287	31	33	22	39	29	29	24	36	27	3	1	3	9	1									
		2.49%	2.64%	2.57%	2.08%	3.44%	2.47%	2.49%	2.09%	3.06%	2.36%	2.50%	0.79%	1.06%	2.32%	0.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	298	20	26	32	24	31	35	30	45	28	4	3	8	8	4									
		2.59%	1.70%	2.02%	3.03%	2.12%	2.64%	3.00%	2.61%	3.82%	2.45%	3.33%	2.36%	2.84%	2.06%	2.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4416	444	494	374	469	438	436	438	435	455	43	68	114	152	56									
		38.37%	37.76%	38.47%	35.42%	41.36%	37.34%	37.39%	38.15%	36.96%	39.77%	35.83%	53.54%	40.43%	39.18%	41.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	117	13	21	8	11	6	17	9	9	12	2	1	5	3	0									
		1.02%	1.11%	1.64%	0.76%	0.97%	0.51%	1.46%	0.78%	0.76%	1.05%	1.67%	0.79%	1.77%	0.77%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	48	5	6	3	4	4	6	2	7	9	0	0	0	1	1									
		0.42%	0.43%	0.47%	0.28%	0.35%	0.34%	0.51%	0.17%	0.59%	0.79%	0.00%	0.00%	0.00%	0.26%	0.74%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1942	195	228	179	201	180	183	199	173	178	17	19	80	83	27									
		16.87%	16.58%	17.76%	16.95%	17.72%	15.35%	15.69%	17.33%	14.70%	15.56%	14.17%	14.96%	28.37%	21.39%	20.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	97	17	14	11	3	4	12	11	12	8	4	0	0	0	1									
		0.84%	1.45%	1.09%	1.04%	0.26%	0.34%	1.03%	0.96%	1.02%	0.70%	3.33%	0.00%	0.00%	0.00%	0.74%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	199	26	25	17	18	16	16	29	16	24	4	1	1	4	2									
		1.73%	2.21%	1.95%	1.61%	1.59%	1.36%	1.37%	2.53%	1.36%	2.10%	3.33%	0.79%	0.35%	1.03%	1.48%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	1	0	4	3	1	0	4	1	2	0	0	1	2	1									
		0.17%	0.09%	0.00%	0.38%	0.26%	0.09%	0.00%	0.35%	0.08%	0.17%	0.00%	0.00%	0.35%	0.52%	0.74%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	383	47	38	33	38	37	29	33	54	57	5	4	4	3	1									
		3.33%	3.99%	2.96%	3.13%	3.35%	3.15%	2.49%	2.87%	4.59%	4.98%	4.17%	3.15%	1.42%	0.77%	0.74%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1363	136	131	145	113	136	141	116	159	127	19	18	32	68	22									
		11.84%	11.56%	10.20%	13.73%	9.96%	11.59%	12.09%	10.10%	13.51%	11.10%	15.83%	14.17%	11.35%	17.53%	16.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	61	6	6	7	5	3	4	9	7	6	0	0	1	5	2									
		0.53%	0.51%	0.47%	0.66%	0.44%	0.26%	0.34%	0.78%	0.59%	0.52%	0.00%	0.00%	0.35%	1.29%	1.48%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1575	162	195	153	144	185	190	161	169	142	9	8	22	21	14									
		13.68%	13.78%	15.19%	14.49%	12.70%	15.77%	16.30%	14.02%	14.36%	12.41%	7.50%	6.30%	7.80%	5.41%	10.37%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
