Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																									
Дата голосования: 02.12.2007																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Астрахань, Cоветская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №623	УИК №624	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	2686	40	45	45	40	51	47	56	40	32	47	37	37	32	37	43	48	52	40	52	42	47	37	37	42	37	37	0	110	30	45	35	30	50	40	37	42	38	44	42	35	42	32	49	35	42	33	37	32	45	45	47	20	25	42	30	27	32	32	25	20	27	24	18	30	28	40	27	33	32	25	32	0	0	0	0	0	0	0									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	2593	39	45	45	39	51	47	54	40	31	37	37	36	32	36	43	48	47	40	52	42	45	36	37	35	37	37	0	110	30	42	35	30	50	40	35	40	38	37	41	33	42	27	49	32	42	32	37	31	42	45	47	20	22	42	29	24	30	29	25	8	25	24	17	29	28	40	25	33	32	24	32	0	0	0	0	0	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	2034	17	14	17	27	15	95	16	36	58	36	19	38	17	132	14	29	12	7	9	42	15	44	15	109	31	10	10	38	9	14	4	9	21	47	29	15	92	76	29	122	12	17	18	10	20	15	10	27	8	24	25	89	19	8	24	12	11	10	7	7	16	19	28	19	24	20	58	18	27	23	20	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	93	1	0	0	1	0	0	2	0	1	10	0	1	0	1	0	0	5	0	0	0	2	1	0	7	0	0	0	0	0	3	0	0	0	0	2	2	0	7	1	2	0	5	0	3	0	1	0	1	3	0	0	0	3	0	1	3	2	3	0	12	2	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	54	1	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	3	1	1	0	0	0	1	0	0	24	0	1	1	0	0	1	0	0	3	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																									
18	1.Политическая партия «Аграрная партия России»	577	6	12	12	9	7	10	12	14	14	8	11	15	13	12	19	11	14	15	12	8	2	5	5	7	8	11	0	17	3	12	7	7	5	13	1	11	12	2	3	5	11	5	11	5	10	1	6	4	6	4	11	2	0	5	11	3	14	10	10	8	2	9	0	9	5	2	10	7	9	7	8	0	0	0	0	0	0	2									
		0.88%	0.53%	1.08%	0.98%	0.85%	0.55%	0.88%	0.94%	1.41%	1.67%	0.87%	1.20%	1.57%	1.62%	1.63%	1.71%	0.99%	1.17%	1.37%	1.02%	0.75%	0.25%	0.65%	0.78%	1.05%	0.90%	1.11%	0.00%	1.08%	0.49%	1.01%	0.71%	0.88%	0.42%	1.24%	0.11%	1.08%	1.03%	0.24%	0.24%	0.52%	0.96%	0.68%	0.93%	0.83%	0.95%	0.09%	0.77%	0.48%	0.63%	0.36%	1.13%	0.28%	0.00%	0.58%	1.31%	0.69%	1.55%	1.52%	1.78%	1.78%	0.25%	1.21%	0.00%	1.05%	0.73%	0.17%	1.01%	0.74%	1.08%	0.81%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%									
19	2.Всероссийская политическая партия «Гражданская Сила»	535	7	9	15	17	19	7	10	10	2	9	6	9	4	3	12	11	14	8	24	11	3	10	5	9	6	6	1	4	6	13	6	4	0	10	5	10	9	4	5	5	14	4	7	2	7	3	10	10	12	3	12	1	4	3	8	4	13	5	5	2	1	9	15	6	7	3	10	5	9	2	7	0	0	3	0	0	0	1									
		0.81%	0.62%	0.81%	1.22%	1.61%	1.48%	0.62%	0.79%	1.01%	0.24%	0.98%	0.65%	0.94%	0.50%	0.41%	1.08%	0.99%	1.17%	0.73%	2.04%	1.03%	0.37%	1.29%	0.78%	1.35%	0.67%	0.61%	0.61%	0.25%	0.98%	1.09%	0.61%	0.50%	0.00%	0.95%	0.53%	0.98%	0.77%	0.48%	0.40%	0.52%	1.23%	0.54%	0.59%	0.33%	0.66%	0.26%	1.28%	1.20%	1.27%	0.27%	1.23%	0.14%	0.73%	0.35%	0.95%	0.92%	1.44%	0.76%	0.89%	0.44%	0.12%	1.21%	2.67%	0.70%	1.02%	0.25%	1.01%	0.53%	1.08%	0.23%	0.80%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	4.17%									
20	3.Политическая партия «Демократическая партия России»	86	3	0	2	1	3	7	0	1	1	0	0	2	2	2	4	2	0	2	1	2	2	1	1	0	1	4	0	3	1	0	2	2	5	1	1	0	0	1	0	1	1	1	2	0	1	0	1	0	0	3	0	0	1	1	1	0	5	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0									
		0.13%	0.26%	0.00%	0.16%	0.09%	0.23%	0.62%	0.00%	0.10%	0.12%	0.00%	0.00%	0.21%	0.25%	0.27%	0.36%	0.18%	0.00%	0.18%	0.08%	0.19%	0.25%	0.13%	0.16%	0.00%	0.11%	0.40%	0.00%	0.19%	0.16%	0.00%	0.20%	0.25%	0.42%	0.10%	0.11%	0.00%	0.00%	0.12%	0.00%	0.10%	0.09%	0.14%	0.17%	0.00%	0.09%	0.00%	0.13%	0.00%	0.00%	0.27%	0.00%	0.00%	0.18%	0.12%	0.12%	0.00%	0.55%	0.15%	0.18%	0.00%	0.12%	0.13%	0.00%	0.12%	0.00%	0.00%	0.10%	0.11%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5478	116	96	85	80	87	84	109	105	66	76	65	90	72	59	106	102	117	108	94	72	54	50	53	48	74	87	11	95	53	91	34	68	83	93	54	102	93	67	108	65	107	66	106	48	68	123	56	83	88	116	83	25	51	71	81	24	84	77	70	42	64	46	46	78	57	86	61	118	63	84	127	0	3	0	0	2	0	2									
		8.34%	10.19%	8.62%	6.92%	7.56%	6.78%	7.38%	8.58%	10.57%	7.89%	8.23%	7.07%	9.42%	8.97%	8.03%	9.57%	9.16%	9.81%	9.85%	7.99%	6.75%	6.66%	6.45%	8.31%	7.17%	8.32%	8.81%	6.75%	6.05%	8.69%	7.65%	3.44%	8.50%	6.92%	8.87%	5.73%	10.02%	7.96%	8.12%	8.54%	6.81%	9.37%	8.98%	8.92%	7.92%	6.43%	10.58%	7.18%	9.99%	9.31%	10.35%	8.51%	3.48%	9.34%	8.19%	9.62%	5.54%	9.29%	11.72%	12.48%	9.33%	7.95%	6.19%	8.19%	9.06%	8.30%	7.26%	6.14%	12.55%	7.59%	9.72%	14.46%	0.00%	11.11%	0.00%	0.00%	10.53%	0.00%	8.33%									
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	410	6	14	11	3	10	6	2	3	3	3	6	3	4	3	3	4	14	3	11	3	3	0	6	0	11	7	0	3	1	7	4	3	5	9	8	9	12	2	0	3	2	2	6	6	2	2	9	12	12	11	7	2	0	1	5	3	8	8	5	5	1	2	8	6	3	4	8	10	18	10	24	0	0	0	0	0	0	0									
		0.62%	0.53%	1.26%	0.90%	0.28%	0.78%	0.53%	0.16%	0.30%	0.36%	0.33%	0.65%	0.31%	0.50%	0.41%	0.27%	0.36%	1.17%	0.27%	0.93%	0.28%	0.37%	0.00%	0.94%	0.00%	1.24%	0.71%	0.00%	0.19%	0.16%	0.59%	0.41%	0.38%	0.42%	0.86%	0.85%	0.88%	1.03%	0.24%	0.00%	0.31%	0.18%	0.27%	0.51%	0.99%	0.19%	0.17%	1.15%	1.44%	1.27%	0.98%	0.72%	0.28%	0.00%	0.12%	0.59%	0.69%	0.88%	1.22%	0.89%	1.11%	0.12%	0.27%	1.42%	0.70%	0.44%	0.34%	0.80%	1.06%	2.17%	1.16%	2.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
23	6.Политическая партия «Партия социальной справедливости»	119	4	2	4	2	4	5	3	2	1	0	5	1	1	2	3	1	2	1	1	1	0	4	0	0	4	0	0	2	0	0	0	3	0	1	1	5	1	4	0	2	4	4	3	1	3	1	2	1	4	2	2	1	0	0	0	0	0	3	2	0	1	2	0	1	0	0	1	2	4	1	1	0	0	0	1	0	0	0									
		0.18%	0.35%	0.18%	0.33%	0.19%	0.31%	0.44%	0.24%	0.20%	0.12%	0.00%	0.54%	0.10%	0.12%	0.27%	0.27%	0.09%	0.17%	0.09%	0.08%	0.09%	0.00%	0.52%	0.00%	0.00%	0.45%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.38%	0.00%	0.10%	0.11%	0.49%	0.09%	0.48%	0.00%	0.21%	0.35%	0.54%	0.25%	0.17%	0.28%	0.09%	0.26%	0.12%	0.42%	0.18%	0.21%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.36%	0.00%	0.12%	0.27%	0.00%	0.12%	0.00%	0.00%	0.10%	0.21%	0.48%	0.12%	0.11%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%									
24	7.Политическая партия «Либерально-демократическая партия России»	4457	88	72	93	44	74	94	99	58	50	53	61	85	50	24	58	81	83	81	69	87	61	57	36	52	39	71	13	185	40	75	34	60	82	59	37	75	85	28	82	47	55	50	65	20	41	43	73	82	83	70	61	34	30	52	54	23	89	38	35	29	52	70	28	54	58	97	101	72	65	84	84	24	2	2	5	1	1	8									
		6.79%	7.73%	6.46%	7.57%	4.16%	5.76%	8.26%	7.80%	5.84%	5.98%	5.74%	6.64%	8.90%	6.23%	3.27%	5.23%	7.27%	6.96%	7.38%	5.86%	8.15%	7.52%	7.35%	5.64%	7.77%	4.39%	7.19%	7.98%	11.78%	6.56%	6.31%	3.44%	7.50%	6.83%	5.62%	3.93%	7.37%	7.28%	3.39%	6.49%	4.92%	4.82%	6.80%	5.47%	3.30%	3.88%	3.70%	9.36%	9.87%	8.78%	6.24%	6.26%	4.74%	5.49%	5.99%	6.41%	5.31%	9.85%	5.78%	6.24%	6.44%	6.46%	9.42%	4.98%	6.27%	8.44%	8.19%	10.16%	7.66%	7.83%	9.72%	9.57%	100.00%	7.41%	9.52%	22.73%	5.26%	5.26%	33.33%									
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	17747	286	314	338	313	377	352	373	318	287	231	281	310	219	215	356	325	331	315	328	225	187	180	162	179	290	244	38	179	133	367	109	245	368	222	299	267	367	246	341	277	426	246	474	161	357	332	242	203	275	297	254	49	127	235	308	116	165	152	170	134	216	199	147	287	187	329	243	191	168	111	137	0	2	5	1	6	0	1									
		27.02%	25.13%	28.19%	27.52%	29.58%	29.36%	30.93%	29.37%	32.02%	34.33%	25.03%	30.58%	32.46%	27.27%	29.25%	32.13%	29.17%	27.75%	28.71%	27.87%	21.09%	23.06%	23.23%	25.39%	26.76%	32.62%	24.70%	23.31%	11.40%	21.80%	30.87%	11.04%	30.63%	30.67%	21.16%	31.74%	26.23%	31.42%	29.82%	26.98%	29.01%	37.30%	33.47%	39.90%	26.57%	33.74%	28.55%	31.03%	24.43%	29.10%	26.49%	26.05%	6.82%	23.26%	27.10%	36.58%	26.79%	18.25%	23.14%	30.30%	29.78%	26.83%	26.78%	26.16%	33.33%	27.22%	27.79%	24.45%	20.32%	20.24%	12.85%	15.60%	0.00%	7.41%	23.81%	4.55%	31.58%	0.00%	4.17%									
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	618	10	13	8	11	13	14	17	7	14	14	10	14	21	8	18	10	19	6	13	15	4	3	5	4	3	14	1	13	7	11	8	6	12	10	1	10	11	1	4	7	10	8	6	5	2	15	9	10	9	11	16	6	4	6	8	4	7	11	5	4	2	3	3	7	7	3	9	7	12	3	13	0	1	0	0	0	0	2									
		0.94%	0.88%	1.17%	0.65%	1.04%	1.01%	1.23%	1.34%	0.70%	1.67%	1.52%	1.09%	1.47%	2.62%	1.09%	1.62%	0.90%	1.59%	0.55%	1.10%	1.41%	0.49%	0.39%	0.78%	0.60%	0.34%	1.42%	0.61%	0.83%	1.15%	0.93%	0.81%	0.75%	1.00%	0.95%	0.11%	0.98%	0.94%	0.12%	0.32%	0.73%	0.88%	1.09%	0.51%	0.83%	0.19%	1.29%	1.15%	1.20%	0.95%	0.98%	1.64%	0.84%	0.73%	0.69%	0.95%	0.92%	0.77%	1.67%	0.89%	0.89%	0.25%	0.40%	0.53%	0.81%	1.02%	0.25%	0.91%	0.74%	1.45%	0.35%	1.48%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	8.33%									
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	34006	585	552	624	546	658	533	605	453	381	503	442	396	384	391	496	514	567	530	581	620	474	444	348	347	431	521	96	1055	355	577	770	384	612	591	523	511	542	466	690	511	486	337	465	340	560	639	337	392	427	569	490	587	313	471	349	241	505	330	239	219	461	389	300	388	344	646	532	508	468	559	429	0	18	10	14	10	18	7									
		51.77%	51.41%	49.55%	50.81%	51.61%	51.25%	46.84%	47.64%	45.62%	45.57%	54.50%	48.10%	41.47%	47.82%	53.20%	44.77%	46.14%	47.53%	48.31%	49.36%	58.11%	58.45%	57.29%	54.55%	51.87%	48.48%	52.73%	58.90%	67.20%	58.20%	48.53%	78.01%	48.00%	51.00%	56.34%	55.52%	50.20%	46.40%	56.48%	54.59%	53.51%	42.56%	45.85%	39.14%	56.11%	52.93%	54.94%	43.21%	47.17%	45.19%	50.76%	50.26%	81.75%	57.33%	54.33%	41.45%	55.66%	55.86%	50.23%	42.60%	48.67%	57.27%	52.36%	53.38%	45.06%	50.07%	54.56%	53.52%	54.04%	56.39%	64.70%	48.86%	0.00%	66.67%	47.62%	63.64%	52.63%	94.74%	29.17%									
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	810	15	17	17	17	16	14	24	16	11	16	19	16	19	9	18	28	18	22	31	10	3	9	6	14	14	13	1	5	7	23	8	12	18	18	8	12	18	3	0	24	11	7	23	10	0	4	19	22	10	16	11	6	9	3	5	4	6	3	9	4	3	8	6	12	6	3	5	2	6	1	7	0	0	0	0	0	0	0									
		1.23%	1.32%	1.53%	1.38%	1.61%	1.25%	1.23%	1.89%	1.61%	1.32%	1.73%	2.07%	1.68%	2.37%	1.22%	1.62%	2.51%	1.51%	2.01%	2.63%	0.94%	0.37%	1.16%	0.94%	2.09%	1.57%	1.32%	0.61%	0.32%	1.15%	1.93%	0.81%	1.50%	1.50%	1.72%	0.85%	1.18%	1.54%	0.36%	0.00%	2.51%	0.96%	0.95%	1.94%	1.65%	0.00%	0.34%	2.44%	2.65%	1.06%	1.43%	1.13%	0.84%	1.65%	0.35%	0.59%	0.92%	0.66%	0.46%	1.60%	0.89%	0.37%	1.08%	1.07%	1.39%	0.87%	0.25%	0.50%	0.21%	0.72%	0.12%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
