Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Искитимская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	234	1	4	1	15	4	4	1	2	5	0	4	9	2	0	3	10	5	3	1	3	0	1	2	4	16	9	1	5	6	4	1	1	3	0	1	2	4	1	4	6	2	1	1	4	0	3	7	2	2	0	0	0	9	8	0	3	1	2	0	2	1	0	0	2	2	0	0	1	3	0	3	11	5	4	7	0					
14	Число неиспользованных открепительных удостоверений	174	1	1	1	3	3	0	3	3	2	3	1	3	3	4	2	8	4	2	6	6	3	3	0	3	1	4	2	0	2	1	1	1	3	1	3	2	3	3	0	2	2	0	2	0	3	3	4	1	2	2	3	3	0	2	2	3	3	3	3	1	1	3	3	3	0	3	3	3	4	3	3	3	1	0	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																			
18	. Глазьев Сергей Юрьевич	1075	6	35	10	5	4	8	2	0	10	7	1	2	6	10	2	26	25	6	2	18	4	5	18	59	32	52	37	47	48	26	31	10	11	2	3	9	52	2	7	34	3	3	4	11	2	0	18	14	5	1	1	0	17	13	2	8	7	4	3	1	24	4	8	2	7	1	0	1	19	3	2	44	45	31	62	31					
		3.40%	3.31%	3.74%	2.91%	1.63%	4.21%	2.07%	0.83%	0.00%	1.59%	6.03%	0.98%	1.71%	1.39%	2.59%	2.50%	2.08%	2.47%	1.93%	1.05%	3.97%	2.56%	3.85%	5.52%	4.65%	3.57%	5.59%	4.92%	4.65%	5.39%	2.86%	4.52%	3.62%	6.11%	1.10%	1.83%	2.16%	4.51%	0.71%	1.92%	5.82%	1.46%	1.64%	3.31%	1.46%	1.03%	0.00%	2.63%	3.34%	3.23%	1.54%	0.62%	0.00%	2.29%	2.06%	1.61%	2.88%	1.64%	3.28%	1.53%	0.66%	5.49%	4.40%	8.70%	1.71%	1.68%	0.71%	0.00%	0.78%	2.54%	3.37%	1.27%	5.37%	5.01%	3.95%	7.65%	3.99%					
19	. Малышкин Олег Александрович	1009	6	21	13	5	4	10	4	1	12	4	1	2	20	11	2	26	29	21	10	9	8	6	5	37	45	45	33	28	34	32	18	6	8	5	5	12	30	0	15	12	5	3	2	31	6	1	18	7	7	4	5	5	5	11	1	3	7	2	9	5	36	2	4	2	19	2	4	2	18	3	4	36	48	40	21	36					
		3.19%	3.31%	2.24%	3.78%	1.63%	4.21%	2.58%	1.67%	1.18%	1.91%	3.45%	0.98%	1.71%	4.63%	2.85%	2.50%	2.08%	2.86%	6.75%	5.26%	1.99%	5.13%	4.62%	1.53%	2.91%	5.02%	4.83%	4.39%	2.77%	3.82%	3.52%	2.62%	2.17%	4.44%	2.75%	3.05%	2.88%	2.60%	0.00%	4.12%	2.05%	2.43%	1.64%	1.65%	4.12%	3.08%	0.70%	2.63%	1.67%	4.52%	6.15%	3.12%	5.05%	0.67%	1.74%	0.81%	1.08%	1.64%	1.64%	4.59%	3.31%	8.24%	2.20%	4.35%	1.71%	4.57%	1.42%	6.35%	1.56%	2.41%	3.37%	2.55%	4.39%	5.34%	5.10%	2.59%	4.64%					
20	. Миронов Сергей Михайлович	207	0	8	2	2	0	3	0	3	1	1	2	0	6	3	1	14	11	3	1	1	2	0	2	7	8	5	4	11	7	4	5	3	5	1	1	1	2	2	4	2	2	0	0	2	3	2	3	1	0	0	0	0	2	4	1	0	1	1	1	1	1	3	4	0	10	1	0	0	4	0	0	4	5	5	4	4					
		0.65%	0.00%	0.85%	0.58%	0.65%	0.00%	0.78%	0.00%	3.53%	0.16%	0.86%	1.96%	0.00%	1.39%	0.78%	1.25%	1.12%	1.08%	0.96%	0.53%	0.22%	1.28%	0.00%	0.61%	0.55%	0.89%	0.54%	0.53%	1.09%	0.79%	0.44%	0.73%	1.09%	2.78%	0.55%	0.61%	0.24%	0.17%	0.71%	1.10%	0.34%	0.97%	0.00%	0.00%	0.27%	1.54%	1.40%	0.44%	0.24%	0.00%	0.00%	0.00%	0.00%	0.27%	0.63%	0.81%	0.00%	0.23%	0.82%	0.51%	0.66%	0.23%	3.30%	4.35%	0.00%	2.40%	0.71%	0.00%	0.00%	0.54%	0.00%	0.00%	0.49%	0.56%	0.64%	0.49%	0.52%					
21	. Путин Владимир Владимирович	20336	118	559	215	204	49	231	183	70	408	79	67	87	226	265	42	826	672	229	135	311	105	79	227	875	527	541	474	606	556	624	427	214	116	124	91	308	760	234	242	390	138	123	101	409	102	65	413	288	83	38	135	83	458	462	75	179	335	91	154	113	256	28	49	70	240	117	31	94	550	39	87	483	524	470	502	455					
		64.29%	65.19%	59.66%	62.50%	66.67%	51.58%	59.69%	76.25%	82.35%	64.86%	68.10%	65.69%	74.36%	52.31%	68.65%	52.50%	65.97%	66.27%	73.63%	71.05%	68.65%	67.31%	60.77%	69.63%	68.90%	58.82%	58.11%	63.03%	59.94%	62.40%	68.72%	62.24%	77.54%	64.44%	68.13%	55.49%	73.86%	65.92%	83.57%	66.48%	66.78%	66.99%	67.21%	83.47%	54.39%	52.31%	45.45%	60.29%	68.74%	53.55%	58.46%	84.38%	83.84%	61.81%	73.22%	60.48%	64.39%	78.45%	74.59%	78.57%	74.83%	58.58%	30.77%	53.26%	59.83%	57.69%	82.98%	49.21%	73.44%	73.63%	43.82%	55.41%	58.90%	58.29%	59.95%	61.98%	58.63%					
22	. Хакамада Ирина Муцуовна	717	4	24	7	8	1	9	0	0	13	1	0	2	7	2	1	27	21	4	0	3	3	2	6	28	36	44	16	34	27	18	13	1	0	1	1	6	24	5	5	18	5	6	1	18	6	0	11	7	0	0	1	1	18	7	2	5	3	1	3	1	12	2	3	1	6	4	2	2	13	2	3	28	33	20	34	34					
		2.27%	2.21%	2.56%	2.03%	2.61%	1.05%	2.33%	0.00%	0.00%	2.07%	0.86%	0.00%	1.71%	1.62%	0.52%	1.25%	2.16%	2.07%	1.29%	0.00%	0.66%	1.92%	1.54%	1.84%	2.20%	4.02%	4.73%	2.13%	3.36%	3.03%	1.98%	1.90%	0.36%	0.00%	0.55%	0.61%	1.44%	2.08%	1.79%	1.37%	3.08%	2.43%	3.28%	0.83%	2.39%	3.08%	0.00%	1.61%	1.67%	0.00%	0.00%	0.62%	1.01%	2.43%	1.11%	1.61%	1.80%	0.70%	0.82%	1.53%	0.66%	2.75%	2.20%	3.26%	0.85%	1.44%	2.84%	3.17%	1.56%	1.74%	2.25%	1.91%	3.41%	3.67%	2.55%	4.20%	4.38%					
23	. Харитонов Николай Михайлович	6753	36	260	89	74	37	115	48	10	164	16	25	19	145	74	28	278	216	35	40	86	33	29	53	173	172	185	135	195	152	176	164	32	35	43	54	62	238	27	73	102	44	35	13	259	73	67	192	85	52	10	16	7	202	120	40	77	72	19	24	20	104	52	12	40	115	12	19	22	122	39	56	177	172	161	142	153					
		21.35%	19.89%	27.75%	25.87%	24.18%	38.95%	29.72%	20.00%	11.76%	26.07%	13.79%	24.51%	16.24%	33.56%	19.17%	35.00%	22.20%	21.30%	11.25%	21.05%	18.98%	21.15%	22.31%	16.26%	13.62%	19.20%	19.87%	17.95%	19.29%	17.06%	19.38%	23.91%	11.59%	19.44%	23.63%	32.93%	14.87%	20.64%	9.64%	20.05%	17.47%	21.36%	19.13%	10.74%	34.44%	37.44%	46.85%	28.03%	20.29%	33.55%	15.38%	10.00%	7.07%	27.26%	19.02%	32.26%	27.70%	16.86%	15.57%	12.24%	13.25%	23.80%	57.14%	13.04%	34.19%	27.64%	8.51%	30.16%	17.19%	16.33%	43.82%	35.67%	21.59%	19.13%	20.54%	17.53%	19.72%					
																																																																																			
24	Против всех	1104	9	22	7	4	0	5	3	1	3	5	2	4	12	9	2	36	21	7	2	17	1	4	4	70	62	49	50	86	59	16	20	5	2	5	7	16	39	8	11	17	6	10	0	7	2	3	13	12	2	5	0	1	21	8	3	1	0	0	1	7	4	0	7	1	13	0	4	6	10	3	2	38	63	50	37	62					
		3.49%	4.97%	2.35%	2.03%	1.31%	0.00%	1.29%	1.25%	1.18%	0.48%	4.31%	1.96%	3.42%	2.78%	2.33%	2.50%	2.88%	2.07%	2.25%	1.05%	3.75%	0.64%	3.08%	1.23%	5.51%	6.92%	5.26%	6.65%	8.51%	6.62%	1.76%	2.92%	1.81%	1.11%	2.75%	4.27%	3.84%	3.38%	2.86%	3.02%	2.91%	2.91%	5.46%	0.00%	0.93%	1.03%	2.10%	1.90%	2.86%	1.29%	7.69%	0.00%	1.01%	2.83%	1.27%	2.42%	0.36%	0.00%	0.00%	0.51%	4.64%	0.92%	0.00%	7.61%	0.85%	3.12%	0.00%	6.35%	4.69%	1.34%	3.37%	1.27%	4.63%	7.01%	6.38%	4.57%	7.99%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
