Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																																																																				
																																																																																																																																				
Наименование Избирательной комиссии:    Невельская судовая																																																																																																																																				
																																																																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																				
																																																																																																																																				
		Сумма	УИК №441	УИК №442	УИК №443	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №454	УИК №455	УИК №456	УИК №457	УИК №459	УИК №460	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №492	УИК №493	УИК №494	УИК №495	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №511	УИК №512	УИК №513	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №535	УИК №536	УИК №537	УИК №538	УИК №541	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №568	УИК №569	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №578	УИК №579	УИК №580	УИК №592	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																				
18	"1. ""ЕДИНЕНИЕ"""	41	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	1	3	1	0	0	0	0	0	0	1	0	0	1	1	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	2	1	0	2	0	0	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		1.38%	0.0%	NaN%	8.33%	0.0%	0.0%	8.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	5.0%	0.0%	5.88%	5.26%	5.35%	5.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	2.08%	0.0%	0.0%	3.44%	6.66%	0.0%	4.54%	14.28%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	7.14%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	NaN%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	16.0%	2.35%	4.34%	0.0%	2.29%	0.0%	0.0%	3.44%	0.0%	5.88%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	5.55%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	54	0	0	0	2	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	1	2	2	0	0	0	0	5	1	1	0	3	0	0	0	1	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
		1.82%	0.0%	NaN%	0.0%	8.0%	4.0%	4.0%	3.57%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	5.35%	5.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	2.08%	0.0%	3.70%	0.0%	0.0%	0.0%	4.54%	0.0%	NaN%	4.0%	2.94%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	20.0%	0.0%	12.5%	13.33%	2.73%	0.0%	NaN%	0.0%	0.0%	7.35%	3.70%	3.57%	0.0%	4.05%	0.0%	0.0%	0.0%	7.14%	18.75%	0.0%	0.0%	6.89%	0.0%	0.0%	5.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	6.25%	0.0%	5.88%	0.0%	5.26%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.52%	0.0%	1.31%	0.0%	0.0%	0.0%	0.0%	4.0%	5.88%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	6.89%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	94	0	0	1	3	2	0	0	2	3	2	0	2	0	0	1	1	2	0	0	1	0	2	0	0	0	1	0	0	0	0	6	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	4	1	0	0	2	0	0	0	0	0	5	1	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	2	2	0	0	4	2	3	0	1	1	0	0	0	1	3	2	2	7	3	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
		3.17%	0.0%	NaN%	4.16%	12.0%	8.0%	0.0%	0.0%	10.52%	10.71%	10.52%	0.0%	6.66%	0.0%	0.0%	3.44%	5.0%	10.0%	0.0%	0.0%	1.78%	0.0%	10.52%	0.0%	0.0%	NaN%	3.70%	0.0%	0.0%	0.0%	0.0%	20.68%	0.0%	0.0%	0.0%	4.76%	NaN%	8.0%	0.0%	NaN%	0.0%	NaN%	3.57%	NaN%	0.0%	0.0%	25.0%	0.0%	0.0%	1.36%	0.0%	NaN%	0.0%	0.0%	5.88%	3.70%	0.0%	0.0%	2.70%	0.0%	0.0%	0.0%	0.0%	0.0%	14.70%	5.26%	0.0%	0.0%	21.05%	0.0%	0.0%	5.26%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.40%	11.76%	0.0%	0.0%	12.90%	11.76%	11.53%	0.0%	4.16%	5.0%	0.0%	0.0%	0.0%	5.55%	12.0%	2.35%	8.69%	9.21%	3.44%	0.0%	3.44%	2.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	11.11%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	8.33%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	118	0	0	3	0	5	0	1	0	0	1	1	2	1	0	0	0	0	0	0	4	0	2	3	0	0	2	1	6	0	3	2	2	0	0	1	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	1	0	1	2	1	5	2	0	1	1	0	2	4	0	1	0	2	0	1	2	2	0	0	2	3	2	0	0	1	0	0	0	0	1	0	1	2	0	0	0	1	4	0	3	1	3	5	0	2	7	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		3.98%	0.0%	NaN%	12.5%	0.0%	20.0%	0.0%	3.57%	0.0%	0.0%	5.26%	3.57%	6.66%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	10.52%	10.71%	0.0%	NaN%	7.40%	1.96%	12.5%	0.0%	11.11%	6.89%	13.33%	0.0%	0.0%	4.76%	NaN%	4.0%	0.0%	NaN%	0.0%	NaN%	7.14%	NaN%	0.0%	0.0%	0.0%	25.0%	6.66%	0.0%	0.0%	NaN%	4.16%	3.70%	0.0%	3.70%	7.14%	3.44%	6.75%	11.11%	0.0%	4.54%	7.14%	0.0%	5.88%	21.05%	0.0%	5.0%	0.0%	11.11%	0.0%	5.26%	9.52%	12.5%	0.0%	0.0%	8.0%	11.11%	8.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	5.88%	0.0%	5.26%	8.33%	0.0%	0.0%	0.0%	4.0%	22.22%	0.0%	3.52%	4.34%	3.94%	5.74%	0.0%	6.89%	8.04%	4.0%	11.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	11.11%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	20	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.67%	0.0%	NaN%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	15.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	6.66%	0.0%	0.0%	0.0%	0.0%	2.73%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.25%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	2.29%	0.0%	0.0%	0.0%	5.88%	5.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.33%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	5.0%	11.76%	5.26%	0.0%	5.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	3.57%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	65	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	1	0	0	2	3	2	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	5	2	0	0	0	1	0	7	0	1	1	0	0	1	0	0	1	1	2	0	1	1	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		2.19%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	0.0%	0.0%	3.33%	3.44%	0.0%	0.0%	11.76%	5.26%	0.0%	5.0%	0.0%	3.57%	0.0%	NaN%	0.0%	1.96%	0.0%	0.0%	0.0%	6.89%	0.0%	0.0%	4.54%	4.76%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	10.71%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	4.10%	0.0%	NaN%	4.16%	0.0%	0.0%	7.40%	10.71%	6.89%	1.35%	0.0%	0.0%	0.0%	7.14%	0.0%	5.88%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	4.0%	0.0%	25.0%	7.40%	0.0%	0.0%	0.0%	3.22%	0.0%	26.92%	0.0%	4.16%	5.0%	0.0%	0.0%	4.0%	0.0%	0.0%	1.17%	4.34%	2.63%	0.0%	3.70%	3.44%	4.59%	4.0%	0.0%	0.0%	0.0%	5.55%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	NaN%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
