Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:     Ступинская 																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК  2773	УИК  2774	УИК  2775	УИК  2776	УИК  2777	УИК  2778	УИК  2779	УИК  2780	УИК  2781	УИК  2782	УИК  2783	УИК  2784	УИК  2785	УИК  2786	УИК  2787	УИК  2788	УИК  2789	УИК  2790	УИК  2791	УИК  2792	УИК  2793	УИК  2794	УИК  2795	УИК  2796	УИК  2797	УИК  2798	УИК  2799	УИК  2800	УИК  2801	УИК  2802	УИК  2803	УИК  2804	УИК  2805	УИК  2806	УИК  2807	УИК  2808	УИК  2809	УИК  2810	УИК  2811	УИК  2812	УИК  2813	УИК  2814	УИК  2815	УИК  2816	УИК  2817	УИК  2818	УИК  2819	УИК  2820	УИК  2821	УИК  2822	УИК  2823	УИК  2824	УИК  2825	УИК  2826	УИК  2827					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	447	9	8	5	9	5	14	4	6	7	7	10	7	6	6	3	4	9	4	2	4	4	5	5	2	7	3	1	5	8	12	2	10	6	3	22	10	3	11	3	6	4	3	4	6	10	4	14	106	4	4	3	3	15	2	8					
14	Число погашенных открепительных удостоверений	1817	38	40	39	16	40	35	37	32	33	25	32	29	31	34	34	34	34	29	32	35	35	33	39	41	31	31	41	34	23	29	37	36	27	24	36	41	34	32	37	35	35	39	35	40	37	30	39	18	29	40	38	41	32	29	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
18	"1. ""ЕДИНЕНИЕ"""	406	8	4	2	0	5	7	6	8	6	8	5	6	5	8	10	8	4	10	15	4	10	3	2	2	8	5	8	8	6	14	4	6	10	8	3	11	10	15	15	3	7	6	9	13	8	22	0	10	7	8	14	1	6	6	9					
		0.88%	1.55%	0.83%	0.41%	0.0%	1.04%	0.66%	0.46%	0.67%	0.53%	0.66%	0.40%	0.50%	0.48%	0.93%	1.13%	1.01%	0.29%	0.80%	1.21%	0.56%	1.02%	0.29%	0.30%	0.66%	0.76%	0.39%	1.25%	1.00%	0.63%	1.18%	0.74%	0.66%	1.02%	0.70%	0.65%	1.65%	1.70%	1.69%	2.70%	0.41%	1.31%	0.82%	1.75%	2.00%	2.11%	2.25%	0.0%	1.05%	1.0%	0.64%	2.42%	0.99%	1.08%	0.87%	0.48%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1737	12	25	9	20	20	45	60	39	59	54	60	61	56	63	20	32	65	53	49	47	44	42	38	15	58	87	39	32	28	32	16	36	40	35	7	7	13	18	3	10	11	12	10	20	7	23	4	25	4	35	41	3	9	43	41					
		3.78%	2.33%	5.23%	1.86%	2.98%	4.17%	4.27%	4.65%	3.26%	5.24%	4.48%	4.89%	5.15%	5.38%	7.35%	2.27%	4.04%	4.82%	4.28%	3.98%	6.66%	4.52%	4.14%	5.86%	4.98%	5.57%	6.94%	6.12%	4.01%	2.98%	2.70%	2.96%	3.99%	4.08%	3.09%	1.51%	1.05%	2.22%	2.03%	0.54%	1.39%	2.05%	1.64%	1.94%	3.08%	1.84%	2.35%	1.86%	2.62%	0.57%	2.80%	7.10%	2.97%	1.63%	6.26%	2.20%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1594	24	14	25	15	11	31	46	54	43	62	80	67	40	29	49	31	50	45	38	19	56	36	15	5	35	39	19	67	45	25	20	23	20	27	12	14	15	24	17	23	18	24	16	17	7	31	1	27	33	35	23	2	7	11	32					
		3.47%	4.66%	2.92%	5.18%	2.24%	2.29%	2.94%	3.56%	4.52%	3.82%	5.15%	6.52%	5.65%	3.84%	3.38%	5.58%	3.91%	3.71%	3.63%	3.08%	2.69%	5.76%	3.55%	2.31%	1.66%	3.36%	3.11%	2.98%	8.40%	4.79%	2.11%	3.71%	2.54%	2.04%	2.38%	2.60%	2.10%	2.56%	2.71%	3.06%	3.19%	3.37%	3.29%	3.11%	2.62%	1.84%	3.17%	0.46%	2.83%	4.71%	2.80%	3.98%	1.98%	1.26%	1.60%	1.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2201	17	26	18	46	22	62	88	70	77	67	77	61	81	66	55	45	92	72	74	35	83	58	48	11	58	80	38	63	41	32	14	42	53	34	14	16	13	30	13	9	8	17	13	13	11	29	10	26	16	40	4	3	7	19	84					
		4.80%	3.30%	5.43%	3.73%	6.87%	4.59%	5.89%	6.82%	5.86%	6.85%	5.56%	6.28%	5.15%	7.78%	7.71%	6.26%	5.68%	6.82%	5.81%	6.01%	4.96%	8.53%	5.72%	7.40%	3.65%	5.57%	6.38%	5.96%	7.90%	4.37%	2.70%	2.59%	4.65%	5.41%	3.00%	3.03%	2.40%	2.22%	3.39%	2.34%	1.25%	1.49%	2.33%	2.52%	2.00%	2.90%	2.97%	4.67%	2.73%	2.28%	3.20%	0.69%	2.97%	1.26%	2.76%	4.52%					
22	"5. ""За Русь Святую"""	367	4	4	5	6	0	11	13	14	9	5	3	4	11	10	4	5	7	8	12	2	15	12	4	1	13	7	5	3	7	12	3	8	4	6	7	2	2	7	6	0	2	55	0	4	0	5	1	2	4	8	3	0	4	4	14					
		0.80%	0.77%	0.83%	1.03%	0.89%	0.0%	1.04%	1.00%	1.17%	0.80%	0.41%	0.24%	0.33%	1.05%	1.16%	0.45%	0.63%	0.51%	0.64%	0.97%	0.28%	1.54%	1.18%	0.61%	0.33%	1.24%	0.55%	0.78%	0.37%	0.74%	1.01%	0.55%	0.88%	0.40%	0.53%	1.51%	0.30%	0.34%	0.79%	1.08%	0.0%	0.37%	7.55%	0.0%	0.61%	0.0%	0.51%	0.46%	0.21%	0.57%	0.64%	0.51%	0.0%	0.72%	0.58%	0.75%					
23	"6. ""Объединенная Российская партия ""Русь"""	92	0	2	0	0	1	1	1	1	1	1	4	4	1	2	2	0	2	3	0	0	1	1	3	1	6	0	0	1	3	3	2	0	2	2	1	3	1	1	0	0	2	1	2	5	0	7	4	0	2	4	1	0	1	4	2					
		0.20%	0.0%	0.41%	0.0%	0.0%	0.20%	0.09%	0.07%	0.08%	0.08%	0.08%	0.32%	0.33%	0.09%	0.23%	0.22%	0.0%	0.14%	0.24%	0.0%	0.0%	0.10%	0.09%	0.46%	0.33%	0.57%	0.0%	0.0%	0.12%	0.31%	0.25%	0.37%	0.0%	0.20%	0.17%	0.21%	0.45%	0.17%	0.11%	0.0%	0.0%	0.37%	0.13%	0.38%	0.77%	0.0%	0.71%	1.86%	0.0%	0.28%	0.32%	0.17%	0.0%	0.18%	0.58%	0.10%					
24	"7. ""Новый курс - Автомобильная Россия"""	542	5	6	3	14	4	8	18	14	5	10	11	13	14	10	7	16	11	13	8	17	16	14	9	13	15	7	6	4	7	21	6	13	24	20	3	4	7	3	5	5	9	7	4	8	1	14	1	7	5	5	1	2	5	13	51					
		1.18%	0.97%	1.25%	0.62%	2.09%	0.83%	0.76%	1.39%	1.17%	0.44%	0.83%	0.89%	1.09%	1.34%	1.16%	0.79%	2.02%	0.81%	1.05%	0.64%	2.41%	1.64%	1.38%	1.38%	4.31%	1.44%	0.55%	0.94%	0.50%	0.74%	1.77%	1.11%	1.44%	2.45%	1.76%	0.65%	0.60%	1.19%	0.33%	0.90%	0.69%	1.68%	0.96%	0.77%	1.23%	0.26%	1.43%	0.46%	0.73%	0.71%	0.40%	0.17%	1.98%	0.90%	1.89%	2.74%					
25	"8. ""Народно-республиканская партия России"""	84	3	0	0	1	3	2	0	6	0	2	4	0	0	0	0	0	0	5	1	2	4	5	1	0	0	0	1	0	2	0	1	2	1	5	0	2	1	2	0	2	1	0	2	0	2	2	2	1	3	0	4	0	0	1	8					
		0.18%	0.58%	0.0%	0.0%	0.14%	0.62%	0.19%	0.0%	0.50%	0.0%	0.16%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.08%	0.28%	0.41%	0.49%	0.15%	0.0%	0.0%	0.0%	0.15%	0.0%	0.21%	0.0%	0.18%	0.22%	0.10%	0.44%	0.0%	0.30%	0.17%	0.22%	0.0%	0.27%	0.18%	0.0%	0.38%	0.0%	0.52%	0.20%	0.93%	0.10%	0.42%	0.0%	0.69%	0.0%	0.0%	0.14%	0.43%					
26	"9. ""Российская экологическая партия ""Зеленые"""	195	0	2	1	3	3	5	8	2	9	8	7	2	1	2	1	6	9	8	6	6	6	1	2	2	5	1	4	5	2	8	2	5	3	3	4	3	0	1	1	5	3	2	0	1	0	6	0	2	3	4	3	1	2	1	15					
		0.42%	0.0%	0.41%	0.20%	0.44%	0.62%	0.47%	0.62%	0.16%	0.80%	0.66%	0.57%	0.16%	0.09%	0.23%	0.11%	0.75%	0.66%	0.64%	0.48%	0.85%	0.61%	0.09%	0.30%	0.66%	0.48%	0.07%	0.62%	0.62%	0.21%	0.67%	0.37%	0.55%	0.30%	0.26%	0.86%	0.45%	0.0%	0.11%	0.18%	0.69%	0.56%	0.27%	0.0%	0.15%	0.0%	0.61%	0.0%	0.21%	0.42%	0.32%	0.51%	0.99%	0.36%	0.14%	0.80%					
27	"10. ""Аграрная партия России"""	2347	31	15	31	14	12	43	64	64	36	59	28	42	34	31	54	41	70	85	52	29	32	48	31	3	57	50	30	38	29	88	26	53	52	54	60	53	53	46	53	162	28	43	54	35	36	37	14	41	51	44	26	12	27	20	26					
		5.11%	6.01%	3.13%	6.43%	2.09%	2.50%	4.08%	4.96%	5.36%	3.20%	4.90%	2.28%	3.54%	3.26%	3.62%	6.15%	5.17%	5.19%	6.86%	4.22%	4.11%	3.29%	4.73%	4.78%	0.99%	5.47%	3.99%	4.70%	4.76%	3.09%	7.44%	4.82%	5.87%	5.31%	4.77%	13.01%	7.95%	9.05%	5.20%	9.54%	22.53%	5.24%	5.90%	10.50%	5.40%	9.49%	3.79%	6.54%	4.30%	7.28%	3.52%	4.50%	11.88%	4.89%	2.91%	1.40%					
28	"11. ""Истинные патриоты России"""	45	0	0	0	1	0	1	1	0	1	1	2	0	1	0	0	2	0	0	0	0	0	2	1	0	1	0	1	0	0	2	2	0	0	4	0	0	0	3	1	1	0	1	1	1	2	3	0	1	1	0	0	0	2	0	5					
		0.09%	0.0%	0.0%	0.0%	0.14%	0.0%	0.09%	0.07%	0.0%	0.08%	0.08%	0.16%	0.0%	0.09%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.15%	0.0%	0.09%	0.0%	0.15%	0.0%	0.0%	0.16%	0.37%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.33%	0.18%	0.13%	0.0%	0.13%	0.19%	0.15%	0.52%	0.30%	0.0%	0.10%	0.14%	0.0%	0.0%	0.0%	0.36%	0.0%	0.26%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	917	15	5	6	8	4	32	29	18	20	22	19	19	21	14	18	13	24	20	15	14	18	34	8	0	7	22	12	7	11	14	15	28	23	11	16	90	11	17	10	29	8	12	10	14	14	17	0	17	16	19	9	0	14	8	40					
		2.00%	2.91%	1.04%	1.24%	1.19%	0.83%	3.04%	2.24%	1.50%	1.77%	1.82%	1.54%	1.60%	2.01%	1.63%	2.05%	1.64%	1.78%	1.61%	1.21%	1.98%	1.85%	3.35%	1.23%	0.0%	0.67%	1.75%	1.88%	0.87%	1.17%	1.18%	2.78%	3.10%	2.35%	0.97%	3.47%	13.51%	1.88%	1.92%	1.80%	4.03%	1.49%	1.64%	1.94%	2.16%	3.69%	1.74%	0.0%	1.78%	2.28%	1.52%	1.55%	0.0%	2.53%	1.16%	2.15%					
30	"13. ""Демократическая партия России"""	84	0	2	2	0	1	2	3	1	2	0	2	1	4	0	3	4	3	1	5	2	2	1	2	1	1	1	1	0	3	6	0	1	1	2	1	4	1	0	1	1	2	1	1	1	0	0	0	1	0	1	1	0	1	4	3					
		0.18%	0.0%	0.41%	0.41%	0.0%	0.20%	0.19%	0.23%	0.08%	0.17%	0.0%	0.16%	0.08%	0.38%	0.0%	0.34%	0.50%	0.22%	0.08%	0.40%	0.28%	0.20%	0.09%	0.30%	0.33%	0.09%	0.07%	0.15%	0.0%	0.31%	0.50%	0.0%	0.11%	0.10%	0.17%	0.21%	0.60%	0.17%	0.0%	0.18%	0.13%	0.37%	0.13%	0.19%	0.15%	0.0%	0.0%	0.0%	0.10%	0.0%	0.08%	0.17%	0.0%	0.18%	0.58%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	71	1	3	0	1	1	2	0	6	0	4	3	2	1	0	0	0	2	1	2	1	0	0	1	1	0	1	2	3	2	5	1	1	0	1	1	1	3	2	1	0	1	1	1	1	0	1	1	1	2	1	1	1	1	0	2					
		0.15%	0.19%	0.62%	0.0%	0.14%	0.20%	0.19%	0.0%	0.50%	0.0%	0.33%	0.24%	0.16%	0.09%	0.0%	0.0%	0.0%	0.14%	0.08%	0.16%	0.14%	0.0%	0.0%	0.15%	0.33%	0.0%	0.07%	0.31%	0.37%	0.21%	0.42%	0.18%	0.11%	0.0%	0.08%	0.21%	0.15%	0.51%	0.22%	0.18%	0.0%	0.18%	0.13%	0.19%	0.15%	0.0%	0.10%	0.46%	0.10%	0.28%	0.08%	0.17%	0.99%	0.18%	0.0%	0.10%					
32	"15. ""Партия СЛОН"""	47	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	3	3	1	0	1	0	0	3	0	1	1	1	1	3	0	0	0	3	1	2	3	0	0	1	1	1	1	2	1	1	1	1	0	1	0	0	0	0	3					
		0.10%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.24%	0.08%	0.0%	0.10%	0.0%	0.0%	0.99%	0.0%	0.07%	0.15%	0.12%	0.10%	0.25%	0.0%	0.0%	0.0%	0.26%	0.21%	0.30%	0.51%	0.0%	0.0%	0.13%	0.18%	0.13%	0.19%	0.30%	0.26%	0.10%	0.46%	0.10%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.16%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6076	74	50	57	144	53	148	157	146	116	171	179	132	149	114	109	120	192	175	166	98	108	147	85	22	158	181	96	111	136	135	71	150	122	161	55	104	70	86	36	65	80	73	62	44	36	135	48	174	103	207	84	7	46	65	263					
		13.25%	14.36%	10.46%	11.82%	21.52%	11.06%	14.06%	12.17%	12.22%	10.32%	14.21%	14.60%	11.14%	14.32%	13.31%	12.41%	15.15%	14.25%	14.13%	13.48%	13.90%	11.11%	14.51%	13.11%	7.30%	15.17%	14.44%	15.07%	13.92%	14.49%	11.42%	13.17%	16.62%	12.47%	14.24%	11.93%	15.61%	11.96%	9.73%	6.48%	9.04%	14.98%	10.02%	12.06%	6.79%	9.49%	13.84%	22.42%	18.27%	14.71%	16.57%	14.55%	6.93%	8.33%	9.47%	14.16%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	106	2	3	4	1	1	0	3	0	3	0	2	2	1	1	3	1	1	1	3	3	0	2	2	4	0	0	0	0	2	3	0	1	6	4	1	6	2	6	4	1	0	4	0	5	3	3	0	2	4	1	0	0	0	1	4					
		0.23%	0.38%	0.62%	0.82%	0.14%	0.20%	0.0%	0.23%	0.0%	0.26%	0.0%	0.16%	0.16%	0.09%	0.11%	0.34%	0.12%	0.07%	0.08%	0.24%	0.42%	0.0%	0.19%	0.30%	1.32%	0.0%	0.0%	0.0%	0.0%	0.21%	0.25%	0.0%	0.11%	0.61%	0.35%	0.21%	0.90%	0.34%	0.67%	0.72%	0.13%	0.0%	0.54%	0.0%	0.77%	0.79%	0.30%	0.0%	0.21%	0.57%	0.08%	0.0%	0.0%	0.0%	0.14%	0.21%					
35	"18. ""ЛДПР"""	4814	56	67	62	74	66	99	108	102	83	100	114	123	106	95	83	64	112	92	124	60	82	75	57	68	99	94	60	64	101	139	56	100	102	163	56	56	59	64	79	74	59	96	38	52	44	140	23	131	72	154	67	8	56	137	299					
		10.49%	10.87%	14.01%	12.86%	11.06%	13.77%	9.41%	8.37%	8.54%	7.38%	8.31%	9.29%	10.38%	10.19%	11.09%	9.45%	8.08%	8.31%	7.43%	10.07%	8.51%	8.43%	7.40%	8.79%	22.59%	9.51%	7.50%	9.41%	8.03%	10.76%	11.75%	10.38%	11.08%	10.42%	14.42%	12.14%	8.40%	10.08%	7.24%	14.23%	10.29%	11.04%	13.18%	7.39%	8.02%	11.60%	14.35%	10.74%	13.76%	10.28%	12.32%	11.61%	7.92%	10.14%	19.97%	16.10%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	665	9	9	6	13	8	22	23	16	19	9	18	17	7	10	16	12	13	22	17	13	4	19	10	3	20	17	15	11	11	25	7	13	18	17	4	14	10	10	11	7	18	11	3	9	5	12	3	12	7	25	9	1	2	5	18					
		1.45%	1.74%	1.88%	1.24%	1.94%	1.67%	2.09%	1.78%	1.34%	1.69%	0.74%	1.46%	1.43%	0.67%	1.16%	1.82%	1.51%	0.96%	1.77%	1.38%	1.84%	0.41%	1.87%	1.54%	0.99%	1.92%	1.35%	2.35%	1.38%	1.17%	2.11%	1.29%	1.44%	1.84%	1.50%	0.86%	2.10%	1.70%	1.13%	1.98%	0.97%	3.37%	1.51%	0.58%	1.38%	1.31%	1.23%	1.40%	1.26%	1.0%	2.00%	1.55%	0.99%	0.36%	0.72%	0.96%					
37	"20. ""Политическая партия ""Единая Россия"""	14767	138	156	177	196	172	322	435	412	431	370	400	431	335	247	275	230	399	405	407	228	320	337	201	118	331	411	194	245	344	370	137	236	309	337	135	142	192	421	197	161	158	216	106	275	136	279	60	291	261	406	165	31	273	215	591					
		32.20%	26.79%	32.63%	36.72%	29.29%	35.90%	30.60%	33.72%	34.50%	38.34%	30.75%	32.62%	36.40%	32.21%	28.85%	31.32%	29.04%	29.62%	32.71%	33.06%	32.34%	32.92%	33.26%	31.01%	39.20%	31.79%	32.80%	30.45%	30.74%	36.67%	31.30%	25.41%	26.16%	31.59%	29.82%	29.28%	21.32%	32.82%	47.67%	35.49%	22.39%	29.58%	29.67%	20.62%	42.43%	35.88%	28.61%	28.03%	30.56%	37.28%	32.50%	28.59%	30.69%	49.45%	31.34%	31.82%					
38	"21. ""Российская Конституционно-демократическая партия"""	62	0	0	1	0	0	0	1	1	0	2	0	1	5	2	0	2	1	0	0	2	0	0	1	0	1	1	0	1	1	3	1	4	2	3	1	0	1	0	0	2	1	1	1	4	0	1	0	1	5	4	0	0	0	2	2					
		0.13%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.07%	0.08%	0.0%	0.16%	0.0%	0.08%	0.48%	0.23%	0.0%	0.25%	0.07%	0.0%	0.0%	0.28%	0.0%	0.0%	0.15%	0.0%	0.09%	0.07%	0.0%	0.12%	0.10%	0.25%	0.18%	0.44%	0.20%	0.26%	0.21%	0.0%	0.17%	0.0%	0.0%	0.27%	0.18%	0.13%	0.19%	0.61%	0.0%	0.10%	0.0%	0.10%	0.71%	0.32%	0.0%	0.0%	0.0%	0.29%	0.10%					
39	"22. ""Развитие предпринимательства"""	115	2	0	3	2	0	0	4	1	1	7	7	4	2	2	1	1	7	2	4	1	3	0	0	1	2	4	0	1	4	0	0	4	3	1	0	1	2	3	2	2	0	1	1	3	0	0	1	1	1	9	1	0	1	3	9					
		0.25%	0.38%	0.0%	0.62%	0.29%	0.0%	0.0%	0.31%	0.08%	0.08%	0.58%	0.57%	0.33%	0.19%	0.23%	0.11%	0.12%	0.51%	0.16%	0.32%	0.14%	0.30%	0.0%	0.0%	0.33%	0.19%	0.31%	0.0%	0.12%	0.42%	0.0%	0.0%	0.44%	0.30%	0.08%	0.0%	0.15%	0.34%	0.33%	0.36%	0.27%	0.0%	0.13%	0.19%	0.46%	0.0%	0.0%	0.46%	0.10%	0.14%	0.72%	0.17%	0.0%	0.18%	0.43%	0.48%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4515	67	44	40	61	41	112	112	136	122	134	102	112	82	92	79	97	158	132	116	50	92	98	76	10	97	133	54	88	75	132	112	93	123	125	23	84	56	76	44	51	55	66	118	48	35	70	26	116	45	124	54	13	44	50	120					
		9.84%	13.00%	9.20%	8.29%	9.11%	8.55%	10.64%	8.68%	11.39%	10.85%	11.13%	8.31%	9.45%	7.88%	10.74%	8.99%	12.24%	11.72%	10.66%	9.42%	7.09%	9.46%	9.67%	11.72%	3.32%	9.31%	10.61%	8.47%	11.04%	7.99%	11.16%	20.77%	10.31%	12.57%	11.06%	4.98%	12.61%	9.57%	8.60%	7.92%	7.09%	10.29%	9.06%	22.95%	7.40%	9.23%	7.17%	12.14%	12.18%	6.42%	9.92%	9.35%	12.87%	7.97%	7.28%	6.46%					
																																																														
41	Против всех	3079	30	28	21	44	44	67	99	67	67	79	89	72	68	45	72	46	84	70	72	47	53	71	42	16	52	89	40	40	57	82	29	63	52	82	31	24	51	43	32	64	40	59	43	56	20	101	10	54	33	91	49	7	30	65	197					
		6.71%	5.82%	5.85%	4.35%	6.57%	9.18%	6.36%	7.67%	5.61%	5.96%	6.56%	7.25%	6.08%	6.53%	5.25%	8.20%	5.80%	6.23%	5.65%	5.84%	6.66%	5.45%	7.00%	6.48%	5.31%	4.99%	7.10%	6.27%	5.01%	6.07%	6.93%	5.38%	6.98%	5.31%	7.25%	6.72%	3.60%	8.71%	4.86%	5.76%	8.90%	7.49%	8.10%	8.36%	8.64%	5.27%	10.35%	4.67%	5.67%	4.71%	7.28%	8.49%	6.93%	5.43%	9.47%	10.60%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
