Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Петрозаводская городская №1																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1830	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	60	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	520	3	5	8	15	8	7	6	5	6	8	13	16	27	9	12	9	2	3	9	5	9	10	1	7	5	8	7	11	6	5	5	1	22	7	6	7	47	7	12	4	6	9	4	8	17	2	8	13	10	3	2	7	9	9	8	6	11	5	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	341	7	10	4	4	10	3	6	8	4	6	6	6	2	7	4	7	10	3	6	3	0	1	6	6	0	8	8	4	4	2	9	4	4	6	8	4	17	5	1	20	7	11	5	9	4	1	14	6	5	0	5	3	5	3	3	8	6	3	4	6									
14	Число погашенных неиспользованных открепительных удостоверений	1310	27	25	22	15	22	23	24	25	24	22	17	14	3	21	18	21	28	27	21	25	21	20	29	23	25	22	23	19	24	25	25	29	8	23	24	23	13	23	18	26	24	21	26	22	13	28	22	17	20	27	28	23	21	21	22	24	19	25	20	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	104	0	1	1	5	4	1	0	5	4	1	7	5	2	4	2	2	0	2	3	1	0	1	0	0	1	2	1	1	2	3	1	0	5	2	1	1	6	0	0	0	3	3	1	3	0	1	2	1	0	1	0	1	1	0	1	1	2	2	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	845	6	13	16	8	9	8	11	10	29	10	12	21	21	26	28	23	16	19	19	23	13	20	14	15	13	26	18	9	4	17	13	8	27	10	5	9	21	11	3	7	16	16	6	15	13	7	16	15	13	8	5	10	4	12	13	18	9	18	13	27									
		1.82%	1.12%	1.78%	1.16%	0.85%	1.62%	0.94%	1.91%	1.39%	3.68%	1.70%	1.19%	1.56%	1.93%	2.67%	2.87%	2.60%	2.41%	2.73%	2.21%	3.30%	1.65%	2.97%	1.80%	1.99%	1.44%	2.37%	2.58%	1.39%	0.65%	2.18%	2.33%	1.24%	2.16%	1.24%	0.58%	0.94%	1.83%	1.77%	0.54%	1.51%	1.78%	2.21%	0.99%	1.60%	1.35%	1.39%	1.87%	1.69%	1.91%	1.35%	1.14%	1.75%	0.63%	2.08%	1.78%	2.19%	1.51%	2.89%	2.22%	3.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1118	12	9	19	21	15	22	11	16	10	15	17	25	13	26	22	13	9	24	20	13	26	19	11	11	31	38	17	17	14	22	8	20	26	12	18	19	27	5	12	13	33	21	16	19	33	14	22	29	21	19	16	15	17	15	27	20	17	18	17	31									
		2.40%	2.25%	1.23%	1.37%	2.22%	2.69%	2.58%	1.91%	2.23%	1.27%	2.55%	1.68%	1.86%	1.19%	2.67%	2.26%	1.47%	1.36%	3.44%	2.33%	1.87%	3.31%	2.82%	1.42%	1.46%	3.43%	3.46%	2.44%	2.62%	2.29%	2.82%	1.44%	3.09%	2.08%	1.48%	2.10%	1.99%	2.36%	0.81%	2.16%	2.80%	3.68%	2.90%	2.65%	2.03%	3.43%	2.79%	2.57%	3.27%	3.08%	3.20%	3.66%	2.62%	2.69%	2.60%	3.70%	2.43%	2.86%	2.89%	2.90%	3.81%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	985	7	10	26	21	7	12	14	17	15	8	31	28	13	29	22	22	14	18	17	15	18	21	17	20	29	21	15	19	16	19	8	15	21	18	14	15	23	11	10	14	27	15	12	15	19	9	10	10	12	22	16	11	13	22	9	16	8	15	17	17									
		2.12%	1.31%	1.37%	1.88%	2.22%	1.26%	1.41%	2.43%	2.36%	1.90%	1.36%	3.07%	2.08%	1.19%	2.98%	2.26%	2.48%	2.11%	2.58%	1.98%	2.16%	2.29%	3.12%	2.19%	2.65%	3.21%	1.91%	2.15%	2.93%	2.62%	2.44%	1.44%	2.32%	1.68%	2.22%	1.63%	1.57%	2.01%	1.77%	1.80%	3.01%	3.01%	2.07%	1.99%	1.60%	1.97%	1.79%	1.17%	1.13%	1.76%	3.70%	3.66%	1.92%	2.06%	3.82%	1.23%	1.94%	1.34%	2.41%	2.90%	2.09%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15788	302	367	706	335	219	366	201	223	252	211	322	481	371	298	290	286	214	221	285	216	263	218	270	247	255	340	212	205	186	236	169	176	382	285	416	433	413	233	186	175	247	218	196	344	339	165	286	250	219	177	130	183	191	127	227	243	157	193	167	263									
		33.96%	56.55%	50.27%	51.09%	35.49%	39.32%	42.96%	34.96%	31.02%	31.94%	35.82%	31.88%	35.76%	34.04%	30.60%	29.77%	32.28%	32.28%	31.71%	33.14%	31.03%	33.46%	32.34%	34.75%	32.76%	28.21%	30.97%	30.42%	31.59%	30.44%	30.30%	30.34%	27.20%	30.54%	35.23%	48.54%	45.34%	36.04%	37.52%	33.51%	37.63%	27.54%	30.07%	32.45%	36.79%	35.20%	32.87%	33.37%	28.18%	32.11%	29.80%	29.75%	31.94%	30.27%	22.05%	31.14%	29.53%	26.39%	31.03%	28.50%	32.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	606	1	4	22	6	4	10	8	7	14	6	14	10	8	10	16	18	14	10	12	7	17	5	15	8	10	17	9	6	2	7	5	8	20	10	8	7	13	9	10	3	7	6	9	13	14	8	13	13	10	8	10	9	15	9	13	16	11	8	17	7									
		1.30%	0.19%	0.55%	1.59%	0.64%	0.72%	1.17%	1.39%	0.97%	1.77%	1.02%	1.39%	0.74%	0.73%	1.03%	1.64%	2.03%	2.11%	1.43%	1.40%	1.01%	2.16%	0.74%	1.93%	1.06%	1.11%	1.55%	1.29%	0.92%	0.33%	0.90%	0.90%	1.24%	1.60%	1.24%	0.93%	0.73%	1.13%	1.45%	1.80%	0.65%	0.78%	0.83%	1.49%	1.39%	1.45%	1.59%	1.52%	1.47%	1.47%	1.35%	2.29%	1.57%	2.38%	1.56%	1.78%	1.94%	1.85%	1.29%	2.90%	0.86%									
24	"6. Политическая партия ""Гражданская Платформа"""	162	1	2	2	5	0	6	2	2	7	1	4	7	3	4	5	8	3	1	6	1	1	6	1	2	3	1	2	0	8	5	3	2	7	0	1	0	2	1	2	2	1	4	1	0	3	0	4	4	1	1	4	5	2	2	2	3	0	4	1	1									
		0.35%	0.19%	0.27%	0.14%	0.53%	0.00%	0.70%	0.35%	0.28%	0.89%	0.17%	0.40%	0.52%	0.28%	0.41%	0.51%	0.90%	0.45%	0.14%	0.70%	0.14%	0.13%	0.89%	0.13%	0.27%	0.33%	0.09%	0.29%	0.00%	1.31%	0.64%	0.54%	0.31%	0.56%	0.00%	0.12%	0.00%	0.17%	0.16%	0.36%	0.43%	0.11%	0.55%	0.17%	0.00%	0.31%	0.00%	0.47%	0.45%	0.15%	0.17%	0.92%	0.87%	0.32%	0.35%	0.27%	0.36%	0.00%	0.64%	0.17%	0.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6786	59	96	143	157	94	138	84	119	131	105	148	151	151	142	154	156	108	101	105	117	116	91	112	102	131	124	118	99	117	107	99	110	175	132	84	147	190	110	79	48	129	119	95	126	120	75	134	109	111	83	51	86	93	83	120	115	101	86	89	111									
		14.60%	11.05%	13.15%	10.35%	16.63%	16.88%	16.20%	14.61%	16.55%	16.60%	17.83%	14.65%	11.23%	13.85%	14.58%	15.81%	17.61%	16.29%	14.49%	12.21%	16.81%	14.76%	13.50%	14.41%	13.53%	14.49%	11.29%	16.93%	15.25%	19.15%	13.74%	17.77%	17.00%	13.99%	16.32%	9.80%	15.39%	16.58%	17.71%	14.23%	10.32%	14.38%	16.41%	15.73%	13.48%	12.46%	14.94%	15.64%	12.29%	16.28%	13.97%	11.67%	15.01%	14.74%	14.41%	16.46%	13.97%	16.97%	13.83%	15.19%	13.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	475	5	3	8	15	5	5	6	6	10	6	12	10	9	8	15	12	8	5	9	5	10	6	7	13	9	12	9	9	5	10	5	8	16	7	8	8	10	6	8	6	8	6	5	9	8	3	9	10	10	5	2	9	10	10	4	8	6	1	6	12									
		1.02%	0.94%	0.41%	0.58%	1.59%	0.90%	0.59%	1.04%	0.83%	1.27%	1.02%	1.19%	0.74%	0.83%	0.82%	1.54%	1.35%	1.21%	0.72%	1.05%	0.72%	1.27%	0.89%	0.90%	1.72%	0.99%	1.09%	1.29%	1.39%	0.82%	1.28%	0.90%	1.24%	1.28%	0.87%	0.93%	0.84%	0.87%	0.97%	1.44%	1.29%	0.89%	0.83%	0.83%	0.96%	0.83%	0.60%	1.05%	1.13%	1.47%	0.84%	0.46%	1.57%	1.58%	1.74%	0.55%	0.97%	1.01%	0.16%	1.02%	1.47%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1093	2	10	21	15	10	6	23	19	14	8	24	52	20	45	24	23	16	14	19	9	20	21	21	16	28	30	13	17	16	39	9	19	36	24	12	11	26	9	10	7	13	18	6	24	24	6	23	28	20	16	14	12	14	24	14	21	12	11	15	20									
		2.35%	0.37%	1.37%	1.52%	1.59%	1.80%	0.70%	4.00%	2.64%	1.77%	1.36%	2.38%	3.87%	1.83%	4.62%	2.46%	2.60%	2.41%	2.01%	2.21%	1.29%	2.54%	3.12%	2.70%	2.12%	3.10%	2.73%	1.87%	2.62%	2.62%	5.01%	1.62%	2.94%	2.88%	2.97%	1.40%	1.15%	2.27%	1.45%	1.80%	1.51%	1.45%	2.48%	0.99%	2.57%	2.49%	1.20%	2.68%	3.16%	2.93%	2.69%	3.20%	2.09%	2.22%	4.17%	1.92%	2.55%	2.02%	1.77%	2.56%	2.46%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	64	0	2	0	2	1	0	0	1	0	1	2	3	4	0	0	0	0	2	0	0	1	0	2	0	1	3	0	3	2	1	0	1	3	3	0	2	5	0	2	0	0	0	1	1	0	0	0	3	1	1	2	1	2	2	1	1	0	0	0	1									
		0.14%	0.00%	0.27%	0.00%	0.21%	0.18%	0.00%	0.00%	0.14%	0.00%	0.17%	0.20%	0.22%	0.37%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.13%	0.00%	0.26%	0.00%	0.11%	0.27%	0.00%	0.46%	0.33%	0.13%	0.00%	0.15%	0.24%	0.37%	0.00%	0.21%	0.44%	0.00%	0.36%	0.00%	0.00%	0.00%	0.17%	0.11%	0.00%	0.00%	0.00%	0.34%	0.15%	0.17%	0.46%	0.17%	0.32%	0.35%	0.14%	0.12%	0.00%	0.00%	0.00%	0.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5676	29	71	102	86	45	59	55	63	103	55	112	207	142	112	102	102	72	78	101	74	96	69	92	110	135	179	83	102	92	110	70	94	200	97	82	107	119	60	62	62	152	93	75	102	114	75	147	136	90	58	48	62	97	75	86	138	65	88	79	105									
		12.21%	5.43%	9.73%	7.38%	9.11%	8.08%	6.92%	9.57%	8.76%	13.05%	9.34%	11.09%	15.39%	13.03%	11.50%	10.47%	11.51%	10.86%	11.19%	11.74%	10.63%	12.21%	10.24%	11.84%	14.59%	14.93%	16.30%	11.91%	15.72%	15.06%	14.12%	12.57%	14.53%	15.99%	11.99%	9.57%	11.20%	10.38%	9.66%	11.17%	13.33%	16.95%	12.83%	12.42%	10.91%	11.84%	14.94%	17.15%	15.33%	13.20%	9.76%	10.98%	10.82%	15.37%	13.02%	11.80%	16.77%	10.92%	14.15%	13.48%	12.90%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6329	40	59	143	130	69	106	70	107	95	68	153	193	161	139	126	120	75	95	144	105	119	104	113	92	134	157	117	99	77	87	68	93	181	105	75	79	164	75	73	69	122	115	95	122	122	68	98	147	92	108	66	82	86	107	104	112	96	99	94	115									
		13.61%	7.49%	8.08%	10.35%	13.77%	12.39%	12.44%	12.17%	14.88%	12.04%	11.54%	15.15%	14.35%	14.77%	14.27%	12.94%	13.54%	11.31%	13.63%	16.74%	15.09%	15.14%	15.43%	14.54%	12.20%	14.82%	14.30%	16.79%	15.25%	12.60%	11.17%	12.21%	14.37%	14.47%	12.98%	8.75%	8.27%	14.31%	12.08%	13.15%	14.84%	13.60%	15.86%	15.73%	13.05%	12.67%	13.55%	11.44%	16.57%	13.49%	18.18%	15.10%	14.31%	13.63%	18.58%	14.27%	13.61%	16.13%	15.92%	16.04%	14.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	573	5	9	15	22	5	9	11	8	11	9	17	13	26	10	21	12	5	12	18	10	6	15	15	6	4	18	6	4	2	13	4	7	13	6	15	6	11	12	9	5	8	5	9	9	14	7	5	12	4	7	7	4	7	5	3	9	18	2	3	10									
		1.23%	0.94%	1.23%	1.09%	2.33%	0.90%	1.06%	1.91%	1.11%	1.39%	1.53%	1.68%	0.97%	2.39%	1.03%	2.16%	1.35%	0.75%	1.72%	2.09%	1.44%	0.76%	2.23%	1.93%	0.80%	0.44%	1.64%	0.86%	0.62%	0.33%	1.67%	0.72%	1.08%	1.04%	0.74%	1.75%	0.63%	0.96%	1.93%	1.62%	1.08%	0.89%	0.69%	1.49%	0.96%	1.45%	1.39%	0.58%	1.35%	0.59%	1.18%	1.60%	0.70%	1.11%	0.87%	0.41%	1.09%	3.03%	0.32%	0.51%	1.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4492	34	49	106	88	48	61	64	97	83	53	103	121	106	102	120	70	82	77	74	73	60	59	67	89	86	105	61	47	63	66	73	65	112	75	75	66	101	56	62	41	114	68	51	98	111	51	69	95	64	67	51	61	59	68	86	67	73	62	56	81									
		9.66%	6.37%	6.71%	7.67%	9.32%	8.62%	7.16%	11.13%	13.49%	10.52%	8.99%	10.20%	8.99%	9.72%	10.47%	12.32%	7.90%	12.37%	11.05%	8.60%	10.49%	7.63%	8.75%	8.62%	11.80%	9.51%	9.56%	8.75%	7.24%	10.31%	8.47%	13.11%	10.05%	8.95%	9.27%	8.75%	6.91%	8.81%	9.02%	11.17%	8.82%	12.71%	9.38%	8.44%	10.48%	11.53%	10.16%	8.05%	10.71%	9.38%	11.28%	11.67%	10.65%	9.35%	11.81%	11.80%	8.14%	12.27%	9.97%	9.56%	9.95%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
